0	Index      	 *	Score 	Summary	Detail	
1	14332 13216	 * 	266.36	DCR|2MLV|1LIT|2VULN|2ASPD|1CDMG	1FEWX|2BELT|3aASPD|4LIT|5CDMG|6aVULN|7RCR|8DUST|9aMLV|aBPWR
17	51212 32322	   	252.08	ACR|2LIT|1FLTARM|1VULN|1MLV|1DMG	1RPLT|2LHND|3RCR|4DMG|5ERES|6MLV|7FLTARM|8aLIT|9VULN
18	51212 32326	 * 	251.46	ACR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1RPLT|2LHND|3RCR|4DMG|5ERES|6MLV|7FLTARM|8LIT|9aVULN
19	12162 52226	   	250.78	ACR|2LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	18FEWX|2DMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV|aCDMG
20	12132 52226	   	250.68	ACR|2LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	18FEWX|2DMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV|aCDMG
21	32132 52226	   	250.68	ACR|2LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	18LWND|2DMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV|aCDMG
22	32632 33264	   	250.38	ACR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1LWND|2DMG|3RMIN|4RCR|5VULN|68LIT|7FEWX|9FLTARM|aMLV
23	12632 32264	   	250.28	ACR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1FEWX|2DMG|3RMIN|4RCR|5VULN|68LIT|7LEGI|9FLTARM|aMLV
24	32126 36331	 * 	249.41	DCR|2LIT|2DMG|1VULN|1MLV	1LWND|26DMG|36LIT|4RMIN|5MBVNT|6BPWR|7MLV|8BELT|9VULN|aRCR
25	31136 12165	 * 	249.26	DCR|3LIT|2VULN|1CDMG	18aLWND|2ERES|36aLIT|4ZMB|5CDMG|7RCR|9aVULN|aBPWR
26	31136 12325	   	249.26	DCR|3LIT|2VULN|1CDMG	19aLWND|2ERES|36aLIT|4ZMB|5CDMG|7RCR|8aVULN|aBPWR
27	43623 13312	   	249.19	ACR|1LIT|2VULN|2DMG|1MLV|1ASPD	18BEXP|2RMIN|3RCR|4MLV|58DMG|68VULN|7AART|8BPWR|9ASPD|aLIT
28	43623 35312	   	249.19	ACR|1LIT|2VULN|2DMG|1MLV|1ASPD	18BEXP|2RMIN|3RCR|4MLV|58DMG|6AART|78VULN|8BPWR|9ASPD|aLIT
29	14332 13417	 * 	248.96	DCR|2LIT|2MLV|1VULN|1CDMG|1ASPD	1aFEWX|2BELT|3ASPD|4aLIT|5CDMG|6VULN|7RCR|8MBVNT|9aMLV|aBPWR
30	34622 22251	 * 	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2BELT|3RPLT|45VULN|6DMG|7CDMG|8LIT|9MLV|aRCR
31	16116 12261	 * 	247.91	DCR|3LIT|1VULN|1MLV|1CDMG	1FEWX|2MLV|36aLIT|48ERES|5CDMG|7RCR|9VULN
32	14332 13414	   	247.69	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD	1FEWX|2BELT|3ASPD|4LIT|5CDMG|6aVULN|7RCR|8MBVNT|9MLV
33	33632 33266	   	246.29	ACR|2LIT|2VULN|1FLTARM|1DMG	1LWND|2RMIN|3RCR|4aVULN|5DMG|68LIT|7FEWX|9FLTARM
34	13632 32266	   	246.19	ACR|2LIT|2VULN|1FLTARM|1DMG	1FEWX|2RMIN|3RCR|4aVULN|5DMG|68LIT|7LEGI|9FLTARM
35	31224 32323	 * 	246.10	DCR|3LIT|3MLV|1VULN	136LWND|289ERES|489MLV|589LIT|7RCR|89BPWR|aVULN
36	12364 23611	 * 	245.59	DCR|1LIT|3DMG|1VULN|1MLV	1FEWX|279DMG|34ERES|5LIT|6VULN|8RCR|aMLV
37	32333 41613	 * 	245.52	DCR|2LIT|2VULN|2DMG	158LWND|2aDMG|3LHND|4aVULN|6BELT|7aLIT|9RCR|aBPWR
38	32156 15131	   	245.42	DCR|2LIT|2VULN|2DMG	17LWND|27DMG|35LIT|4SNITOX|67VULN|7BPWR|8LHND|9RCR|aBEXP
39	32156 15133	   	245.42	DCR|2LIT|2VULN|2DMG	17LWND|27DMG|35LIT|4SNITOX|67VULN|7BPWR|8LHND|9RCR|aTLV
40	32536 15131	   	245.42	DCR|2LIT|2VULN|2DMG	17LWND|27DMG|3LSRICY|45LIT|67VULN|7BPWR|8LHND|9RCR|aBEXP
41	32536 15133	   	245.42	DCR|2LIT|2VULN|2DMG	17LWND|27DMG|3LSRICY|45LIT|67VULN|7BPWR|8LHND|9RCR|aTLV
42	32156 15132	   	245.32	DCR|2LIT|2VULN|2DMG	17LWND|27DMG|35LIT|4SNITOX|67VULN|7BPWR|8LHND|9RCR|aDUST
43	32536 15132	   	245.32	DCR|2LIT|2VULN|2DMG	17LWND|27DMG|3LSRICY|45LIT|67VULN|7BPWR|8LHND|9RCR|aDUST
44	22632 32263	 * 	245.17	ACR|3LIT|2FLTARM|1VULN	1NUKE|2aDUST|3RMIN|4RCR|5VULN|68aLIT|7LEGI|9aFLTARM|aBPWR
45	43122 32211	 * 	245.12	DCR|2LIT|2VULN|1MLV|1SELL	189BEXP|24RMIN|39LIT|5SELL|6RCR|79VULN|9BPWR|aMLV
46	32632 33266	   	244.49	ACR|2LIT|2VULN|1FLTARM|1DMG	1LWND|2DMG|3RMIN|4RCR|5aVULN|68LIT|7FEWX|9FLTARM
47	12632 32266	   	244.39	ACR|2LIT|2VULN|1FLTARM|1DMG	1FEWX|2DMG|3RMIN|4RCR|5aVULN|68LIT|7LEGI|9FLTARM
48	14332 13213	   	244.36	DCR|2LIT|1VULN|1MLV|1CDMG|1ASPD	1FEWX|2BELT|3ASPD|4aLIT|5CDMG|6VULN|7RCR|8DUST|9MLV
49	14332 13413	   	244.36	DCR|2LIT|1VULN|1MLV|1CDMG|1ASPD	1FEWX|2BELT|3ASPD|4aLIT|5CDMG|6VULN|7RCR|8MBVNT|9MLV
50	64352 13113	   	244.36	DCR|2LIT|1VULN|1MLV|1CDMG|1ASPD	1DUST|2BELT|3ASPD|4aLIT|5CDMG|6VULN|7RCR|8FEWX|9MLV
51	12511 23215	 * 	244.12	DCR|2MLV|1LIT|2VULN|1DMG	1FEWX|2DMG|3LSRICY|4MBVNT|56VULN|7aMLV|8LIT|9RCR
52	32511 23215	   	244.12	DCR|2MLV|1LIT|2VULN|1DMG	1LWND|2DMG|3LSRICY|4MBVNT|56VULN|7aMLV|8LIT|9RCR
53	32521 23264	   	244.12	DCR|2MLV|1LIT|2VULN|1DMG|1DUR	1LWND|2DMG|3LSRICY|4DUR|56VULN|7aMLV|8LIT|9RCR
54	42511 23215	   	244.12	DCR|2MLV|1LIT|2VULN|1DMG	1BEXP|2DMG|3LSRICY|4MBVNT|56VULN|7aMLV|8LIT|9RCR
55	12162 52224	   	244.07	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2DMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV|aZMB
56	32511 71643	   	244.05	DCR|1LIT|1VULN|1MLV|1DMG|1AART|1ASPD	1LWND|2DMG|3LSRICY|4MBVNT|5VULN|6ASPD|7RCR|8LIT|9MLV|aAART
57	62511 23215	   	243.97	DCR|2MLV|1LIT|2VULN|1DMG	1DUST|2DMG|3LSRICY|4MBVNT|56VULN|7aMLV|8LIT|9RCR
58	12132 52224	   	243.97	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2DMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV|aZMB
59	32132 52224	   	243.97	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18LWND|2DMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV|aZMB
60	44332 22641	   	243.88	DCR|2LIT|1VULN|2ASPD|1DMG|1AART	1BEXP|2BELT|36ASPD|46LIT|5MBVNT|6BPWR|7DMG|8VULN|9RCR|aAART
61	12232 13435	 * 	243.81	DCR|4VULN|3DMG	1FEWX|259DMG|3LWND|4678VULN|aRCR
62	32332 13435	   	243.81	DCR|4VULN|3DMG	1LWND|259DMG|3LHND|4678VULN|aRCR
63	12161 13155	   	243.72	DCR|2LIT|2VULN|2DMG	18FEWX|29DMG|38LIT|4LWND|5LHND|6RPLT|78VULN|8BPWR|aRCR
64	62232 13435	   	243.71	DCR|4VULN|3DMG	1DUST|259DMG|3LWND|4678VULN|aRCR
65	32131 13155	   	243.62	DCR|2LIT|2VULN|2DMG	18LWND|29DMG|38LIT|4DUST|5LHND|6RPLT|78VULN|8BPWR|aRCR
66	32163 23155	   	243.62	DCR|2LIT|2VULN|2DMG|1DUR	18LWND|29DMG|38LIT|4LHND|5RPLT|6DUR|78VULN|8BPWR|aRCR
67	34355 33123	   	243.60	DCR|1LIT|2VULN|1DMG|1AART|1ASPD	16LWND|2BELT|3ASPD|4ZMB|56VULN|6BPWR|7LIT|8RCR|9DMG|aAART
68	12222 35514	 * 	243.24	DCR|1LIT|2VULN|3DMG	1FEWX|289DMG|3LWND|4ZMB|57VULN|6LIT|aRCR
69	36126 12325	   	242.42	DCR|3LIT|2VULN|1CDMG	19aLWND|26aLIT|3CGEN|4RMIN|5CDMG|7RCR|8aVULN|aBPWR
70	36326 12325	   	242.42	DCR|3LIT|2VULN|1CDMG	19aLWND|26aLIT|3TLV|4RMIN|5CDMG|7RCR|8aVULN|aBPWR
71	33116 12165	   	242.32	DCR|3LIT|2VULN|1CDMG	18aLWND|2RMIN|36aLIT|4ERES|5CDMG|7RCR|9aVULN|aBPWR
72	33116 12325	   	242.32	DCR|3LIT|2VULN|1CDMG	19aLWND|2RMIN|36aLIT|4ERES|5CDMG|7RCR|8aVULN|aBPWR
73	12234 32514	   	242.19	DCR|1LIT|3DMG|1VULN|1MLV	1FEWX|289DMG|3LWND|4VULN|5MLV|6LIT|7DMSP|aRCR
74	12234 33514	   	242.19	DCR|1LIT|3DMG|1VULN|1MLV	17FEWX|289DMG|3LWND|4VULN|5MLV|6LIT|aRCR
75	16232 32514	   	242.19	DCR|1LIT|3DMG|1VULN|1MLV	1FEWX|2MLV|3LWND|4VULN|589DMG|6LIT|7DMSP|aRCR
76	16232 33514	   	242.19	DCR|1LIT|3DMG|1VULN|1MLV	17FEWX|2MLV|3LWND|4VULN|589DMG|6LIT|aRCR
77	42222 32514	   	242.19	DCR|1LIT|3DMG|1VULN|1MLV	1BEXP|289DMG|3LWND|4MLV|5VULN|6LIT|7DMSP|aRCR
78	14334 15123	 * 	241.66	DCR|2LIT|3VULN|1ASPD	16FEWX|2BELT|3ASPD|45LIT|789VULN|aRCR
79	14334 25123	   	241.66	DCR|2LIT|3VULN|1ASPD	1FEWX|26BELT|3ASPD|45LIT|789VULN|aRCR
80	32511 71641	   	241.45	DCR|1LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1LWND|2DMG|3LSRICY|4MBVNT|5VULN|6ASPD|7RCR|8LIT|9MLV|aCDMG
81	12156 23322	   	241.16	DCR|1LIT|2VULN|2DMG|1ASPD|1SELL	1FEWX|25DMG|3LIT|4SNITOX|6RCR|7SELL|8ASPD|9aVULN
82	62156 23322	   	241.06	DCR|1LIT|2VULN|2DMG|1ASPD|1SELL	1DUST|25DMG|3LIT|4SNITOX|6RCR|7SELL|8ASPD|9aVULN
83	32521 22552	   	240.98	DCR|3VULN|2DMG|1MLV|1DUR	17LWND|27DMG|3LSRICY|4DUR|567VULN|7BPWR|8MLV|9ERES|aRCR
84	42132 52224	 * 	240.72	ACR|2LIT|3VULN|1DMG|1CDMG|1DUR	18BEXP|2DMG|38LIT|4DUST|5RCR|6DUR|78aVULN|8BPWR|9CDMG
85	31224 32365	   	240.68	DCR|3LIT|2MLV|1VULN	136LWND|28ERES|48MLV|58aLIT|7RCR|8BPWR|9VULN
86	13632 35114	   	240.63	ACR|2LIT|2VULN|1MLV|1DMG	1FEWX|2RMIN|3RCR|47VULN|5DMG|69LIT|8RPLT|aMLV
87	33632 35114	   	240.63	ACR|2LIT|2VULN|1MLV|1DMG	1LWND|2RMIN|3RCR|47VULN|5DMG|69LIT|8RPLT|aMLV
88	54322 33114	   	240.56	DCR|1LIT|2VULN|1MLV|1DMG	16RPLT|2RMIN|35VULN|4DMG|7RCR|8LIT|9LHND|aMLV
89	54322 33124	   	240.56	DCR|1LIT|2VULN|1MLV|1DMG	16RPLT|2RMIN|35VULN|4DMG|7RCR|8LIT|9LWND|aMLV
90	14624 12323	   	240.56	DCR|1LIT|2VULN|1MLV|1DMG	1FEWX|2BELT|3RPLT|46VULN|5RCVC|7RCR|8MLV|9LIT|aDMG
91	51242 13162	 * 	240.53	ACR|2LIT|2VULN|1MLV|2CDMG	1RPLT|2LHND|3RCR|4aLIT|5MLV|67VULN|89CDMG
92	51242 13513	   	240.53	ACR|2LIT|2VULN|1MLV|1DMG	1RPLT|2LHND|3RCR|48LIT|5MLV|67VULN|9BASICY|aDMG
93	52211 22242	   	240.53	ACR|2LIT|2VULN|1MLV|1DMG	1RPLT|2FEWX|3RCR|4DMG|5DUST|6aVULN|7MLV|89LIT
94	52213 22252	   	240.53	ACR|2LIT|2VULN|1MLV|1DMG	1RPLT|2FEWX|3RCR|4DMG|5MBVNT|6aVULN|7MLV|89LIT
95	52216 22242	   	240.53	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	1RPLT|2FEWX|3RCR|4DMG|5DUR|6aVULN|7MLV|89LIT
96	54322 33134	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG|1DUR	16RPLT|2RMIN|35VULN|4DMG|7RCR|8LIT|9DUR|aMLV
97	55322 23114	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG	16RPLT|2NUKE|35VULN|4DMG|7RCR|8LIT|9LHND|aMLV
98	55322 23124	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG	16RPLT|2NUKE|35VULN|4DMG|7RCR|8LIT|9LWND|aMLV
99	55322 23134	   	240.36	DCR|1LIT|2VULN|1MLV|1DMG|1DUR	16RPLT|2NUKE|35VULN|4DMG|7RCR|8LIT|9DUR|aMLV
100	52326 42222	   	240.31	DCR|1LIT|2VULN|1MLV|1DMG|1SELL	1RPLT|2FEWX|3LWND|45VULN|6SELL|7RCR|8LIT|9MLV|aDMG
101	64352 13322	 * 	240.26	DCR|1LIT|1VULN|1MLV|2ASPD|2CDMG	1DUST|2BELT|39ASPD|4LIT|58CDMG|6VULN|7RCR|aMLV
102	32332 65226	   	240.09	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	1LWND|25DMG|3LHND|4VULN|6LIT|7ASPD|8SPLARM|9MLV|aRCR
103	51225 21252	 * 	239.90	ACR|3VULN|1LIT|1MLV|1DMG	1RPLT|2LHND|3RCR|47aVULN|5LWND|6MLV|8LIT|9DMG
104	62112 31534	   	239.87	DCR|2LIT|2VULN|1DMG	1DUST|2DMG|38LIT|4ERES|5ZMB|6RCR|7RPLT|9aVULN
105	62112 33625	   	239.87	DCR|2LIT|2VULN|1DMG	1DUST|2DMG|3aLIT|4ERES|5ZMB|6RCR|78VULN|9LHND
106	44332 26134	   	239.84	DCR|2LIT|1FLTARM|1VULN|2ASPD	1BEXP|2BELT|36ASPD|46LIT|5MBVNT|6BPWR|7RMIN|8RCR|9VULN|aFLTARM
107	51242 13223	   	239.80	ACR|3VULN|1LIT|1MLV|1DMG	1RPLT|2LHND|3RCR|4LIT|5MLV|679VULN|8CANTOX|aDMG
108	62112 33614	   	239.77	DCR|2LIT|2VULN|1DMG	19DUST|2DMG|3aLIT|4ERES|5ZMB|6RCR|78VULN
109	62112 33634	   	239.77	DCR|2LIT|2VULN|1DMG	1DUST|2DMG|3aLIT|49ERES|5ZMB|6RCR|78VULN
110	16134 31352	 * 	239.66	DCR|2LIT|2VULN|1MLV	1FEWX|2MLV|38LIT|4DUST|5AART|67VULN|9RCR|aLWND
111	23224 31244	 * 	239.66	DCR|2LIT|2MLV|1VULN|2ASPD	1NUKE|23LWND|46MLV|56LIT|6BPWR|78ASPD|9RCR|aVULN
112	16134 31351	   	239.56	DCR|2LIT|2VULN|1MLV	1FEWX|2MLV|38LIT|4DUST|5AART|67VULN|9RCR|aLSRREG
113	12632 35114	   	238.83	ACR|2LIT|2VULN|1MLV|1DMG	1FEWX|2DMG|3RMIN|4RCR|57VULN|69LIT|8RPLT|aMLV
114	32632 35114	   	238.83	ACR|2LIT|2VULN|1MLV|1DMG	1LWND|2DMG|3RMIN|4RCR|57VULN|69LIT|8RPLT|aMLV
115	13135 42522	   	238.66	DCR|1LIT|2VULN|1MLV|1DMG|1DUR	1FEWX|2RMIN|3LIT|4DUR|57VULN|6LHND|8RCR|9MLV|aDMG
116	62112 33623	   	238.08	DCR|1LIT|2VULN|2DMG|2ZMB	1DUST|2aDMG|3LIT|4ERES|5aZMB|6RCR|78VULN|9aLHND|aBPWR
117	62342 33623	   	238.08	DCR|1LIT|2VULN|2DMG|2ZMB	1DUST|2aDMG|3ERES|4LIT|5aZMB|6RCR|78VULN|9aLHND|aBPWR
118	44332 21531	   	237.86	DCR|2LIT|1VULN|1MLV|2ASPD	1BEXP|2BELT|36ASPD|46LIT|5MBVNT|6BPWR|7CGEN|8MLV|9VULN|aRCR
119	44332 21641	   	237.86	DCR|2LIT|1VULN|1MLV|2ASPD	1BEXP|2BELT|36ASPD|46LIT|5MBVNT|6BPWR|7CGEN|8VULN|9MLV|aRCR
120	32156 21123	 * 	237.78	DCR|3LIT|1MLV|1DMG|1ASPD	1LWND|2DMG|358LIT|4SNITOX|6RCR|7CGEN|9ASPD|aMLV
121	32156 21125	 * 	237.78	DCR|3LIT|1VULN|1DMG|1ASPD	1LWND|2DMG|358LIT|4SNITOX|6RCR|7CGEN|9ASPD|aVULN
122	32536 21123	   	237.78	DCR|3LIT|1MLV|1DMG|1ASPD	1LWND|2DMG|3LSRICY|458LIT|6RCR|7CGEN|9ASPD|aMLV
123	32536 21125	   	237.78	DCR|3LIT|1VULN|1DMG|1ASPD	1LWND|2DMG|3LSRICY|458LIT|6RCR|7CGEN|9ASPD|aVULN
124	16521 34144	   	237.76	DCR|2LIT|2MLV|1VULN|1CDMG	13FEWX|23MLV|3BPWR|4CDMG|5ERES|6RCR|7MBVNT|89LIT|aVULN
125	31136 12311	   	237.65	DCR|2LIT|1VULN|1MLV|1CDMG	1LWND|2ERES|36LIT|4ZMB|5CDMG|7RCR|8VULN|9LHND|aMLV
126	31136 12341	   	237.65	DCR|2LIT|1VULN|1MLV|1CDMG	1LWND|2ERES|36LIT|4ZMB|5CDMG|7RCR|8VULN|9BEXP|aMLV
127	36236 12311	   	237.65	DCR|2LIT|1VULN|1MLV|1CDMG	1LWND|26LIT|3ERES|4ZMB|5CDMG|7RCR|8VULN|9LHND|aMLV
128	36236 12341	   	237.65	DCR|2LIT|1VULN|1MLV|1CDMG	1LWND|26LIT|3ERES|4ZMB|5CDMG|7RCR|8VULN|9BEXP|aMLV
129	31136 12361	   	237.55	DCR|2LIT|1VULN|1MLV|1CDMG	1LWND|2ERES|36LIT|4ZMB|5CDMG|7RCR|8VULN|9MBVNT|aMLV
130	36236 12361	   	237.55	DCR|2LIT|1VULN|1MLV|1CDMG	1LWND|26LIT|3ERES|4ZMB|5CDMG|7RCR|8VULN|9MBVNT|aMLV
131	13124 32222	   	237.23	ACR|2LIT|2VULN|1MLV|1DMG	18FEWX|246RMIN|38LIT|5RCR|78VULN|8BPWR|9MLV|aDMG
132	33124 32222	   	237.23	ACR|2LIT|2VULN|1MLV|1DMG	18LWND|246RMIN|38LIT|5RCR|78VULN|8BPWR|9MLV|aDMG
133	12162 52221	   	237.13	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2DMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV|aTLV
134	12162 52223	   	237.13	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2DMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV|aDMSP
135	12162 52231	   	237.13	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2DMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9CGEN|aMLV
136	42162 52221	   	237.13	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18BEXP|2DMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV|aTLV
137	42162 52223	   	237.13	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18BEXP|2DMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV|aDMSP
138	42162 52231	   	237.13	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18BEXP|2DMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9CGEN|aMLV
139	12132 52221	   	237.03	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2DMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV|aTLV
140	12132 52231	   	237.03	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2DMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9CGEN|aMLV
141	12162 52225	   	237.03	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2DMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV|aERES
142	32132 52221	   	237.03	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18LWND|2DMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV|aTLV
143	32132 52223	   	237.03	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18LWND|2DMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV|aDMSP
144	32132 52231	   	237.03	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18LWND|2DMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9CGEN|aMLV
145	21162 52222	   	237.03	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	1NUKE|28BEXP|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV|aDMG
146	63124 32222	   	237.03	ACR|2LIT|2VULN|1MLV|1DMG	18DUST|246RMIN|38LIT|5RCR|78VULN|8BPWR|9MLV|aDMG
147	36441 12331	   	236.98	DCR|2LIT|1VULN|1MLV|1DMG|1SELL	1LWND|26LIT|3SELL|4MLV|5DMG|7RCR|8BEXP|9AART|aVULN
148	12132 52223	   	236.93	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2DMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV|aLEGI
149	12132 52225	   	236.93	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18FEWX|2DMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV|aERES
150	23132 52222	   	236.93	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	1NUKE|28LWND|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV|aDMG
151	32132 52225	   	236.93	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18LWND|2DMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV|aERES
152	62162 52221	   	236.93	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18DUST|2DMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV|aTLV
153	62162 52223	   	236.93	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18DUST|2DMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV|aDMSP
154	62162 52231	   	236.93	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	18DUST|2DMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9CGEN|aMLV
155	22162 52222	   	236.83	ACR|2LIT|2VULN|1MLV|1DMG|1DUR	1NUKE|28DUST|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV|aDMG
156	12511 23211	   	236.76	DCR|1LIT|2VULN|1MLV|1DMG	1FEWX|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aLHND
157	12511 23214	   	236.76	DCR|1LIT|2VULN|1MLV|1DMG	1FEWX|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aBEXP
158	32511 23211	   	236.76	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aLHND
159	32511 23214	   	236.76	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aBEXP
