0	Index      	 *	Score 	Summary	Detail	
1	55411 13232	 * 	282.80	DCR|3LIT|3VULN|1MLV|2DUR	19DUR|29aLIT|3MLV|458VULN|69LWND|7RCR|9BPWR
13	52414 33233	   	265.20	DCR|2LIT|3VULN|1MLV|1DUR	1DUR|2DUST|348VULN|5ERES|69LIT|7RCR|aMLV
14	21513 33354	 * 	264.87	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|26LIT|38VULN|4TLV|5MLV|7DMG|9ZMB|aRCR
15	21533 33354	   	264.87	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|26LIT|38VULN|4MLV|5TLV|7DMG|9ZMB|aRCR
16	12115 22624	 * 	264.40	DCR|3VULN|1LIT|1MLV|1DMG	1BEXP|2DUST|3LWND|489VULN|5DMG|6RCR|7MLV|aLIT
17	24333 34828	   	263.50	DCR|2LIT|3VULN|1MLV	1ERES|235VULN|4AART|6MBVNT|79LIT|8RCR|aMLV
18	11344 25323	 * 	261.41	DCR|2LIT|3VULN|2ASPD|1DUR	19BEXP|2aASPD|389VULN|4DUR|5LHND|6RCR|79LIT|9BPWR
19	51334 25323	   	261.31	DCR|2LIT|3VULN|2ASPD|2DUR	19DUR|2aASPD|389VULN|4BEXP|5LHND|6RCR|79LIT|9BPWR
20	21322 53232	   	260.56	DCR|3LIT|2VULN|1MLV	1ERES|29aLIT|3CGEN|4LWND|58VULN|6MLV|7RCR
21	21513 13232	   	260.56	DCR|3LIT|2VULN|1MLV	1ERES|29aLIT|38VULN|4TLV|5MLV|6LWND|7RCR
22	21513 43432	   	260.56	DCR|3LIT|2VULN|1MLV	1ERES|29aLIT|38VULN|4TLV|5MLV|6LHND|7RCR
23	21526 53232	   	260.56	DCR|3LIT|2VULN|1MLV	1ERES|29aLIT|38VULN|4LWND|5CGEN|6MLV|7RCR
24	21533 13232	   	260.56	DCR|3LIT|2VULN|1MLV	1ERES|29aLIT|38VULN|4MLV|5TLV|6LWND|7RCR
25	21533 43432	   	260.56	DCR|3LIT|2VULN|1MLV	1ERES|29aLIT|38VULN|4MLV|5TLV|6LHND|7RCR
26	21534 13232	   	260.56	DCR|3LIT|2VULN|1MLV	1ERES|29aLIT|38VULN|4MLV|5CGEN|6LWND|7RCR
27	21543 53232	   	260.56	DCR|3LIT|2VULN|1MLV	1ERES|29aLIT|38VULN|4CGEN|5LWND|6MLV|7RCR
28	21532 12641	   	259.90	DCR|2LIT|3VULN|1MLV	1ERES|26LIT|358VULN|4MLV|7RPLT|9DUST|aRCR
29	52413 62321	 * 	259.90	DCR|2LIT|3VULN|1MLV|3DUR	169DUR|2DUST|349VULN|5MLV|7TLV|89LIT|9BPWR|aRCR
30	52413 53321	   	259.80	DCR|2LIT|3VULN|1MLV|3DUR	179DUR|2DUST|349VULN|5MLV|6ERES|89LIT|9BPWR|aRCR
31	52414 23321	   	259.80	DCR|2LIT|3VULN|1MLV|3DUR	179DUR|2DUST|349VULN|5ERES|6MLV|89LIT|9BPWR|aRCR
32	55212 34233	 * 	258.93	DCR|2LIT|2VULN|3DMG|3DUR|1SELL	167DUR|28LIT|3SELL|47VULN|567DMG|67BPWR|9RPLT|aRCR
33	11342 22624	   	257.98	DCR|3VULN|1LIT|1MLV|1ASPD|1DUR	1BEXP|2ASPD|389VULN|4DUR|5LWND|6RCR|7MLV|aLIT
34	24333 44222	   	257.98	DCR|3VULN|1LIT|1MLV|1ASPD	1ERES|235VULN|4AART|6RCR|7LIT|8BELT|9ASPD|aMLV
35	51332 22624	   	257.98	DCR|3VULN|1LIT|1MLV|1ASPD|1DUR	1DUR|2ASPD|389VULN|4BEXP|5LWND|6RCR|7MLV|aLIT
36	12116 21524	   	257.98	DCR|3VULN|1LIT|1MLV|1ASPD	1BEXP|2DUST|3LWND|479VULN|5MLV|6RCR|8ASPD|aLIT
37	21211 53632	   	257.89	DCR|3VULN|1LIT|1FLTARM|1CDMG	1ERES|2LIT|3BEXP|458VULN|6CGEN|7RCR|9CDMG|aFLTARM
38	63311 22242	   	257.83	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	13LSRREG|23LIT|3BPWR|48VULN|5DMG|6DUR|7TLV|9MLV|aRCR
39	63311 63242	   	257.83	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	13LSRREG|23LIT|3BPWR|46VULN|5DMG|7RMIN|8DUR|9MLV|aRCR
40	21562 11331	 * 	257.17	DCR|2LIT|2VULN|2DMG|1CDMG	1ERES|26LIT|38VULN|4BEXP|56DMG|6BPWR|7FEWX|9CDMG|aRCR
41	21212 11331	   	257.17	DCR|2LIT|2VULN|2DMG|1CDMG	1ERES|26LIT|3BEXP|48VULN|56DMG|6BPWR|7FEWX|9CDMG|aRCR
42	21322 53233	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|29LIT|3CGEN|4LWND|58VULN|6MLV|7RCR|aASPD
43	21513 13233	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|29LIT|38VULN|4TLV|5MLV|6LWND|7RCR|aASPD
44	21513 43433	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|29LIT|38VULN|4TLV|5MLV|6LHND|7RCR|aASPD
45	21526 53233	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|29LIT|38VULN|4LWND|5CGEN|6MLV|7RCR|aASPD
46	21533 13233	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|29LIT|38VULN|4MLV|5TLV|6LWND|7RCR|aASPD
47	21533 43433	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|29LIT|38VULN|4MLV|5TLV|6LHND|7RCR|aASPD
48	21534 13233	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|29LIT|38VULN|4MLV|5CGEN|6LWND|7RCR|aASPD
49	21543 53233	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|29LIT|38VULN|4CGEN|5LWND|6MLV|7RCR|aASPD
50	11155 25322	 * 	256.57	DCR|3LIT|2VULN|2ASPD	19BEXP|29ASPD|3LHND|4LEGI|58VULN|6RCR|79aLIT|9BPWR
51	11354 25322	   	256.57	DCR|3LIT|2VULN|2ASPD	19BEXP|29ASPD|38VULN|4LEGI|5LHND|6RCR|79aLIT|9BPWR
52	55411 13213	   	256.18	DCR|3VULN|1LIT|1MLV|1ASPD|1DUR	1DUR|2LIT|3MLV|458VULN|69LWND|7RCR|aASPD
53	21532 11424	   	255.26	DCR|3LIT|2VULN|1MLV	19ERES|269LIT|35VULN|4MLV|789FEWX|9BPWR|aRCR
54	21513 36531	   	255.11	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|26LIT|3aVULN|4TLV|5MLV|7AART|8RCR|9ASPD
55	21533 36531	   	255.11	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|26LIT|3aVULN|4MLV|5TLV|7AART|8RCR|9ASPD
56	63313 15323	   	255.06	DCR|3LIT|2VULN|1MLV	13LSRREG|238LIT|3BPWR|47VULN|5DUST|6CGEN|9MLV|aRCR
57	21521 38822	   	255.01	DCR|2LIT|2VULN|1MLV|1CDMG	1ERES|29LIT|35VULN|4LWND|6MBVNT|7MLV|8RCR|aCDMG
58	11413 44331	   	254.85	DCR|1LIT|2VULN|1MLV|2ASPD|1CDMG	1BEXP|27ASPD|3MLV|4FEWX|56VULN|8LIT|9CDMG|aRCR
59	21532 26531	   	254.38	DCR|3VULN|1LIT|1MLV|1ASPD	1ERES|2LIT|35aVULN|4MLV|6RMIN|7AART|8RCR|9ASPD
60	24333 41242	 * 	254.38	DCR|2LIT|4VULN	1aERES|235aVULN|4AART|6RCR|7TLV|8FEWX|9aLIT|aBPWR
61	42162 12124	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1RCVC|2CDMG|3BELT|4DMG|5RPLT|6LIT|7RCR|8MLV|9aVULN
62	51351 35232	   	253.80	DCR|2LIT|3VULN|1ASPD|1DUR	1DUR|2ASPD|389VULN|4ERES|5ZMB|6aLIT|7RCR
63	21535 32143	   	252.94	DCR|3LIT|1VULN|1MLV|1CDMG|2ZMB	18ERES|268LIT|3VULN|4MLV|58ZMB|7RPLT|8BPWR|9CDMG|aRCR
64	21536 32143	   	252.94	DCR|3LIT|1VULN|1MLV|1CDMG|2ZMB	18ERES|258LIT|3VULN|4MLV|68ZMB|7RPLT|8BPWR|9CDMG|aRCR
