0	Index      	 *	Score 	Summary	Detail	
1	32265 63313	 * 	369.90	DCR|2VULN|1MDPS|2DUR|1TLV	1ZMB|26DUR|3FEWX|4TLV|56VULN|6BPWR|7BBNT|8RCR|9RAT|aMDPS
30	34266 32333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|2LWND|3FEWX|4TLV|5DUR|6ASPD|78VULN|9RCR|aMDPS
31	36214 11333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|28VULN|3FEWX|4AME|5LWND|6DUR|7TLV|9RCR|aMDPS
32	36252 11333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|28VULN|3FEWX|4DUST|5RMIN|6DUR|7TLV|9RCR|aMDPS
33	36252 22633	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|27VULN|3FEWX|4DUST|5RMIN|6TLV|8DUR|9RCR|aMDPS
34	36262 11333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|28VULN|3FEWX|4LEGI|5RMIN|6DUR|7TLV|9RCR|aMDPS
35	41335 11313	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2FEWX|3AME|4MLV|58VULN|6DUR|7TLV|9RCR|aMDPS
36	41342 11313	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2FEWX|3AME|48VULN|5RMIN|6DUR|7TLV|9RCR|aMDPS
37	41412 11613	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2FEWX|38VULN|4ERES|5RMIN|6DUR|7TLV|9RCR|aMDPS
38	41425 11313	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2FEWX|38VULN|4RMIN|5AME|6DUR|7TLV|9RCR|aMDPS
39	42534 11313	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2AEBURN|3FEWX|48VULN|5LHND|6DUR|7TLV|9RCR|aMDPS
40	42624 11313	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2AEBURN|38VULN|4FEWX|5LHND|6DUR|7TLV|9RCR|aMDPS
41	11166 11733	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	12FEWX|3AETHUN|4MBVNT|58VULN|6DUR|7TLV|9RCR|aMDPS
42	23155 11633	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2ZMB|3AETHUN|4LHND|58VULN|6DUR|7TLV|9RCR|aMDPS
43	24245 11333	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2LWND|3FEWX|48VULN|5AME|6DUR|7TLV|9RCR|aMDPS
44	26252 22633	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|27VULN|3FEWX|4DUST|5RMIN|6TLV|8DUR|9RCR|aMDPS
45	32265 35333	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|2DUR|3FEWX|4TLV|58VULN|6ASPD|7DUST|9RCR|aMDPS
46	42125 11613	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2AEBURN|3AETHUN|4FEWX|58VULN|6DUR|7TLV|9RCR|aMDPS
47	22261 15333	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2DUR|3FEWX|4TLV|5ZMB|68VULN|7DUST|9RCR|aMDPS
48	25122 52633	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2TLV|3AETHUN|4FEWX|5DUR|6RMIN|78VULN|9RCR|aMDPS
49	26214 11333	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|28VULN|3FEWX|4AME|5LWND|6DUR|7TLV|9RCR|aMDPS
50	26252 11333	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|28VULN|3FEWX|4DUST|5RMIN|6DUR|7TLV|9RCR|aMDPS
51	26262 11333	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|28VULN|3FEWX|4LEGI|5RMIN|6DUR|7TLV|9RCR|aMDPS
52	36255 11333	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|28VULN|3FEWX|4DUST|5AME|6DUR|7TLV|9RCR|aMDPS
53	36265 11333	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|28VULN|3FEWX|4LEGI|5AME|6DUR|7TLV|9RCR|aMDPS
54	66213 11613	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ERES|28VULN|3FEWX|4AME|5LWND|6DUR|7TLV|9RCR|aMDPS
55	25125 11633	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2TLV|3AETHUN|4FEWX|58VULN|6DUR|7AME|9RCR|aMDPS
56	26255 11333	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|28VULN|3FEWX|4DUST|5AME|6DUR|7TLV|9RCR|aMDPS
57	26265 11333	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|28VULN|3FEWX|4LEGI|5AME|6DUR|7TLV|9RCR|aMDPS
58	32241 12131	 * 	355.77	2MDPS|3VULN|1DUR	1ZMB|2DUR|3FEWX|467VULN|5RCVC|8BOSS|9aMDPS
59	22241 12131	   	355.67	2MDPS|3VULN|1DUR	1ASPD|2DUR|3FEWX|467VULN|5RCVC|8BOSS|9aMDPS
60	32215 64131	 * 	352.81	DCR|4VULN|2DUR|1TLV	1ZMB|26DUR|3FEWX|4AME|568aVULN|6BPWR|7TLV|9RCR
61	32265 63321	   	352.81	DCR|4VULN|2DUR|1TLV	1ZMB|26DUR|3FEWX|4TLV|569aVULN|6BPWR|7BBNT|8RCR
62	22215 64131	   	352.71	DCR|4VULN|2DUR|1TLV	1ASPD|26DUR|3FEWX|4AME|568aVULN|6BPWR|7TLV|9RCR
63	26212 64131	   	352.71	DCR|4VULN|2DUR|1TLV	1ASPD|268aVULN|3FEWX|4AME|56DUR|6BPWR|7TLV|9RCR
64	36413 13122	 * 	344.65	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1ZMB|27VULN|3MSLREG|4RCR|5DUR|6BBNT|8CDMG|9TLV|aMDPS
65	26414 13122	   	344.55	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1ASPD|27VULN|3MSLREG|4RCR|5DUR|6BBNT|8CDMG|9TLV|aMDPS
66	32215 62533	   	343.70	DCR|2VULN|1MDPS|2DUR	1ZMB|26DUR|3FEWX|4AME|56VULN|6BPWR|7LHND|8RMIN|9RCR|aMDPS
67	22215 62533	   	343.60	DCR|2VULN|1MDPS|2DUR	1ASPD|26DUR|3FEWX|4AME|56VULN|6BPWR|7LHND|8RMIN|9RCR|aMDPS
68	26212 62533	   	343.60	DCR|2VULN|1MDPS|2DUR	1ASPD|26VULN|3FEWX|4AME|56DUR|6BPWR|7LHND|8RMIN|9RCR|aMDPS
69	32215 63313	   	343.60	DCR|2VULN|1MDPS|2DUR	1ZMB|26DUR|3FEWX|4AME|56VULN|6BPWR|7BBNT|8RCR|9RAT|aMDPS
70	22265 61131	 * 	341.19	3VULN|1MDPS|1CDMG|2DUR|1TLV	1ASPD|26DUR|3FEWX|4TLV|569VULN|6BPWR|7LIT|8CDMG|aMDPS
71	22265 61211	   	341.19	3VULN|1MDPS|1CDMG|2DUR|1TLV	1ASPD|26DUR|3FEWX|4TLV|568VULN|6BPWR|7LIT|9CDMG|aMDPS
72	32263 12131	   	340.35	DCR|4VULN|1TLV|1DUR	1ZMB|2DUR|3FEWX|4TLV|5RMIN|678aVULN|9RCR
73	32265 52131	   	340.35	DCR|4VULN|1TLV|1DUR	1ZMB|2DUR|3FEWX|4TLV|578aVULN|6RMIN|9RCR
74	22265 42221	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2DUR|3FEWX|4TLV|589aVULN|6RCR|7ZMB
75	22265 52131	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2DUR|3FEWX|4TLV|578aVULN|6RMIN|9RCR
76	25516 12131	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|3FEWX|4ZMB|5DUR|678aVULN|9RCR
77	25531 12331	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|3FEWX|467aVULN|5ZMB|8DUR|9RCR
78	25532 42221	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|3FEWX|489aVULN|5DUR|6RCR|7ZMB
79	25532 52131	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|3FEWX|478aVULN|5DUR|6RMIN|9RCR
80	25611 12331	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|367aVULN|4ZMB|5LWND|8DUR|9RCR
81	25621 12331	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|367aVULN|4FEWX|5ZMB|8DUR|9RCR
82	25622 42221	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|389aVULN|4FEWX|5DUR|6RCR|7ZMB
83	25622 52131	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|378aVULN|4FEWX|5DUR|6RMIN|9RCR
84	25651 12331	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|367aVULN|4LHND|5ZMB|8DUR|9RCR
85	32265 32131	   	340.25	DCR|4VULN|1TLV|1DUR	1ZMB|2DUR|3FEWX|4TLV|578aVULN|6ASPD|9RCR
86	22261 12131	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2DUR|3FEWX|4TLV|5ZMB|678aVULN|9RCR
87	24661 12131	   	340.25	DCR|4VULN|1TLV|1DUR	1ASPD|2LWND|3DUR|4TLV|5ZMB|678aVULN|9RCR
88	25613 12331	   	340.15	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|367aVULN|4ZMB|5DUST|8DUR|9RCR
