0	Index      	 *	Score 	Summary	Detail	
1	62132 44654	 * 	300.02	DCR|DCR|3VULN|1TLV	1MBVNT|25aVULN|3BELT|4BBNT|69RCR|7TLV|8LWND
34	52222 61263	   	274.40	DCR|3VULN|1TLV|1MLV|1DMG|1ASPD	1BEXP|2AEWIND|3ASPD|469VULN|5MLV|7TLV|8DMG|aRCR
35	61531 52131	   	273.68	DCR|DCR|1VULN|1TLV|1AAC	1MBVNT|2TBNT|3AAC|4TLV|5LWND|69RCR|7DUR|8RMIN|aVULN
36	64531 52131	   	273.68	DCR|DCR|1VULN|1TLV|1AAC	1MBVNT|2BBNT|3AAC|4TLV|5LWND|69RCR|7DUR|8RMIN|aVULN
37	61544 52131	   	273.58	DCR|DCR|1VULN|1TLV|1AAC	1MBVNT|2TBNT|3AAC|4BEXP|5TLV|69RCR|7DUR|8RMIN|aVULN
38	64544 52131	   	273.58	DCR|DCR|1VULN|1TLV|1AAC	1MBVNT|2BBNT|3AAC|4BEXP|5TLV|69RCR|7DUR|8RMIN|aVULN
39	23341 52631	   	273.03	DCR|DCR|1VULN|1TLV|1ASPD	1ASPD|2BBNT|3MBVNT|4RMIN|5LWND|69RCR|7DUR|8TLV|aVULN
40	23337 51831	   	272.93	DCR|DCR|1VULN|1TLV|1ASPD	1ASPD|2BBNT|3MBVNT|4DUST|5RMIN|69RCR|7DUR|8TLV|aVULN
41	61132 52731	 * 	272.63	DCR|DCR|2VULN|1DMG	1MBVNT|2TBNT|3BEXP|4aVULN|5AEFBLL|69RCR|7DUR|8DMG
42	64132 52731	   	272.63	DCR|DCR|2VULN|1DMG	1MBVNT|2BBNT|3BEXP|4aVULN|5AEFBLL|69RCR|7DUR|8DMG
43	62211 53362	   	272.49	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1MBVNT|2VULN|3ZMB|4BBNT|5MLV|69RCR|7LHND|8CDMG|aASPD
44	11342 87532	   	271.81	DCR|2VULN|2MLV|1TLV|1AAC|1ASPD|1SELL	18DUST|2SELL|3MBVNT|4TLV|5AAC|68MLV|78VULN|8BPWR|9RCR|aASPD
45	66222 14513	   	271.73	DCR|3VULN|2MLV|1AAC|1ASPD	1MBVNT|27AEWIND|3ASPD|479VULN|57MLV|6AAC|7BPWR|8DUR|aRCR
46	23341 56843	   	271.67	DCR|DCR|1VULN|1TLV|1ASPD	1ASPD|2BBNT|3MBVNT|4RMIN|5LWND|68RCR|7RAT|9TLV|aVULN
47	13136 61224	   	271.47	DCR|DCR|1VULN|1TLV|1ASPD	1DUST|2RAT|3TLV|4AME|5MDPS|67RCR|8LSRREG|9ASPD|aVULN
48	13111 15552	   	271.37	DCR|DCR|1VULN|1TLV|1ASPD	1DUST|2RAT|3TLV|4ERES|5VULN|6AEFBLL|79RCR|8BEXP|aASPD
49	13116 61224	   	271.37	DCR|DCR|1VULN|1TLV|1ASPD	1DUST|2RAT|3TLV|4ERES|5MDPS|67RCR|8LSRREG|9ASPD|aVULN
50	21122 61363	   	271.23	DCR|3VULN|1TLV|1MLV|1AAC|1ASPD	1ASPD|23BEXP|469VULN|5MLV|7TLV|8AAC|aRCR
51	52222 61363	   	271.23	DCR|3VULN|1TLV|1MLV|1AAC|1ASPD	1BEXP|2AEWIND|3ASPD|469VULN|5MLV|7TLV|8AAC|aRCR
52	62211 52364	   	271.09	DCR|DCR|1VULN|1MLV|2DUR|1CDMG	1MBVNT|2VULN|3ZMB|4BBNT|5MLV|69RCR|7aDUR|8CDMG
53	62211 52134	 * 	270.96	DCR|DCR|1VULN|1MLV|1DMG	1MBVNT|2VULN|3ZMB|4BBNT|5MLV|69RCR|7DUR|8RMIN|aDMG
54	61121 52731	   	270.86	DCR|DCR|1VULN|1MLV|1DMG	1MBVNT|2TBNT|3BEXP|4AME|5MLV|69RCR|7DUR|8DMG|aVULN
55	64121 52731	   	270.86	DCR|DCR|1VULN|1MLV|1DMG	1MBVNT|2BBNT|3BEXP|4AME|5MLV|69RCR|7DUR|8DMG|aVULN
56	63111 52731	   	270.76	DCR|DCR|1VULN|1MLV|1DMG	1MBVNT|2ERES|3BEXP|4BBNT|5MLV|69RCR|7DUR|8DMG|aVULN
57	62211 53131	   	270.67	DCR|DCR|2VULN|1MLV	1MBVNT|2aVULN|3ZMB|4BBNT|5MLV|69RCR|7LHND|8RMIN
58	62211 54131	   	270.57	DCR|DCR|2VULN|1MLV	1MBVNT|2aVULN|3ZMB|4BBNT|5MLV|69RCR|7BEXP|8RMIN
59	62843 34183	   	270.57	DCR|DCR|2VULN|1MLV	1MBVNT|25VULN|3MDPS|4LWND|6FEWX|7aRCR|8MLV|9TBNT
60	62843 34273	   	270.57	DCR|DCR|2VULN|1MLV	1MBVNT|25VULN|3MDPS|4LWND|6FEWX|7aRCR|8BBNT|9MLV
61	61234 45312	   	270.43	DCR|DCR|1VULN|1TLV|1CDMG	1MBVNT|2TBNT|3LWND|4VULN|5CDMG|6DUR|79RCR|8LHND|aTLV
62	61234 45512	   	270.43	DCR|DCR|1VULN|1TLV|1CDMG	1MBVNT|2TBNT|3LWND|4VULN|5CDMG|6DUR|79RCR|8FEWX|aTLV
63	64234 45312	   	270.43	DCR|DCR|1VULN|1TLV|1CDMG	1MBVNT|2BBNT|3LWND|4VULN|5CDMG|6DUR|79RCR|8LHND|aTLV
64	64234 45512	   	270.43	DCR|DCR|1VULN|1TLV|1CDMG	1MBVNT|2BBNT|3LWND|4VULN|5CDMG|6DUR|79RCR|8FEWX|aTLV
65	61234 46112	   	270.43	DCR|DCR|1VULN|1TLV|1CDMG	1MBVNT|2TBNT|3LWND|4VULN|5CDMG|6DUR|7FEWX|89RCR|aTLV
66	64234 46112	   	270.43	DCR|DCR|1VULN|1TLV|1CDMG	1MBVNT|2BBNT|3LWND|4VULN|5CDMG|6DUR|7FEWX|89RCR|aTLV
67	62815 44144	   	270.37	DCR|DCR|2VULN|1MLV	1MBVNT|26VULN|3MDPS|4AEWIND|5DUST|7aRCR|8LWND|9MLV
68	62843 74114	   	270.37	DCR|DCR|2VULN|1MLV	1MBVNT|25VULN|3MDPS|4LWND|69BEXP|7aRCR|8MLV
69	61234 44111	   	270.33	DCR|DCR|1VULN|1TLV|1CDMG	1MBVNT|2TBNT|3LWND|4VULN|5CDMG|6DUR|7AETHUN|89RCR|aTLV
70	64234 44111	   	270.33	DCR|DCR|1VULN|1TLV|1CDMG	1MBVNT|2BBNT|3LWND|4VULN|5CDMG|6DUR|7AETHUN|89RCR|aTLV
71	62321 14744	   	270.27	DCR|DCR|2VULN|1MLV	1MBVNT|24VULN|3DUST|5AETHUN|6MDPS|7aRCR|8AEPOI|9MLV
72	62664 33233	   	270.23	DCR|DCR|1VULN|1TLV|1CDMG	1MBVNT|2VULN|3CDMG|4AEFRZ|5TLV|6RPLT|7aRCR|8AART|9BEXP
73	66124 33233	   	270.23	DCR|DCR|1VULN|1TLV|1CDMG	1MBVNT|2AEWIND|3CDMG|4VULN|5TLV|6RPLT|7aRCR|8AART|9BEXP
