0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23323 66411	9	 * 	291.14	橙4易伤3伤害1时间1暴击	189基地爆炸2689易伤3敌人爆炸4暴击589伤害7核89序列升级a时间
34	13122 35364	1	   	266.56	橙4易伤3时间2雷电	17雷电257时间367a易伤4赏金塔7序列升级8最后敌人9核
35	13122 35164	1	   	266.46	橙4易伤3时间2雷电	17雷电257时间367a易伤4赏金塔7序列升级8挖尘9核
36	16136 22153	9	   	265.81	橙4易伤1伤害1时间1暴击	1雷电2双倍矿3伤害4暴击5时间6核789a易伤
37	13332 51356	1	 * 	265.13	橙3易伤3时间2攻速2雷电	18雷电245时间3加一68攻速78a易伤8序列升级9核
38	14631 33162	9	   	263.50	橙2易伤2时间1伤害1等级2雷电1暴击1全技能	18雷电2等级38时间4暴击5伤害6平台78易伤8序列升级9核a全技能
39	13136 42131	1	   	263.03	橙4易伤2时间1等级	1雷电25时间359a易伤4立即金币5序列升级6等级7敌人爆炸8核
40	16236 42131	2	   	263.03	橙4易伤2时间1等级	1雷电2双倍矿359a易伤45时间5序列升级6等级7敌人爆炸8核
41	13136 31131	1	   	262.93	橙4易伤2时间1等级	1雷电25时间359a易伤4立即金币5序列升级6挖尘7等级8核
42	14112 32131	7	   	262.93	橙4易伤2时间1等级	1雷电2等级3低血量敌人45时间679a易伤8核
43	14112 32131	6	   	262.93	橙4易伤2时间1等级	1雷电2等级3低血量敌人45时间679a易伤8核
44	14112 52131	5	   	262.93	橙4易伤2时间1等级	1雷电2等级3低血量敌人45时间679a易伤8核
45	14212 32131	7	   	262.93	橙4易伤2时间1等级	1雷电2等级3敌人爆炸45时间679a易伤8核
46	14611 32131	7	   	262.93	橙4易伤2时间1等级	1雷电2等级34时间5低血量敌人679a易伤8核
47	14611 32131	6	   	262.93	橙4易伤2时间1等级	1雷电2等级34时间5低血量敌人679a易伤8核
48	14611 52131	5	   	262.93	橙4易伤2时间1等级	1雷电2等级34时间5低血量敌人679a易伤8核
49	16236 31131	2	   	262.93	橙4易伤2时间1等级	1雷电2双倍矿359a易伤45时间5序列升级6挖尘7等级8核
50	33443 41131	1	   	262.93	橙4易伤2时间1等级	1低血量敌人24时间359a易伤6雷电7等级8核
51	14412 32131	7	   	262.83	橙4易伤2时间1等级	1雷电2等级3挖尘45时间679a易伤8核
52	14412 33131	6	   	262.83	橙4易伤2时间1等级	1雷电2等级3挖尘45时间679a易伤8核
53	15253 23334	7	   	262.77	橙3易伤3时间3雷电1暴击	158雷电2a挖尘38a易伤45策反58a序列升级6暴击78a时间9核
54	64122 21126	6	 * 	262.47	橙4易伤2攻速1伤害1暴击	16攻速2456易伤3双倍矿6序列升级7伤害8暴击9挖尘a核
55	66122 21126	6	   	262.47	橙4易伤2攻速1伤害1暴击	16攻速2双倍矿3456易伤6序列升级7伤害8暴击9挖尘a核
56	33213 64323	5	   	262.02	橙3易伤2攻速1等级1时间1暴击1全技能	1低血量敌人246易伤36攻速5全技能6序列升级7暴击8核9时间a等级
