0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46161 32212	1	 * 	284.56	橙5易伤2等级1时间1全技能	1347a易伤23等级3序列升级5最后敌人6全技能8核9时间
18	41112 31226	3	 * 	267.94	橙3易伤3伤害2时间1全技能	137易伤2最后敌人4全技能57a伤害67时间7序列升级8核9低血量敌人
19	41412 31226	1	   	267.94	橙3易伤3伤害2时间1全技能	127易伤3最后敌人4全技能57a伤害67时间7序列升级8核9低血量敌人
20	16241 36213	6	   	267.90	橙5易伤1等级1伤害	1攻速2策反34678易伤5伤害9等级a核
21	46161 31212	1	   	266.21	橙4易伤2等级1时间1全技能	134a易伤23等级3序列升级57最后敌人6全技能8核9时间
22	41144 32212	3	   	266.21	橙4易伤2等级1时间1全技能	137a易伤25最后敌人45等级5序列升级6全技能8核9时间
23	41244 32212	4	   	266.21	橙4易伤2等级1时间1全技能	147a易伤25最后敌人35等级5序列升级6全技能8核9时间
24	46161 32211	1	   	266.11	橙4易伤2等级1时间1全技能	1347易伤23等级3序列升级5最后敌人6全技能8核9时间a挖尘
25	46161 32213	1	   	266.11	橙4易伤2等级1时间1全技能	1347易伤23等级3序列升级5最后敌人6全技能8核9时间a赏金邻近
26	46163 33212	1	   	266.11	橙4易伤2等级1时间1全技能	134a易伤23等级3序列升级5掉矿6全技能7矿等8核9时间
27	41112 31214	3	   	265.93	橙3易伤2伤害2时间1暴击1全技能	137易伤2最后敌人4全技能57伤害67时间7序列升级8核9敌人爆炸a暴击
28	41112 31224	3	   	265.93	橙3易伤2伤害2时间1暴击1全技能	137易伤2最后敌人4全技能57伤害67时间7序列升级8核9低血量敌人a暴击
29	41112 31234	3	   	265.93	橙3易伤2伤害2时间1暴击1全技能	137易伤2最后敌人4全技能57伤害67时间7序列升级8核9基地爆炸a暴击
30	41412 31214	1	   	265.93	橙3易伤2伤害2时间1暴击1全技能	127易伤3最后敌人4全技能57伤害67时间7序列升级8核9敌人爆炸a暴击
31	41412 31224	1	   	265.93	橙3易伤2伤害2时间1暴击1全技能	127易伤3最后敌人4全技能57伤害67时间7序列升级8核9低血量敌人a暴击
32	41412 31234	1	   	265.93	橙3易伤2伤害2时间1暴击1全技能	127易伤3最后敌人4全技能57伤害67时间7序列升级8核9基地爆炸a暴击
33	41112 31242	3	   	265.83	橙3易伤2伤害2时间1暴击1全技能	137易伤2最后敌人4全技能57伤害67时间7序列升级8核9赏金邻近a暴击
34	41112 31264	3	   	265.83	橙3易伤2伤害2时间1暴击1全技能	137易伤2最后敌人4全技能57伤害67时间7序列升级8核9挖尘a暴击
35	41412 31242	1	   	265.83	橙3易伤2伤害2时间1暴击1全技能	127易伤3最后敌人4全技能57伤害67时间7序列升级8核9赏金邻近a暴击
36	41326 25212	1	   	265.64	橙5易伤1等级1时间1全技能	1246a易伤346低血量敌人46序列升级5全技能7等级8核9时间
37	41126 33212	3	   	265.54	橙5易伤1等级1时间1全技能	1346a易伤24最后敌人4序列升级5全技能7等级8核9时间
38	41146 23212	4	   	265.54	橙5易伤1等级1时间1全技能	1346a易伤26最后敌人5全技能6序列升级7等级8核9时间
39	41326 35212	1	   	265.54	橙5易伤1等级1时间1全技能	1246a易伤34低血量敌人4序列升级5全技能7等级8核9时间
40	41426 33212	1	   	265.54	橙5易伤1等级1时间1全技能	1246a易伤34最后敌人4序列升级5全技能7等级8核9时间
41	41146 33212	4	   	265.44	橙5易伤1等级1时间1全技能	1346a易伤2最后敌人5全技能7等级8核9时间
42	41112 31241	3	 * 	265.41	橙3易伤3时间2伤害1全技能	137易伤2最后敌人4全技能57伤害67a时间7序列升级8核9赏金邻近
43	41412 31241	1	   	265.41	橙3易伤3时间2伤害1全技能	127易伤3最后敌人4全技能57伤害67a时间7序列升级8核9赏金邻近
44	42323 21342	7	   	264.84	橙3易伤2等级2时间2雷电	137易伤24掉矿57雷电67等级7序列升级89时间a核
45	42332 83631	9	 * 	264.13	橙5易伤2时间2暴击	13689易伤2掉矿48暴击5加一78时间8序列升级a核
46	42331 36413	9	   	262.16	橙4易伤2等级1暴击	1389易伤29掉矿4暴击5矿等69等级7核9序列升级a攻速
47	41122 33133	9	 * 	261.41	紫4易伤3伤害2等级	139a易伤2最后敌人4平台5核69等级789伤害9序列升级
48	41122 33136	10	   	261.41	紫4易伤3伤害2等级	139a易伤2最后敌人4平台5核69等级789伤害9序列升级
49	41112 31253	3	   	260.59	橙3易伤2伤害2时间1全技能	137易伤2最后敌人4全技能57伤害67时间7序列升级8核9策反a攻速
50	41112 31254	3	   	260.59	橙3易伤2伤害2时间1全技能	137易伤2最后敌人4全技能57伤害67时间7序列升级8核9策反a雷电
51	41412 31253	1	   	260.59	橙3易伤2伤害2时间1全技能	127易伤3最后敌人4全技能57伤害67时间7序列升级8核9策反a攻速
52	41112 31652	3	   	260.49	橙3易伤2伤害2时间1全技能	137易伤2最后敌人4全技能57伤害67时间7序列升级8攻速9赏金塔a核
53	41312 31652	1	   	260.49	橙3易伤2伤害2时间1全技能	127易伤3低血量敌人4全技能57伤害67时间7序列升级8攻速9赏金塔a核
54	46122 42232	1	   	260.37	橙4易伤2等级1伤害	1369易伤23等级3序列升级4矿等5低血量敌人7伤害8核a平台
55	46122 42233	1	   	260.37	橙4易伤2等级1伤害	1369易伤23等级3序列升级4矿等5a低血量敌人7伤害8核
56	46123 42232	1	   	260.37	橙4易伤2等级1伤害	1369易伤23等级3序列升级4矿等5最后敌人7伤害8核a平台
57	46123 42233	1	   	260.37	橙4易伤2等级1伤害	1369易伤23等级3序列升级4矿等5最后敌人7伤害8核a低血量敌人
58	22144 42222	3	   	260.27	橙4易伤2等级1伤害	1挖尘2359易伤45等级5序列升级6金币生成7伤害8核a平台
59	22144 42223	3	   	260.27	橙4易伤2等级1伤害	1挖尘2359易伤45等级5序列升级6金币生成7伤害8核a低血量敌人
60	22144 53222	3	   	260.27	橙4易伤2等级1伤害	1挖尘2359易伤45等级5序列升级6伤害7核8金币生成a平台
61	22144 53223	3	   	260.27	橙4易伤2等级1伤害	1挖尘2359易伤45等级5序列升级6伤害7核8金币生成a低血量敌人
62	22244 42222	4	   	260.27	橙4易伤2等级1伤害	1挖尘2459易伤35等级5序列升级6金币生成7伤害8核a平台
63	22244 42223	4	   	260.27	橙4易伤2等级1伤害	1挖尘2459易伤35等级5序列升级6金币生成7伤害8核a低血量敌人
64	22244 53222	4	   	260.27	橙4易伤2等级1伤害	1挖尘2459易伤35等级5序列升级6伤害7核8金币生成a平台
65	22244 53223	4	   	260.27	橙4易伤2等级1伤害	1挖尘2459易伤35等级5序列升级6伤害7核8金币生成a低血量敌人
66	46113 42222	1	   	260.27	橙4易伤2等级1伤害	1369易伤23等级3序列升级4低血量敌人5掉矿7伤害8核a平台
67	46113 42223	1	   	260.27	橙4易伤2等级1伤害	1369易伤23等级3序列升级4a低血量敌人5掉矿7伤害8核
68	46122 42231	1	   	260.27	橙4易伤2等级1伤害	1369易伤23等级3序列升级4矿等5低血量敌人7伤害8核a赏金塔
69	46123 42231	1	   	260.27	橙4易伤2等级1伤害	1369易伤23等级3序列升级4矿等5最后敌人7伤害8核a赏金塔
70	46133 42222	1	   	260.27	橙4易伤2等级1伤害	1369易伤23等级3序列升级4敌人爆炸5掉矿7伤害8核a平台
71	46133 42223	1	   	260.27	橙4易伤2等级1伤害	1369易伤23等级3序列升级4敌人爆炸5掉矿7伤害8核a低血量敌人
72	46163 12222	1	   	260.27	橙4易伤2等级1伤害	1349易伤23等级3序列升级5掉矿6最后敌人7伤害8核a平台
73	46163 12223	1	   	260.27	橙4易伤2等级1伤害	1349易伤23等级3序列升级5掉矿6最后敌人7伤害8核a低血量敌人
74	22144 42221	3	   	260.17	橙4易伤2等级1伤害	1挖尘2359易伤45等级5序列升级6金币生成7伤害8核a赏金塔
75	22144 42232	3	   	260.17	橙4易伤2等级1伤害	1挖尘235a易伤45等级5序列升级6金币生成7伤害8核9掉矿
76	22144 53221	3	   	260.17	橙4易伤2等级1伤害	1挖尘2359易伤45等级5序列升级6伤害7核8金币生成a赏金塔
77	22144 53232	3	   	260.17	橙4易伤2等级1伤害	1挖尘235a易伤45等级5序列升级6伤害7核8金币生成9掉矿
78	22144 53322	3	   	260.17	橙4易伤2等级1伤害	1挖尘2359易伤45等级5序列升级6伤害7核8掉矿a平台
79	22144 53323	3	   	260.17	橙4易伤2等级1伤害	1挖尘2359易伤45等级5序列升级6伤害7核8掉矿a低血量敌人
80	22244 42221	4	   	260.17	橙4易伤2等级1伤害	1挖尘2459易伤35等级5序列升级6金币生成7伤害8核a赏金塔
81	22244 42232	4	   	260.17	橙4易伤2等级1伤害	1挖尘245a易伤35等级5序列升级6金币生成7伤害8核9掉矿
82	22244 53221	4	   	260.17	橙4易伤2等级1伤害	1挖尘2459易伤35等级5序列升级6伤害7核8金币生成a赏金塔
83	22244 53232	4	   	260.17	橙4易伤2等级1伤害	1挖尘245a易伤35等级5序列升级6伤害7核8金币生成9掉矿
84	22244 53322	4	   	260.17	橙4易伤2等级1伤害	1挖尘2459易伤35等级5序列升级6伤害7核8掉矿a平台
85	22244 53323	4	   	260.17	橙4易伤2等级1伤害	1挖尘2459易伤35等级5序列升级6伤害7核8掉矿a低血量敌人
86	46113 42221	1	   	260.17	橙4易伤2等级1伤害	1369易伤23等级3序列升级4低血量敌人5掉矿7伤害8核a赏金塔
87	46133 42221	1	   	260.17	橙4易伤2等级1伤害	1369易伤23等级3序列升级4敌人爆炸5掉矿7伤害8核a赏金塔
88	46163 12221	1	   	260.17	橙4易伤2等级1伤害	1349易伤23等级3序列升级5掉矿6最后敌人7伤害8核a赏金塔
89	22144 53321	3	   	260.07	橙4易伤2等级1伤害	1挖尘2359易伤45等级5序列升级6伤害7核8掉矿a赏金塔
90	22244 53321	4	   	260.07	橙4易伤2等级1伤害	1挖尘2459易伤35等级5序列升级6伤害7核8掉矿a赏金塔
91	22112 65141	8	   	259.13	橙3易伤2伤害2时间	1挖尘23a易伤4雷电5攻速6a时间7基地爆炸8核9a伤害a序列升级
92	42332 83611	8	 * 	259.01	橙4易伤3时间2暴击	1368易伤2掉矿48暴击5加一789时间8序列升级a核
93	41126 12214	3	   	258.78	橙4易伤1等级1伤害2全技能	1347易伤24最后敌人4序列升级59全技能6伤害8核a等级
94	41123 22452	2	   	258.59	橙3易伤2等级2时间	149易伤245最后敌人3立即金币49序列升级6雷电79时间89等级a核
95	41113 12452	6	   	258.49	橙3易伤2等级2时间	139易伤256最后敌人4雷电79时间89等级9序列升级a核
96	41133 22452	4	   	258.49	橙3易伤2等级2时间	139易伤245最后敌人6雷电79时间89等级9序列升级a核
97	21215 12652	6	   	258.19	橙3易伤2等级2时间	126挖尘29序列升级379易伤4雷电59等级89时间a核
98	21315 12662	6	   	258.19	橙3易伤2等级2时间	126挖尘28序列升级38时间4雷电58等级789易伤a核
99	52126 23214	3	   	257.74	橙4易伤2等级2全技能	16基地爆炸2346易伤59全技能6序列升级7a等级8核
100	52126 33214	3	   	257.64	橙4易伤2等级2全技能	1基地爆炸2346易伤59全技能7a等级8核
101	22126 23214	3	   	257.54	橙4易伤2等级2全技能	16挖尘2346易伤59全技能6序列升级7a等级8核
102	22126 33214	3	   	257.54	橙4易伤2等级2全技能	1挖尘2346易伤59全技能7a等级8核
103	22146 23214	4	   	257.54	橙4易伤2等级2全技能	16挖尘2346易伤59全技能6序列升级7a等级8核
104	22146 33214	4	   	257.54	橙4易伤2等级2全技能	1挖尘2346易伤59全技能7a等级8核
105	46131 23422	1	   	257.46	橙3易伤2等级1时间1暴击	139易伤23等级3序列升级4敌人爆炸5基地爆炸6暴击7雷电8时间a核
106	46131 23512	1	   	257.46	橙3易伤2等级1时间1暴击	138易伤23等级3序列升级4敌人爆炸5基地爆炸6暴击7雷电9时间a核
107	52235 31512	10	   	257.40	橙4易伤1等级1伤害1时间	1基地爆炸2689易伤3等级4掉矿5时间7伤害a核
108	22241 51533	9	   	257.40	橙4易伤1等级1伤害1时间	1挖尘248a易伤3等级5随机矿6时间7伤害9核
109	46162 13112	1	   	257.36	橙3易伤2等级1时间1暴击	134易伤23等级3序列升级5雷电6暴击7挖尘8低血量敌人9时间a核
110	46162 13312	1	   	257.36	橙3易伤2等级1时间1暴击	134易伤23等级3序列升级5雷电6暴击7挖尘8敌人爆炸9时间a核
111	52126 23213	3	   	257.06	橙5易伤1等级2全技能	16基地爆炸2346a易伤59全技能6序列升级7等级8核
112	52146 23213	4	   	257.06	橙5易伤1等级2全技能	16基地爆炸2346a易伤59全技能6序列升级7等级8核
113	52126 33213	3	   	256.96	橙5易伤1等级2全技能	1基地爆炸2346a易伤59全技能7等级8核
114	52146 33213	4	   	256.96	橙5易伤1等级2全技能	1基地爆炸2346a易伤59全技能7等级8核
115	22126 23213	3	   	256.86	橙5易伤1等级2全技能	16挖尘2346a易伤59全技能6序列升级7等级8核
116	22126 33213	3	   	256.86	橙5易伤1等级2全技能	1挖尘2346a易伤59全技能7等级8核
117	22146 23213	4	   	256.86	橙5易伤1等级2全技能	16挖尘2346a易伤59全技能6序列升级7等级8核
118	22146 33213	4	   	256.86	橙5易伤1等级2全技能	1挖尘2346a易伤59全技能7等级8核
119	46126 23213	3	   	256.86	橙5易伤1等级2全技能	1346a易伤26挖尘59全技能6序列升级7等级8核
120	46126 33213	3	   	256.86	橙5易伤1等级2全技能	1346a易伤2挖尘59全技能7等级8核
121	22144 52231	3	 * 	256.80	橙3易伤2等级2伤害	1挖尘235易伤45等级5序列升级67伤害8基地爆炸9核a敌人爆炸
122	22144 52233	3	   	256.80	橙3易伤2等级2伤害	1挖尘235易伤45等级5序列升级67伤害8基地爆炸9核a金币生成
123	22144 52331	3	   	256.80	橙3易伤2等级2伤害	1挖尘235易伤45等级5序列升级67伤害8低血量敌人9核a敌人爆炸
124	22144 52333	3	   	256.80	橙3易伤2等级2伤害	1挖尘235易伤45等级5序列升级67伤害8低血量敌人9核a金币生成
125	22244 52231	4	   	256.80	橙3易伤2等级2伤害	1挖尘245易伤35等级5序列升级67伤害8基地爆炸9核a敌人爆炸
126	22244 52233	4	   	256.80	橙3易伤2等级2伤害	1挖尘245易伤35等级5序列升级67伤害8基地爆炸9核a金币生成
127	22244 52331	4	   	256.80	橙3易伤2等级2伤害	1挖尘245易伤35等级5序列升级67伤害8低血量敌人9核a敌人爆炸
128	22244 52333	4	   	256.80	橙3易伤2等级2伤害	1挖尘245易伤35等级5序列升级67伤害8低血量敌人9核a金币生成
129	22144 52232	3	   	256.70	橙3易伤2等级2伤害	1挖尘235易伤45等级5序列升级67伤害8基地爆炸9核a掉矿
130	22144 52332	3	   	256.70	橙3易伤2等级2伤害	1挖尘235易伤45等级5序列升级67伤害8低血量敌人9核a掉矿
131	22244 52232	4	   	256.70	橙3易伤2等级2伤害	1挖尘245易伤35等级5序列升级67伤害8基地爆炸9核a掉矿
132	22244 52332	4	   	256.70	橙3易伤2等级2伤害	1挖尘245易伤35等级5序列升级67伤害8低血量敌人9核a掉矿
133	41122 33136	9	   	256.61	紫3易伤3伤害2等级1时间	139易伤2最后敌人4平台5核69等级789伤害9序列升级a时间
134	41621 43131	1	   	256.17	橙3易伤2伤害2时间1暴击	128易伤3赏金塔48伤害5暴击69时间78低血量敌人8序列升级a核
135	12212 31553	3	 * 	255.72	橙2易伤3时间1等级1伤害2攻速1核弹	17攻速2双倍物品3伤害4核弹57易伤678时间7序列升级9等级a核
136	12222 31553	4	   	255.72	橙2易伤3时间1等级1伤害2攻速1核弹	17攻速2双倍物品3伤害4核弹57易伤678时间7序列升级9等级a核
137	22153 35533	9	   	255.68	橙5易伤1等级1时间	1挖尘2368a易伤4低血量敌人5时间7等级9核
138	22153 35253	7	   	255.68	橙5易伤1等级1时间	1挖尘2369a易伤4低血量敌人5时间7等级8核
139	46163 22331	1	   	255.37	橙3易伤2等级1伤害1时间	134易伤23等级3序列升级5掉矿6伤害7赏金塔8平台9时间a核
140	52232 51512	10	   	255.37	橙3易伤2等级1伤害1时间	1基地爆炸289易伤35等级4掉矿6时间7伤害a核
141	51223 12151	4	   	255.36	橙4易伤2等级2雷电	126基地爆炸269序列升级39雷电49等级5679易伤8核a金币生成
142	51223 12153	4	   	255.36	橙4易伤2等级2雷电	126基地爆炸269序列升级39雷电49等级5679易伤8核a敌人爆炸
143	51223 12152	4	   	255.26	橙4易伤2等级2雷电	126基地爆炸269序列升级39雷电49等级5679易伤8核a双倍物品
144	51223 12155	4	   	255.26	橙4易伤2等级2雷电	126基地爆炸269序列升级39雷电49等级5679易伤8核a赏金塔
145	51223 12156	4	   	255.26	橙4易伤2等级2雷电	126基地爆炸269序列升级39雷电49等级5679易伤8核a赏金邻近
146	52241 32236	6	   	254.90	橙4易伤1等级1伤害1暴击	1基地爆炸2469易伤3等级5随机矿7伤害8核a暴击
147	62241 32236	6	   	254.90	橙4易伤1等级1伤害1暴击	1敌人爆炸2469易伤3等级5随机矿7伤害8核a暴击
148	22241 32236	6	   	254.80	橙4易伤1等级1伤害1暴击	1挖尘2469易伤3等级5随机矿7伤害8核a暴击
149	22241 42236	5	   	254.80	橙4易伤1等级1伤害1暴击	1挖尘2469易伤3等级5随机矿7伤害8核a暴击
150	22244 32226	6	   	254.80	橙4易伤1等级1伤害1暴击	1挖尘2469易伤3等级5金币生成7伤害8核a暴击
151	42331 36432	10	   	254.80	橙4易伤1等级1伤害1暴击	1389易伤2掉矿4暴击5矿等6等级7核a伤害
152	62141 33226	7	   	254.80	橙4易伤1等级1伤害1暴击	1敌人爆炸2349易伤5伤害6掉矿7等级8核a暴击
153	22141 33226	7	   	254.70	橙4易伤1等级1伤害1暴击	1挖尘2349易伤5伤害6掉矿7等级8核a暴击
154	22143 42226	3	   	254.70	橙4易伤1等级1伤害1暴击	1挖尘2369易伤4等级5掉矿7伤害8核a暴击
155	22243 42226	4	   	254.70	橙4易伤1等级1伤害1暴击	1挖尘2469易伤3等级5掉矿7伤害8核a暴击
156	41116 21422	4	   	254.56	橙4易伤2暴击1时间2雷电	1367易伤2最后敌人47雷电57暴击7序列升级8核9攻速a时间
