0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11612 15521	1	 * 	298.65	橙5易伤3时间1等级2雷电	13468易伤278时间58雷电8序列升级9等级a核
18	31234 26222	9	   	281.46	橙3易伤2等级2伤害1时间	18等级2基地爆炸38伤害4时间5攻速6挖青78a易伤8序列升级9核
19	11226 12432	7	   	281.36	橙3易伤2等级2伤害1时间	156易伤2掉矿39伤害45等级5序列升级7时间8雷电a核
20	11226 63432	7	   	281.36	橙3易伤2等级2伤害1时间	157易伤2掉矿39伤害45等级5序列升级6时间8雷电a核
21	34213 66321	9	   	280.81	橙4易伤1等级1伤害1时间1暴击	1等级2伤害3467易伤5全技能8核9时间a暴击
22	25214 33214	7	 * 	280.72	橙3易伤3伤害2等级1卖塔	178伤害2矿等347易伤5卖塔67等级7序列升级9攻速a核
23	13214 33214	7	 * 	280.72	橙3易伤3伤害2等级1卖塔	147易伤2金币生成378伤害5卖塔67等级7序列升级9攻速a核
24	34223 66321	9	   	278.78	橙3易伤2等级1伤害1时间1暴击	14等级2伤害367易伤5全技能8核9时间a暴击
25	34243 32422	3	   	278.31	橙3易伤2等级2时间1伤害1卖塔	1a等级2伤害37a易伤4雷电5基地爆炸6核8卖塔9a时间a序列升级
26	14213 31511	5	   	278.23	橙4易伤2等级1伤害	149a易伤2攻速3伤害5全技能6核78等级
27	13214 33351	9	   	277.81	橙4易伤2等级2伤害1卖塔	1479易伤2金币生成37伤害5卖塔67等级7序列升级8随机矿a核
28	13214 33551	9	   	277.81	橙4易伤2等级2伤害1卖塔	1479易伤2金币生成37伤害5卖塔67等级7序列升级8矿等a核
29	13214 33451	9	   	277.71	橙4易伤2等级2伤害1卖塔	1479易伤2金币生成37伤害5卖塔67等级7序列升级8掉矿a核
30	34213 65321	9	   	277.35	橙3易伤2伤害1等级1时间1暴击	1等级27伤害346易伤5全技能8核9时间a暴击
31	14213 31211	5	   	276.81	橙4易伤2伤害1等级	149a易伤2攻速38伤害5全技能6核7等级
32	12361 53323	1	 * 	276.17	橙4易伤2等级3暴击	1568易伤2全技能3立即金币458暴击58序列升级78等级9矿等a核
33	14213 63224	8	   	275.47	橙4易伤1等级1伤害1时间	1468易伤2攻速3伤害5全技能7时间9等级a核
34	34213 66322	10	   	274.93	橙4易伤1等级1伤害2全技能1时间	1等级2伤害3467易伤5a全技能8核9时间
35	36213 63222	8	   	274.42	橙4易伤2等级1时间	19等级2攻速3468易伤5全技能7时间a核
36	22113 61536	1	   	273.52	橙3易伤2等级2伤害	18伤害248易伤3掉矿5攻速6核78等级8序列升级9金币生成a雷电
37	14213 31515	5	   	273.43	橙3易伤2等级1伤害1时间	149易伤2攻速3伤害5全技能6核78等级a时间
38	13226 15412	9	   	273.15	橙3易伤2等级2伤害1时间	156易伤2金币生成37伤害45等级5序列升级8平台9时间a核
39	11226 15412	9	   	273.05	橙3易伤2等级2伤害1时间	156易伤2掉矿37伤害45等级5序列升级8平台9时间a核
40	22222 12213	10	   	273.05	橙3易伤2等级2伤害1时间	19伤害2随机矿36a易伤45等级7时间8核
41	22222 63213	10	   	273.05	橙3易伤2等级2伤害1时间	19伤害2随机矿37a易伤45等级6时间8核
42	22224 33213	10	   	273.05	橙3易伤2等级2伤害1时间	19伤害2随机矿37a易伤46等级5时间8核
43	34223 66322	10	   	272.90	橙3易伤2等级1伤害2全技能1时间	14等级2伤害367易伤5a全技能8核9时间
44	34214 31241	8	   	272.81	橙3易伤2等级2伤害1时间1卖塔	16等级29伤害347易伤5卖塔8时间a核
45	13214 33264	7	 * 	272.41	橙3易伤3伤害2等级1卖塔	147易伤2金币生成378伤害5卖塔67等级7序列升级9矿等a核
46	13214 33344	8	 * 	272.41	橙3易伤3伤害2等级1卖塔	147易伤2金币生成379伤害5卖塔67等级7序列升级8随机矿a核
47	34213 15335	5	   	272.34	橙4易伤1等级1伤害2全技能1暴击	1等级2伤害3468易伤59全技能7暴击a核
48	13214 33144	7	 * 	272.31	橙3易伤3伤害2等级1卖塔	147易伤2金币生成379伤害5卖塔67等级7序列升级8掉矿a核
49	14213 31215	5	   	272.01	橙3易伤2伤害1等级1时间	149易伤2攻速38伤害5全技能6核7等级a时间
50	34223 65321	9	   	271.67	橙2易伤2等级2伤害1时间1暴击	14等级27伤害36易伤5全技能8核9时间a暴击
51	34213 65322	10	   	271.47	橙3易伤2伤害1等级2全技能1时间	1等级27伤害346易伤5a全技能8核9时间
52	31234 26225	10	 * 	271.35	橙2易伤2等级2伤害2时间	18等级2基地爆炸38伤害4a时间5攻速6挖青78易伤8序列升级9核
53	11616 11521	1	 * 	271.24	橙4易伤2等级2时间	1348易伤28时间5金币生成6基地爆炸78等级8序列升级9最后敌人a核
54	31246 31412	3	   	271.21	橙2易伤2等级2伤害2时间1卖塔	1a等级2基地爆炸3a伤害4雷电57时间6核8卖塔9a易伤a序列升级
55	32443 32422	1	   	271.21	橙2易伤2等级2伤害2时间1卖塔	1a等级27易伤3a伤害4雷电5基地爆炸6核8卖塔9a时间a序列升级
56	11224 51531	1	   	271.14	橙4易伤2等级2时间	1568易伤28时间3矿等4最后敌人78等级8序列升级9挖尘a核
57	11234 51521	1	   	271.14	橙4易伤2等级2时间	1568易伤28时间3矿等4挖尘78等级8序列升级9最后敌人a核
58	11622 51531	1	   	271.14	橙4易伤2等级2时间	1368易伤28时间4金币生成5最后敌人78等级8序列升级9挖尘a核
59	33246 31412	3	   	271.11	橙2易伤2等级2伤害2时间1卖塔	1a等级2挖尘3a伤害4雷电57时间6核8卖塔9a易伤a序列升级
60	11226 12422	7	   	270.32	橙3易伤2等级1伤害1时间2雷电	156易伤2掉矿3伤害45等级5序列升级7时间89雷电a核
61	11226 63422	7	   	270.32	橙3易伤2等级1伤害1时间2雷电	157易伤2掉矿3伤害45等级5序列升级6时间89雷电a核
62	34223 15335	5	   	270.30	橙3易伤2等级1伤害2全技能1暴击	14等级2伤害368易伤59全技能7暴击a核
63	12263 53335	5	   	270.03	橙4易伤2等级2暴击	1368易伤2立即金币4全技能58暴击78等级8序列升级9随机矿a核
64	12263 63335	6	   	270.03	橙4易伤2等级2暴击	1368易伤2立即金币4全技能58暴击78等级8序列升级9随机矿a核
65	31211 26112	3	   	270.03	橙4易伤2等级1伤害	15等级28基地爆炸3伤害4567易伤5序列升级9全技能a核
66	31211 26112	4	   	270.03	橙4易伤2等级1伤害	15等级28基地爆炸3伤害4567易伤5序列升级9全技能a核
67	31411 26112	2	   	270.03	橙4易伤2等级1伤害	15等级28基地爆炸3伤害4567易伤5序列升级9全技能a核
68	34111 63314	2	   	270.03	橙4易伤2等级1伤害	15等级2伤害3最后敌人4579易伤5序列升级6全技能8策反a核
69	34111 63314	3	   	270.03	橙4易伤2等级1伤害	15等级2伤害3最后敌人4579易伤5序列升级6全技能8策反a核
70	34111 63314	4	   	270.03	橙4易伤2等级1伤害	15等级2伤害3最后敌人4579易伤5序列升级6全技能8策反a核
71	36411 26112	1	   	270.03	橙4易伤2等级1伤害	15等级28基地爆炸3伤害4567易伤5序列升级9全技能a核
72	36213 63222	9	   	269.99	橙4易伤2时间1等级	1等级2攻速3468易伤5全技能79时间a核
73	11613 46212	1	   	269.99	橙4易伤2时间1等级	1347易伤28时间5攻速6等级9全技能a核
74	11226 14312	6	   	269.93	橙4易伤2等级1伤害	1569易伤2掉矿3伤害45等级5序列升级7全技能8核a基地爆炸
75	11226 14314	6	   	269.93	橙4易伤2等级1伤害	1569易伤2掉矿3伤害45等级5序列升级7全技能8核a策反
76	32223 16311	5	   	269.93	橙4易伤2等级1伤害	14等级2随机矿369a易伤5全技能7伤害8核
77	32223 65311	7	   	269.93	橙4易伤2等级1伤害	14等级2随机矿369a易伤5全技能7伤害8核
78	32223 66311	6	   	269.93	橙4易伤2等级1伤害	14等级2随机矿369a易伤5全技能7伤害8核
79	34223 63311	7	   	269.93	橙4易伤2等级1伤害	14等级2伤害369a易伤5全技能7矿等8核
80	34223 66331	9	   	269.93	橙4易伤2等级1伤害	14等级2伤害367a易伤5全技能8核9随机矿
81	12263 53323	5	   	269.93	橙4易伤2等级2暴击	1368易伤2立即金币4全技能58暴击78等级8序列升级9赏金塔a核
82	12263 63323	6	   	269.93	橙4易伤2等级2暴击	1368易伤2立即金币4全技能58暴击78等级8序列升级9赏金塔a核
83	22222 14311	6	   	269.93	橙4易伤2等级1伤害	1伤害2随机矿369a易伤45等级7全技能8核
84	25222 14311	6	   	269.93	橙4易伤2等级1伤害	1伤害2矿等369a易伤45等级7全技能8核
85	34213 26222	8	   	269.93	橙4易伤2等级1伤害	19等级2伤害3478易伤5全技能6敌人爆炸a核
86	34213 36222	8	   	269.93	橙4易伤2等级1伤害	19等级2伤害3478易伤5全技能6最后敌人a核
87	34213 66232	9	   	269.93	橙4易伤2等级1伤害	18等级2伤害3467易伤5全技能9最后敌人a核
88	34213 66232	8	   	269.93	橙4易伤2等级1伤害	18等级2伤害3467易伤5全技能9基地爆炸a核
89	34213 66321	8	   	269.93	橙4易伤2等级1伤害	19等级2伤害3467易伤5全技能8核a矿等
90	34213 66322	8	   	269.93	橙4易伤2等级1伤害	19等级2伤害3467易伤5全技能8核a随机矿
91	34213 66322	7	   	269.93	橙4易伤2等级1伤害	19等级2伤害3467易伤5全技能8敌人爆炸a核
92	34213 66323	8	   	269.93	橙4易伤2等级1伤害	19等级2伤害3467易伤5全技能8核a策反
93	34223 26233	9	   	269.93	橙4易伤2等级1伤害	14等级2伤害378a易伤5全技能6敌人爆炸9核
94	11222 14311	6	   	269.83	橙4易伤2等级1伤害	169a易伤2掉矿3伤害45等级7全技能8核
95	11226 14316	6	   	269.83	橙4易伤2等级1伤害	1569易伤2掉矿3伤害45等级5序列升级7全技能8核a挖尘
96	11226 14361	6	   	269.83	橙4易伤2等级1伤害	156a易伤29掉矿3伤害45等级5序列升级7全技能8核
97	11226 54311	5	   	269.83	橙4易伤2等级1伤害	159a易伤26掉矿3伤害45等级5序列升级7全技能8核
98	24213 31511	5	   	269.83	橙4易伤2等级1伤害1核弹	1伤害2核弹349a易伤5全技能6核78等级
99	32213 16311	5	   	269.26	橙5易伤1等级1伤害	1等级2随机矿3469a易伤5全技能7伤害8核
100	32213 65311	7	   	269.26	橙5易伤1等级1伤害	1等级2随机矿3469a易伤5全技能7伤害8核
101	32213 66311	6	   	269.26	橙5易伤1等级1伤害	1等级2随机矿3469a易伤5全技能7伤害8核
102	34213 63311	7	   	269.26	橙5易伤1等级1伤害	1等级2伤害3469a易伤5全技能7矿等8核
103	34213 26233	9	   	269.26	橙5易伤1等级1伤害	1等级2伤害3478a易伤5全技能6敌人爆炸9核
104	34213 66331	9	   	269.26	橙5易伤1等级1伤害	1等级2伤害3467a易伤5全技能8核9随机矿
105	11213 65311	6	   	269.16	橙5易伤1等级1伤害	1479a易伤2掉矿3伤害5全技能6等级8核
106	14213 63224	7	   	269.00	橙3易伤2时间1等级1伤害	146易伤2攻速3伤害5全技能78时间9等级a核
107	62151 14212	6	   	268.86	橙3易伤3时间1等级2攻速	1平台23a时间49a易伤5等级6雷电7核8a攻速a序列升级
108	13411 13266	1	 * 	268.72	橙3易伤2伤害2时间1等级	14a易伤2随机矿3a伤害5等级6敌人爆炸7赏金塔8核9a时间a序列升级
109	22211 13266	4	   	268.72	橙3易伤2伤害2时间1等级	1a伤害2随机矿34a易伤5等级6敌人爆炸7赏金塔8核9a时间a序列升级
110	22211 13266	3	   	268.72	橙3易伤2伤害2时间1等级	1a伤害2随机矿34a易伤5等级6敌人爆炸7赏金塔8核9a时间a序列升级
111	22211 21262	6	   	268.72	橙3易伤2伤害2时间1等级	16伤害2随机矿346易伤5平台6序列升级78时间9等级a核
112	22223 53266	4	   	268.72	橙3易伤2伤害2时间1等级	1a伤害2随机矿36a易伤4等级5敌人爆炸7赏金塔8核9a时间a序列升级
