0	Index      	 *	Score 	Summary	Detail	
1	36351 31421	 * 	276.55	ACR|DCR|2VULN|3MLV|1RPLT|1SELL	1SELL|29aMLV|39CGEN|4BBNT|58RCR|6RPLT|79VULN|9BPWR
19	12561 24123	   	251.63	DCR|DCR|1VULN|1MLV|1ASPD	1LHND|2MLV|3TBNT|4RCVC|5MSLTOX|6VULN|79RCR|8CGEN|aASPD
20	12661 24123	   	251.63	DCR|DCR|1VULN|1MLV|1ASPD	1LHND|2MLV|3BBNT|4RCVC|5MSLTOX|6VULN|79RCR|8CGEN|aASPD
21	22561 24123	   	251.63	DCR|DCR|1VULN|1MLV|1ASPD	1LWND|2MLV|3TBNT|4RCVC|5MSLTOX|6VULN|79RCR|8CGEN|aASPD
22	22661 24123	   	251.63	DCR|DCR|1VULN|1MLV|1ASPD	1LWND|2MLV|3BBNT|4RCVC|5MSLTOX|6VULN|79RCR|8CGEN|aASPD
23	12262 36413	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1LHND|2MLV|3AAC|4LSRHEA|5TLV|6CDMG|7aRCR|8DUST|9VULN
24	31212 16333	 * 	250.46	ACR|DCR|2VULN|1MLV|1ASPD|1SELL	1SELL|2FRZFST|3AME|47VULN|5aRCR|6LHND|8ASPD|9MLV
25	11161 24124	   	248.53	DCR|DCR|2VULN	1LHND|2BBNT|3TLV|4RCVC|5MSLTOX|6aVULN|79RCR|8CGEN
26	11441 13124	   	248.53	DCR|DCR|2VULN	147LHND|2BBNT|3FEWX|5TSLFST|69RCR|8aVULN
27	11631 13124	   	248.53	DCR|DCR|2VULN	17LHND|2BBNT|3RCVC|4BEXP|5TSLFST|69RCR|8aVULN
28	14631 13124	   	248.53	DCR|DCR|2VULN	17LHND|2TBNT|3RCVC|4BEXP|5TSLFST|69RCR|8aVULN
29	21161 24124	   	248.53	DCR|DCR|2VULN	1LWND|2BBNT|3TLV|4RCVC|5MSLTOX|6aVULN|79RCR|8CGEN
30	11621 24124	   	248.43	DCR|DCR|2VULN	1LHND|2BBNT|3RCVC|4ERES|5MSLTOX|6aVULN|79RCR|8CGEN
31	16363 13124	   	248.43	DCR|DCR|2VULN	17LHND|2MGNSTR|3TBNT|4AME|5CGEN|69RCR|8aVULN
32	21621 24124	   	248.43	DCR|DCR|2VULN	1LWND|2BBNT|3RCVC|4ERES|5MSLTOX|6aVULN|79RCR|8CGEN
33	31212 34513	 * 	247.65	ACR|DCR|2VULN|1DMG|1SELL	1SELL|2FRZFST|3AME|49VULN|5aRCR|6TLV|7DMG|8DUR
34	31412 34513	 * 	247.65	ACR|DCR|2VULN|1DMG|1SELL	1SELL|2FRZFST|3ERES|49VULN|5aRCR|6TLV|7DMG|8DUR
35	31143 53113	 * 	247.65	ACR|DCR|2VULN|1DMG|1SELL	1SELL|2FRZFST|3DMSP|4aRCR|57VULN|6DMG|8DUST|9DUR
36	33343 53113	 * 	247.55	ACR|DCR|2VULN|1DMG|1SELL	1SELL|2AELOIC|3CANARM|4aRCR|57VULN|6DMG|8DUST|9DUR
37	32351 31421	 * 	246.67	ACR|DCR|2VULN|1MLV|1RPLT|1SELL	1SELL|29AME|39CGEN|4BBNT|58RCR|6RPLT|79VULN|9BPWR|aMLV
38	36351 31431	 * 	246.57	ACR|DCR|2VULN|1MLV|1RPLT|1SELL	1SELL|2MLV|3CGEN|4BBNT|58RCR|6RPLT|7aVULN|9ERES
