0	Index      	 *	Score 	Summary	Detail	
1	32534 21126	 * 	274.63	ACR|DCR|3VULN|1DMG|1MLV	1CGEN|2MLV|35aVULN|46RCR|7FEWX|8DUST|9DMG
31	32534 21311	   	256.34	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7FEWX|8AELOIC|aDUR
32	32534 23211	   	256.34	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7AELOIC|8LHND|aDUR
33	32534 23411	   	256.34	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7AELOIC|8FEWX|aDUR
34	32534 24311	   	256.34	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7LHND|8AELOIC|aDUR
35	32534 26311	   	256.34	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7BEXP|8AELOIC|aDUR
36	32534 23111	   	256.24	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7AELOIC|8DUST|aDUR
37	32534 23332	   	255.74	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1CGEN|2MLV|35VULN|46RCR|7AELOIC|8RPLT|9ASPD|aBEXP
38	32534 23331	   	255.64	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1CGEN|2MLV|35VULN|46RCR|7AELOIC|8RPLT|9ASPD|aAME
39	32534 23335	   	255.64	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT|1ZMB	1CGEN|2MLV|35VULN|46RCR|7AELOIC|8RPLT|9ASPD|aZMB
40	32534 22423	   	255.49	ACR|DCR|2VULN|1MLV|1CDMG|1AART|1SELL	1CGEN|2MLV|35VULN|46RCR|7VENICY|8SELL|9CDMG|aAART
41	36324 11623	   	255.00	ACR|DCR|3VULN|1RPLT	1CGEN|2NUKE|39RCR|457VULN|6DUR|8LWND|aRPLT
42	42322 64113	 * 	254.67	DCR|DCR|2DMG|1CDMG|1AART	1CDMG|2ERES|34DMG|5AELOIC|6AART|7aRCR|8LHND|9DUR
43	42322 64313	   	254.67	DCR|DCR|2DMG|1CDMG|1AART	1CDMG|2ERES|34DMG|5AELOIC|6AART|7aRCR|8FEWX|9DUR
44	32534 21216	   	254.56	ACR|DCR|3VULN|1MLV	1CGEN|2MLV|35aVULN|46RCR|7FEWX|8RMIN|9DUST
45	32534 22125	   	254.56	ACR|DCR|3VULN|1MLV	19CGEN|2MLV|35aVULN|46RCR|7VENICY|8FEWX
46	32534 22133	   	254.56	ACR|DCR|3VULN|1MLV	1CGEN|2MLV|35aVULN|46RCR|7VENICY|8FEWX|9TLV
47	32534 23532	   	254.56	ACR|DCR|3VULN|1MLV	1CGEN|2MLV|359VULN|46RCR|7AELOIC|8LIT|aLHND
48	32534 22153	   	254.46	ACR|DCR|3VULN|1MLV	1CGEN|2MLV|35aVULN|46RCR|7VENICY|8FEWX|9ERES
49	32534 23531	   	254.46	ACR|DCR|3VULN|1MLV	1CGEN|2MLV|359VULN|46RCR|7AELOIC|8LIT|aTSLFST
50	32534 23533	   	254.46	ACR|DCR|3VULN|1MLV	1CGEN|2MLV|359VULN|46RCR|7AELOIC|8LIT|aMDPS
51	32335 46184	 * 	253.92	DCR|4VULN|3MLV|1RPLT	1aCGEN|26aMLV|3AAC|467aVULN|5MBVNT|6aBPWR|8RCR|9RPLT
52	32534 21421	   	252.59	ACR|DCR|2VULN|1DMG|1MLV	1CGEN|2MLV|35VULN|46RCR|7FEWX|8BEXP|9DMG|aLIT
53	32534 21422	   	252.59	ACR|DCR|2VULN|1DMG|1MLV	1aCGEN|2MLV|35VULN|46RCR|7FEWX|8BEXP|9DMG
54	32532 21426	   	252.59	ACR|DCR|2VULN|1DMG|1MLV	15CGEN|2MLV|3aVULN|46RCR|7FEWX|8BEXP|9DMG
55	32534 21121	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	1CGEN|2MLV|35VULN|46RCR|7FEWX|8DUST|9DMG|aLIT
56	32534 21122	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	1aCGEN|2MLV|35VULN|46RCR|7FEWX|8DUST|9DMG
57	32534 21125	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	1CGEN|2MLV|35VULN|46RCR|7FEWX|8DUST|9DMG|aLWND
58	32534 21423	   	252.49	ACR|DCR|2VULN|1DMG|1MLV|1ZMB	1CGEN|2MLV|35VULN|46RCR|7FEWX|8BEXP|9DMG|aZMB
59	32534 24121	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	1CGEN|2MLV|35VULN|46RCR|7LHND|8DUST|9DMG|aLIT
60	32534 24122	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	1aCGEN|2MLV|35VULN|46RCR|7LHND|8DUST|9DMG
61	32534 25121	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	18CGEN|2MLV|35VULN|46RCR|7MDPS|9DMG|aLIT
62	32534 25122	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	18aCGEN|2MLV|35VULN|46RCR|7MDPS|9DMG
63	32534 26121	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	1CGEN|2MLV|35VULN|46RCR|7BEXP|8DUST|9DMG|aLIT
64	32534 26122	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	1aCGEN|2MLV|35VULN|46RCR|7BEXP|8DUST|9DMG
65	32132 21326	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	15CGEN|2MLV|3DUST|46RCR|7FEWX|8aVULN|9DMG
66	32132 23426	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	15CGEN|2MLV|3DUST|46RCR|7aVULN|8BEXP|9DMG
67	32132 24326	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	15CGEN|2MLV|3DUST|46RCR|7LHND|8aVULN|9DMG
68	32532 21126	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	15CGEN|2MLV|3aVULN|46RCR|7FEWX|8DUST|9DMG
69	32532 24126	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	15CGEN|2MLV|3aVULN|46RCR|7LHND|8DUST|9DMG
70	32532 25126	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	158CGEN|2MLV|3aVULN|46RCR|7MDPS|9DMG
71	32532 26126	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	15CGEN|2MLV|3aVULN|46RCR|7BEXP|8DUST|9DMG
72	32534 21123	   	252.39	ACR|DCR|2VULN|1DMG|1MLV|1ZMB	1CGEN|2MLV|35VULN|46RCR|7FEWX|8DUST|9DMG|aZMB
73	32534 21124	   	252.39	ACR|DCR|2VULN|1DMG|1MLV	1CGEN|2MLV|35VULN|46RCR|7FEWX|8DUST|9DMG|aAME
74	32534 22211	   	252.39	ACR|DCR|2VULN|1DMG|1MLV	1CGEN|2MLV|35VULN|46RCR|7VENICY|8MDPS|9DMG|aBEXP
75	32534 22212	   	252.39	ACR|DCR|2VULN|1DMG|1MLV	1CGEN|2MLV|35VULN|46RCR|7VENICY|8MDPS|9DMG|aDMSP
76	32534 22324	   	252.39	ACR|DCR|2VULN|1DMG|1MLV	1CGEN|2MLV|35VULN|46RCR|7VENICY|8TBNT|9DUST|aDMG
77	32534 24123	   	252.39	ACR|DCR|2VULN|1DMG|1MLV|1ZMB	1CGEN|2MLV|35VULN|46RCR|7LHND|8DUST|9DMG|aZMB
78	32534 25123	   	252.39	ACR|DCR|2VULN|1DMG|1MLV|1ZMB	18CGEN|2MLV|35VULN|46RCR|7MDPS|9DMG|aZMB
79	32534 26123	   	252.39	ACR|DCR|2VULN|1DMG|1MLV|1ZMB	1CGEN|2MLV|35VULN|46RCR|7BEXP|8DUST|9DMG|aZMB
80	32534 22213	   	252.29	ACR|DCR|2VULN|1DMG|1MLV|1SELL	1CGEN|2MLV|35VULN|46RCR|7VENICY|8MDPS|9DMG|aSELL
81	32534 22214	   	252.29	ACR|DCR|2VULN|1DMG|1MLV|1MSE	1CGEN|2MLV|35VULN|46RCR|7VENICY|8MDPS|9DMG|aMSE
82	32534 22411	   	252.24	ACR|DCR|2VULN|1DMG|1MLV|1SELL	1CGEN|2MLV|35VULN|46RCR|7VENICY|8SELL|9DMG|aLIT
83	32534 22412	   	252.24	ACR|DCR|2VULN|1DMG|1MLV|1SELL	1CGEN|2MLV|35VULN|46RCR|7VENICY|8SELL|9DMG|aFEWX
84	32534 22413	   	252.24	ACR|DCR|2VULN|1DMG|1MLV|1SELL	1CGEN|2MLV|35VULN|46RCR|7VENICY|8SELL|9DMG|aBELT
85	32532 22416	   	252.24	ACR|DCR|2VULN|1DMG|1MLV|1SELL	15CGEN|2MLV|3aVULN|46RCR|7VENICY|8SELL|9DMG
86	42431 33421	 * 	251.31	DCR|DCR|1VULN|1DMG|1CDMG	1CDMG|2ERES|3VULN|4BBNT|5DMG|68RCR|7DMSP|9aTLV
87	42431 33422	   	251.31	DCR|DCR|1VULN|1DMG|1CDMG	1CDMG|2ERES|3VULN|4BBNT|5DMG|68RCR|7DMSP|9TLV|aLHND
88	42431 33412	   	251.21	DCR|DCR|1VULN|1DMG|1CDMG	1CDMG|2ERES|3VULN|4BBNT|5DMG|68RCR|7DMSP|9MDPS|aBEXP
89	42431 33423	   	251.21	DCR|DCR|1VULN|1DMG|1CDMG	1CDMG|2ERES|3VULN|4BBNT|5DMG|68RCR|7DMSP|9TLV|aSNITOX
90	42431 33411	   	251.11	DCR|DCR|1VULN|1DMG|1CDMG	1CDMG|2ERES|3VULN|4BBNT|5DMG|68RCR|7DMSP|9MDPS|aSNIFST
91	42431 33413	   	251.11	DCR|DCR|1VULN|1DMG|1CDMG|1MSE	1CDMG|2ERES|3VULN|4BBNT|5DMG|68RCR|7DMSP|9MDPS|aMSE
92	42431 33431	   	251.11	DCR|DCR|1VULN|1DMG|1CDMG|1MSE	1CDMG|2ERES|3VULN|4BBNT|5DMG|68RCR|7DMSP|9MSE|aAAC
93	42431 33432	   	251.11	DCR|DCR|1VULN|1DMG|1CDMG|1MSE	1CDMG|2ERES|3VULN|4BBNT|5DMG|68RCR|7DMSP|9MSE|aLWND
94	42431 33433	 * 	251.11	DCR|DCR|2VULN|1DMG|1CDMG|1MSE	1CDMG|2ERES|3aVULN|4BBNT|5DMG|68RCR|7DMSP|9MSE
95	32534 21623	   	250.39	ACR|DCR|2VULN|1MLV|1RPLT	1CGEN|2MLV|35VULN|46RCR|7FEWX|8ERES|9DUR|aRPLT
96	32534 23312	   	250.39	ACR|DCR|2VULN|1MLV|1RPLT	1CGEN|2MLV|35VULN|46RCR|7AELOIC|8RPLT|9DUR|aLWND
97	32534 23314	   	250.39	ACR|DCR|2VULN|1MLV|1RPLT	1CGEN|2MLV|35VULN|46RCR|7AELOIC|8RPLT|9DUR|aBEXP
98	32534 23316	   	250.39	ACR|DCR|2VULN|1MLV|1RPLT	1CGEN|2MLV|35VULN|46RCR|7AELOIC|8RPLT|9DUR|aBBNT
99	32532 23313	   	250.39	ACR|DCR|2VULN|1MLV|1RPLT	15CGEN|2MLV|3aVULN|46RCR|7AELOIC|8RPLT|9DUR
100	32534 23311	   	250.29	ACR|DCR|2VULN|1MLV|1RPLT|1MSE	1CGEN|2MLV|35VULN|46RCR|7AELOIC|8RPLT|9DUR|aMSE
101	32534 23315	   	250.29	ACR|DCR|2VULN|1MLV|1RPLT	1CGEN|2MLV|35VULN|46RCR|7AELOIC|8RPLT|9DUR|aERES
102	16136 62212	 * 	250.24	DCR|4VULN|2ASPD|1MLV|1AART	1MDPS|27ASPD|3MLV|4679VULN|57BEXP|7BPWR|8RCR|aAART
103	16136 62211	   	248.89	DCR|4VULN|2ASPD|1MLV	1MDPS|27ASPD|3MLV|4679VULN|57BEXP|7BPWR|8RCR|aDUR
104	32531 21324	   	248.24	ACR|DCR|1VULN|1DMG|1MLV|1ASPD	1CGEN|2MLV|3VULN|49RCR|5BEXP|6DUR|7MDPS|8ASPD|aDMG
105	32534 22126	   	248.23	ACR|DCR|2VULN|2MLV	19aCGEN|2aMLV|35VULN|46RCR|7VENICY|8aFEWX|aBPWR
106	42312 36632	   	248.14	ACR|DCR|1VULN|1DMG|1MLV|1CDMG	1CDMG|2ERES|3DMG|4DUR|58RCR|6TSLFST|7RMIN|9MLV|aVULN
107	32134 21324	   	248.14	ACR|DCR|1VULN|1DMG|1MLV|1ASPD	1CGEN|2MLV|3DUST|49RCR|5VULN|6DUR|7MDPS|8ASPD|aDMG
108	32536 21324	   	248.14	ACR|DCR|1VULN|1DMG|1MLV|1ASPD	1CGEN|2MLV|3VULN|49RCR|5LEGI|6DUR|7MDPS|8ASPD|aDMG
109	32534 21241	   	248.13	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7FEWX|8RMIN|aLIT
110	32534 21242	   	248.13	ACR|DCR|2VULN|2MLV	1aCGEN|29MLV|35VULN|46RCR|7FEWX|8RMIN
111	32534 21116	   	248.03	ACR|DCR|2VULN|2MLV	1CGEN|2aMLV|35VULN|46RCR|7FEWX|8DUST|9LWND
112	32534 21243	   	248.03	ACR|DCR|2VULN|2MLV|1ZMB	1CGEN|29MLV|35VULN|46RCR|7FEWX|8RMIN|aZMB
113	32534 21312	   	248.03	ACR|DCR|2VULN|2MLV	1aCGEN|29MLV|35VULN|46RCR|7FEWX|8AELOIC
114	32534 21314	   	248.03	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7aFEWX|8AELOIC
115	32534 22111	   	248.03	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7VENICY|8FEWX|aBEXP
116	32534 22112	   	248.03	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7VENICY|8aFEWX
117	32534 22114	   	248.03	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7VENICY|8FEWX|aLIT
118	32534 23212	   	248.03	ACR|DCR|2VULN|2MLV	1aCGEN|29MLV|35VULN|46RCR|7AELOIC|8LHND
119	32534 23214	   	248.03	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7AELOIC|8LHND|aFEWX
120	32534 23412	   	248.03	ACR|DCR|2VULN|2MLV	1aCGEN|29MLV|35VULN|46RCR|7AELOIC|8FEWX
121	32534 23632	   	248.03	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7AELOIC|8TBNT|aLHND
122	32534 23633	   	248.03	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7AELOIC|8TBNT|aTLV
123	32534 24312	   	248.03	ACR|DCR|2VULN|2MLV	1aCGEN|29MLV|35VULN|46RCR|7LHND|8AELOIC
124	32534 26312	   	248.03	ACR|DCR|2VULN|2MLV	1aCGEN|29MLV|35VULN|46RCR|7BEXP|8AELOIC
125	32532 22115	   	248.03	ACR|DCR|2VULN|2MLV	15CGEN|29MLV|3aVULN|46RCR|7VENICY|8FEWX
126	32532 53115	 * 	248.03	ACR|DCR|2MLV|1VULN|2ASPD	15CGEN|27MLV|3VULN|4aRCR|6LIT|89ASPD
127	32534 21315	   	247.93	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7FEWX|8AELOIC|aMSLFST
128	32534 21316	   	247.93	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7FEWX|8AELOIC|aERES
129	32534 22113	   	247.93	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7VENICY|8FEWX|aAME
130	32534 23112	   	247.93	ACR|DCR|2VULN|2MLV	1aCGEN|29MLV|35VULN|46RCR|7AELOIC|8DUST
131	32534 23114	   	247.93	ACR|DCR|2VULN|2MLV	1CGEN|29MLV|35VULN|46RCR|7AELOIC|8DUST|aFEWX
132	36325 34323	   	247.93	ACR|DCR|2VULN|2MLV	1CGEN|2NUKE|39RCR|48VULN|5BBNT|6ERES|7aMLV
133	42322 64221	   	246.26	DCR|DCR|2DMG|1CDMG|1AART	1CDMG|28ERES|34DMG|5AELOIC|6AART|79RCR|aAAC
134	42322 64223	   	246.26	DCR|DCR|2DMG|1CDMG|1AART	1CDMG|28ERES|34DMG|5AELOIC|6AART|79RCR|aFEWX
135	42322 64222	   	246.16	DCR|DCR|2DMG|1CDMG|1AART	1CDMG|28ERES|34DMG|5AELOIC|6AART|79RCR|aAME
136	32534 21161	   	246.07	ACR|DCR|2VULN|1MLV|1ASPD	1CGEN|2MLV|35VULN|46RCR|7FEWX|8DUST|9ASPD|aLIT
137	32534 21162	   	246.07	ACR|DCR|2VULN|1MLV|1ASPD	1aCGEN|2MLV|35VULN|46RCR|7FEWX|8DUST|9ASPD
138	32534 22132	   	246.07	ACR|DCR|2VULN|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7VENICY|8FEWX|9TLV|aCDMG
139	32534 22331	   	246.07	ACR|DCR|2VULN|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7VENICY|8TBNT|9CDMG|aLWND
140	32534 22332	   	246.07	ACR|DCR|2VULN|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7VENICY|8TBNT|9CDMG|aLHND
141	32534 22334	   	246.07	ACR|DCR|2VULN|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7VENICY|8TBNT|9CDMG|aBEXP
142	32534 22336	   	246.07	ACR|DCR|2VULN|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7VENICY|8TBNT|9CDMG|aDMSP
143	32534 23232	   	246.07	ACR|DCR|2VULN|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7AELOIC|8LHND|9LWND|aCDMG
144	32534 23263	   	246.07	ACR|DCR|2VULN|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7AELOIC|8LHND|9DMSP|aCDMG
145	32534 24232	   	246.07	ACR|DCR|2VULN|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7LHND|8RMIN|9ERES|aCDMG
146	32534 24332	   	246.07	ACR|DCR|2VULN|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7LHND|8AELOIC|9LWND|aCDMG
147	32132 21366	   	246.07	ACR|DCR|2VULN|1MLV|1ASPD	15CGEN|2MLV|3DUST|46RCR|7FEWX|8aVULN|9ASPD
148	32132 23466	   	246.07	ACR|DCR|2VULN|1MLV|1ASPD	15CGEN|2MLV|3DUST|46RCR|7aVULN|8BEXP|9ASPD
149	32132 24366	   	246.07	ACR|DCR|2VULN|1MLV|1ASPD	15CGEN|2MLV|3DUST|46RCR|7LHND|8aVULN|9ASPD
150	32532 21166	   	246.07	ACR|DCR|2VULN|1MLV|1ASPD	15CGEN|2MLV|3aVULN|46RCR|7FEWX|8DUST|9ASPD
151	32534 21163	   	245.97	ACR|DCR|2VULN|1MLV|1ASPD|1ZMB	1CGEN|2MLV|35VULN|46RCR|7FEWX|8DUST|9ASPD|aZMB
152	32534 22152	   	245.97	ACR|DCR|2VULN|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7VENICY|8FEWX|9ERES|aCDMG
153	32534 22235	   	245.97	ACR|DCR|2VULN|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7VENICY|8MDPS|9TLV|aCDMG
154	32534 22333	   	245.97	ACR|DCR|2VULN|1MLV|1CDMG|1MSE	1CGEN|2MLV|35VULN|46RCR|7VENICY|8TBNT|9CDMG|aMSE
155	32534 23243	   	245.97	ACR|DCR|2VULN|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7AELOIC|8LHND|9DUST|aCDMG
156	32534 22421	   	245.73	ACR|DCR|2VULN|1MLV|1CDMG|1SELL	1CGEN|2MLV|35VULN|46RCR|7VENICY|8SELL|9CDMG|aDUST
157	32534 22422	   	245.73	ACR|DCR|2VULN|1MLV|1CDMG|1SELL|1MSE	1CGEN|2MLV|35VULN|46RCR|7VENICY|8SELL|9CDMG|aMSE
158	36324 11621	   	245.34	ACR|DCR|3VULN	1CGEN|2NUKE|39RCR|457VULN|6DUR|8LWND|aLHND
159	36324 11622	   	245.24	ACR|DCR|3VULN	1CGEN|2NUKE|39RCR|457VULN|6DUR|8LWND|aMDPS
160	32532 23333	   	245.14	ACR|DCR|2MLV|1VULN|1ASPD|1RPLT	15CGEN|2aMLV|3VULN|46RCR|7AELOIC|8RPLT|9ASPD
161	32335 46147	 * 	244.95	DCR|3VULN|3MLV|1DMG	1CGEN|269MLV|3AAC|467VULN|5MBVNT|6BPWR|8RCR|aDMG
162	22633 51342	   	244.89	DCR|DCR|1VULN|1ASPD|1CDMG	1FEWX|2ASPD|3RCVC|4VULN|5MDPS|68RCR|7FLTHEA|9CDMG|aRMIN
163	42433 33421	   	244.89	DCR|DCR|1VULN|1CDMG|1ASPD	1CDMG|2ERES|3VULN|4BBNT|5ASPD|68RCR|7DMSP|9aTLV
164	42433 33422	   	244.89	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2ERES|3VULN|4BBNT|5ASPD|68RCR|7DMSP|9TLV|aLHND
165	22633 51341	   	244.79	DCR|DCR|1VULN|1ASPD|1CDMG	1FEWX|2ASPD|3RCVC|4VULN|5MDPS|68RCR|7FLTHEA|9CDMG|aDUST
166	22633 51343	   	244.79	DCR|DCR|1VULN|1ASPD|1CDMG|1ZMB	1FEWX|2ASPD|3RCVC|4VULN|5MDPS|68RCR|7FLTHEA|9CDMG|aZMB
167	42433 33412	   	244.79	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2ERES|3VULN|4BBNT|5ASPD|68RCR|7DMSP|9MDPS|aBEXP
168	42433 33423	   	244.79	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2ERES|3VULN|4BBNT|5ASPD|68RCR|7DMSP|9TLV|aSNITOX
169	42433 33411	   	244.69	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2ERES|3VULN|4BBNT|5ASPD|68RCR|7DMSP|9MDPS|aSNIFST
170	42433 33413	   	244.69	DCR|DCR|1VULN|1ASPD|1CDMG|1MSE	1CDMG|2ERES|3VULN|4BBNT|5ASPD|68RCR|7DMSP|9MDPS|aMSE
171	42433 33431	   	244.69	DCR|DCR|1VULN|1ASPD|1CDMG|1MSE	1CDMG|2ERES|3VULN|4BBNT|5ASPD|68RCR|7DMSP|9MSE|aAAC
172	42433 33432	   	244.69	DCR|DCR|1VULN|1ASPD|1CDMG|1MSE	1CDMG|2ERES|3VULN|4BBNT|5ASPD|68RCR|7DMSP|9MSE|aLWND
173	42433 33433	   	244.69	DCR|DCR|2VULN|1ASPD|1CDMG|1MSE	1CDMG|2ERES|3aVULN|4BBNT|5ASPD|68RCR|7DMSP|9MSE
174	22633 51326	   	244.65	DCR|DCR|1VULN|1ASPD|1CDMG|1SELL	1FEWX|2ASPD|3RCVC|4VULN|5MDPS|68RCR|7FLTHEA|9SELL|aCDMG
