0	Index      	 *	Score 	Summary	Detail	
1	26333 36236	 * 	289.37	DCR|DCR|2VULN|1MLV|1CDMG|1RPLT	1AAC|2AELOIC|34VULN|5RPLT|6CDMG|7MLV|8aRCR|9RCVC
30	33333 33424	   	263.44	DCR|4VULN|1DMG|1MLV|1CDMG	1CDMG|235aVULN|4MLV|6DUR|7DMG|8AAC|9RCR
31	32116 13324	   	263.39	DCR|4VULN|2DMG|1CDMG	1CDMG|27DMG|3DUST|456aVULN|8DUR|9RCR
32	33333 33324	   	263.34	DCR|4VULN|1DMG|1MLV|1CDMG	1CDMG|235aVULN|4MLV|6DUR|7DMG|8AME|9RCR
33	33625 21136	 * 	263.10	ACR|DCR|2VULN|1DMG|1CDMG|1RPLT	1CDMG|26VULN|3aRCR|4RPLT|5DMG|78CGEN|9RCVC
34	33113 11661	   	262.13	DCR|3VULN|2DMG|1MLV|1CDMG|1AART	1CDMG|245VULN|3ERES|6MLV|79DMG|8RCR|aAART
35	33322 11445	   	261.93	DCR|DCR|2VULN|1CDMG|1ZMB	1CDMG|23VULN|4ZMB|5AAC|6LHND|7BEXP|8aRCR|9CANTOX
36	14332 16814	   	261.88	DCR|DCR|2VULN|1ASPD	12ERES|3MBVNT|47VULN|5BASICY|68RCR|9AAC|aASPD
37	33326 65211	   	261.83	DCR|DCR|2VULN|1CDMG|1ZMB|1MSE	1CDMG|23VULN|4ZMB|5LIT|68RCR|7CGEN|9MSE|aERES
38	33326 65212	   	261.83	DCR|DCR|2VULN|1CDMG|1ZMB|1MSE	1CDMG|23VULN|4ZMB|5LIT|68RCR|7CGEN|9MSE|aMDPS
39	33326 65213	   	261.83	DCR|DCR|2VULN|1CDMG|1ZMB|1MSE	1CDMG|23VULN|4ZMB|5LIT|68RCR|7CGEN|9MSE|aLWND
40	33326 65231	   	261.83	DCR|DCR|2VULN|1CDMG|1ZMB|1SELL	1CDMG|23VULN|4ZMB|5LIT|68RCR|7CGEN|9SELL|aDMSP
41	33326 65232	   	261.83	DCR|DCR|2VULN|1CDMG|1ZMB|1SELL	1CDMG|23VULN|4ZMB|5LIT|68RCR|7CGEN|9SELL|aAAC
42	33326 65233	   	261.83	DCR|DCR|2VULN|1CDMG|1ZMB|1SELL	1CDMG|23VULN|4ZMB|5LIT|68RCR|7CGEN|9SELL|aFEWX
43	33116 64211	   	261.73	DCR|DCR|2VULN|1CDMG|1ZMB|1MSE	1CDMG|24VULN|3ERES|5LIT|68RCR|7ZMB|9MSE|aCGEN
44	33116 64212	   	261.73	DCR|DCR|2VULN|1CDMG|1ZMB|1MSE	1CDMG|24VULN|3ERES|5LIT|68RCR|7ZMB|9MSE|aMDPS
45	33116 64213	   	261.73	DCR|DCR|2VULN|1CDMG|1ZMB|1MSE	1CDMG|24VULN|3ERES|5LIT|68RCR|7ZMB|9MSE|aLWND
46	33116 64231	   	261.73	DCR|DCR|2VULN|1CDMG|1SELL|1ZMB	1CDMG|24VULN|3ERES|5LIT|68RCR|7ZMB|9SELL|aDMSP
47	33116 64232	   	261.73	DCR|DCR|2VULN|1CDMG|1SELL|1ZMB	1CDMG|24VULN|3ERES|5LIT|68RCR|7ZMB|9SELL|aAAC
48	33116 64233	   	261.73	DCR|DCR|2VULN|1CDMG|1SELL|1ZMB	1CDMG|24VULN|3ERES|5LIT|68RCR|7ZMB|9SELL|aFEWX
49	33625 11321	 * 	261.68	ACR|DCR|1VULN|1DMG|2CDMG|1ASPD|1RPLT|1ZMB	18CDMG|2VULN|39RCR|4RPLT|5DMG|6ASPD|7ZMB|aNUKE
50	33621 11426	   	261.00	ACR|DCR|2VULN|1CDMG|1AART|1RPLT	1CDMG|26VULN|3aRCR|4RPLT|5BBNT|7AART|8LIT|9DUR
51	32116 13326	   	260.78	DCR|3VULN|2DMG|1MLV|1CDMG	1CDMG|27DMG|3DUST|456VULN|8DUR|9RCR|aMLV
52	33113 15344	 * 	260.24	DCR|4VULN|2MLV|1CDMG|1AART	1CDMG|2458VULN|3ERES|69MLV|7AART|aRCR
53	33636 42322	 * 	259.48	ACR|DCR|2VULN|3CDMG|1ASPD	149CDMG|24VULN|3aRCR|49BPWR|59BASICY|6FEWX|7ASPD|89LWND
54	33636 52322	   	259.48	ACR|DCR|2VULN|3CDMG|1ASPD	149CDMG|24VULN|3aRCR|49BPWR|59BASICY|6BEXP|7ASPD|89LWND
55	33636 22322	   	259.38	ACR|DCR|2VULN|3CDMG|1ASPD	149CDMG|24VULN|3aRCR|49BPWR|59BASICY|6DUST|7ASPD|89LWND
56	33636 22522	   	259.38	ACR|DCR|2VULN|3CDMG|1ASPD	149CDMG|24VULN|3aRCR|49BPWR|59BASICY|6DUST|7ASPD|89FEWX
