0	Index      	 *	Score 	Summary	Detail	
1	23116 42315	 * 	286.69	DCR|DCR|2VULN|2DUR|1ASPD|1RPLT	1ASPD|2BEXP|34DUR|56VULN|7aRCR|8VENFST|9RPLT
48	52312 42335	   	268.15	DCR|DCR|2VULN|1DMG|1SELL	1LIT|2SELL|39VULN|4MDPS|5AME|6DMG|78RCR|aERES
49	52312 42336	   	268.15	DCR|DCR|2VULN|1DMG|1SELL	1LIT|2SELL|39VULN|4MDPS|5AME|6DMG|78RCR|aCANTOX
50	52326 42332	   	268.15	DCR|DCR|2VULN|1DMG|1SELL|1MSE	1LIT|2SELL|39VULN|4ERES|5MDPS|6DMG|78RCR|aMSE
51	13233 43442	   	268.14	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9ERES|aRPLT
52	13231 43431	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7CGEN|9MLV|aAAC
53	13231 43433	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7CGEN|9MLV|aBBNT
54	13231 43436	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7aCGEN|9MLV
55	13231 45431	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7TLV|9MLV|aAAC
56	13231 45433	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7TLV|9MLV|aBBNT
57	11523 25125	   	267.76	DCR|DCR|2DMG|1VULN|1RPLT	1RCVC|2FEWX|3LHND|48DMG|5MSLTOX|6RPLT|7VULN|9aRCR
58	13231 43434	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7CGEN|9MLV|aMBVNT
59	13231 43435	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7CGEN|9MLV|aDUST
60	12361 15125	   	267.66	DCR|DCR|2DMG|1VULN|1RPLT	14RCVC|2MDPS|3RPLT|58DMG|6TSLARM|7VULN|9aRCR
61	12523 25125	   	267.56	DCR|DCR|2DMG|1VULN|1RPLT	1RCVC|2MDPS|3AELOIC|48DMG|5MSLTOX|6RPLT|7VULN|9aRCR
62	12526 32125	   	267.56	DCR|DCR|2DMG|1VULN|1RPLT	1RCVC|2MDPS|3AELOIC|48DMG|5VULN|6RPLT|7LSRHEA|9aRCR
63	11323 62434	 * 	267.05	DCR|4VULN|3DMG|1AART	1RCVC|2aFEWX|358aVULN|45aDMG|5aBPWR|6MDPS|7RCR|9AART
64	52336 42321	   	266.11	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1LIT|2SELL|3VULN|4MLV|5MDPS|6DMG|78RCR|9DUR|aBEXP
65	52336 42322	   	266.11	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1LIT|2SELL|3VULN|4MLV|5MDPS|6DMG|78RCR|9DUR|aRCVC
66	52336 42323	   	266.11	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1LIT|2SELL|3VULN|4MLV|5MDPS|6DMG|78RCR|9DUR|aLWND
67	52336 42312	   	266.01	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1LIT|2SELL|3VULN|4MLV|5MDPS|6DMG|78RCR|9VENTOX|aDUR
68	24121 32625	 * 	264.52	DCR|DCR|1VULN|2ASPD|1RPLT	18ASPD|2VULN|3DUR|45LWND|6RPLT|7LSRHEA|9aRCR
69	13231 41113	   	263.92	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1RCVC|2VULN|3DMG|4AART|5LWND|6aRCR|7FEWX|8BELT|9CDMG
70	13231 43416	   	263.92	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7CGEN|9BEXP|aCDMG
71	13231 43426	   	263.92	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7CGEN|9FEWX|aCDMG
72	13235 43431	   	263.92	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1RCVC|2VULN|3DMG|4AART|5BEXP|68RCR|7CGEN|9ASPD|aAAC
73	13235 43433	   	263.92	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1RCVC|2VULN|3DMG|4AART|5BEXP|68RCR|7CGEN|9ASPD|aBBNT
74	13235 46113	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1RCVC|2VULN|3DMG|4AART|5BEXP|6aRCR|7LEGI|8BELT|9CDMG
75	13235 51353	   	263.68	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1ZMB	1RCVC|2VULN|3DMG|4AART|5BEXP|6CDMG|7BBNT|8ZMB|9aRCR
76	13631 13356	   	262.08	DCR|DCR|2VULN|1ASPD	1RCVC|23VULN|4LIT|5AME|6BASHEA|78RCR|9BEXP|aASPD
77	13631 13366	   	262.08	DCR|DCR|2VULN|1ASPD	1RCVC|23VULN|4LIT|5AME|6BASHEA|78RCR|9LWND|aASPD
78	51214 13325	   	262.08	DCR|DCR|2VULN|1CDMG	18LIT|2AELOIC|3BLASTR|49VULN|5CDMG|6LWND|7aRCR
79	13165 14222	   	261.74	ACR|DCR|2VULN|1DMG|1CDMG	1RCVC|29VULN|3CDMG|48RCR|5DMG|6LWND|7LIT|aDUR
80	13165 34221	   	261.74	ACR|DCR|2VULN|1DMG|1CDMG	1RCVC|29VULN|3CDMG|48RCR|5DMG|6DUR|7LIT|aLHND
81	13165 34223	   	261.74	ACR|DCR|2VULN|1DMG|1CDMG	1RCVC|29VULN|3CDMG|48RCR|5DMG|6DUR|7LIT|aCGEN
82	13141 81363	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1RCVC|2VULN|3CDMG|4MBVNT|5MLV|6AART|7BBNT|8RMIN|9aRCR
83	13165 34232	   	260.86	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1RCVC|2VULN|3CDMG|48RCR|5DMG|6DUR|7LIT|9MLV|aRPLT
84	13231 43415	   	259.93	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7CGEN|9BEXP|aRPLT
85	13231 43425	   	259.93	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7CGEN|9FEWX|aRPLT
86	13231 43442	   	259.83	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7CGEN|9ERES|aRPLT
87	13264 34232	   	259.27	DCR|4VULN|2DMG|1MLV	1RCVC|2568VULN|38DMG|478LIT|8BPWR|9RCR|aMLV
88	13632 34232	   	259.27	DCR|4VULN|2DMG|1MLV	1RCVC|2368VULN|478LIT|58DMG|8BPWR|9RCR|aMLV
89	23116 32525	   	258.62	DCR|DCR|1VULN|2DUR|1ASPD|1RPLT	1ASPD|2BEXP|34DUR|5VULN|6RPLT|7LSRHEA|8RCVC|9aRCR
90	13233 43411	   	258.58	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9BEXP|aBBNT
91	13233 43412	   	258.58	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9BEXP|aLIT
92	13233 43414	   	258.58	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7aCGEN|9BEXP
93	13233 43421	   	258.58	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9FEWX|aBBNT
94	13233 43422	   	258.58	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9FEWX|aLIT
95	13233 43424	   	258.58	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7aCGEN|9FEWX
96	13233 43451	   	258.58	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|79CGEN|aFEWX
97	13233 45411	   	258.58	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7TLV|9BEXP|aBBNT
98	13233 45412	   	258.58	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7TLV|9BEXP|aLIT
99	13233 45421	   	258.58	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7TLV|9FEWX|aBBNT
100	13233 45422	   	258.58	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7TLV|9FEWX|aLIT
101	13233 43413	   	258.48	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9BEXP|aMBVNT
102	13233 43423	   	258.48	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9FEWX|aMBVNT
103	13233 43441	   	258.48	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9ERES|aAAC
104	13233 43443	   	258.48	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9ERES|aBBNT
105	13233 43452	   	258.48	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|79CGEN|aDUST
106	13233 43453	   	258.48	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|79CGEN|aERES
107	13233 45413	   	258.48	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7TLV|9BEXP|aMBVNT
108	13233 45423	   	258.48	DCR|DCR|1VULN|1DMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7TLV|9FEWX|aMBVNT
109	13631 13344	   	258.09	DCR|DCR|2VULN|1RPLT	1RCVC|23VULN|4LIT|5AME|6BASHEA|78RCR|9BBNT|aRPLT
110	53323 31462	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1LIT|2DMG|3VULN|4TBNT|5DUST|6MLV|7BBNT|8SPLARM|9aRCR
111	52336 42313	   	257.70	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1LIT|2SELL|3VULN|4MLV|5MDPS|6DMG|78RCR|9VENTOX|aLHND
112	21256 22433	 * 	257.40	DCR|5VULN|2ASPD|1AART	1aASPD|2MDPS|3aLWND|4568aVULN|7RCR|9AART|aBPWR
113	11355 26332	 * 	256.94	ACR|DCR|3VULN|1ASPD	1RCVC|24FEWX|34aVULN|4BPWR|57RCR|6LIT|8CGEN|9ASPD
114	13634 23321	   	256.83	DCR|DCR|2VULN	1RCVC|23VULN|4LIT|5RMIN|6MULHEA|78RCR|9DUR|aTLV
115	13634 23322	   	256.83	DCR|DCR|2VULN	1RCVC|23VULN|4LIT|5RMIN|6MULHEA|78RCR|9DUR|aFEWX
116	13634 23323	   	256.83	DCR|DCR|2VULN	1RCVC|23VULN|4LIT|5RMIN|6MULHEA|78RCR|9DUR|aLHND
117	13634 23324	   	256.73	DCR|DCR|2VULN|1SELL	1RCVC|23VULN|4LIT|5RMIN|6MULHEA|78RCR|9DUR|aSELL
118	13634 23325	   	256.73	DCR|DCR|2VULN|1MSE	1RCVC|23VULN|4LIT|5RMIN|6MULHEA|78RCR|9DUR|aMSE
119	13631 13321	   	256.73	DCR|DCR|2VULN	1RCVC|23VULN|4LIT|5AME|6BASHEA|78RCR|9DUR|aTLV
120	13631 13322	   	256.73	DCR|DCR|2VULN	1RCVC|23VULN|4LIT|5AME|6BASHEA|78RCR|9DUR|aFEWX
121	13631 13323	   	256.73	DCR|DCR|2VULN	1RCVC|23VULN|4LIT|5AME|6BASHEA|78RCR|9DUR|aLHND
