0	Index      	 *	Score 	Summary	Detail	
1	33353 12345	 * 	274.73	DCR|DCR|2VULN|2ASPD	1MBVNT|29ASPD|3MDPS|489LIT|5RCVC|6aRCR|79VULN|9BPWR
33	37343 62217	   	262.18	DCR|DCR|2VULN|1CDMG	1MBVNT|2TBNT|3CDMG|4LIT|56VULN|7BBNT|8aRCR|9FEWX
34	37343 62247	   	262.08	DCR|DCR|2VULN|1CDMG	1MBVNT|2TBNT|3CDMG|4LIT|56VULN|7BBNT|8aRCR|9DUST
35	33463 32254	 * 	261.87	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1AART|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7AART|8VULN|9MLV|aDMG
36	33513 32254	 * 	261.87	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1AART|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7AART|8VULN|9MLV|aDMG
37	23431 12214	   	261.69	DCR|DCR|2VULN|1CDMG|2ZMB	12ZMB|35VULN|4TBNT|6MDPS|7BBNT|8aRCR|9CDMG
38	34332 56215	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1MBVNT|29FEWX|3MLV|4VULN|5ASPD|6RPLT|7aRCR|8TLV
39	34332 56415	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1MBVNT|29FEWX|3MLV|4VULN|5ASPD|6RPLT|7aRCR|8AME
40	11143 62716	   	260.99	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MSLREG|2MBVNT|3ASPD|4MDPS|5VENTOX|68RCR|7MLV|9AART|aVULN
41	34584 46412	 * 	260.47	ACR|DCR|2VULN|1MLV|1ASPD|1AART	1MBVNT|2FEWX|36VULN|49RCR|5TLV|7AART|8MLV|aASPD
42	32584 44412	   	260.37	ACR|DCR|2VULN|1MLV|1ASPD|1AART	1MBVNT|2DUST|36VULN|49RCR|5TLV|7AART|8MLV|aASPD
43	34583 46412	   	260.37	ACR|DCR|2VULN|1MLV|1ASPD|1AART	1MBVNT|2FEWX|36VULN|49RCR|5AME|7AART|8MLV|aASPD
44	51366 44412	   	260.37	ACR|DCR|2VULN|1MLV|1ASPD|1AART	1DUST|2TLV|39RCR|46VULN|5MBVNT|7AART|8MLV|aASPD
45	32583 44412	   	260.27	ACR|DCR|2VULN|1MLV|1ASPD|1AART	1MBVNT|2DUST|36VULN|49RCR|5AME|7AART|8MLV|aASPD
46	33463 31288	   	260.22	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7MLV|8FEWX|9aVULN
47	33513 31288	   	260.22	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7MLV|8FEWX|9aVULN
48	33431 72528	   	260.00	DCR|DCR|1VULN|2ASPD|3ZMB	1MBVNT|28ASPD|349ZMB|5FEWX|6VULN|7aRCR
49	33434 72528	   	259.90	DCR|DCR|1VULN|2ASPD|3ZMB	1MBVNT|28ASPD|349ZMB|5DUST|6VULN|7aRCR
50	31324 72215	   	257.99	DCR|DCR|2VULN|1RPLT	1MBVNT|2NUKE|36VULN|4FEWX|5RMIN|7aRCR|8RPLT|9ERES
51	31384 72215	   	257.99	DCR|DCR|2VULN|1RPLT	1MBVNT|2NUKE|34VULN|5LHND|6CGEN|7aRCR|8RPLT|9ERES
52	31384 22215	   	257.89	DCR|DCR|2VULN|1RPLT	1MBVNT|2NUKE|34VULN|5LHND|6AME|7aRCR|8RPLT|9ERES
53	33463 37484	 * 	256.63	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7VULN|8DUR|9DMG|aCDMG
54	33513 37484	 * 	256.63	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7VULN|8DUR|9DMG|aCDMG
55	33463 37624	   	256.34	ACR|DCR|2VULN|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|78VULN|9AAC|aCDMG
56	33513 37624	   	256.34	ACR|DCR|2VULN|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|78VULN|9AAC|aCDMG
57	33463 37614	   	256.24	ACR|DCR|2VULN|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|78VULN|9ERES|aCDMG
58	33513 37614	   	256.24	ACR|DCR|2VULN|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|78VULN|9ERES|aCDMG
59	21122 14636	   	255.80	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1ZMB|2TBNT|3FEWX|4MLV|5DUR|6RMIN|7aRCR|8AART|9VULN
60	21122 24636	   	255.80	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1ZMB|2TBNT|3FEWX|4MLV|5DUR|6TLV|7aRCR|8AART|9VULN
61	21122 26246	   	255.80	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1ZMB|2TBNT|3FEWX|4MLV|5DUR|6TLV|7VULN|8AART|9aRCR
62	21122 34636	   	255.80	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1ZMB|2TBNT|3FEWX|4MLV|5DUR|6CGEN|7aRCR|8AART|9VULN
63	21122 36246	   	255.80	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1ZMB|2TBNT|3FEWX|4MLV|5DUR|6CGEN|7VULN|8AART|9aRCR
64	21322 14636	   	255.70	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1ZMB|2TBNT|3DUST|4MLV|5DUR|6RMIN|7aRCR|8AART|9VULN
65	21322 24636	   	255.70	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1ZMB|2TBNT|3DUST|4MLV|5DUR|6TLV|7aRCR|8AART|9VULN
66	21322 26246	   	255.70	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1ZMB|2TBNT|3DUST|4MLV|5DUR|6TLV|7VULN|8AART|9aRCR
67	21322 34636	   	255.70	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1ZMB|2TBNT|3DUST|4MLV|5DUR|6CGEN|7aRCR|8AART|9VULN
68	21322 36246	   	255.70	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1ZMB|2TBNT|3DUST|4MLV|5DUR|6CGEN|7VULN|8AART|9aRCR
69	33463 37481	 * 	255.44	ACR|DCR|1VULN|2ASPD|1DMG|1RPLT|1ZMB	1MBVNT|2aASPD|3ZMB|4RPLT|56RCR|7VULN|8DUR|9DMG
70	33513 37481	 * 	255.44	ACR|DCR|1VULN|2ASPD|1DMG|1RPLT|1ZMB	1MBVNT|2aASPD|3RPLT|4ZMB|56RCR|7VULN|8DUR|9DMG
71	33463 37233	 * 	255.14	ACR|DCR|2VULN|2ASPD|1RPLT|1ZMB	1MBVNT|2aASPD|3ZMB|4RPLT|56RCR|79VULN|8FEWX
72	33513 37233	 * 	255.14	ACR|DCR|2VULN|2ASPD|1RPLT|1ZMB	1MBVNT|2aASPD|3RPLT|4ZMB|56RCR|79VULN|8FEWX
73	34584 46414	   	255.12	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2FEWX|36VULN|49RCR|5TLV|7AART|8MLV|aDUR
74	33463 37633	 * 	255.04	ACR|DCR|2VULN|2ASPD|1RPLT|1ZMB	1MBVNT|2aASPD|3ZMB|4RPLT|56RCR|78VULN|9LEGI
75	33463 37643	 * 	255.04	ACR|DCR|2VULN|2ASPD|1RPLT|1ZMB	1MBVNT|2aASPD|3ZMB|4RPLT|56RCR|78VULN|9DUST
76	33513 37633	 * 	255.04	ACR|DCR|2VULN|2ASPD|1RPLT|1ZMB	1MBVNT|2aASPD|3RPLT|4ZMB|56RCR|78VULN|9LEGI
77	33513 37643	 * 	255.04	ACR|DCR|2VULN|2ASPD|1RPLT|1ZMB	1MBVNT|2aASPD|3RPLT|4ZMB|56RCR|78VULN|9DUST
78	34583 46414	   	255.02	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2FEWX|36VULN|49RCR|5AME|7AART|8MLV|aDUR
79	51366 44414	   	255.02	ACR|DCR|2VULN|1MLV|1AART	1DUST|2TLV|39RCR|46VULN|5MBVNT|7AART|8MLV|aDUR
80	32584 44414	   	255.02	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2DUST|36VULN|49RCR|5TLV|7AART|8MLV|aDUR
81	32583 44414	   	254.92	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2DUST|36VULN|49RCR|5AME|7AART|8MLV|aDUR
82	37347 32424	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1MBVNT|2TBNT|3CDMG|4LIT|5BEXP|6aRCR|7BBNT|8VULN|9DMG
83	38847 32424	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1MBVNT|2CDMG|3BBNT|4LIT|5BEXP|6aRCR|7TBNT|8VULN|9DMG
84	37348 32424	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1MBVNT|2TBNT|3CDMG|4LIT|5DUST|6aRCR|7BBNT|8VULN|9DMG
85	38848 32424	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1MBVNT|2CDMG|3BBNT|4LIT|5DUST|6aRCR|7TBNT|8VULN|9DMG
86	34543 23154	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2FEWX|3VULN|4CDMG|5TBNT|6BELT|7aRCR|8AART|9RPLT
87	38343 23154	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CDMG|3VULN|4FEWX|5TBNT|6BELT|7aRCR|8AART|9RPLT
88	38353 23154	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CDMG|3VULN|4BEXP|5TBNT|6BELT|7aRCR|8AART|9RPLT
89	31331 36466	 * 	253.39	DCR|DCR|1VULN|2MLV	1MBVNT|2NUKE|3VULN|46MLV|5LHND|7LIT|8aRCR|9VENICY
90	31332 43466	   	253.39	DCR|DCR|1VULN|2MLV	1MBVNT|2NUKE|3VULN|47MLV|5LIT|6LWND|8aRCR|9VENICY
91	32543 23154	   	253.32	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2DUST|3VULN|4CDMG|5TBNT|6BELT|7aRCR|8AART|9RPLT
92	37371 23154	   	253.32	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2TBNT|3CDMG|4VULN|5DUST|6BELT|7aRCR|8AART|9RPLT
93	38363 23154	   	253.32	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CDMG|3VULN|4DUST|5TBNT|6BELT|7aRCR|8AART|9RPLT
94	38381 23154	   	253.32	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CDMG|3VULN|4BBNT|5DUST|6BELT|7aRCR|8AART|9RPLT
95	31332 13466	   	253.29	DCR|DCR|1VULN|2MLV	1MBVNT|2NUKE|3VULN|47MLV|5LIT|6DUST|8aRCR|9VENICY
96	38126 23237	   	253.12	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CDMG|3AELOIC|4RPLT|5NUKE|6aRCR|7AART|8ERES|9VULN
97	38126 23337	   	253.12	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CDMG|3AELOIC|4RPLT|5NUKE|6aRCR|7AART|8AME|9VULN
98	33168 47412	 * 	252.54	DCR|3VULN|2MLV|2ASPD|1AART	1MBVNT|27ASPD|3AELOIC|4AART|579VULN|67MLV|7BPWR|8SPLREG|aRCR
99	33581 81234	   	252.40	DCR|3VULN|2MLV|2ASPD|1RPLT|1SELL	1MBVNT|28ASPD|3RPLT|458VULN|6SELL|78MLV|8BPWR|9BASARM|aRCR
100	33463 32315	   	252.35	ACR|DCR|2VULN|1ASPD|1AART|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7AART|8BBNT|9aVULN
101	33513 32315	   	252.35	ACR|DCR|2VULN|1ASPD|1AART|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7AART|8BBNT|9aVULN
102	33463 31178	 * 	252.21	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7MLV|8LHND|9DMG|aVULN
103	33513 31178	 * 	252.21	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7MLV|8LHND|9DMG|aVULN
104	38312 72215	   	251.72	DCR|DCR|1VULN|1CDMG|1RPLT|1SELL	1MBVNT|2CDMG|3VULN|4SELL|5DUR|6CGEN|7aRCR|8RPLT|9ERES
105	37343 81337	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1MBVNT|2TBNT|3CDMG|4LIT|5VULN|6MLV|7BBNT|8AME|9aRCR
106	37343 81437	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1MBVNT|2TBNT|3CDMG|4LIT|5VULN|6MLV|7BBNT|8ERES|9aRCR
107	21161 11214	   	251.49	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1ZMB|2TBNT|3FEWX|4BBNT|5MLV|6TLV|7VULN|8aRCR|9CDMG
108	21161 41214	   	251.49	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1ZMB|2TBNT|3FEWX|4BBNT|5MLV|6CGEN|7VULN|8aRCR|9CDMG
109	21161 61214	   	251.39	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1ZMB|2TBNT|3FEWX|4BBNT|5MLV|6ERES|7VULN|8aRCR|9CDMG
110	21361 11214	   	251.39	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1ZMB|2TBNT|3DUST|4BBNT|5MLV|6TLV|7VULN|8aRCR|9CDMG
111	21361 41214	   	251.39	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1ZMB|2TBNT|3DUST|4BBNT|5MLV|6CGEN|7VULN|8aRCR|9CDMG
112	11143 62721	   	251.33	DCR|DCR|1VULN|1MLV|1ASPD	1MSLREG|2MBVNT|3ASPD|4MDPS|5VENTOX|68RCR|7MLV|9TLV|aVULN
113	11143 62774	   	251.33	DCR|DCR|1VULN|1MLV|1ASPD	1MSLREG|2MBVNT|3ASPD|4MDPS|5VENTOX|68RCR|7MLV|9LIT|aVULN
114	31322 71265	   	251.29	DCR|3VULN|2MLV|2ASPD	1MBVNT|2NUKE|368VULN|4FEWX|58ASPD|78MLV|8BPWR|9DUR|aRCR
115	11143 62761	   	251.23	DCR|DCR|1VULN|1MLV|1ASPD	1MSLREG|2MBVNT|3ASPD|4MDPS|5VENTOX|68RCR|7MLV|9ERES|aVULN
116	33463 35632	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7DUR|89VULN|aLHND
117	33463 37432	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|79VULN|8DUR|aLHND
118	33463 37435	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|79VULN|8DUR|aTBNT
119	33463 37436	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|79VULN|8DUR|aLWND
120	33463 37448	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7aVULN|8DUR|9RCVC
121	33463 37621	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|78VULN|9AAC|aDUR
122	33513 35632	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7DUR|89VULN|aLHND
123	33513 37432	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|79VULN|8DUR|aLHND
124	33513 37435	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|79VULN|8DUR|aTBNT
125	33513 37436	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|79VULN|8DUR|aLWND
126	33513 37448	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7aVULN|8DUR|9RCVC
127	33513 37621	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|78VULN|9AAC|aDUR
128	33463 35631	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7DUR|89VULN|aERES
129	33463 35634	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	1MBVNT|2ASPD|3aZMB|4RPLT|56RCR|7DUR|89VULN
130	33463 37431	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|79VULN|8DUR|aERES
131	33463 37434	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	1MBVNT|2ASPD|3aZMB|4RPLT|56RCR|79VULN|8DUR
132	33463 37437	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB|1SELL	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|79VULN|8DUR|aSELL
133	33463 37611	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|78VULN|9ERES|aDUR
134	33513 35631	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7DUR|89VULN|aERES
135	33513 35634	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	1MBVNT|2ASPD|3RPLT|4aZMB|56RCR|7DUR|89VULN
136	33513 37431	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|79VULN|8DUR|aERES
137	33513 37434	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	1MBVNT|2ASPD|3RPLT|4aZMB|56RCR|79VULN|8DUR
138	33513 37437	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB|1SELL	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|79VULN|8DUR|aSELL
139	33513 37611	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|78VULN|9ERES|aDUR
140	35723 42215	   	250.07	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|25CGEN|3DMG|4LWND|6VULN|7aRCR|8RPLT|9ERES
141	34713 72215	   	250.07	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|23FEWX|4DMG|5VULN|6CGEN|7aRCR|8RPLT|9ERES
142	32425 74182	   	249.97	DCR|DCR|1VULN|1DMG|1AART	1MBVNT|2DUST|3AART|4TBNT|5VULN|6AAC|7MDPS|8aRCR|9DMG
143	32813 72215	   	249.97	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUST|3DMSP|4DMG|5VULN|6CGEN|7aRCR|8RPLT|9ERES
144	31418 62182	   	249.87	DCR|DCR|1VULN|1DMG|1AART	1MBVNT|2NUKE|3MDPS|4BBNT|5AART|6DUST|7VULN|8aRCR|9DMG
145	31143 13267	   	249.73	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1MBVNT|2NUKE|3AME|4AAC|5VULN|6AART|7ZMB|8DMG|9aRCR
146	31314 13267	   	249.73	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1MBVNT|2NUKE|3VULN|4AME|5AART|6AAC|7ZMB|8DMG|9aRCR
147	32425 34182	   	249.73	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1MBVNT|2DUST|3AART|4TBNT|5VULN|6ZMB|7MDPS|8aRCR|9DMG
148	32485 34182	   	249.73	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1MBVNT|2DUST|3AART|4BBNT|5VULN|6ZMB|7MDPS|8aRCR|9DMG
149	37342 36163	   	248.96	DCR|DCR|1VULN|2DUR|1CDMG	1MBVNT|2TBNT|3CDMG|4LIT|58DUR|6aRCR|7DMSP|9VULN
150	37342 32447	   	248.96	DCR|DCR|1VULN|2DUR|1CDMG	1MBVNT|2TBNT|3CDMG|4LIT|59DUR|6aRCR|7BBNT|8VULN
151	38842 32447	   	248.96	DCR|DCR|1VULN|2DUR|1CDMG	1MBVNT|2CDMG|3BBNT|4LIT|59DUR|6aRCR|7TBNT|8VULN
152	33543 22845	   	248.86	DCR|DCR|1VULN|2RPLT|1ASPD	1MBVNT|2ASPD|39RPLT|4CGEN|5AME|6FEWX|7VULN|8aRCR
153	38337 42714	 * 	248.47	DCR|4VULN|2CDMG|2DUR|1RPLT	1MBVNT|29CDMG|379aVULN|4RPLT|5BELT|6RCR|89DUR|9BPWR
154	33463 33735	 * 	248.33	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7CGEN|8CDMG|9VULN|aDMG
