0	Index      	 *	Score 	Summary	Detail	
1	12236 11146	 * 	300.03	DCR|DCR|2TLV|1VULN|1AAC|1CDMG	1AAC|2BEXP|3CDMG|45TLV|6aRCR|7MDPS|8VULN|9RAT
16	13312 31521	   	273.43	DCR|DCR|1VULN|1TLV|1AAC|1SELL	1AAC|2BBNT|3AEBURN|4VULN|5AART|6LWND|7TLV|8SELL|9aRCR
17	13312 51521	   	273.43	DCR|DCR|1VULN|1TLV|1AAC|1SELL	1AAC|2BBNT|3AEBURN|4VULN|5AART|6LHND|7TLV|8SELL|9aRCR
18	13312 61521	   	273.33	DCR|DCR|1VULN|1TLV|1AAC|1SELL	1AAC|2BBNT|3AEBURN|4VULN|5AART|6AETHUN|7TLV|8SELL|9aRCR
19	34121 25335	 * 	273.24	DCR|DCR|1TLV|1MLV|1AAC	1MSLFST|2AAC|3DUR|4AART|5MLV|6aRCR|7FRZICY|8TLV|9LWND
20	13215 32626	   	272.93	DCR|DCR|1VULN|2AAC|1ASPD	16AAC|2BBNT|3DUR|4MDPS|5FEWX|78RCR|9VULN|aASPD
21	33532 26214	 * 	272.83	DCR|DCR|2VULN|1DMG	1MSLFST|2BBNT|3FEWX|4AART|5DMG|69RCR|7aVULN|8LWND
22	62332 41412	   	272.76	ACR|DCR|2VULN|1TLV|1AAC|1ASPD	1ZMB|26RCR|3ASPD|4FEWX|5TLV|78VULN|9RMIN|aAAC
23	33532 26114	   	272.73	DCR|DCR|2VULN|1DMG	1MSLFST|2BBNT|3FEWX|4AART|5DMG|69RCR|7aVULN|8AETHUN
24	33632 26214	   	272.73	DCR|DCR|2VULN|1DMG	1MSLFST|2BBNT|3DUST|4AART|5DMG|69RCR|7aVULN|8LWND
25	62332 41432	   	272.66	ACR|DCR|2VULN|1TLV|1AAC|1ASPD	1ZMB|26RCR|3ASPD|4FEWX|5TLV|78VULN|9ERES|aAAC
26	14313 25423	 * 	272.64	DCR|2VULN|2TLV|2DMG|2AAC	1aAAC|29DMG|3RMIN|4LIT|59TLV|6RPLT|7RCR|89VULN|9BPWR
27	33632 26114	   	272.63	DCR|DCR|2VULN|1DMG	1MSLFST|2BBNT|3DUST|4AART|5DMG|69RCR|7aVULN|8AETHUN
28	12121 83725	   	272.21	DCR|DCR|1VULN|1TLV|1AAC	1AAC|2BEXP|3MBVNT|4BBNT|5TLV|6VULN|7aRCR|8CGEN|9RAT
29	16433 32362	   	272.21	DCR|DCR|1VULN|1TLV|1AAC	1AAC|2RAT|3AEWIND|4TBNT|5RMIN|69RCR|7MULARM|8TLV|aVULN
30	12121 83625	   	272.11	DCR|DCR|1VULN|1TLV|1AAC	1AAC|2BEXP|3MBVNT|4BBNT|5TLV|6VULN|7aRCR|8ERES|9RAT
31	14315 31162	 * 	271.03	DCR|DCR|2DMG|1VULN|1AAC	1AAC|25DMG|3RMIN|4LIT|6RPLT|7VULN|8aRCR|9FEWX
32	14363 21162	   	271.03	DCR|DCR|2DMG|1VULN|1AAC	1AAC|24DMG|3RMIN|5RPLT|6LIT|7VULN|8aRCR|9FEWX
33	14215 31142	   	270.83	DCR|DCR|2DMG|1VULN|1AAC	1AAC|25DMG|39ERES|4LIT|6RPLT|7VULN|8aRCR
34	62532 41121	   	270.68	ACR|DCR|2VULN|2TLV|1AAC	19ZMB|26RCR|3DUST|4AAC|59TLV|79VULN|8LEGI|9BPWR|aDMSP
35	62632 41121	   	270.68	ACR|DCR|2VULN|2TLV|1AAC	19ZMB|26RCR|3BEXP|4AAC|59TLV|79VULN|8LEGI|9BPWR|aDMSP
36	62532 41123	   	270.58	ACR|DCR|2VULN|2TLV|1AAC	19ZMB|26RCR|3DUST|4AAC|59TLV|79VULN|8LEGI|9BPWR|aBEXP
37	62632 41123	   	270.58	ACR|DCR|2VULN|2TLV|1AAC	19ZMB|26RCR|3aBEXP|4AAC|59TLV|79VULN|8LEGI|9BPWR
38	62332 41121	   	270.55	ACR|DCR|2VULN|1TLV|2ASPD	19ZMB|26RCR|39ASPD|4FEWX|5TLV|79VULN|8LEGI|9BPWR|aDMSP
39	62332 41124	   	270.55	ACR|DCR|2VULN|1TLV|2ASPD	19ZMB|26RCR|39ASPD|4FEWX|5TLV|79VULN|8LEGI|9BPWR|aLWND
40	62352 41121	   	270.45	ACR|DCR|2VULN|1TLV|2ASPD	19ZMB|26RCR|39ASPD|4DUST|5TLV|79VULN|8LEGI|9BPWR|aDMSP
41	62332 41123	   	270.45	ACR|DCR|2VULN|1TLV|2ASPD	19ZMB|26RCR|39ASPD|4FEWX|5TLV|79VULN|8LEGI|9BPWR|aBEXP
42	62332 41413	   	270.45	ACR|DCR|2VULN|1TLV|2ASPD	1ZMB|26RCR|3aASPD|4FEWX|5TLV|78VULN|9RMIN
43	62352 41123	   	270.35	ACR|DCR|2VULN|1TLV|2ASPD	19ZMB|26RCR|39ASPD|4DUST|5TLV|79VULN|8LEGI|9BPWR|aBEXP
44	62332 41433	   	270.35	ACR|DCR|2VULN|1TLV|2ASPD	1ZMB|26RCR|3aASPD|4FEWX|5TLV|78VULN|9ERES
45	23222 62553	   	270.10	DCR|3MLV|1VULN|1TLV|1ASPD|1CDMG	1DUST|289MLV|3CDMG|4VULN|5RAT|6ASPD|7TLV|aRCR
