0	Index      	 *	Score 	Summary	Detail	
1	31145 21214	 * 	350.58	ACR|DCR|3MLV|2VULN|2DMG|1TLV	14DMG|26RCR|34aMLV|4BPWR|58VULN|7TLV|9LIT
18	31145 21213	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9LIT|aMDPS
19	31145 21216	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9LIT|aBEXP
20	31145 21222	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9AEFRZ|aTBNT
21	31145 21223	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9AEFRZ|aLWND
22	31145 21225	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9AEFRZ|aLIT
23	31145 21226	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9AEFRZ|aDMSP
24	31145 21242	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9BEXP|aTBNT
25	31145 21243	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9BEXP|aLWND
26	31145 21251	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9MSLREG|aBELT
27	31145 21532	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|59VULN|7TLV|8AETHUN|aZMB
28	31145 21533	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|59VULN|7TLV|8AETHUN|aCGEN
29	31144 21216	   	326.83	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|5DUST|7TLV|8aVULN|9LEGI
30	31145 21224	   	326.83	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9AEFRZ|aAETHUN
31	31145 21241	   	326.83	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9aBEXP
32	31145 21252	   	326.83	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9MSLREG|aBEXP
33	31145 21253	   	326.83	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9MSLREG|aDUST
34	31145 21531	   	326.83	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|59VULN|7TLV|8AETHUN|aBEXP
35	31145 21331	   	326.03	ACR|DCR|2MLV|2DMG|1VULN|1TLV|1AAC	14DMG|26RCR|34MLV|4BPWR|5VULN|7TLV|8BBNT|9AAC|aDUR
36	31142 21436	   	325.39	ACR|DCR|2MLV|2DMG|1VULN|1TLV|1ASPD	14DMG|26RCR|34MLV|4BPWR|5DUR|7TLV|8VULN|9LHND|aASPD
37	31145 21136	   	325.39	ACR|DCR|2MLV|2DMG|1VULN|1TLV|1ASPD	14DMG|26RCR|34MLV|4BPWR|5VULN|7TLV|8DUR|9LHND|aASPD
38	31142 21416	   	325.29	ACR|DCR|2MLV|2DMG|1VULN|1TLV|1ASPD	14DMG|26RCR|34MLV|4BPWR|5DUR|7TLV|8VULN|9LEGI|aASPD
39	31145 21116	   	325.29	ACR|DCR|2MLV|2DMG|1VULN|1TLV|1ASPD	14DMG|26RCR|34MLV|4BPWR|5VULN|7TLV|8DUR|9LEGI|aASPD
40	31142 21631	 * 	324.79	ACR|DCR|2MLV|3DMG|1VULN|1TLV	148DMG|26RCR|34MLV|4BPWR|5DUR|7TLV|9CGEN|aVULN
41	31142 21611	   	324.69	ACR|DCR|2MLV|3DMG|1VULN|1TLV	148DMG|26RCR|34MLV|4BPWR|5DUR|7TLV|9DUST|aVULN
42	31136 25423	 * 	323.92	ACR|DCR|3VULN|2MLV|2DMG	15DMG|26RCR|37MLV|489VULN|aRAT
43	31136 21231	   	323.60	ACR|DCR|2VULN|2TLV|2DMG|1MLV	15DMG|26RCR|3MLV|48VULN|79TLV|aDUR
44	31142 21623	 * 	323.18	ACR|DCR|3MLV|3DMG|1TLV	148DMG|26RCR|349MLV|4BPWR|5DUR|7TLV|aRAT
45	31142 21363	   	322.79	ACR|DCR|2MLV|2DMG|1VULN|1TLV|1CDMG	14DMG|26RCR|34MLV|4BPWR|5DUR|7TLV|8BELT|9VULN|aCDMG
46	61125 21331	 * 	321.27	ACR|DCR|2VULN|2MLV|2AAC|1TLV	13MLV|26RCR|49AAC|5aVULN|7TLV|8BBNT
