0	Index      	 *	Score 	Summary	Detail	
1	62133 14862	 * 	294.73	DCR|DCR|3VULN|1DMG	1MDPS|2MBVNT|345VULN|6DUST|7aRCR|8DMG|9RAT
31	51252 13412	   	276.88	DCR|2VULN|2MLV|1TLV|2ASPD	1RAT|24VULN|34MLV|4BPWR|56ASPD|7FEWX|8RCR|9TLV|aLHND
32	51252 13413	   	276.88	DCR|2VULN|2MLV|1TLV|2ASPD	1RAT|24VULN|34MLV|4BPWR|56ASPD|7FEWX|8RCR|9TLV|aBELT
33	62167 12121	   	276.65	DCR|DCR|1VULN|1TLV|1DMG	1MDPS|2MBVNT|3VULN|4TLV|5DMG|6ZMB|7AART|8aRCR|9DUST
34	31515 21241	 * 	276.55	DCR|2VULN|2MLV|2TLV|2DUR	1RCVC|2AART|39DUR|47TLV|59MLV|6RCR|89VULN|9BPWR|aLIT
35	31515 21242	   	276.55	DCR|2VULN|2MLV|2TLV|2DUR	1RCVC|2AART|39DUR|47TLV|59MLV|6RCR|89VULN|9BPWR|aFEWX
36	31515 21243	   	276.55	DCR|2VULN|2MLV|2TLV|2DUR	1RCVC|2AART|39DUR|47TLV|59MLV|6RCR|89VULN|9BPWR|aLHND
37	62624 64142	 * 	275.61	DCR|3MLV|2VULN|2TLV	1MDPS|2MBVNT|378MLV|49VULN|57TLV|67AME|7BPWR|aRCR
38	62644 12171	   	275.35	DCR|DCR|1VULN|1MLV|1ASPD	1MDPS|2MBVNT|3MLV|4DUR|5ASPD|6ZMB|7AART|8aRCR|9VULN
39	51111 22424	 * 	275.22	DCR|2VULN|1TLV|2ASPD|1DMG|2RAT|1CDMG	18RAT|28VULN|3AART|4TLV|5CDMG|6RCR|78ASPD|8BPWR|9RCVC|aDMG
40	51251 31236	 * 	274.86	DCR|3VULN|3MLV|2RAT	19RAT|247VULN|349MLV|49BPWR|5ERES|6DUR|89ZMB|aRCR
41	62133 14442	   	274.66	DCR|DCR|3VULN	1MDPS|2MBVNT|345VULN|6DUST|7aRCR|8RAT|9ZMB
42	62153 14442	   	274.66	DCR|DCR|3VULN	1MDPS|2MBVNT|345VULN|4BPWR|6DUST|7aRCR|8RAT|9ZMB
43	31126 73171	   	273.68	DCR|DCR|1VULN|1TLV|1AAC	1RCVC|2AART|3TBNT|4MBVNT|5ZMB|6AAC|7TLV|8aRCR|9VULN
44	31126 43171	   	273.03	DCR|DCR|1VULN|1TLV|1ASPD	1RCVC|2AART|3TBNT|4MBVNT|5ZMB|6ASPD|7TLV|8aRCR|9VULN
45	62625 42142	 * 	272.76	DCR|4VULN|3MLV	1MDPS|2MBVNT|378MLV|4579VULN|67DUST|7BPWR|aRCR
46	51262 33136	   	271.25	DCR|2VULN|2MLV|1TLV|1AAC	1RAT|25VULN|35MLV|4AAC|5BPWR|6DUR|7TLV|8FEWX|9LWND|aRCR
47	51262 33336	   	271.15	DCR|2VULN|2MLV|1TLV|1AAC	1RAT|25VULN|35MLV|4AAC|5BPWR|6DUR|7TLV|8DUST|9LWND|aRCR
48	62627 12131	   	270.76	DCR|DCR|1VULN|1MLV|1DMG	1MDPS|2MBVNT|3MLV|4VULN|5DMG|6ZMB|7AART|8aRCR|9DUST
49	31215 21246	 * 	270.50	DCR|2VULN|3TLV|2MLV	1RCVC|2AART|39BEXP|47aTLV|59MLV|6RCR|89VULN|9BPWR
50	51252 25331	   	269.43	DCR|3MLV|2VULN|1AAC|1ASPD	1RAT|24VULN|349MLV|4BPWR|5ASPD|6SPLREG|7LWND|8AAC|aRCR
51	51262 11261	   	269.18	DCR|3MLV|2VULN|1AAC|1ASPD|1SELL	1RAT|25VULN|358MLV|4AAC|5BPWR|6ASPD|7SELL|9RCR|aDUST
52	51262 11262	   	269.18	DCR|3MLV|2VULN|1AAC|1ASPD|1SELL	1RAT|25VULN|358MLV|4AAC|5BPWR|6ASPD|7SELL|9RCR|aERES
53	51262 11263	   	269.18	DCR|3MLV|2VULN|1AAC|1ASPD|1SELL|1MSE	1RAT|25VULN|358MLV|4AAC|5BPWR|6ASPD|7SELL|9RCR|aMSE
54	22112 51342	   	269.15	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1ASPD|2MSLREG|3AART|4MLV|58RMIN|6aRCR|7DMG|9AAC
55	24112 51342	   	269.15	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1ASPD|2MULARM|3AART|4MLV|58RMIN|6aRCR|7DMG|9AAC
56	51262 31422	   	269.13	DCR|3VULN|2MLV|1AAC|2RAT	1aRAT|257VULN|35MLV|4AAC|5BPWR|6DUR|8RCR|9DUST
57	51262 31432	   	269.13	DCR|3VULN|2MLV|1AAC|2RAT	1aRAT|257VULN|35MLV|4AAC|5BPWR|6DUR|8RCR|9BEXP
58	22111 51242	   	269.05	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1ASPD|2MSLREG|3AART|4MLV|5CGEN|6aRCR|7DMG|8AEWIND|9AAC
59	22112 51242	   	269.05	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1ASPD|2MSLREG|3AART|4MLV|5RMIN|6aRCR|7DMG|8AEWIND|9AAC
60	22113 51242	   	269.05	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1ASPD|2MSLREG|3AART|4MLV|5AME|6aRCR|7DMG|8AEWIND|9AAC
61	24111 51242	   	269.05	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1ASPD|2MULARM|3AART|4MLV|5CGEN|6aRCR|7DMG|8AEWIND|9AAC
62	24112 51242	   	269.05	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1ASPD|2MULARM|3AART|4MLV|5RMIN|6aRCR|7DMG|8AEWIND|9AAC
63	24113 51242	   	269.05	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1ASPD|2MULARM|3AART|4MLV|5AME|6aRCR|7DMG|8AEWIND|9AAC
64	22115 51242	   	268.95	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1ASPD|2MSLREG|3AART|4MLV|5ERES|6aRCR|7DMG|8AEWIND|9AAC
65	31215 21245	   	268.43	DCR|2VULN|2MLV|2TLV	1RCVC|2AART|39BEXP|47TLV|59MLV|6RCR|89VULN|9BPWR|aRAT
66	22156 21136	 * 	268.24	DCR|2VULN|2TLV|2ASPD|1MLV	18ASPD|2MSLREG|3AART|4BELT|58TLV|6RCVC|78VULN|8BPWR|9RCR|aMLV
67	31126 77131	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1RCVC|2AART|3TBNT|4MBVNT|5ZMB|6AAC|7MLV|8aRCR|9VULN
68	62136 14362	   	267.35	DCR|DCR|2VULN|1ASPD	1MDPS|2MBVNT|34VULN|5AEFRZ|6DUST|7aRCR|8ASPD|9RAT
69	62167 22132	 * 	267.23	DCR|2VULN|2DMG|1TLV|1MLV|2DUR	1MDPS|2MBVNT|37VULN|4TLV|57DMG|67DUR|7BPWR|8AETHUN|9RCR|aMLV
70	31126 47131	   	267.14	DCR|DCR|1VULN|1MLV|1ASPD	1RCVC|2AART|3TBNT|4MBVNT|5ZMB|6ASPD|7MLV|8aRCR|9VULN
71	63221 52421	   	267.04	DCR|DCR|1VULN|1MLV|1ASPD	1MDPS|2BELT|3VULN|4RPLT|5ASPD|6aRCR|7AART|8MLV|9LEGI
72	22111 51162	   	266.84	DCR|DCR|2ASPD|1MLV|1DMG	18ASPD|2MSLREG|3AART|4MLV|5CGEN|6aRCR|7DMG|9ZMB
73	22112 51162	   	266.84	DCR|DCR|2ASPD|1MLV|1DMG	18ASPD|2MSLREG|3AART|4MLV|5RMIN|6aRCR|7DMG|9ZMB
74	22113 51162	   	266.84	DCR|DCR|2ASPD|1MLV|1DMG	18ASPD|2MSLREG|3AART|4MLV|5AME|6aRCR|7DMG|9ZMB
75	24111 51162	   	266.84	DCR|DCR|2ASPD|1MLV|1DMG	18ASPD|2MULARM|3AART|4MLV|5CGEN|6aRCR|7DMG|9ZMB
76	24112 51162	   	266.84	DCR|DCR|2ASPD|1MLV|1DMG	18ASPD|2MULARM|3AART|4MLV|5RMIN|6aRCR|7DMG|9ZMB
77	24113 51162	   	266.84	DCR|DCR|2ASPD|1MLV|1DMG	18ASPD|2MULARM|3AART|4MLV|5AME|6aRCR|7DMG|9ZMB
78	22115 51162	   	266.74	DCR|DCR|2ASPD|1MLV|1DMG	18ASPD|2MSLREG|3AART|4MLV|5ERES|6aRCR|7DMG|9ZMB
79	22522 41623	   	266.40	DCR|3MLV|1VULN|1TLV|1AAC|1ASPD	1ASPD|2MSLREG|3TLV|4VULN|5LWND|6AAC|789MLV|aRCR
80	51252 25211	   	266.18	DCR|3MLV|2VULN|1ASPD|1CDMG	1RAT|24VULN|34aMLV|4BPWR|5ASPD|6SPLREG|7LWND|8RCR|9CDMG
81	62432 12171	   	266.04	DCR|DCR|1VULN|1AAC|1ASPD	1MDPS|2MBVNT|3CGEN|4ASPD|5AAC|6DUR|7AART|8aRCR|9VULN
82	25325 36311	 * 	265.82	DCR|2VULN|1TLV|2ASPD|1MLV|2CDMG	17ASPD|23LIT|4BELT|57CDMG|67VULN|7BPWR|8TLV|9RCR|aMLV
83	51251 31312	   	265.67	DCR|4VULN|2MLV	1RAT|2478VULN|34MLV|4BPWR|59ERES|6DUR|aRCR
84	51251 31323	   	265.67	DCR|4VULN|2MLV	1RAT|2478VULN|34MLV|4BPWR|5ERES|6DUR|9MDPS|aRCR
85	51251 31342	   	265.67	DCR|4VULN|2MLV	1RAT|2478VULN|34MLV|4BPWR|5ERES|6DUR|9AEFRZ|aRCR
86	31112 61156	   	265.44	DCR|DCR|1VULN|1DMG|1CDMG	1RCVC|2AART|3TBNT|4CDMG|5BBNT|69RCR|7RAT|8VULN|aDMG
87	31322 63342	 * 	265.20	ACR|3VULN|2MLV|2TLV|1AAC	1RCVC|2AART|3RCR|479VULN|57TLV|679FEWX|79BPWR|89MLV|aAAC
88	33311 25452	   	265.19	DCR|DCR|1VULN|1TLV	1RCVC|2CGEN|3TLV|4AART|5DUR|6aRCR|7LHND|8FEWX|9VULN
89	33311 25652	   	265.09	DCR|DCR|1VULN|1TLV	1RCVC|2CGEN|3TLV|4AART|5DUR|6aRCR|7LHND|8DUST|9VULN
90	31531 53252	   	265.09	DCR|DCR|1VULN|1TLV	1RCVC|2AART|3DUR|4BEXP|5VULN|6CGEN|7TLV|8LHND|9aRCR
91	31531 53352	   	265.09	DCR|DCR|1VULN|1TLV	1RCVC|2AART|3DUR|4BEXP|5VULN|6CGEN|7TLV|8FEWX|9aRCR
92	33236 24152	   	265.09	DCR|DCR|1VULN|1TLV	1RCVC|2CGEN|3DUR|4TLV|5LWND|6VULN|7AART|8BEXP|9aRCR
93	33236 24352	   	265.09	DCR|DCR|1VULN|1TLV	1RCVC|2CGEN|3DUR|4TLV|5LWND|6VULN|7AART|8DUST|9aRCR
94	33341 24152	   	265.09	DCR|DCR|1VULN|1TLV	1RCVC|2CGEN|3TLV|4LHND|5DUR|6VULN|7AART|8BEXP|9aRCR
95	33341 24352	   	265.09	DCR|DCR|1VULN|1TLV	1RCVC|2CGEN|3TLV|4LHND|5DUR|6VULN|7AART|8DUST|9aRCR
96	31531 13252	   	264.99	DCR|DCR|1VULN|1TLV	1RCVC|2AART|3DUR|4BEXP|5VULN|6ERES|7TLV|8LHND|9aRCR
97	31531 13352	   	264.99	DCR|DCR|1VULN|1TLV	1RCVC|2AART|3DUR|4BEXP|5VULN|6ERES|7TLV|8FEWX|9aRCR
98	25612 62114	   	264.73	DCR|DCR|1VULN|1TLV|1ASPD	1ASPD|2LIT|3TBNT|4MBVNT|5TLV|6aRCR|7VULN|8FEWX|9CGEN
99	25612 62314	   	264.73	DCR|DCR|1VULN|1TLV|1ASPD	1ASPD|2LIT|3TBNT|4MBVNT|5TLV|6aRCR|7VULN|8LWND|9CGEN
