0	Index      	 *	Score 	Summary	Detail	
1	14533 33114	 * 	239.40	橙3易伤1散射对甲2全技能1攻速1时间	1散射对喷气2时间3a全技能4散射对甲569易伤7攻速8核
19	14533 23131	 * 	218.16	橙1散射对甲2全技能1易伤1伤害1攻速1时间	1散射对喷气2时间36全技能4散射对甲5易伤7攻速8核9平台a伤害
20	14345 13213	 * 	216.49	橙1散射对甲1双倍秒伤1易伤1伤害1时间1卖塔	1散射对喷气2时间3伤害4易伤5电球减费6低血量敌人7散射对甲8卖塔9核a双倍秒伤
21	16235 33213	 * 	216.49	橙1散射对甲1双倍秒伤1易伤1伤害1时间1卖塔	1散射对喷气2易伤3最后敌人4伤害5电球减费6时间7散射对甲8卖塔9核a双倍秒伤
22	16315 33213	 * 	216.49	橙1散射对甲1双倍秒伤1易伤1伤害1时间1卖塔	1散射对喷气2易伤3伤害4最后敌人5电球减费6时间7散射对甲8卖塔9核a双倍秒伤
23	16325 53213	 * 	216.49	橙1散射对甲1双倍秒伤1易伤1伤害1时间1卖塔	1散射对喷气2易伤3伤害4低血量敌人5电球减费6时间7散射对甲8卖塔9核a双倍秒伤
24	16335 13213	 * 	216.49	橙1散射对甲1双倍秒伤1易伤1伤害1时间1卖塔	1散射对喷气2易伤3伤害4时间5电球减费6低血量敌人7散射对甲8卖塔9核a双倍秒伤
25	16535 13213	 * 	216.49	橙1散射对甲1双倍秒伤1易伤1伤害1时间1卖塔	1散射对喷气2易伤3时间4伤害5电球减费6低血量敌人7散射对甲8卖塔9核a双倍秒伤
26	16124 31522	 * 	216.27	橙1双倍秒伤2伤害2攻速1易伤1全技能1核弹	18散射对喷气2易伤3双倍秒伤48攻速58伤害6全技能7核8序列升级9技能点a核弹
27	16124 31512	   	216.17	橙1双倍秒伤2伤害2攻速1易伤1全技能1核弹	18散射对喷气2易伤3双倍秒伤48攻速58伤害6全技能7核8序列升级9等级a核弹
28	61221 66131	 * 	215.92	橙4易伤1散射对甲1伤害1技能	1敌人爆炸256掉矿3456易伤56序列升级7伤害8核9技能a散射对甲
29	14533 33133	 * 	214.37	橙1散射对甲2易伤1全技能2时间1攻速	1散射对喷气2a时间3全技能4散射对甲56易伤7攻速8核9平台
30	14533 33141	   	214.37	橙1散射对甲2易伤1全技能2时间1攻速	1散射对喷气2a时间3全技能4散射对甲56易伤7攻速8核9电球减费
31	14533 33151	   	214.37	橙1散射对甲2易伤1全技能2时间1攻速	1散射对喷气2a时间3全技能4散射对甲56易伤7攻速8核9基地爆炸
32	14533 33161	   	214.37	橙1散射对甲2易伤1全技能2时间1攻速	1散射对喷气2a时间3全技能4散射对甲56易伤7攻速8核9敌人爆炸
33	35216 24332	 * 	214.22	橙1散射对甲1双倍秒伤1易伤1暴击1技能1时间	1最后敌人2暴击3低血量敌人4金币生成5时间6易伤7核8技能9散射对甲a双倍秒伤
34	35315 24332	   	214.22	橙1散射对甲1双倍秒伤1易伤1暴击1技能1时间	1最后敌人2暴击3时间4金币生成5敌人爆炸6易伤7核8技能9散射对甲a双倍秒伤
35	65311 24332	   	214.22	橙1散射对甲1双倍秒伤1易伤1暴击1技能1时间	1敌人爆炸2暴击3时间4金币生成5最后敌人6易伤7核8技能9散射对甲a双倍秒伤
36	66211 24332	   	214.22	橙1散射对甲1双倍秒伤1易伤1暴击1技能1时间	1敌人爆炸2时间3金币生成4暴击5最后敌人6易伤7核8技能9散射对甲a双倍秒伤
37	34216 24332	   	214.12	橙1散射对甲1双倍秒伤1易伤1暴击1技能1时间	1最后敌人2挖尘3金币生成4暴击5时间6易伤7核8技能9散射对甲a双倍秒伤
38	35116 24332	   	214.12	橙1散射对甲1双倍秒伤1易伤1暴击1技能1时间	1最后敌人2暴击3挖尘4金币生成5时间6易伤7核8技能9散射对甲a双倍秒伤
39	46211 24332	   	214.12	橙1散射对甲1双倍秒伤1易伤1暴击1技能1时间	1挖尘2时间3金币生成4暴击5最后敌人6易伤7核8技能9散射对甲a双倍秒伤
40	11413 33133	   	214.01	橙1散射对甲1双倍秒伤2伤害1时间	1散射对喷气2矿等37伤害4时间5立即金币6核8等级9散射对甲a双倍秒伤
41	33241 54331	 * 	213.28	橙1散射对甲2易伤1双倍秒伤1全技能2策反	1最后敌人24策反34易伤4序列升级5电塔对甲6核7双倍秒伤8散射对甲9平台a全技能
42	16265 33213	 * 	212.67	橙1散射对甲1双倍秒伤1易伤1攻速1时间1卖塔	1散射对喷气2易伤3最后敌人4攻速5电球减费6时间7散射对甲8卖塔9核a双倍秒伤
43	14353 23222	 * 	210.48	橙2伤害1易伤1全技能2时间1攻速1暴击	1散射对喷气24时间34伤害4序列升级5敌人爆炸6攻速7全技能8易伤9暴击a核
44	25242 31163	 * 	210.19	橙3易伤3时间1伤害1攻速1技能	1技能245时间349易伤4序列升级6伤害7矿等8核a攻速
45	33221 54331	   	209.96	橙1散射对甲2易伤1双倍秒伤1全技能1策反	1最后敌人2策反34易伤5电塔对甲6核7双倍秒伤8散射对甲9平台a全技能
46	33221 54352	   	209.96	橙1散射对甲2易伤1双倍秒伤1全技能1策反	1最后敌人2策反34易伤5电塔对甲6核7双倍秒伤8散射对甲9金币生成a全技能
47	33221 54342	   	209.86	橙1散射对甲2易伤1双倍秒伤1全技能1策反	1最后敌人2策反34易伤5电塔对甲6核7双倍秒伤8散射对甲9掉矿a全技能
48	16124 31532	   	209.85	橙1双倍秒伤2伤害2攻速1易伤1全技能1暴击	18散射对喷气2易伤3双倍秒伤48攻速58伤害6全技能7核8序列升级9立即金币a暴击
49	25242 32132	 * 	209.53	橙3易伤2伤害3时间1技能	1技能245时间34a易伤4序列升级68伤害7基地爆炸9核
