0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62335 16232	9	 * 	297.02	橙4易伤2伤害2等级1时间1暴击	147a易伤2平台3暴击57伤害67等级7序列升级8时间9核
64	35162 35131	4	   	270.57	橙5易伤2时间1等级	1随机矿23479易伤57时间67敌人爆炸7序列升级8等级a核
65	63342 35131	1	   	270.57	橙5易伤2时间1等级	12379易伤27序列升级4随机矿57时间67敌人爆炸8等级a核
66	63326 15131	1	   	270.57	橙5易伤2时间1等级	12379易伤27序列升级47低血量敌人5随机矿67时间8等级a核
67	63341 15131	1	   	270.57	橙5易伤2时间1等级	12379易伤27序列升级4随机矿57敌人爆炸67时间8等级a核
68	63161 12622	8	   	270.47	橙5易伤2时间1等级	13468易伤2等级58时间78策反8序列升级9掉矿a核
69	63161 12622	9	   	270.47	橙5易伤2时间1等级	13468易伤2等级58时间78策反8序列升级9掉矿a核
70	63145 12111	7	   	270.43	橙3易伤2伤害2等级1时间	136易伤28等级4a伤害5攻速7核9时间
71	32155 62131	3	   	270.37	橙5易伤2时间1等级	1随机矿25时间35679易伤4挖青5序列升级8等级a核
72	63161 31312	6	   	270.37	橙5易伤2时间1等级	13478易伤2等级58时间68掉矿8序列升级9策反a核
73	63161 31321	6	   	270.37	橙5易伤2时间1等级	13478易伤2等级58时间68掉矿8序列升级9低血量敌人a核
74	63161 31351	6	   	270.37	橙5易伤2时间1等级	13478易伤2等级58时间68掉矿8序列升级9敌人爆炸a核
75	32164 61121	3	   	270.35	橙4易伤3时间2攻速2雷电	1随机矿245时间349a易伤49序列升级6核79雷电89攻速
76	63145 12231	9	   	270.19	橙3易伤2伤害1等级2攻速1时间	136易伤2等级4a伤害59攻速7核8时间
77	63143 63331	6	 * 	269.79	橙3易伤3伤害2等级1卖塔	137易伤27等级457伤害6随机矿7序列升级8卖塔9雷电a核
78	62112 16314	7	 * 	269.07	橙4易伤3时间2暴击	1679易伤2平台3全技能47低血量敌人579时间79序列升级89暴击a核
79	32131 16361	6	   	268.82	橙3易伤2伤害2时间1等级	1随机矿2a时间34a易伤5矿等6等级7核8a伤害9额外掉落a序列升级
80	32133 16361	6	   	268.72	橙3易伤2伤害2时间1等级	1随机矿2a时间34a易伤5掉矿6等级7核8a伤害9额外掉落a序列升级
81	32135 14222	5	   	268.72	橙3易伤2伤害2时间1等级	1随机矿28时间346易伤56伤害6序列升级7额外掉落9等级a核
82	32224 33342	2	   	268.72	橙3易伤2伤害2时间1等级	1随机矿28时间3等级4平台5赏金塔68a易伤78伤害8序列升级9核
83	32225 33342	2	   	268.72	橙3易伤2伤害2时间1等级	1随机矿28时间3等级4平台58a易伤6赏金邻近78伤害8序列升级9核
84	63136 27232	10	   	268.72	橙3易伤2伤害2时间1等级	137易伤2等级4加一57伤害67策反7序列升级8a时间9核
85	35145 12131	7	   	267.90	橙5易伤1等级1伤害	1随机矿2369a易伤4伤害5攻速7核8等级
86	66143 12131	7	   	267.90	橙5易伤1等级1伤害	1369a易伤2攻速4伤害5矿等7核8等级
87	66162 32131	7	   	267.90	橙5易伤1等级1伤害	1349a易伤2攻速5金币生成6伤害7核8等级
88	63252 35331	7	 * 	267.87	橙5易伤2等级3雷电	15679易伤27等级37敌人爆炸456雷电567序列升级8随机矿a核
89	63312 11434	1	   	267.84	橙4易伤2时间1伤害1暴击	1239易伤2序列升级4攻速56时间7伤害8核a暴击
90	63136 41533	6	   	267.80	橙5易伤1等级1伤害	13679易伤2等级4加一5伤害8核a雷电
91	63136 31544	6	   	267.59	橙3易伤2伤害1等级1时间1暴击	137易伤2等级4加一56伤害8核9暴击a时间
92	63136 11531	6	   	267.57	橙5易伤2等级1伤害	1379a易伤26等级4加一5伤害8核
93	63145 12233	10	   	267.19	橙3易伤2时间1等级1伤害2攻速	136易伤2等级4伤害59攻速7核8a时间
