0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22222 22372	9	 * 	266.61	橙3易伤3时间2伤害	1随机矿279挖尘3加一47伤害579时间6核79序列升级89a易伤
45	21416 23343	10	   	241.21	紫3易伤2伤害2时间2等级1卖塔	1随机矿2核3卖塔48a易伤5a时间68等级78伤害8a序列升级9a敌人爆炸
46	32412 16261	10	   	241.09	橙2易伤3伤害1等级1暴击	1矿等257伤害3等级4暴击6挖尘89易伤a核
47	21416 23323	10	   	241.01	紫3易伤2伤害2时间2等级1卖塔	1随机矿2核3卖塔48a易伤5a时间68等级78伤害8a序列升级9a挖尘
48	42264 43415	7	   	240.95	橙4易伤1伤害1暴击	1挖尘256掉矿3加一456a易伤56序列升级7伤害8暴击9核
49	46313 42112	1	   	240.71	橙3易伤1等级1时间1暴击1全技能	17挖尘2全技能347易伤57矿等6核7序列升级8暴击9等级a时间
50	46313 31112	1	   	240.61	橙3易伤1等级1时间1暴击1全技能	1挖尘2全技能346易伤5矿等7核8暴击9等级a时间
51	46313 31241	1	   	240.61	橙3易伤1等级1时间1暴击1全技能	1挖尘2全技能346易伤5矿等7核8时间9等级a暴击
52	46343 31112	1	   	240.61	橙3易伤1等级1时间1暴击1全技能	14挖尘2全技能346易伤4序列升级5矿等7核8暴击9等级a时间
53	22322 14345	1	   	239.94	橙4易伤1等级1时间	1随机矿2时间3掉矿478a易伤5等级6基地爆炸9核
54	23322 53345	3	   	239.94	橙4易伤1等级1时间	1随机矿2掉矿3敌人爆炸478a易伤5等级6时间9核
55	31322 53345	2	   	239.94	橙4易伤1等级1时间	1矿等2基地爆炸3掉矿478a易伤5等级6时间9核
56	22213 31286	1	   	239.86	橙3易伤3时间1攻速	1随机矿248时间3赏金塔589易伤6核7加一8序列升级a攻速
57	22423 31286	1	   	239.86	橙3易伤3时间1攻速	1随机矿238时间4赏金塔589易伤6核7加一8序列升级a攻速
58	22322 53345	2	   	239.84	橙4易伤1等级1时间	1随机矿2挖尘3掉矿478a易伤5等级6时间9核
59	22322 63345	1	   	239.84	橙4易伤1等级1时间	1随机矿2时间3掉矿478a易伤5等级6挖尘9核
60	31322 53345	1	   	239.84	橙4易伤1时间1等级	1矿等2挖尘3掉矿478a易伤5等级6时间9核
61	22222 22371	9	   	239.70	橙2易伤3时间2伤害	1随机矿279挖尘3加一47伤害579时间6核79序列升级89易伤a金币生成
62	22222 22372	10	   	239.70	橙2易伤3时间2伤害	1随机矿279挖尘3加一47伤害579时间6核79序列升级89易伤a最后敌人
63	22222 22374	10	   	239.70	橙2易伤3时间2伤害	1随机矿279挖尘3加一47伤害579时间6核79序列升级89易伤a矿等
64	22222 22374	9	   	239.70	橙2易伤3时间2伤害	1随机矿279挖尘3加一47伤害579时间6核79序列升级89易伤a平台
65	22222 22375	9	   	239.70	橙2易伤3时间2伤害	1随机矿279挖尘3加一47伤害579时间6核79序列升级89易伤a低血量敌人
66	22222 22376	10	   	239.70	橙2易伤3时间2伤害	1随机矿279挖尘3加一47伤害579时间6核79序列升级89易伤a平台
67	22222 22377	9	   	239.70	橙2易伤3时间2伤害	1随机矿279挖尘3加一47伤害579时间6核79序列升级89易伤a双倍矿
68	22222 22378	9	   	239.70	橙2易伤3时间2伤害	1随机矿279挖尘3加一47伤害579时间6核79序列升级89易伤a最后敌人
69	42222 45331	1	   	239.60	橙2易伤3时间2伤害	1挖尘258时间36伤害4低血量敌人7a易伤9核
70	22222 22734	9	   	239.60	橙2易伤3时间2伤害	1随机矿27a挖尘3加一47伤害57a时间6核7a序列升级8双倍物品9a易伤
71	32223 35635	2	   	239.00	橙3易伤2伤害1等级	168矿等28伤害3金币生成4等级58a易伤7双倍矿8序列升级9核
72	32223 36635	2	   	239.00	橙3易伤2伤害1等级	168矿等28伤害37金币生成4等级58a易伤8序列升级9核
73	32435 15331	9	   	239.00	橙3易伤2伤害1等级	159矿等29伤害3等级4立即金币6敌人爆炸79a易伤8核9序列升级
74	33223 35635	1	   	239.00	橙3易伤2伤害1等级	168矿等28伤害3金币生成4等级58a易伤7双倍矿8序列升级9核
75	33223 36635	1	   	239.00	橙3易伤2伤害1等级	168矿等28伤害37金币生成4等级58a易伤8序列升级9核
76	32412 26221	10	   	238.87	橙3伤害1易伤2时间1等级1暴击	1矿等257伤害3等级4暴击69时间8易伤a核
77	32211 16535	2	   	238.80	橙3易伤2伤害1时间	1矿等25伤害3金币生成48a易伤6低血量敌人7时间9核
78	32353 42315	5	   	238.80	橙3易伤2伤害1时间	1矿等25伤害3敌人爆炸46a易伤7时间8核9金币生成
79	32353 42352	5	   	238.80	橙3易伤2伤害1时间	1矿等25伤害3敌人爆炸469易伤7时间8核a低血量敌人
80	32353 42353	5	   	238.80	橙3易伤2伤害1时间	1矿等25伤害3a敌人爆炸469易伤7时间8核
81	33211 16535	1	   	238.80	橙3易伤2伤害1时间	1矿等25伤害3金币生成48a易伤6低血量敌人7时间9核
82	52412 26221	10	   	238.77	橙3伤害1易伤2时间1等级1暴击	1掉矿257伤害3等级4暴击69时间8易伤a核
83	32311 16535	2	   	238.70	橙3易伤2伤害1时间	1矿等25伤害3掉矿48a易伤6低血量敌人7时间9核
84	32353 42351	5	   	238.70	橙3易伤2伤害1时间	1矿等25伤害3敌人爆炸469易伤7时间8核a挖尘
85	33311 16535	1	   	238.70	橙3易伤2伤害1时间	1矿等25伤害3掉矿48a易伤6低血量敌人7时间9核
86	36533 33113	1	 * 	238.61	橙4易伤2攻速1全技能	1a矿等2全技能367a易伤4随机矿5a攻速8额外掉落9核a序列升级
87	32311 66381	2	   	238.60	橙3易伤2伤害1时间	1矿等25伤害3掉矿479易伤6加一8核a时间
88	33311 66381	1	   	238.60	橙3易伤2伤害1时间	1矿等25伤害3掉矿479易伤6加一8核a时间
89	52212 21526	6	   	238.60	橙3易伤2伤害1等级	1掉矿28伤害3平台456易伤7等级9赏金塔a核
90	52212 23526	6	   	238.60	橙3易伤2伤害1等级	1掉矿27伤害3平台456易伤8等级9赏金塔a核
91	22213 31244	1	   	238.52	橙3易伤3时间1全技能	1随机矿248时间3赏金塔58a易伤6核7加一8a序列升级9全技能
92	22423 31244	1	   	238.52	橙3易伤3时间1全技能	1随机矿238时间4赏金塔58a易伤6核7加一8a序列升级9全技能
93	52212 23215	9	   	238.51	橙4易伤1伤害1攻速	1掉矿2伤害3平台456a易伤7敌人爆炸8攻速9核
94	54533 33113	1	   	238.41	橙4易伤2攻速1全技能	1a掉矿267a易伤3全技能4随机矿5a攻速8额外掉落9核a序列升级
95	56533 33113	1	   	238.41	橙4易伤2攻速1全技能	1a掉矿2全技能367a易伤4随机矿5a攻速8额外掉落9核a序列升级
96	52212 21215	9	   	238.41	橙4易伤1伤害1攻速	1掉矿2伤害3平台456a易伤7挖尘8攻速9核
97	42264 43524	9	   	238.31	橙4易伤1伤害1攻速	1挖尘256掉矿3加一456a易伤56序列升级7伤害8攻速9核
98	31223 37386	6	   	238.30	橙3易伤3伤害	19矿等2基地爆炸3加一459伤害6平台789易伤9序列升级a核
99	31223 83186	8	   	238.30	橙3易伤3伤害	19矿等2基地爆炸3加一459伤害679易伤8平台9序列升级a核
100	22213 31234	1	   	238.26	橙2易伤3时间1伤害1等级	1随机矿248时间3赏金塔58易伤6核7加一8序列升级9伤害a等级
101	22423 31234	1	   	238.26	橙2易伤3时间1伤害1等级	1随机矿238时间4赏金塔58易伤6核7加一8序列升级9伤害a等级
102	42264 24744	5	   	238.07	橙4易伤2时间	18挖尘25掉矿3加一4589易伤58序列升级6挖青78时间a核
103	32322 63234	2	   	237.75	橙2易伤2伤害1等级2雷电1攻速	1矿等2a伤害3掉矿4等级5a易伤6加一7攻速8a雷电9核a序列升级
104	32412 63234	3	   	237.75	橙2易伤2伤害1等级2雷电1攻速	1矿等2a伤害3等级4掉矿5a易伤6加一7攻速8a雷电9核a序列升级
105	32444 53234	3	   	237.75	橙2易伤2伤害1等级2雷电1攻速	1矿等2a伤害3等级4加一5掉矿6a易伤7攻速8a雷电9核a序列升级
106	33322 63234	1	   	237.75	橙2易伤2伤害1等级2雷电1攻速	1矿等2a伤害3掉矿4等级5a易伤6加一7攻速8a雷电9核a序列升级
107	52224 63234	2	   	237.75	橙2易伤2伤害1等级2雷电1攻速	1掉矿2a伤害3金币生成4等级5a易伤6加一7攻速8a雷电9核a序列升级
108	53224 63234	1	   	237.75	橙2易伤2伤害1等级2雷电1攻速	1掉矿2a伤害3金币生成4等级5a易伤6加一7攻速8a雷电9核a序列升级
109	54211 53234	1	   	237.75	橙2易伤2伤害1等级2雷电1攻速	1掉矿2a易伤3等级4加一5金币生成6a伤害7攻速8a雷电9核a序列升级
110	31214 88843	9	   	237.47	橙3易伤3时间	17矿等25基地爆炸3加一457时间57序列升级67a易伤8核9雷电
111	22222 22331	9	   	237.38	橙2易伤2伤害2时间1攻速	1随机矿27挖尘3加一47伤害57时间6核7序列升级8a易伤9攻速
112	22222 22333	10	   	237.38	橙2易伤2伤害2时间1攻速	1随机矿27挖尘3加一47伤害57时间6核7序列升级8a易伤9攻速
113	22222 22345	8	   	237.38	橙2易伤2伤害2时间1攻速	1随机矿27挖尘3加一47伤害57时间6核7序列升级89易伤a攻速
114	22222 22481	9	   	237.38	橙2易伤2伤害2时间1攻速	1随机矿27挖尘3加一47伤害57时间6核7序列升级8攻速9a易伤
115	22222 22483	10	   	237.38	橙2易伤2伤害2时间1攻速	1随机矿27挖尘3加一47伤害57时间6核7序列升级8攻速9a易伤
116	31225 21721	6	   	237.36	橙3易伤1伤害1等级1时间	1矿等2基地爆炸3加一4伤害59a易伤6核7时间8等级
117	31225 28721	7	   	237.36	橙3易伤1伤害1等级1时间	1矿等2基地爆炸3加一4伤害59a易伤6核7时间8等级
118	36225 21721	6	   	237.36	橙3易伤1伤害1等级1时间	1矿等2敌人爆炸3加一4伤害59a易伤6核7时间8等级
119	36225 28321	8	   	237.36	橙3易伤1伤害1等级1时间	1矿等2敌人爆炸3加一4伤害59a易伤6核7时间8等级
120	44112 36113	10	 * 	237.30	橙2易伤3伤害3暴击	1a挖尘257伤害3双倍矿48a暴击6a易伤9核a序列升级
121	44312 36113	10	   	237.30	橙2易伤3伤害3暴击	1a挖尘257伤害3立即金币48a暴击6a易伤9核a序列升级
122	31225 83463	10	   	237.26	橙4易伤1伤害1全技能	16矿等2基地爆炸3加一4伤害567a易伤6序列升级8核9全技能
123	22225 21721	6	   	237.26	橙3易伤1伤害1等级1时间	1随机矿2挖尘3加一4伤害59a易伤6核7时间8等级
124	22225 28321	8	   	237.26	橙3易伤1伤害1等级1时间	1随机矿2挖尘3加一4伤害59a易伤6核7时间8等级
125	22225 28721	7	   	237.26	橙3易伤1伤害1等级1时间	1随机矿2挖尘3加一4伤害59a易伤6核7时间8等级
126	35225 21721	6	   	237.26	橙3易伤1伤害1等级1时间	1矿等2挖尘3加一4伤害59a易伤6核7时间8等级
127	35225 28321	8	   	237.26	橙3易伤1伤害1等级1时间	1矿等2挖尘3加一4伤害59a易伤6核7时间8等级
128	51222 27721	6	   	237.26	橙3易伤1伤害1等级1时间	1掉矿2基地爆炸3加一4伤害5时间6核79a易伤8等级
129	51225 21721	6	   	237.26	橙3易伤1伤害1等级1时间	1掉矿2基地爆炸3加一4伤害59a易伤6核7时间8等级
130	42225 21721	6	   	237.16	橙3易伤1伤害1时间1等级	1挖尘2掉矿3加一4伤害59a易伤6核7时间8等级
131	42225 28321	8	   	237.16	橙3易伤1伤害1时间1等级	1挖尘2掉矿3加一4伤害59a易伤6核7时间8等级
132	42262 21721	6	   	237.16	橙3易伤1伤害1时间1等级	1挖尘2掉矿3加一49a易伤5伤害6核7时间8等级
133	42262 28321	8	   	237.16	橙3易伤1伤害1时间1等级	1挖尘2掉矿3加一49a易伤5伤害6核7时间8等级
134	46342 13232	1	   	237.06	橙4易伤1伤害1核弹1全技能	145挖尘2全技能3458易伤458序列升级6核弹7核9伤害a最后敌人
135	46342 13233	1	   	237.06	橙4易伤1伤害1核弹1全技能	145挖尘2全技能3458易伤458序列升级6核弹7核9伤害a立即金币
136	22342 13244	10	 * 	236.84	橙3易伤2时间2攻速	1随机矿236挖尘38序列升级48攻速58时间78a易伤9核
