0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65243 33223	2	 * 	303.30	橙4易伤3伤害3暴击1等级	147伤害234暴击47序列升级579a易伤6核8等级
30	62422 33153	1	   	276.12	橙4易伤2伤害2时间	17伤害2挖尘37时间478a易伤5随机矿6核7序列升级9策反
31	64422 33113	2	   	276.12	橙4易伤2伤害2时间	17伤害2挖尘37时间478a易伤5随机矿6核7序列升级9矿等
32	64422 33123	2	   	276.12	橙4易伤2伤害2时间	17伤害2挖尘37时间478a易伤5随机矿6核7序列升级9金币生成
33	64422 33132	2	   	276.12	橙4易伤2伤害2时间	17伤害2挖尘37时间478a易伤5随机矿6核7序列升级9最后敌人
34	55213 33113	4	   	276.12	橙4易伤2伤害2时间	1随机矿27时间3挖尘47伤害578a易伤6核7序列升级9矿等
35	55213 33123	4	   	276.12	橙4易伤2伤害2时间	1随机矿27时间3挖尘47伤害578a易伤6核7序列升级9金币生成
36	55213 33132	4	   	276.12	橙4易伤2伤害2时间	1随机矿27时间3挖尘47伤害578a易伤6核7序列升级9最后敌人
37	55213 33153	4	   	276.12	橙4易伤2伤害2时间	1随机矿27时间3挖尘47伤害578a易伤6核7序列升级9策反
38	25262 11261	4	   	273.42	橙4易伤2伤害2等级1卖塔	19等级2479易伤3雷电5金币生成6卖塔89伤害9序列升级a核
39	25343 11261	2	   	273.42	橙4易伤2伤害2等级1卖塔	19等级2379易伤4矿等5雷电6卖塔89伤害9序列升级a核
40	25353 11261	2	   	273.42	橙4易伤2伤害2等级1卖塔	19等级2379易伤4金币生成5雷电6卖塔89伤害9序列升级a核
41	25412 31261	3	   	273.42	橙4易伤2伤害2等级1卖塔	19等级2579易伤3矿等4卖塔6雷电89伤害9序列升级a核
42	25212 33561	5	   	273.32	橙4易伤2伤害2等级1卖塔	19等级2789易伤3雷电4掉矿59伤害6卖塔9序列升级a核
43	25216 11261	5	   	273.32	橙4易伤2伤害2等级1卖塔	19等级2579易伤3雷电4掉矿6卖塔89伤害9序列升级a核
