0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51124 35222	7	 * 	314.50	橙4易伤3伤害3暴击1等级1攻速	1489易伤2攻速389伤害5敌人爆炸6等级789暴击89序列升级a核
27	52633 35121	9	   	305.10	橙4易伤3伤害3时间	1678易伤238时间4双倍矿58a伤害8序列升级9核
28	51122 45222	7	   	298.25	橙4易伤3伤害3暴击1攻速	1489易伤2攻速389伤害5最后敌人6金币生成789暴击89序列升级a核
29	51122 65222	7	   	298.15	橙4易伤3伤害3暴击1攻速	1489易伤2攻速389伤害5最后敌人6掉矿789暴击89序列升级a核
30	52363 33225	9	   	297.23	橙5易伤2伤害1等级1时间	16789易伤2时间3等级45伤害a核
31	52343 33331	4	   	296.43	橙3易伤3时间2伤害2等级	15a易伤246时间3a等级7全技能8核9a伤害a序列升级
32	13123 35122	10	   	295.76	橙5易伤2伤害2时间	1立即金币24678易伤38时间58伤害8序列升级9核a策反
33	13123 35122	9	   	295.76	橙5易伤2伤害2时间	1立即金币24678易伤38时间58伤害8序列升级9核a矿等
34	13123 35124	10	   	295.76	橙5易伤2伤害2时间	1立即金币24678易伤38时间58伤害8序列升级9核a最后敌人
35	13123 35124	9	   	295.76	橙5易伤2伤害2时间	1a立即金币24678易伤38时间58伤害8序列升级9核
36	13123 35126	10	   	295.76	橙5易伤2伤害2时间	1立即金币24678易伤38时间58伤害8序列升级9核a随机矿
37	13123 35123	10	   	295.66	橙5易伤2伤害2时间	1立即金币24678易伤38时间58伤害8序列升级9核a挖尘
38	13123 35125	10	   	295.66	橙5易伤2伤害2时间	1立即金币24678易伤38时间58伤害8序列升级9核a掉矿
39	13123 35125	9	   	295.66	橙5易伤2伤害2时间	1立即金币24678易伤38时间58伤害8序列升级9核a掉矿
40	13123 35123	9	   	295.52	橙5易伤2伤害2时间1卖塔	1立即金币24678易伤38时间58伤害8序列升级9核a卖塔
41	52341 33225	9	   	294.23	橙5易伤2时间1伤害1等级	16789易伤24时间3等级5伤害a核
42	51111 51161	4	   	293.47	橙3易伤3伤害3时间1攻速	19a易伤2攻速39a伤害4掉矿5基地爆炸6挖青79a时间8核9a序列升级
43	51112 51161	4	   	293.47	橙3易伤3伤害3时间1攻速	19a易伤2攻速39a伤害4掉矿5敌人爆炸6挖青79a时间8核9a序列升级
44	51115 31161	4	   	293.37	橙3易伤3伤害3时间1攻速	19a易伤2攻速39a伤害4掉矿5挖青6挖尘79a时间8核9a序列升级
45	52334 26322	6	   	292.47	橙4易伤2伤害2时间1等级	1578易伤27时间3等级4策反67伤害7序列升级9金币生成a核
46	52134 26332	6	   	292.47	橙4易伤2伤害2时间1等级	1578易伤27时间3金币生成4策反67伤害7序列升级9等级a核
47	52334 26332	6	   	292.37	橙4易伤2伤害2时间1等级	1578易伤27时间3等级4策反67伤害7序列升级9掉矿a核
48	52341 23224	10	   	292.27	橙4易伤2伤害2时间1等级	1789易伤24时间3等级56伤害a核
49	51123 35162	5	 * 	291.92	橙4易伤3伤害2攻速	1478易伤28攻速358伤害6全技能8序列升级9核a双倍矿
50	51123 35163	5	   	291.92	橙4易伤3伤害2攻速	1478易伤28攻速358伤害6全技能8序列升级9核a敌人爆炸
51	51134 35222	7	   	291.86	橙3易伤3伤害3暴击1等级1攻速	189易伤2攻速389伤害4双倍矿5敌人爆炸6等级789暴击89序列升级a核
52	51123 35161	5	   	291.82	橙4易伤3伤害2攻速	1478易伤28攻速358伤害6全技能8序列升级9核a赏金塔
53	12123 35122	10	   	289.45	橙4易伤3时间2伤害	1立即金币238时间4678易伤58伤害8序列升级9核a策反
54	12123 35124	10	   	289.45	橙4易伤3时间2伤害	1立即金币238时间4678易伤58伤害8序列升级9核a矿等
55	12123 35124	9	   	289.45	橙4易伤3时间2伤害	1a立即金币238时间4678易伤58伤害8序列升级9核
56	12123 35125	10	   	289.45	橙4易伤3时间2伤害	1立即金币238时间4678易伤58伤害8序列升级9核a最后敌人
57	12123 35126	9	   	289.45	橙4易伤3时间2伤害	1立即金币238时间4678易伤58伤害8序列升级9核a低血量敌人
58	12123 35312	8	   	289.45	橙4易伤3时间2伤害	18立即金币239时间4679易伤59伤害9序列升级a核
59	52623 36312	8	   	289.45	橙4易伤3时间2伤害	1469易伤239时间59伤害78立即金币9序列升级a核
60	52633 35312	8	   	289.45	橙4易伤3时间2伤害	1679易伤239时间4双倍矿59伤害8立即金币9序列升级a核
61	52633 36122	8	   	289.45	橙4易伤3时间2伤害	1689易伤238时间4双倍矿58伤害7立即金币8序列升级a核
62	52633 36312	7	   	289.45	橙4易伤3时间2伤害	1689易伤239时间4双倍矿59伤害7立即金币9序列升级a核
63	12123 36122	8	   	289.45	橙4易伤3时间2伤害	17立即金币238时间4689易伤58伤害8序列升级a核
64	12123 36162	9	   	289.45	橙4易伤3时间2伤害	17立即金币238时间4689易伤58伤害8序列升级a核
65	12123 36312	7	   	289.45	橙4易伤3时间2伤害	17立即金币239时间4689易伤59伤害9序列升级a核
66	52623 36122	10	   	289.45	橙4易伤3时间2伤害	1468易伤238时间58伤害7立即金币8序列升级9核a策反
67	52633 35122	10	   	289.45	橙4易伤3时间2伤害	1678易伤238时间4双倍矿58伤害8序列升级9核a策反
68	12123 35123	10	   	289.35	橙4易伤3时间2伤害	1立即金币238时间4678易伤58伤害8序列升级9核a挖尘
69	12123 35125	9	   	289.35	橙4易伤3时间2伤害	1立即金币238时间4678易伤58伤害8序列升级9核a掉矿
70	12123 35155	8	   	289.35	橙4易伤3时间2伤害	1立即金币238时间4678易伤58伤害8序列升级9掉矿a核
71	52623 33161	6	   	289.35	橙4易伤3时间2伤害	1469易伤239时间59伤害7赏金邻近8核9序列升级a矿等
72	52623 33163	6	   	289.35	橙4易伤3时间2伤害	1469易伤239时间59伤害7赏金邻近8核9序列升级a敌人爆炸
73	52623 36123	10	   	289.35	橙4易伤3时间2伤害	1468易伤238时间58伤害7立即金币8序列升级9核a挖尘
74	52633 35123	10	   	289.35	橙4易伤3时间2伤害	1678易伤238时间4双倍矿58伤害8序列升级9核a挖尘
75	52623 33162	6	   	289.25	橙4易伤3时间2伤害	1469易伤239时间59伤害7赏金邻近8核9序列升级a掉矿
76	12123 35123	9	   	289.21	橙4易伤3时间2伤害1卖塔	1立即金币238时间4678易伤58伤害8序列升级9核a卖塔
77	52623 36123	9	   	289.21	橙4易伤3时间2伤害1卖塔	1468易伤238时间58伤害7立即金币8序列升级9核a卖塔
78	52633 35123	9	   	289.21	橙4易伤3时间2伤害1卖塔	1678易伤238时间4双倍矿58伤害8序列升级9核a卖塔
79	53333 36112	3	   	287.74	橙5易伤2时间2等级	1457a易伤2低血量敌人37等级67时间7序列升级8核9全技能
80	54333 36112	3	   	287.74	橙5易伤2时间2等级	1457a易伤2最后敌人37等级67时间7序列升级8核9全技能
81	53333 36125	3	   	286.91	橙4易伤2时间2等级1伤害	1457易伤2低血量敌人37等级67时间7序列升级8核9雷电a伤害
82	12123 52145	6	   	286.77	橙3易伤3时间2伤害2等级	1立即金币238时间479易伤59伤害69等级9序列升级a核
83	12123 53145	7	   	286.77	橙3易伤3时间2伤害2等级	1立即金币238时间479易伤59伤害69等级9序列升级a核
84	12123 44611	7	   	285.79	橙4易伤2伤害2时间	1立即金币23时间469a易伤56伤害6序列升级7全技能8核
85	12123 44611	6	   	285.79	橙4易伤2伤害2时间	1立即金币23时间469a易伤56伤害6序列升级7全技能8核
86	13123 44611	7	   	285.79	橙4易伤2伤害2时间	1立即金币249a易伤36时间56伤害6序列升级7全技能8核
87	13123 44611	6	   	285.79	橙4易伤2伤害2时间	1立即金币249a易伤36时间56伤害6序列升级7全技能8核
88	21343 43261	4	 * 	285.39	橙3易伤3伤害3攻速1时间	1挖尘29a攻速3基地爆炸4时间59a易伤6掉矿7核89a伤害9a序列升级
89	21423 14161	6	   	285.39	橙3易伤3伤害3攻速1时间	1挖尘29a攻速3掉矿4时间59a伤害6敌人爆炸79a易伤8核9a序列升级
90	51211 14151	2	 * 	284.60	橙5易伤2攻速1伤害1时间	13567易伤24攻速8核9时间a伤害
