0	Index      	 *	Score 	Summary	Detail	
1	15414 48348	 * 	286.08	橙橙2易伤3攻速	14a攻速2加一34易伤4序列升级5基地爆炸69核7随机矿8双倍秒伤
21	15241 33455	   	266.97	橙橙1易伤1攻速1暴击1全技能1平台	1攻速2加一3全技能4挖尘5平台6双倍矿7易伤89核a暴击
22	15261 22453	   	265.88	橙橙1易伤2攻速1全技能1平台	17攻速2加一3全技能4基地爆炸5平台6易伤89核a赏金塔
23	15261 22454	   	265.88	橙橙1易伤2攻速1全技能1平台	17攻速2加一3全技能4基地爆炸5平台6易伤89核a低血量敌人
24	15261 22452	   	265.78	橙橙1易伤2攻速1全技能1平台1挖怪	17攻速2加一3全技能4基地爆炸5平台6易伤89核a挖怪
25	15822 13116	   	265.12	橙3易伤2伤害2攻速1矿等	19攻速2加一3金币生成4赏金邻近59伤害689易伤7核9序列升级a矿等
26	15842 13116	   	265.12	橙3易伤2伤害2攻速1矿等	19攻速2加一3金币生成4赏金塔59伤害689易伤7核9序列升级a矿等
27	52241 31163	   	262.13	橙橙1易伤1伤害1暴击1策反	1赏金塔2时间3双倍秒伤4策反5伤害6a核7掉矿8易伤9暴击
28	52241 36113	   	262.13	橙橙1易伤1伤害1暴击1策反	1赏金塔2时间3双倍秒伤4策反5伤害6a核7暴击8掉矿9易伤
29	15421 48342	   	262.08	橙橙2易伤1攻速	1攻速2加一35易伤4敌人爆炸69核7随机矿8双倍秒伤a双倍矿
30	15421 48343	   	262.08	橙橙2易伤1攻速	1攻速2加一35易伤4敌人爆炸69核7随机矿8双倍秒伤a基地爆炸
31	15421 48345	   	262.08	橙橙2易伤1攻速	1攻速2加一35易伤4敌人爆炸69核7随机矿8双倍秒伤a金币生成
32	15471 48342	   	262.08	橙橙2易伤1攻速	1攻速2加一35易伤4基地爆炸69核7随机矿8双倍秒伤a双倍矿
33	15471 48343	   	262.08	橙橙2易伤1攻速	1攻速2加一35易伤4基地爆炸69核7随机矿8双倍秒伤a敌人爆炸
34	15421 42872	   	261.98	橙橙2易伤1攻速	1攻速2加一35易伤4敌人爆炸6a核7雷电8掉矿9防空对愈
35	15421 48346	   	261.98	橙橙2易伤1攻速	1攻速2加一35易伤4敌人爆炸69核7随机矿8双倍秒伤a掉矿
36	15412 54273	   	261.17	橙4易伤2攻速1矿等1暴击	14攻速2加一3489易伤4序列升级5矿等6赏金邻近7暴击a核
37	15413 34273	   	261.17	橙4易伤2攻速1矿等1暴击	14攻速2加一3489易伤4序列升级5赏金塔6矿等7暴击a核
38	15241 33457	   	261.09	橙橙1易伤2全技能1攻速1平台	1攻速2加一3a全技能4挖尘5平台6双倍矿7易伤89核
39	15414 84416	 * 	259.19	橙5易伤3攻速	148攻速2加一34689易伤48序列升级58基地爆炸7双倍物品a核
40	15411 74416	   	258.99	橙5易伤3攻速	148攻速2加一34689易伤48序列升级58挖尘7双倍物品a核
41	61111 12166	 * 	256.64	紫橙3易伤1暴击	1额外掉落25掉矿37核4敌人爆炸68a易伤9暴击
42	61121 12166	   	256.64	紫橙3易伤1暴击	1额外掉落25掉矿37核4基地爆炸68a易伤9暴击
43	15413 31673	 * 	256.63	橙3易伤2矿等2攻速1暴击	14攻速2加一349易伤4序列升级5赏金塔67矿等8暴击a核
44	33135 31334	   	256.53	橙橙2易伤	1挖尘2加农对毒3随机矿4时间56易伤7a核8加一9掉矿
45	15441 44264	   	256.39	橙4易伤3攻速2时间	189攻速2加一359a易伤49时间6核7赏金塔9序列升级
46	15441 46264	   	256.39	橙4易伤3攻速2时间	189攻速2加一359a易伤49时间6核7赏金邻近9序列升级
