0	Index      	 *	Score 	Summary	Detail	
1	13633 22838	 * 	279.87	橙橙1易伤1等级1攻速	1挖尘2额外掉落3加一4易伤5等级6a核7随机技能8全技能9攻速
29	14132 23625	   	256.78	橙橙1易伤1等级	1挖尘2等级3雷电4额外掉落5随机矿6平台7易伤8时间9a核
30	11514 12512	 * 	256.24	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3雷电4赏金塔5暴击6矿等7a核8散射对甲9易伤
31	11524 12512	   	256.24	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3雷电4赏金邻近5暴击6矿等7a核8散射对甲9易伤
32	21514 12212	   	256.24	橙橙1易伤1矿等1暴击	1低血量敌人2敌人爆炸3雷电4赏金塔5暴击6矿等7a核8寒冰对黄9易伤
33	21524 12212	   	256.24	橙橙1易伤1矿等1暴击	1低血量敌人2敌人爆炸3雷电4赏金邻近5暴击6矿等7a核8寒冰对黄9易伤
34	31514 12512	   	256.24	橙橙1易伤1矿等1暴击	1基地爆炸2敌人爆炸3雷电4赏金塔5暴击6矿等7a核8散射对甲9易伤
35	31524 12512	   	256.24	橙橙1易伤1矿等1暴击	1基地爆炸2敌人爆炸3雷电4赏金邻近5暴击6矿等7a核8散射对甲9易伤
36	11514 12212	   	256.14	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3雷电4赏金塔5暴击6矿等7a核8寒冰对黄9易伤
37	11524 12212	   	256.14	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3雷电4赏金邻近5暴击6矿等7a核8寒冰对黄9易伤
38	22514 12212	   	256.14	橙橙1易伤1矿等1暴击	1低血量敌人2挖尘3雷电4赏金塔5暴击6矿等7a核8寒冰对黄9易伤
39	22524 12212	   	256.14	橙橙1易伤1矿等1暴击	1低血量敌人2挖尘3雷电4赏金邻近5暴击6矿等7a核8寒冰对黄9易伤
40	25514 12212	   	256.14	橙橙1易伤1矿等1暴击	1低血量敌人2基地爆炸3雷电4赏金塔5暴击6矿等7a核8寒冰对黄9易伤
41	25524 12212	   	256.14	橙橙1易伤1矿等1暴击	1低血量敌人2基地爆炸3雷电4赏金邻近5暴击6矿等7a核8寒冰对黄9易伤
42	31514 12212	   	256.14	橙橙1易伤1矿等1暴击	1基地爆炸2敌人爆炸3雷电4赏金塔5暴击6矿等7a核8寒冰对黄9易伤
43	31524 12212	   	256.14	橙橙1易伤1矿等1暴击	1基地爆炸2敌人爆炸3雷电4赏金邻近5暴击6矿等7a核8寒冰对黄9易伤
44	13323 22312	 * 	255.45	橙橙1等级1伤害1暴击	1挖尘2额外掉落3伤害4时间5赏金塔6等级7激光对冰89核a暴击
45	13351 22312	   	255.45	橙橙1等级1伤害1暴击	1挖尘2额外掉落3伤害4赏金邻近5时间6等级7激光对冰89核a暴击
46	45332 22315	   	255.08	橙3易伤1等级1矿等1技能	157易伤2基地爆炸3赏金邻近4等级6矿等8技能9立即金币a核
47	21222 16125	 * 	254.76	紫橙2易伤1等级	1低血量敌人2敌人爆炸37易伤4掉矿5a核6随机技能8等级9时间
48	22222 16125	   	254.66	紫橙2易伤1等级	1低血量敌人2挖尘37易伤4掉矿5a核6随机技能8等级9时间
49	25222 16125	   	254.66	紫橙2易伤1等级	1低血量敌人2基地爆炸37易伤4掉矿5a核6随机技能8等级9时间
50	51323 51131	 * 	252.77	橙橙2易伤	1策反24易伤3金币生成5挖尘6a核7时间8平台9雷电
51	24324 12262	   	252.56	橙3易伤2等级1矿等	15低血量敌人26等级3金币生成457易伤5序列升级8核9矿等a额外掉落
52	24324 12263	   	252.56	橙3易伤2等级1矿等	15低血量敌人26等级3金币生成457易伤5序列升级8核9矿等a雷电
53	41125 22611	 * 	252.30	橙4易伤1等级1伤害	1457易伤2敌人爆炸3随机矿6技能点8伤害9等级a核
54	41125 32111	   	252.30	橙4易伤1等级1伤害	1457易伤2敌人爆炸3随机矿6伤害8金币生成9等级a核
55	41125 32411	   	252.30	橙4易伤1等级1伤害	1457易伤2敌人爆炸3随机矿6伤害8策反9等级a核
56	41255 32111	   	252.30	橙4易伤1等级1伤害	1357易伤2敌人爆炸4策反6伤害8金币生成9等级a核
57	42125 22611	   	252.20	橙4易伤1等级1伤害	1457易伤2挖尘3随机矿6技能点8伤害9等级a核
58	42125 32111	   	252.20	橙4易伤1等级1伤害	1457易伤2挖尘3随机矿6伤害8金币生成9等级a核
59	42125 32411	   	252.20	橙4易伤1等级1伤害	1457易伤2挖尘3随机矿6伤害8策反9等级a核
60	42255 32111	   	252.20	橙4易伤1等级1伤害	1357易伤2挖尘4策反6伤害8金币生成9等级a核
61	41215 11522	   	251.94	橙3易伤1等级1矿等1暴击	13a易伤2敌人爆炸4暴击5随机矿6矿等7赏金塔8等级9核
62	41124 23311	   	251.32	橙3易伤1等级2攻速	14a易伤2a敌人爆炸3随机矿5基地爆炸6等级7全技能8核9a攻速a序列升级
63	41151 23311	   	251.32	橙3易伤1等级2攻速	15a易伤2a敌人爆炸3随机矿4基地爆炸6等级7全技能8核9a攻速a序列升级
64	42126 23311	   	251.22	橙3易伤1等级2攻速	14a易伤2a挖尘3随机矿5敌人爆炸6等级7全技能8核9a攻速a序列升级
