0	Index      	 *	Score 	Summary	Detail	
1	34226 32428	 * 	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1SPLREG|2FEWX|3DMG|4ZMB|5VULN|6ASPD|7MBVNT|8aRCR|9TLV
35	26212 61161	   	262.71	DCR|2VULN|2TLV|1MLV|1DMG|2RAT	1LEGI|28VULN|3LHND|48RAT|5DMG|6FEWX|78TLV|8BPWR|9MLV|aRCR
36	51416 11223	 * 	262.66	DCR|2MLV|2TLV|2DMG|1VULN	1MBVNT|2BEXP|3aMLV|4VULN|5CGEN|6aDMG|7BASARM|8RCR|9aTLV|aBPWR
37	51416 13223	   	262.66	DCR|2MLV|2TLV|2DMG|1VULN	1MBVNT|2BEXP|3aMLV|4VULN|5CGEN|6aDMG|7LSRICY|8RCR|9aTLV|aBPWR
38	26212 11161	   	262.61	DCR|2VULN|2TLV|1MLV|1DMG|2RAT	1LEGI|28VULN|3LHND|48RAT|5DMG|6DUST|78TLV|8BPWR|9MLV|aRCR
39	26612 11161	   	262.61	DCR|2VULN|2TLV|1MLV|1DMG|2RAT	1LEGI|28VULN|3FEWX|48RAT|5DMG|6DUST|78TLV|8BPWR|9MLV|aRCR
40	14116 32113	   	262.50	DCR|3VULN|1TLV|1MLV|1ASPD|1SELL	1BEXP|2MLV|349VULN|5SELL|6DUR|7ASPD|8TLV|aRCR
41	57444 44833	 * 	262.27	DCR|3VULN|2MLV|1TLV	1MBVNT|278VULN|3BASHEA|45MLV|6TLV|9RCR|aFEWX
42	57444 44834	   	262.27	DCR|3VULN|2MLV|1TLV	1MBVNT|278VULN|3BASHEA|45MLV|6TLV|9RCR|aCGEN
43	51184 61233	 * 	262.24	DCR|DCR|2DMG|1VULN	1MBVNT|2BEXP|3DUR|4LIT|5VULN|69DMG|7LWND|8aRCR
44	51184 64233	   	262.24	DCR|DCR|2DMG|1VULN	1MBVNT|2BEXP|3DUR|4LIT|5VULN|69DMG|7FEWX|8aRCR
45	56243 51233	   	262.24	DCR|DCR|2DMG|1VULN	1MBVNT|2DUR|3LIT|49DMG|5DUST|6VULN|7LWND|8aRCR
46	56243 54233	   	262.24	DCR|DCR|2DMG|1VULN	1MBVNT|2DUR|3LIT|49DMG|5DUST|6VULN|7FEWX|8aRCR
47	22131 52142	   	262.17	DCR|DCR|1VULN|1AAC|1CDMG	1LEGI|2RMIN|3AAC|4CDMG|5FEWX|6aRCR|7RAT|8VULN|9AART
48	57444 44831	   	262.17	DCR|3VULN|2MLV|1TLV	1MBVNT|278VULN|3BASHEA|45MLV|6TLV|9RCR|aERES
49	57444 44832	   	262.17	DCR|3VULN|2MLV|1TLV	1MBVNT|278VULN|3BASHEA|45MLV|6TLV|9RCR|aAEBURN
50	56242 25233	   	262.14	DCR|DCR|2DMG|1VULN	1MBVNT|2DUR|3LIT|49DMG|5AEFBLL|6MDPS|7VULN|8aRCR
51	56243 15233	   	262.14	DCR|DCR|2DMG|1VULN	1MBVNT|2DUR|3LIT|49DMG|5DUST|6BEXP|7VULN|8aRCR
52	54844 35234	   	261.65	DCR|DCR|1VULN|1DMG|1AAC	1MBVNT|2LHND|3BELT|4AAC|5DMG|69RCR|7LIT|8DUR|aVULN
53	51744 35234	   	261.55	DCR|DCR|1VULN|1DMG|1AAC	1MBVNT|2BEXP|3BELT|4AAC|5DMG|69RCR|7LIT|8DUR|aVULN
54	53333 31223	   	261.25	DCR|DCR|2VULN|1AAC	1MBVNT|2RCVC|3MDPS|49VULN|5AAC|6LIT|7LWND|8aRCR
55	53333 34223	   	261.25	DCR|DCR|2VULN|1AAC	1MBVNT|2RCVC|3MDPS|49VULN|5AAC|6LIT|7FEWX|8aRCR
56	53333 48223	   	261.25	DCR|DCR|2VULN|1AAC	1MBVNT|2RCVC|3MDPS|49VULN|5AAC|6FEWX|7LIT|8aRCR
57	57713 31223	   	261.25	DCR|DCR|2VULN|1AAC	1MBVNT|29VULN|3FEWX|4DUST|5AAC|6LIT|7LWND|8aRCR
58	57444 44336	 * 	261.24	DCR|3MLV|2VULN|1TLV	1MBVNT|27VULN|3BASHEA|45aMLV|6TLV|8RCVC|9RCR
59	16313 31223	   	261.15	DCR|DCR|2VULN|1AAC	1BEXP|29VULN|3MBVNT|4DUST|5AAC|6LIT|7LWND|8aRCR
60	16313 34223	   	261.15	DCR|DCR|2VULN|1AAC	1BEXP|29VULN|3MBVNT|4DUST|5AAC|6LIT|7FEWX|8aRCR
61	16313 48223	   	261.15	DCR|DCR|2VULN|1AAC	1BEXP|29VULN|3MBVNT|4DUST|5AAC|6FEWX|7LIT|8aRCR
62	26313 31223	   	261.15	DCR|DCR|2VULN|1AAC	1LEGI|29VULN|3MBVNT|4DUST|5AAC|6LIT|7LWND|8aRCR
63	26313 34223	   	261.15	DCR|DCR|2VULN|1AAC	1LEGI|29VULN|3MBVNT|4DUST|5AAC|6LIT|7FEWX|8aRCR
64	26313 48223	   	261.05	DCR|DCR|2VULN|1AAC	1LEGI|29VULN|3MBVNT|4DUST|5AAC|6BEXP|7LIT|8aRCR
65	52141 26325	   	260.92	DCR|3VULN|2MLV|1AAC|2RAT	1MBVNT|29RAT|3BBNT|4AAC|5CGEN|69MLV|79aVULN|8RCR|9BPWR
66	53383 51223	   	260.61	DCR|DCR|2VULN|1ASPD	1MBVNT|2RCVC|3MDPS|4ASPD|5LIT|69VULN|7LWND|8aRCR
67	53383 54223	   	260.61	DCR|DCR|2VULN|1ASPD	1MBVNT|2RCVC|3MDPS|4ASPD|5LIT|69VULN|7FEWX|8aRCR
68	53382 35223	   	260.51	DCR|DCR|2VULN|1ASPD	1MBVNT|2RCVC|3MDPS|4ASPD|5DUST|6LIT|79VULN|8aRCR
69	53383 15223	   	260.51	DCR|DCR|2VULN|1ASPD	1MBVNT|2RCVC|3MDPS|4ASPD|5LIT|6BEXP|79VULN|8aRCR
70	53384 35223	   	260.51	DCR|DCR|2VULN|1ASPD	1MBVNT|2RCVC|3MDPS|4ASPD|5BEXP|6LIT|79VULN|8aRCR
71	52824 27132	   	259.87	DCR|2VULN|1TLV|1MLV|1ASPD|1CDMG	1MBVNT|2RAT|3TLV|4CDMG|58VULN|6ASPD|7RCR|9MLV|aDUR
72	51414 35613	 * 	258.97	DCR|2VULN|2MLV|1TLV|1DMG	1MBVNT|2BEXP|36MLV|46VULN|5RCVC|6BPWR|7BBNT|8TLV|9DMG|aRCR
73	16253 11132	 * 	258.80	DCR|3VULN|2DMG|1MLV|2DUR	1BEXP|249VULN|34LHND|49BPWR|5DUST|69DMG|7MLV|89DUR|aRCR
74	16653 11132	   	258.80	DCR|3VULN|2DMG|1MLV|2DUR	1BEXP|249VULN|34FEWX|49BPWR|5DUST|69DMG|7MLV|89DUR|aRCR
75	14116 52133	 * 	258.69	DCR|4VULN|2MLV|1SELL	18BEXP|26MLV|3468VULN|5SELL|68BPWR|78LHND|9DUR|aRCR
76	14116 52333	 * 	258.59	DCR|4VULN|2MLV|1SELL	1BEXP|26MLV|3468VULN|5SELL|6BPWR|7LHND|9DUR|aRCR
77	41232 25153	   	257.83	DCR|DCR|1VULN|1AAC|1ASPD	1LIT|2DUR|3BEXP|4LHND|5ZMB|6aRCR|7VULN|8AAC|9ASPD
78	41332 25153	   	257.83	DCR|DCR|1VULN|1AAC|1ASPD	1LIT|2DUR|3DUST|4LHND|5ZMB|6aRCR|7VULN|8AAC|9ASPD
79	54316 34211	   	257.83	DCR|DCR|1VULN|1AAC|1ASPD	1MBVNT|28LHND|3ASPD|4VULN|5CGEN|6AART|7aRCR|9AAC
80	57544 34211	   	257.83	DCR|DCR|1VULN|1AAC|1ASPD	1MBVNT|2VULN|3CGEN|4ASPD|58LHND|6AART|7aRCR|9AAC
81	52141 26322	   	257.52	DCR|2VULN|2MLV|1DMG|1AAC|2RAT	1MBVNT|29RAT|3BBNT|4AAC|5CGEN|69MLV|79VULN|8RCR|9BPWR|aDMG
82	14113 16143	 * 	257.28	DCR|3VULN|2MLV|1DMG	1BEXP|27MLV|348VULN|5CGEN|6RAT|9DMG|aRCR
83	57163 42112	   	256.84	DCR|3VULN|1TLV|1ASPD|2DUR|1CDMG	1MBVNT|249VULN|34DUR|4BPWR|5CDMG|6CGEN|7ASPD|8TLV|aRCR
84	16153 32113	   	256.74	DCR|3VULN|1TLV|1ASPD|2DUR|1CDMG	1BEXP|249VULN|34DUR|4BPWR|5CDMG|6ERES|7ASPD|8TLV|aRCR
85	57163 32112	   	256.74	DCR|3VULN|1TLV|1ASPD|2DUR|1CDMG	1MBVNT|249VULN|34DUR|4BPWR|5CDMG|6ERES|7ASPD|8TLV|aRCR
86	13111 43636	 * 	256.60	DCR|3VULN|1TLV|1DMG|1ASPD	1BEXP|2CGEN|347VULN|5DUR|6ASPD|8RCR|9TLV|aDMG
87	14112 16331	 * 	256.25	DCR|3MLV|2VULN|1DMG	1BEXP|278MLV|34VULN|5ZMB|6RAT|9DMG|aRCR
88	14113 16231	   	256.25	DCR|3MLV|2VULN|1DMG	1BEXP|278MLV|34VULN|5CGEN|6RAT|9DMG|aRCR
89	14124 32621	 * 	256.24	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2MLV|3VULN|46RMIN|5TBNT|7BBNT|8CDMG|9aRCR
90	12165 12621	   	256.14	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2AME|3VULN|4BBNT|5AEFBLL|6MLV|7TBNT|8CDMG|9aRCR
91	14124 12621	   	256.14	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2MLV|3VULN|4RMIN|5TBNT|6AEFRZ|7BBNT|8CDMG|9aRCR
92	57444 44335	   	255.70	DCR|2VULN|2MLV|1TLV|1AAC	1MBVNT|27VULN|3BASHEA|45MLV|6TLV|8RCVC|9RCR|aAAC
93	14131 43313	   	255.16	DCR|2VULN|2MLV|1TLV|1ASPD	1BEXP|29MLV|37VULN|4TLV|5CGEN|6ASPD|8RCVC|aRCR
94	14131 43213	   	255.06	DCR|2VULN|2MLV|1TLV|1ASPD	1BEXP|29MLV|37VULN|4TLV|5CGEN|6ASPD|8AEWIND|aRCR
95	51414 36438	   	255.06	DCR|2VULN|2MLV|1TLV|1ASPD	1MBVNT|2BEXP|36MLV|46VULN|5RCVC|6BPWR|7TLV|8ERES|9ASPD|aRCR
