0	Index      	 *	Score 	Summary	Detail	
1	61331 13321	 * 	298.73	DCR|DCR|1VULN|1TLV|1DMG|1AAC|1ASPD	1VULN|2BASHEA|3AEFBLL|4TLV|5AAC|6SPLARM|7ASPD|8aRCR|9DMG
14	41522 61212	   	287.86	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1FEWX|2MLV|3TLV|4ERES|5VULN|6aRCR|7CDMG|8TBNT|9LIT
15	36422 32224	 * 	286.71	ACR|DCR|2VULN|2TLV|2DMG	19RCR|24TLV|34DMG|4BPWR|5CGEN|6aVULN|7LWND|8ERES
16	36422 33224	   	286.71	ACR|DCR|2VULN|2TLV|2DMG	19RCR|24TLV|34DMG|4BPWR|5CGEN|6aVULN|7LHND|8ERES
17	36422 31224	   	286.61	ACR|DCR|2VULN|2TLV|2DMG	19RCR|24TLV|34DMG|4BPWR|5CGEN|6aVULN|7LEGI|8ERES
18	63353 31232	 * 	285.59	DCR|3VULN|3MLV|1DMG|1CDMG	145VULN|2CDMG|3ZMB|679MLV|8DMG|aRCR
19	32131 44252	 * 	283.54	ACR|DCR|2VULN|1TLV|1MLV|1DMG	1aRCR|2RCVC|3FEWX|4DMG|5MLV|6LIT|78VULN|9TLV
20	13522 64322	   	282.48	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1LHND|2AME|3TLV|47ERES|5VULN|69RCR|8AAC|aDMG
21	13522 63122	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LHND|2AME|3TLV|4ERES|5VULN|69RCR|7ASPD|8DMSP|aDMG
22	13522 63522	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LHND|2AME|3TLV|4ERES|5VULN|69RCR|7ASPD|8RCVC|aDMG
23	43522 63322	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1FEWX|2AME|3TLV|4ERES|5VULN|69RCR|7ASPD|8DMSP|aDMG
24	61334 13321	   	281.83	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2BASHEA|3AEFBLL|4TLV|5ZMB|6SPLARM|7ASPD|8aRCR|9DMG
25	61426 13321	 * 	281.83	DCR|DCR|1VULN|2AAC|1DMG|1ASPD	1VULN|2BASHEA|34AAC|5RMIN|6VENICY|7ASPD|8aRCR|9DMG
26	61422 14321	   	281.73	DCR|DCR|1VULN|2AAC|1DMG|1ASPD	1VULN|2BASHEA|34AAC|5ASPD|6VENICY|7ERES|8aRCR|9DMG
27	36222 35512	 * 	280.95	ACR|DCR|2VULN|2TLV|2AAC	1aRCR|28TLV|38VULN|48ERES|57AAC|6MDPS|8BPWR|9LIT
28	36214 13412	   	280.17	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1aRCR|2TLV|37VULN|4AEBURN|5MDPS|6AAC|8MLV|9LIT
29	32231 21662	 * 	279.87	ACR|DCR|2MLV|1VULN|1TLV|1AAC	1aRCR|2RCVC|3AAC|4TLV|5LIT|6MDPS|78MLV|9VULN
30	61354 13321	   	278.33	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1VULN|2BASHEA|3AEFBLL|4MLV|5ZMB|6SPLARM|7ASPD|8aRCR|9DMG
31	36512 51332	   	277.66	ACR|DCR|2VULN|2TLV|2DUR|1CDMG	1aRCR|28TLV|3LIT|4TBNT|5AETHUN|68DUR|78VULN|8BPWR|9CDMG
32	36222 22621	 * 	277.47	ACR|DCR|1VULN|2AAC|1TLV|1MLV	19RCR|2TLV|3VULN|4ERES|58AAC|6DUR|7CGEN|aMLV
33	36232 32621	   	277.47	ACR|DCR|1VULN|2AAC|1TLV|1MLV	19RCR|2TLV|3VULN|4CGEN|58AAC|6DUR|7ERES|aMLV
34	33314 33324	 * 	276.78	ACR|DCR|2MLV|1VULN|2ASPD|2DUR	19RCR|28FEWX|34DUR|58MLV|6LEGI|78ASPD|8BPWR|aVULN
35	36232 24321	   	276.64	ACR|DCR|2TLV|1VULN|1MLV|1AAC	19RCR|27TLV|3VULN|4CGEN|5AAC|6AME|8DUR|aMLV
36	36232 36221	   	276.54	ACR|DCR|2TLV|1VULN|1MLV|1AAC	19RCR|27TLV|3VULN|4CGEN|5AAC|6DUR|8ERES|aMLV
37	32143 25621	 * 	276.41	ACR|DCR|1VULN|1TLV|2ASPD|1MLV	19RCR|2RCVC|3FEWX|4VULN|57ASPD|6DUR|8TLV|aMLV
38	32343 25621	   	276.41	ACR|DCR|1VULN|1TLV|2ASPD|1MLV	19RCR|2RCVC|3LHND|4VULN|57ASPD|6DUR|8TLV|aMLV
39	33243 25621	   	276.41	ACR|DCR|1VULN|1TLV|2ASPD|1MLV	19RCR|24FEWX|3VULN|57ASPD|6DUR|8TLV|aMLV
40	33253 25621	   	276.41	ACR|DCR|1VULN|1TLV|2ASPD|1MLV	19RCR|2FEWX|3VULN|4DMSP|57ASPD|6DUR|8TLV|aMLV
41	33223 25621	   	276.31	ACR|DCR|1VULN|1TLV|2ASPD|1MLV	19RCR|2FEWX|3VULN|4AEBURN|57ASPD|6DUR|8TLV|aMLV
42	34223 25621	   	276.31	ACR|DCR|1VULN|1TLV|2ASPD|1MLV	19RCR|2LWND|3VULN|4AEBURN|57ASPD|6DUR|8TLV|aMLV
43	36233 35221	   	276.31	ACR|DCR|1VULN|1TLV|2ASPD|1MLV	19RCR|2TLV|3VULN|4CGEN|57ASPD|6DUR|8ERES|aMLV
44	36422 32222	 * 	276.16	ACR|DCR|3DMG|2TLV|1VULN	19RCR|24TLV|34aDMG|4BPWR|5CGEN|6VULN|7LWND|8ERES
45	36422 33222	   	276.16	ACR|DCR|3DMG|2TLV|1VULN	19RCR|24TLV|34aDMG|4BPWR|5CGEN|6VULN|7LHND|8ERES
46	36422 31222	   	276.06	ACR|DCR|3DMG|2TLV|1VULN	19RCR|24TLV|34aDMG|4BPWR|5CGEN|6VULN|7LEGI|8ERES
47	36233 24321	   	276.00	ACR|DCR|2TLV|1VULN|1MLV|1ASPD	19RCR|27TLV|3VULN|4CGEN|5ASPD|6AME|8DUR|aMLV
48	36222 22624	   	275.08	ACR|DCR|2VULN|2AAC|1TLV	19RCR|2TLV|3aVULN|4ERES|58AAC|6DUR|7CGEN
49	36232 32624	   	275.08	ACR|DCR|2VULN|2AAC|1TLV	19RCR|2TLV|3aVULN|4CGEN|58AAC|6DUR|7ERES
50	36432 32221	   	274.82	ACR|DCR|2DMG|1VULN|1TLV|1MLV	19RCR|2TLV|34DMG|5CGEN|6VULN|7LWND|8ERES|aMLV
51	36432 33221	   	274.82	ACR|DCR|2DMG|1VULN|1TLV|1MLV	19RCR|2TLV|34DMG|5CGEN|6VULN|7LHND|8ERES|aMLV
52	36432 31221	   	274.72	ACR|DCR|2DMG|1VULN|1TLV|1MLV	19RCR|2TLV|34DMG|5CGEN|6VULN|7LEGI|8ERES|aMLV
53	36222 25512	   	274.36	ACR|DCR|2VULN|2TLV|1AAC	1aRCR|28TLV|38VULN|4ERES|5AAC|6DUR|78FEWX|8BPWR|9LIT
54	36232 24324	   	274.26	ACR|DCR|2VULN|2TLV|1AAC	19RCR|27TLV|3aVULN|4CGEN|5AAC|6AME|8DUR
55	11522 62612	   	274.21	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2MLV|3TLV|4ERES|5VULN|6aRCR|7CGEN|8ZMB|9LIT
56	36222 26512	   	274.16	ACR|DCR|2VULN|2TLV|1AAC	1aRCR|28TLV|38VULN|4ERES|5AAC|6DUR|78BEXP|8BPWR|9LIT
57	36232 36224	   	274.16	ACR|DCR|2VULN|2TLV|1AAC	19RCR|27TLV|3aVULN|4CGEN|5AAC|6DUR|8ERES
58	33223 25624	 * 	273.93	ACR|DCR|2VULN|1TLV|2ASPD	19RCR|2FEWX|3aVULN|4AEBURN|57ASPD|6DUR|8TLV
59	36233 35224	   	273.93	ACR|DCR|2VULN|1TLV|2ASPD	19RCR|2TLV|3aVULN|4CGEN|57ASPD|6DUR|8ERES
60	64332 13622	   	273.86	DCR|DCR|1VULN|1MLV|1AAC|2DUR	1VULN|2LIT|3MLV|49DUR|5AAC|6LWND|7ERES|8aRCR
61	26153 53231	 * 	273.69	DCR|3VULN|2MLV|2CDMG|1AAC	1RCVC|28CDMG|3LHND|48MLV|58aVULN|6AAC|7RCR|8BPWR|9DUR
62	36233 24324	   	273.61	ACR|DCR|2VULN|2TLV|1ASPD	19RCR|27TLV|3aVULN|4CGEN|5ASPD|6AME|8DUR
63	36432 32224	   	272.44	ACR|DCR|2VULN|2DMG|1TLV	19RCR|2TLV|34DMG|5CGEN|6aVULN|7LWND|8ERES
64	36432 33224	   	272.44	ACR|DCR|2VULN|2DMG|1TLV	19RCR|2TLV|34DMG|5CGEN|6aVULN|7LHND|8ERES
65	36432 31224	   	272.34	ACR|DCR|2VULN|2DMG|1TLV	19RCR|2TLV|34DMG|5CGEN|6aVULN|7LEGI|8ERES
66	32336 25621	   	272.19	ACR|DCR|1VULN|1TLV|1MLV|1DMG|2DUR	19RCR|2RCVC|3LHND|4DMG|56DUR|7VULN|8TLV|aMLV
67	63363 33242	 * 	270.79	DCR|3VULN|2MLV|3CDMG|1ASPD	189VULN|258CDMG|3ZMB|4LHND|68MLV|7RCR|8BPWR|aASPD
68	31663 33633	 * 	270.53	ACR|DCR|3MLV|1AAC|1ASPD|2DUR	19RCR|2TBNT|36DUR|4AAC|567MLV|6BPWR|8ASPD|aBBNT
69	31663 33631	   	270.43	ACR|DCR|3MLV|1AAC|1ASPD|2DUR	19RCR|2TBNT|36DUR|4AAC|567MLV|6BPWR|8ASPD|aAEFBLL
70	31663 33632	   	270.43	ACR|DCR|3MLV|1AAC|1ASPD|2DUR	19RCR|2TBNT|36DUR|4AAC|567MLV|6BPWR|8ASPD|aERES
71	32154 33324	   	270.23	ACR|DCR|2MLV|1VULN|2ASPD	19RCR|2RCVC|38FEWX|4DUR|58MLV|6LEGI|78ASPD|8BPWR|aVULN
72	23516 63212	   	270.18	DCR|DCR|1VULN|1TLV|1ASPD	1RCVC|2DUR|3VULN|4DUST|5TLV|6aRCR|7ASPD|8CGEN|9LIT
73	36422 32621	 * 	269.52	ACR|DCR|3TLV|2DMG|1VULN	19RCR|248TLV|34DMG|4BPWR|5CGEN|6VULN|7LWND|aDUST
74	36422 32622	   	269.52	ACR|DCR|3TLV|2DMG|1VULN	19RCR|248TLV|34DMG|4BPWR|5CGEN|6VULN|7LWND|aERES
75	36422 32623	   	269.52	ACR|DCR|3TLV|2DMG|1VULN	19RCR|248TLV|34DMG|4BPWR|5CGEN|6VULN|7LWND|aMDPS
76	36422 33621	   	269.52	ACR|DCR|3TLV|2DMG|1VULN	19RCR|248TLV|34DMG|4BPWR|5CGEN|6VULN|7LHND|aDUST
77	36422 33622	   	269.52	ACR|DCR|3TLV|2DMG|1VULN	19RCR|248TLV|34DMG|4BPWR|5CGEN|6VULN|7LHND|aERES
78	36422 33623	   	269.52	ACR|DCR|3TLV|2DMG|1VULN	19RCR|248TLV|34DMG|4BPWR|5CGEN|6VULN|7LHND|aMDPS
79	36422 31621	   	269.42	ACR|DCR|3TLV|2DMG|1VULN	19RCR|248TLV|34DMG|4BPWR|5CGEN|6VULN|7LEGI|aDUST
80	36422 31622	   	269.42	ACR|DCR|3TLV|2DMG|1VULN	19RCR|248TLV|34DMG|4BPWR|5CGEN|6VULN|7LEGI|aERES
81	36422 31623	   	269.42	ACR|DCR|3TLV|2DMG|1VULN	19RCR|248TLV|34DMG|4BPWR|5CGEN|6VULN|7LEGI|aMDPS
82	36232 25621	   	269.16	ACR|DCR|1VULN|2AAC|1TLV|1MLV	19RCR|2TLV|3VULN|4CGEN|58AAC|6AME|7DUST|aMLV
83	32231 21462	   	269.16	ACR|DCR|1VULN|2AAC|1TLV|1MLV	1aRCR|2RCVC|38AAC|4TLV|5LIT|6MDPS|7MLV|9VULN
84	32211 62366	   	269.06	ACR|DCR|1VULN|2AAC|1TLV|1MLV	1aRCR|2RCVC|38AAC|4VULN|5BASICY|6TLV|7MLV|9LSRREG
85	36222 15621	   	269.06	ACR|DCR|1VULN|2AAC|1TLV|1MLV	19RCR|2TLV|3VULN|4ERES|58AAC|6CGEN|7DUST|aMLV
86	32152 25621	   	269.02	ACR|DCR|1VULN|1TLV|1MLV|1AAC|2DUR	19RCR|2RCVC|3FEWX|46DUR|5AAC|7VULN|8TLV|aMLV
87	32352 25621	   	269.02	ACR|DCR|1VULN|1TLV|1MLV|1AAC|2DUR	19RCR|2RCVC|3LHND|46DUR|5AAC|7VULN|8TLV|aMLV
88	32542 21621	   	269.02	ACR|DCR|1VULN|1TLV|1MLV|1AAC|2DUR	19RCR|2RCVC|36DUR|4VULN|5AAC|7LHND|8TLV|aMLV
89	33312 55621	   	269.02	ACR|DCR|1VULN|1TLV|1MLV|1AAC|2DUR	19RCR|2FEWX|34DUR|5AAC|6RCVC|7VULN|8TLV|aMLV
90	33342 25621	   	269.02	ACR|DCR|1VULN|1TLV|1MLV|1AAC|2DUR	19RCR|24FEWX|36DUR|5AAC|7VULN|8TLV|aMLV
91	36222 22622	 * 	268.94	ACR|DCR|1VULN|1TLV|2AAC|1DMG	19RCR|2TLV|3VULN|4ERES|58AAC|6DUR|7CGEN|aDMG
92	36232 32622	   	268.94	ACR|DCR|1VULN|1TLV|2AAC|1DMG	19RCR|2TLV|3VULN|4CGEN|58AAC|6DUR|7ERES|aDMG
93	33322 25621	   	268.92	ACR|DCR|1VULN|1TLV|1MLV|1AAC|2DUR	19RCR|2FEWX|36DUR|4AEBURN|5AAC|7VULN|8TLV|aMLV
