0	Index      	 *	Score 	Summary	Detail	
1	31163 32514	 * 	304.23	DCR|3VULN|3MLV|1TLV|3RAT	179VULN|2LWND|379MLV|4TLV|58FEWX|679RAT|79BPWR|aRCR
15	53432 23622	   	280.38	DCR|DCR|1VULN|1DMG|1AAC|1ASPD|1CDMG	1AAC|2MBVNT|3VENICY|4ASPD|5RPLT|6CDMG|7DMG|8VULN|9aRCR
16	31123 11321	 * 	277.19	DCR|2VULN|2MLV|2DMG|1AAC|1ASPD	1aVULN|27LWND|3aMLV|4ASPD|5FEWX|6aDMG|8RCR|9AAC|aBPWR
17	31123 16321	   	277.19	DCR|2VULN|2MLV|2DMG|1AAC|1ASPD	1aVULN|2LWND|3aMLV|4ASPD|57FEWX|6aDMG|8RCR|9AAC|aBPWR
18	31122 11321	   	277.09	DCR|2VULN|2MLV|2DMG|1AAC|1ASPD	1aVULN|27LWND|3aMLV|4ASPD|5DUST|6aDMG|8RCR|9AAC|aBPWR
19	35124 16321	   	277.09	DCR|2VULN|2MLV|2DMG|1AAC|1ASPD	1aVULN|2DUST|3aMLV|4ASPD|57FEWX|6aDMG|8RCR|9AAC|aBPWR
20	13111 55221	   	276.67	DCR|3VULN|2MLV|1TLV|1ASPD	1LWND|258VULN|35MLV|4TBNT|5BPWR|6ASPD|7MBVNT|9RCR|aTLV
21	53421 14137	   	275.62	DCR|DCR|1VULN|1MLV|1AAC	1AAC|2MBVNT|3VENICY|4CGEN|5VULN|6AART|79RCR|8DUR|aMLV
22	53444 64137	   	275.62	DCR|DCR|1VULN|1MLV|1AAC	1AAC|2MBVNT|3VENICY|4AART|5CGEN|6VULN|79RCR|8DUR|aMLV
23	53451 14131	   	275.62	DCR|DCR|1VULN|1MLV|1AAC	1AAC|2MBVNT|3VENICY|4MLV|5VULN|6AART|79RCR|8DUR|aDMSP
24	53451 14133	   	275.62	DCR|DCR|1VULN|1MLV|1AAC	1AAC|2MBVNT|3VENICY|4MLV|5VULN|6AART|79RCR|8DUR|aFEWX
25	53451 14136	   	275.62	DCR|DCR|1VULN|1MLV|1AAC	1AAC|2MBVNT|3VENICY|4MLV|5VULN|6AART|79RCR|8DUR|aBELT
26	53451 14135	   	275.52	DCR|DCR|1VULN|1MLV|1AAC	1AAC|2MBVNT|3VENICY|4MLV|5VULN|6AART|79RCR|8DUR|aERES
27	53374 25441	   	275.44	ACR|DCR|1VULN|1TLV|1DMG|1AAC|1ASPD|1CDMG	1AAC|2MBVNT|3DMG|4ASPD|56RCR|7LHND|8CDMG|9TLV|aVULN
28	53374 26442	   	275.44	ACR|DCR|1VULN|1TLV|1DMG|1AAC|1ASPD|1CDMG	1AAC|2MBVNT|3DMG|4ASPD|56RCR|7VULN|8CDMG|9TLV|aFEWX
29	53374 26444	   	275.44	ACR|DCR|1VULN|1TLV|1DMG|1AAC|1ASPD|1CDMG	1AAC|2MBVNT|3DMG|4ASPD|56RCR|7VULN|8CDMG|9TLV|aRPLT
30	53374 22441	   	275.34	ACR|DCR|1VULN|1TLV|1DMG|1AAC|1ASPD|1CDMG	1AAC|2MBVNT|3DMG|4ASPD|56RCR|7BEXP|8CDMG|9TLV|aVULN
31	53374 26443	   	275.34	ACR|DCR|1VULN|1TLV|1DMG|1AAC|1ASPD|1CDMG	1AAC|2MBVNT|3DMG|4ASPD|56RCR|7VULN|8CDMG|9TLV|aAEBURN
