0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31514 51311	2	 * 	283.88	ACR|3VULN|3DMG|3DUR|3LIT|1CDMG	138LIT|28aVULN|4RCR|5CDMG|69aDMG|78aDUR|8aBPWR
19	31222 56326	3	   	273.90	DCR|4VULN|2DMG|2LIT|1CDMG	1aLIT|267aVULN|3LWND|4CDMG|5aDMG|8RCR|9RPLT|aBPWR
20	31322 56326	3	   	273.90	DCR|4VULN|2DMG|2LIT|1CDMG	1aLIT|267aVULN|3BEXP|4CDMG|5aDMG|8RCR|9RPLT|aBPWR
21	52111 33116	5	 * 	273.86	DCR|4VULN|3DUR|1CDMG	168DUR|2CDMG|38MLV|4RMIN|5678VULN|68BPWR|9LIT|aRCR
22	31132 52642	3	 * 	273.04	DCR|5VULN|2DMG	1LIT|2468aVULN|3CGEN|59DMG|7RCR
23	31332 52642	2	   	273.04	DCR|5VULN|2DMG	1LIT|2468aVULN|3CGEN|59DMG|7RCR
24	31522 26326	3	 * 	272.51	DCR|3VULN|2DMG|3LIT|1DUR|1CDMG	16aLIT|27aVULN|3DUR|4CDMG|5aDMG|8RCR|9RPLT|aBPWR
25	53422 31522	3	 * 	271.86	DCR|4VULN|3DUR|1DMG	158DUR|2DUST|378aVULN|458LHND|58BPWR|6RCR|9DMG
26	53343 31522	5	   	271.76	DCR|4VULN|3DUR|1DMG	138DUR|2DUST|478aVULN|58LHND|6RCR|8BPWR|9DMG
27	66341 31312	5	 * 	271.24	DCR|5VULN|3DUR	1LEGI|2479aVULN|349DUR|49BPWR|59FEWX|6RCR|8BBNT
28	31511 51361	2	   	269.99	ACR|3VULN|3DMG|3DUR|3LIT|1SELL	138LIT|29aVULN|4RCR|5SELL|68aDMG|78aDUR|8aBPWR
29	31432 52236	3	   	269.75	DCR|4VULN|2DMG|1TLV	1LIT|246aVULN|3TLV|59DMG|7RCR|8CGEN
30	31432 52623	3	   	269.75	DCR|4VULN|2DMG|1TLV	1LIT|246aVULN|3TLV|58DMG|7RCR|9ZMB
31	31132 52436	3	   	269.75	DCR|4VULN|2DMG|1TLV	1LIT|246aVULN|3CGEN|59DMG|7RCR|8TLV
32	31332 52436	2	   	269.75	DCR|4VULN|2DMG|1TLV	1LIT|246aVULN|3CGEN|59DMG|7RCR|8TLV
33	31432 52136	3	   	269.65	DCR|4VULN|2DMG|1TLV	1LIT|246aVULN|3TLV|59DMG|7RCR|8ERES
34	33156 53331	8	   	269.51	DCR|3VULN|2DUR|3LIT|1DMG|1CDMG	189LIT|2CDMG|3RCVC|469VULN|59DUR|7RCR|9BPWR|aDMG
35	33256 53331	8	   	269.51	DCR|3VULN|2DUR|3LIT|1DMG|1CDMG	189LIT|2CDMG|3DMSP|469VULN|59DUR|7RCR|9BPWR|aDMG
36	31622 21366	1	   	269.41	DCR|3VULN|2DUR|3LIT|1DMG|1CDMG	168LIT|2DUST|389VULN|4CDMG|5DMG|78DUR|8BPWR|aRCR
37	31422 22626	4	 * 	269.41	DCR|3VULN|3DMG|1TLV|2LIT	1aLIT|25aVULN|3TLV|4ZMB|69aDMG|7LEGI|8RCR|aBPWR
38	31514 51331	2	   	268.23	ACR|3VULN|3DUR|2DMG|3LIT|1CDMG	138LIT|28aVULN|4RCR|5CDMG|6aDMG|78aDUR|8aBPWR|9RCVC
39	15441 31111	5	   	267.67	DCR|5VULN|2DUR|1AART	1LWND|24DUR|3478aVULN|4BPWR|5FEWX|6RCR|9AART
40	15443 31111	5	   	267.67	DCR|5VULN|2DUR|1AART	1LWND|24DUR|3478aVULN|4BPWR|5LHND|6RCR|9AART
41	51262 31111	4	   	267.67	DCR|5VULN|2DUR|1AART	15DUR|2LWND|3LHND|4578aVULN|5BPWR|6RCR|9AART
42	25443 31111	5	   	267.57	DCR|5VULN|2DUR|1AART	1DUST|24DUR|3478aVULN|4BPWR|5LHND|6RCR|9AART
43	66341 31111	5	   	267.57	DCR|5VULN|2DUR|1AART	1LEGI|2478aVULN|34DUR|4BPWR|5FEWX|6RCR|9AART
44	66343 31111	5	   	267.57	DCR|5VULN|2DUR|1AART	1LEGI|2478aVULN|34DUR|4BPWR|5LHND|6RCR|9AART
45	31622 56313	1	   	267.05	DCR|4VULN|2DMG|1CDMG	1LIT|2DUST|3679VULN|4CDMG|5aDMG|8RCR
46	31122 54326	2	   	266.91	DCR|3VULN|3DMG|2LIT|1CDMG	1aLIT|26aVULN|3LHND|4CDMG|57aDMG|8RCR|9RPLT|aBPWR
47	31222 54326	3	   	266.91	DCR|3VULN|3DMG|2LIT|1CDMG	1aLIT|26aVULN|3LWND|4CDMG|57aDMG|8RCR|9RPLT|aBPWR
48	31322 54326	3	   	266.91	DCR|3VULN|3DMG|2LIT|1CDMG	1aLIT|26aVULN|3BEXP|4CDMG|57aDMG|8RCR|9RPLT|aBPWR
49	31132 52614	3	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1LIT|2468VULN|3CGEN|5DMG|7RCR|9CDMG|aTLV
50	31332 52614	2	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1LIT|2468VULN|3CGEN|5DMG|7RCR|9CDMG|aTLV
51	31522 56311	3	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|2679VULN|3DUR|4CDMG|5DMG|8RCR|aBEXP
52	31522 56312	3	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|2679VULN|3DUR|4CDMG|5DMG|8RCR|aBELT
53	31522 56313	3	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|2679VULN|3DUR|4CDMG|5DMG|8RCR|aLWND
54	31622 52214	2	   	265.71	DCR|4VULN|1DMG|1TLV|1CDMG	1LIT|2369VULN|4ERES|5DMG|7RCR|8CDMG|aTLV
55	66343 31313	5	   	265.35	DCR|4VULN|3DUR|1CDMG	1LEGI|2479VULN|349DUR|49BPWR|59LHND|6RCR|8BBNT|aCDMG
56	31432 52333	3	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|246VULN|3TLV|59DMG|7RCR|8LWND|aDUR
57	31452 52333	4	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|256VULN|3TLV|49DMG|7RCR|8LWND|aDUR
58	31662 52333	2	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|236VULN|4TLV|59DMG|7RCR|8LWND|aDUR
59	51262 31153	4	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	15DUR|2LWND|3LHND|4578VULN|5BPWR|6RCR|9ASPD|aCDMG
60	51262 31521	4	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	15DUR|2LWND|3LHND|457aVULN|5BPWR|6RCR|8CDMG|9ASPD
61	31463 33613	3	 * 	263.05	DCR|3VULN|2TLV|1DMG|2LIT|1CDMG|1AART|1SELL	17LIT|27aVULN|37TLV|4SELL|5AART|6RCR|7BPWR|8CDMG|9DMG
62	51262 31314	4	   	262.80	DCR|4VULN|3DUR|1ASPD	159DUR|2LWND|39LHND|4579VULN|59BPWR|6RCR|8BBNT|aASPD
63	31246 63312	6	   	262.77	DCR|3VULN|3DUR|3LIT|1CDMG|1NUKE	178LIT|278VULN|3LWND|4CDMG|5NUKE|678DUR|78BPWR|9RMIN|aRCR
64	31246 63322	6	   	262.77	DCR|3VULN|3DUR|3LIT|1CDMG|1NUKE	178LIT|278VULN|3LWND|4CDMG|5NUKE|678DUR|78BPWR|9MLV|aRCR
65	31512 33364	5	   	262.77	DCR|3VULN|3DUR|3LIT|1CDMG|1NUKE	178LIT|278VULN|378DUR|4RCVC|5RPLT|6NUKE|78BPWR|9RCR|aCDMG
66	31432 52421	3	 * 	262.62	DCR|4VULN|2TLV|1DMG|2LIT	1aLIT|246aVULN|38TLV|5DMG|7RCR|9aZMB|aBPWR
67	31431 36511	9	 * 	262.49	DCR|3VULN|2ASPD|3LIT|1DMG|1TLV	168LIT|289VULN|3TLV|4CGEN|58ASPD|7RCR|8BPWR|aDMG
68	31162 52621	3	   	262.30	DCR|5VULN|1DMG|2LIT	1aLIT|2468aVULN|34CGEN|4aBPWR|5DMG|7RCR|9aZMB
69	31362 52621	2	   	262.30	DCR|5VULN|1DMG|2LIT	1aLIT|2468aVULN|34CGEN|4aBPWR|5DMG|7RCR|9aZMB
70	31132 52621	3	   	262.20	DCR|5VULN|1DMG|2LIT	1aLIT|2468aVULN|3CGEN|5DMG|7RCR|9aZMB|aBPWR
71	31152 52621	4	   	262.20	DCR|5VULN|1DMG|2LIT	1aLIT|2568aVULN|3CGEN|4DMG|7RCR|9aZMB|aBPWR
72	31332 52621	2	   	262.20	DCR|5VULN|1DMG|2LIT	1aLIT|2468aVULN|3CGEN|5DMG|7RCR|9aZMB|aBPWR
73	31632 52621	2	   	262.20	DCR|5VULN|1DMG|2LIT	1aLIT|2368aVULN|4CGEN|5DMG|7RCR|9aZMB|aBPWR
74	31622 52621	2	   	262.10	DCR|5VULN|1DMG|2LIT	1aLIT|2368aVULN|4ERES|5DMG|7RCR|9aZMB|aBPWR
75	31451 35323	5	   	262.03	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	1LIT|27VULN|3TLV|49DMG|5ASPD|6aDUR|8RCR
76	31244 53223	10	   	262.00	DCR|4VULN|1TLV|1DUR|1CDMG	1LIT|256aVULN|3LWND|4CDMG|7RCR|8TLV|9DUR
77	31166 33333	3	   	261.79	DCR|3VULN|2DMG|2DUR	1LIT|245VULN|34CGEN|4BPWR|6aDUR|79DMG|8RCR
78	31366 33333	2	   	261.79	DCR|3VULN|2DMG|2DUR	1LIT|245VULN|34CGEN|4BPWR|6aDUR|79DMG|8RCR
79	31532 51326	5	   	261.75	DCR|3VULN|2DUR|2CDMG|2LIT|1ASPD	1aLIT|26aVULN|37DUR|4ASPD|5aCDMG|8RCR|9RPLT|aBPWR
80	31136 33333	3	   	261.69	DCR|3VULN|2DMG|2DUR	1LIT|245VULN|3CGEN|6aDUR|79DMG|8RCR
81	31336 33333	2	   	261.69	DCR|3VULN|2DMG|2DUR	1LIT|245VULN|3CGEN|6aDUR|79DMG|8RCR
82	31636 33333	2	   	261.69	DCR|3VULN|2DMG|2DUR	1LIT|235VULN|4CGEN|6aDUR|79DMG|8RCR
83	31622 52333	2	   	261.59	DCR|3VULN|2DMG|2DUR	1LIT|236VULN|4ERES|59DMG|7RCR|8aDUR
84	31521 51326	3	 * 	261.49	DCR|2VULN|2DMG|2DUR|2CDMG|2LIT	1aLIT|2aVULN|37DUR|45CDMG|6aDMG|8RCR|9RPLT|aBPWR
85	31522 41326	3	   	261.49	DCR|2VULN|2DMG|2DUR|2CDMG|2LIT	1aLIT|2aVULN|37DUR|46CDMG|5aDMG|8RCR|9RPLT|aBPWR
86	31122 53366	1	 * 	261.42	DCR|4VULN|3LIT|1DMG|1CDMG	178LIT|2DUST|378LHND|4CDMG|5DMG|6789VULN|78BPWR|aRCR
87	31432 32441	3	 * 	261.39	DCR|2VULN|2DMG|2DUR|3TLV|2LIT	1aLIT|24VULN|368TLV|5aDMG|7RCR|9aDUR|aBPWR
88	66341 31313	5	   	261.36	DCR|4VULN|3DUR|1AART	1LEGI|2479VULN|349DUR|49BPWR|59FEWX|6RCR|8BBNT|aAART
89	31522 24326	3	 * 	261.26	DCR|2VULN|3DMG|3LIT|1DUR|1CDMG	16aLIT|2aVULN|3DUR|4CDMG|57aDMG|8RCR|9RPLT|aBPWR
90	31162 22614	3	   	260.86	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|248VULN|34CGEN|4BPWR|56DMG|7RCR|9CDMG|aTLV
91	31362 22614	2	   	260.86	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|248VULN|34CGEN|4BPWR|56DMG|7RCR|9CDMG|aTLV
92	31432 52611	3	   	260.76	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|246VULN|3TLV|58DMG|7RCR|9CDMG|aZMB
93	31432 52613	3	   	260.76	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|246VULN|3TLV|58DMG|7RCR|9CDMG|aLHND
94	31522 54311	3	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|269VULN|3DUR|4CDMG|57DMG|8RCR|aBEXP
95	31522 54312	3	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|269VULN|3DUR|4CDMG|57DMG|8RCR|aBELT
96	31522 54313	3	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|269VULN|3DUR|4CDMG|57DMG|8RCR|aLWND
97	31132 22614	3	   	260.76	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|248VULN|3CGEN|56DMG|7RCR|9CDMG|aTLV
98	31152 22614	4	   	260.76	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|258VULN|3CGEN|46DMG|7RCR|9CDMG|aTLV
99	31332 22614	2	   	260.76	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|248VULN|3CGEN|56DMG|7RCR|9CDMG|aTLV
100	31632 22614	2	   	260.76	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|238VULN|4CGEN|56DMG|7RCR|9CDMG|aTLV
101	31432 52612	3	   	260.66	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|246VULN|3TLV|58DMG|7RCR|9CDMG|aERES
102	31622 42214	2	   	260.66	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|239VULN|4ERES|56DMG|7RCR|8CDMG|aTLV
103	23221 41255	7	 * 	260.64	DCR|4VULN|3DMG	124DUST|357aVULN|679DMG|7BPWR|8RCR
104	31132 52463	3	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	1LIT|246VULN|3CGEN|5DMG|7RCR|8TLV|9aDUR
105	31332 52463	2	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	1LIT|246VULN|3CGEN|5DMG|7RCR|8TLV|9aDUR
106	31432 52263	3	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	1LIT|246VULN|3TLV|5DMG|7RCR|8CGEN|9aDUR
107	31162 22621	3	   	260.35	DCR|4VULN|2DMG|2LIT	1aLIT|248aVULN|34CGEN|4aBPWR|56DMG|7RCR|9aZMB
108	31362 22621	2	   	260.35	DCR|4VULN|2DMG|2LIT	1aLIT|248aVULN|34CGEN|4aBPWR|56DMG|7RCR|9aZMB
109	31544 23222	10	   	260.25	DCR|3VULN|2DUR|2CDMG|1TLV	1LIT|25aVULN|39DUR|46CDMG|7RCR|8TLV
110	33554 23222	10	   	260.25	DCR|3VULN|2DUR|2CDMG|1TLV	1LIT|26CDMG|39DUR|45aVULN|7RCR|8TLV
111	31132 22621	3	   	260.25	DCR|4VULN|2DMG|2LIT	1aLIT|248aVULN|3CGEN|56DMG|7RCR|9aZMB|aBPWR
112	31134 61125	10	   	260.25	DCR|4VULN|2DMG|2LIT	1aLIT|257aVULN|34CGEN|6MLV|8RCR|9aDMG|aBPWR
113	31152 22621	4	   	260.25	DCR|4VULN|2DMG|2LIT	1aLIT|258aVULN|3CGEN|46DMG|7RCR|9aZMB|aBPWR
114	31332 22621	2	   	260.25	DCR|4VULN|2DMG|2LIT	1aLIT|248aVULN|3CGEN|56DMG|7RCR|9aZMB|aBPWR
115	31632 22621	2	   	260.25	DCR|4VULN|2DMG|2LIT	1aLIT|238aVULN|4CGEN|56DMG|7RCR|9aZMB|aBPWR
116	33522 26316	4	 * 	260.19	DCR|2VULN|2DMG|2DUR|3LIT|1CDMG	168LIT|2CDMG|38DUR|4LWND|59DMG|78VULN|8BPWR|aRCR
117	33522 26316	3	   	260.19	DCR|2VULN|2DMG|2DUR|3LIT|1CDMG	168LIT|2CDMG|38DUR|4LWND|59DMG|78VULN|8BPWR|aRCR
118	33532 26316	3	   	260.19	DCR|2VULN|2DMG|2DUR|3LIT|1CDMG	168LIT|2CDMG|38DUR|4LHND|59DMG|78VULN|8BPWR|aRCR
119	36622 21316	1	   	260.19	DCR|2VULN|2DMG|2DUR|3LIT|1CDMG	168LIT|2LWND|38VULN|4CDMG|59DMG|78DUR|8BPWR|aRCR
120	52222 26316	2	   	260.19	DCR|2VULN|2DMG|2DUR|3LIT|1CDMG	18DUR|2CDMG|368LIT|4LWND|59DMG|78VULN|8BPWR|aRCR
121	52232 26316	2	   	260.19	DCR|2VULN|2DMG|2DUR|3LIT|1CDMG	18DUR|2CDMG|368LIT|4LHND|59DMG|78VULN|8BPWR|aRCR
122	31522 21326	3	   	260.19	DCR|2VULN|2DMG|2DUR|3LIT|1CDMG	16aLIT|2aVULN|37DUR|4CDMG|5aDMG|8RCR|9RPLT|aBPWR
123	31542 21326	4	   	260.19	DCR|2VULN|2DMG|2DUR|3LIT|1CDMG	16aLIT|2aVULN|37DUR|4CDMG|5aDMG|8RCR|9RPLT|aBPWR
124	31622 42621	2	   	260.15	DCR|4VULN|2DMG|2LIT	1aLIT|238aVULN|4ERES|56DMG|7RCR|9aZMB|aBPWR
125	31622 21316	1	   	260.09	DCR|2VULN|2DMG|2DUR|3LIT|1CDMG	168LIT|2DUST|38VULN|4CDMG|59DMG|78DUR|8BPWR|aRCR
126	31622 54313	1	   	260.06	DCR|3VULN|3DMG|1CDMG	1LIT|2DUST|369VULN|4CDMG|57aDMG|8RCR
127	31622 12142	2	   	259.95	DCR|4VULN|2DMG|2LIT	19LIT|239aVULN|468ERES|59DMG|7RCR|9BPWR
128	56112 36312	9	 * 	259.89	DCR|3VULN|3DUR|3ASPD	189DUR|26RPLT|3LEGI|49aVULN|59aASPD|7RCR|9aBPWR
129	31522 56332	3	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LIT|267VULN|3DUR|4CDMG|5DMG|8RCR|9TLV|aCGEN
130	56211 12124	5	   	259.31	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	18DUR|2RPLT|3AART|4CDMG|58BEXP|678VULN|8BPWR|9RCR|aDMG
131	31522 56333	3	   	259.17	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1SELL	1LIT|267VULN|3DUR|4CDMG|5DMG|8RCR|9TLV|aSELL
132	53422 31523	3	   	258.88	DCR|3VULN|3DUR|1DMG|1AART	158DUR|2DUST|378VULN|458LHND|58BPWR|6RCR|9DMG|aAART
133	66322 31521	3	   	258.88	DCR|3VULN|3DUR|1DMG|1AART	1LEGI|278VULN|358DUR|458LHND|58BPWR|6RCR|9DMG|aAART
134	53343 31523	5	   	258.78	DCR|3VULN|3DUR|1DMG|1AART	138DUR|2DUST|478VULN|58LHND|6RCR|8BPWR|9DMG|aAART
135	11444 31313	5	   	258.11	DCR|5VULN|2DUR	19LWND|24LHND|3479aVULN|49BPWR|59DUR|6RCR|8BBNT
136	15443 31313	5	   	258.11	DCR|5VULN|2DUR	19LWND|24DUR|3479aVULN|49BPWR|59LHND|6RCR|8BBNT
137	51443 31313	5	   	258.11	DCR|5VULN|2DUR	19DUR|24LWND|3479aVULN|49BPWR|59LHND|6RCR|8BBNT
138	15443 31333	5	   	257.91	DCR|5VULN|2DUR	1LWND|24DUR|3479aVULN|4BPWR|5LHND|6RCR|8BBNT
139	22223 11664	1	   	257.91	DCR|5VULN|2DUR	19DUST|2RMIN|3LHND|45689VULN|79DUR|9BPWR|aRCR
140	25443 31313	5	   	257.91	DCR|5VULN|2DUR	19DUST|24DUR|3479aVULN|49BPWR|59LHND|6RCR|8BBNT
141	51262 31143	4	   	257.91	DCR|5VULN|2DUR	15DUR|2LWND|3LHND|4578aVULN|5BPWR|6RCR|9BBNT
142	51262 31163	4	   	257.91	DCR|5VULN|2DUR	15DUR|2LWND|3LHND|4578aVULN|5BPWR|6RCR|9TBNT
143	51262 31333	4	   	257.91	DCR|5VULN|2DUR	15DUR|2LWND|3LHND|4579aVULN|5BPWR|6RCR|8BBNT
144	53443 31313	5	   	257.91	DCR|5VULN|2DUR	19DUR|24DUST|3479aVULN|49BPWR|59LHND|6RCR|8BBNT
145	25443 31333	5	   	257.81	DCR|5VULN|2DUR	1DUST|24DUR|3479aVULN|4BPWR|5LHND|6RCR|8BBNT
146	66343 31333	5	   	257.81	DCR|5VULN|2DUR	1LEGI|2479aVULN|34DUR|4BPWR|5LHND|6RCR|8BBNT
147	31322 56361	3	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|267VULN|3BEXP|4CDMG|5DMG|8RCR|9aDUR
148	31522 51311	3	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|269VULN|37DUR|4CDMG|5DMG|8RCR|aBEXP
149	31522 51312	3	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|269VULN|37DUR|4CDMG|5DMG|8RCR|aBELT
150	31522 51313	3	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|269VULN|37DUR|4CDMG|5DMG|8RCR|aLWND
151	31522 51314	3	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|269VULN|37DUR|4CDMG|5DMG|8RCR|aRPLT
152	31542 51311	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|269VULN|37DUR|4CDMG|5DMG|8RCR|aBEXP
153	31542 51312	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|269VULN|37DUR|4CDMG|5DMG|8RCR|aBELT
154	31542 51313	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|269VULN|37DUR|4CDMG|5DMG|8RCR|aLWND
155	33552 51311	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2CDMG|37DUR|469VULN|5DMG|8RCR|aBEXP
156	33552 51312	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2CDMG|37DUR|469VULN|5DMG|8RCR|aBELT
157	33552 51313	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2CDMG|37DUR|469VULN|5DMG|8RCR|aLWND
158	31322 66343	4	   	257.68	DCR|4VULN|2DUR|1ASPD	1LIT|2459VULN|3BEXP|6aDUR|7ASPD|8RCR
159	31451 31343	5	   	257.67	DCR|2VULN|3DUR|1DMG|1TLV|1ASPD	1LIT|29VULN|3TLV|4DMG|5ASPD|67aDUR|8RCR
160	31522 51316	3	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|269VULN|37DUR|4CDMG|5DMG|8RCR|aBBNT
161	31432 22421	3	 * 	257.57	DCR|3VULN|2DMG|2TLV|2LIT	1aLIT|24aVULN|38TLV|56DMG|7RCR|9aZMB|aBPWR
162	31432 32621	3	   	257.57	DCR|3VULN|2DMG|2TLV|2LIT	1aLIT|24aVULN|36TLV|58DMG|7RCR|9aZMB|aBPWR
163	31452 22421	4	   	257.57	DCR|3VULN|2DMG|2TLV|2LIT	1aLIT|25aVULN|38TLV|46DMG|7RCR|9aZMB|aBPWR
164	31452 32621	4	   	257.57	DCR|3VULN|2DMG|2TLV|2LIT	1aLIT|25aVULN|36TLV|48DMG|7RCR|9aZMB|aBPWR
165	31662 22421	2	   	257.57	DCR|3VULN|2DMG|2TLV|2LIT	1aLIT|23aVULN|48TLV|56DMG|7RCR|9aZMB|aBPWR
166	31121 56326	2	 * 	257.57	DCR|3VULN|2DMG|2CDMG|2LIT	1aLIT|27aVULN|3LHND|45CDMG|6aDMG|8RCR|9RPLT|aBPWR
167	31122 46326	2	   	257.57	DCR|3VULN|2DMG|2CDMG|2LIT	1aLIT|27aVULN|3LHND|46CDMG|5aDMG|8RCR|9RPLT|aBPWR
168	31221 56326	3	   	257.57	DCR|3VULN|2DMG|2CDMG|2LIT	1aLIT|27aVULN|3LWND|45CDMG|6aDMG|8RCR|9RPLT|aBPWR
169	31222 46326	3	   	257.57	DCR|3VULN|2DMG|2CDMG|2LIT	1aLIT|27aVULN|3LWND|46CDMG|5aDMG|8RCR|9RPLT|aBPWR
170	31321 56326	3	   	257.57	DCR|3VULN|2DMG|2CDMG|2LIT	1aLIT|27aVULN|3BEXP|45CDMG|6aDMG|8RCR|9RPLT|aBPWR
171	31322 46326	3	   	257.57	DCR|3VULN|2DMG|2CDMG|2LIT	1aLIT|27aVULN|3BEXP|46CDMG|5aDMG|8RCR|9RPLT|aBPWR
172	31662 32621	2	   	257.57	DCR|3VULN|2DMG|2TLV|2LIT	1aLIT|23aVULN|46TLV|58DMG|7RCR|9aZMB|aBPWR
