0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53126 42233	9	 * 	284.46	DCR|3VULN|2DMG|2DUR|2ASPD|1AART	1aDUR|249VULN|3RCVC|5AART|6aASPD|7aDMG|8RCR|aBPWR
30	53262 53223	1	 * 	264.03	ACR|3VULN|3DUR|2DMG|2ASPD	179DUR|2RCR|35aVULN|47ASPD|67DMG|7BPWR|8LIT
31	53263 43223	1	   	264.03	ACR|3VULN|3DUR|2DMG|2ASPD	179DUR|2RCR|36aVULN|47ASPD|57DMG|7BPWR|8LIT
32	53221 42243	6	   	263.92	DCR|3VULN|3DUR|2ASPD|1CDMG	19aDUR|26aVULN|3BEXP|4CDMG|5aASPD|7TBNT|8RCR|aBPWR
33	53226 11243	4	   	263.92	DCR|3VULN|3DUR|2ASPD|1CDMG	19aDUR|25aVULN|3BEXP|4CDMG|6BBNT|7aASPD|8RCR|aBPWR
34	64322 21251	8	 * 	263.19	DCR|5VULN|1DMG|1TLV	1ERES|2DMG|3TLV|4568aVULN|7DUST|9RCR
35	33136 26531	9	 * 	262.76	DCR|3VULN|3DMG|1TLV	1LEGI|29aVULN|3RCVC|49aDUST|5LIT|6TLV|79aDMG|8RCR|9aBPWR
36	53121 34741	8	   	261.69	DCR|3VULN|2DMG|2DUR	1aDUR|24aVULN|3RCVC|5LIT|6MBVNT|7ERES|8RCR|9aDMG|aBPWR
37	33435 33211	7	   	261.50	DCR|3VULN|2DUR|2ASPD|1TLV	1LEGI|28aVULN|3DUST|4aDUR|5LIT|6TLV|7aASPD|9RCR|aBPWR
38	33435 34211	6	   	261.50	DCR|3VULN|2DUR|2ASPD|1TLV	1LEGI|28aVULN|3DUST|4aDUR|5LIT|6TLV|7aASPD|9RCR|aBPWR
39	33113 26251	6	 * 	260.58	DCR|3VULN|2DMG|2TLV|1AART	1LEGI|27aVULN|3RCVC|4AART|5LIT|6aDMG|8RCR|9aTLV|aBPWR
40	53121 11121	9	   	260.31	DCR|4VULN|3DUR	19aDUR|249aVULN|3RCVC|5LIT|6FEWX|7RCR|89aBEXP|9aBPWR
41	53121 11621	9	   	260.31	DCR|4VULN|3DUR	19aDUR|249aVULN|3RCVC|5LIT|6FEWX|7RCR|89aLHND|9aBPWR
42	53121 41121	9	   	260.21	DCR|4VULN|3DUR	19aDUR|249aVULN|3RCVC|5LIT|6DUST|7RCR|89aBEXP|9aBPWR
43	53122 21651	6	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|246aVULN|3RCVC|5TLV|7RMIN|8DMG|9RCR
44	53121 11521	9	   	260.01	DCR|4VULN|3DUR	19aDUR|249aVULN|3RCVC|5LIT|6FEWX|7RCR|89aDUST|9aBPWR
45	53122 23651	7	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|246aVULN|3RCVC|5TLV|7ERES|8DMG|9RCR
46	33214 52243	2	 * 	259.93	DCR|3VULN|3DUR|2CDMG|1ASPD	1LEGI|23aVULN|4ASPD|5aCDMG|69aDUR|7TBNT|8RCR|aBPWR
47	56322 11161	10	 * 	259.86	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|3aTLV|4aVULN|5BEXP|6LWND|7RCR|9aDMG|aBPWR
48	52323 24314	2	   	259.76	DCR|2VULN|3DUR|2DMG|2TLV	189DUR|2ERES|38VULN|4BEXP|5aDMG|68TLV|7RCR|8BPWR
49	53221 22243	4	 * 	259.76	DCR|2VULN|3DUR|2DMG|2CDMG	19aDUR|2aVULN|3BEXP|45CDMG|6aDMG|7TBNT|8RCR|aBPWR
50	53421 22243	4	   	259.66	DCR|2VULN|3DUR|2DMG|2CDMG	19aDUR|2aVULN|3DUST|45CDMG|6aDMG|7TBNT|8RCR|aBPWR
51	53122 25211	9	   	259.58	DCR|5VULN|1TLV|1DUR	1DUR|2468aVULN|3RCVC|5TLV|7FEWX|9RCR
52	53122 26211	9	   	259.58	DCR|5VULN|1TLV|1DUR	1DUR|2468aVULN|3RCVC|5TLV|7LWND|9RCR
53	53122 26213	10	   	259.58	DCR|5VULN|1TLV|1DUR	1DUR|2468aVULN|3RCVC|5TLV|7LWND|9RCR
54	53122 21211	9	   	259.48	DCR|5VULN|1TLV|1DUR	1DUR|2468aVULN|3RCVC|5TLV|7DUST|9RCR
55	63322 24211	9	   	259.48	DCR|5VULN|1TLV|1DUR	1ERES|2RMIN|3TLV|4568aVULN|7DUR|9RCR
56	63322 24213	10	   	259.48	DCR|5VULN|1TLV|1DUR	1ERES|2RMIN|3TLV|4568aVULN|7DUR|9RCR
57	52122 53111	9	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	139DUR|2ERES|459VULN|6TLV|7CDMG|89CGEN|9BPWR|aRCR
58	52122 21651	6	 * 	258.34	DCR|4VULN|2DUR|1DMG	13DUR|2ERES|456aVULN|7RMIN|8DMG|9RCR
59	52122 25363	6	   	258.34	DCR|4VULN|2DUR|1DMG	13DUR|2ERES|4569VULN|7RPLT|8DMG|aRCR
60	53121 22426	9	 * 	258.34	DCR|4VULN|2DUR|3LIT	19DUR|249aVULN|3RCVC|568LIT|7RCR|9BPWR
61	56323 25211	9	 * 	258.34	DCR|4VULN|2DUR|2TLV	12DUR|35TLV|468aVULN|7FEWX|9RCR
62	56323 26211	9	   	258.34	DCR|4VULN|2DUR|2TLV	12DUR|35TLV|468aVULN|7LWND|9RCR
63	56323 26213	10	   	258.34	DCR|4VULN|2DUR|2TLV	12DUR|35TLV|468aVULN|7LWND|9RCR
64	33136 36521	9	 * 	258.27	DCR|3VULN|3DMG|3LIT	1LEGI|29aVULN|3RCVC|4DUST|59aLIT|6RMIN|79aDMG|8RCR|9aBPWR
65	56323 21211	9	   	258.24	DCR|4VULN|2DUR|2TLV	12DUR|35TLV|468aVULN|7DUST|9RCR
66	52122 25211	9	   	257.81	DCR|5VULN|2DUR	13DUR|2ERES|4568aVULN|7FEWX|9RCR
67	52122 26211	9	   	257.81	DCR|5VULN|2DUR	13DUR|2ERES|4568aVULN|7LWND|9RCR
68	52122 26213	10	   	257.81	DCR|5VULN|2DUR	13DUR|2ERES|4568aVULN|7LWND|9RCR
69	52122 21211	9	   	257.71	DCR|5VULN|2DUR	13DUR|2ERES|4568aVULN|7DUST|9RCR
70	53116 42233	9	   	257.55	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	1aDUR|29VULN|3RCVC|4DMSP|5AART|6aASPD|7aDMG|8RCR|aBPWR
71	53126 42213	8	   	257.55	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	1aDUR|24VULN|3RCVC|5AART|6aASPD|7aDMG|8RCR|9DMSP|aBPWR
72	64322 21252	8	   	257.30	DCR|4VULN|1DMG|1TLV|1CDMG	1ERES|2DMG|3TLV|4568VULN|7DUST|9RCR|aCDMG
73	53221 42263	6	 * 	257.01	DCR|3VULN|2DUR|2ASPD|2CDMG	1aDUR|26aVULN|3BEXP|49CDMG|5aASPD|7TBNT|8RCR|aBPWR
74	53226 11263	4	   	257.01	DCR|3VULN|2DUR|2ASPD|2CDMG	1aDUR|25aVULN|3BEXP|49CDMG|6BBNT|7aASPD|8RCR|aBPWR
75	52122 51252	8	   	256.54	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	13DUR|2ERES|458VULN|6TLV|7ASPD|9RCR|aCDMG
76	51142 32533	10	   	256.37	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	13DUR|2CGEN|47DMG|5TLV|6CDMG|8RCR|9aVULN
77	53313 41215	6	   	256.34	DCR|4VULN|2DUR|1AART	17DUR|269aVULN|3LHND|4AART|5LIT|8RCR
78	53313 41215	7	   	256.34	DCR|4VULN|2DUR|1AART	17DUR|269aVULN|3LHND|4AART|5LIT|8RCR
79	52142 32533	10	   	256.27	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	13DUR|2ERES|47DMG|5TLV|6CDMG|8RCR|9aVULN
80	52312 84834	10	   	256.11	DCR|3VULN|3DUR|1TLV|1ASPD	147DUR|247ERES|3MBVNT|47BPWR|567VULN|8ASPD|9TLV|aRCR
81	53633 61321	5	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|289VULN|3ERES|4CGEN|5RPLT|6RCR|78CDMG|8BPWR|aDMG
82	53121 22426	10	 * 	255.76	DCR|3VULN|2DUR|3LIT|1DMG	19DUR|249VULN|3RCVC|568LIT|7RCR|9BPWR|aDMG
83	53231 41134	9	 * 	255.55	DCR|2VULN|3DMG|3DUR	189DUR|29VULN|35BEXP|4LWND|69aDMG|7RCR|9BPWR
84	53321 41134	9	   	255.55	DCR|2VULN|3DMG|3DUR	189DUR|29VULN|3LHND|45BEXP|69aDMG|7RCR|9BPWR
85	33221 41134	9	   	255.45	DCR|2VULN|3DMG|3DUR	1LEGI|29VULN|34BEXP|589DUR|69aDMG|7RCR|9BPWR
86	33131 41134	9	   	255.35	DCR|2VULN|3DMG|3DUR	1LEGI|29VULN|3RCVC|4DUST|589DUR|69aDMG|7RCR|9BPWR
87	33432 61134	9	   	255.26	DCR|2VULN|3DMG|3DUR	1LEGI|29VULN|36DUST|489DUR|59aDMG|7RCR|9BPWR
88	33461 14313	2	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1LEGI|28aVULN|38DMG|4TLV|5ERES|68FEWX|7RCR|8BPWR|9DUR
89	33212 15345	5	 * 	254.95	DCR|4VULN|2DMG|1AART	1LEGI|2578VULN|37BEXP|4AART|67DMG|7BPWR|9MLV|aRCR
90	33312 15345	5	   	254.95	DCR|4VULN|2DMG|1AART	1LEGI|2578VULN|37LHND|4AART|67DMG|7BPWR|9MLV|aRCR
91	53122 62422	10	   	254.80	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1DUR|248VULN|3RCVC|5TLV|6SELL|7aDMG|9RCR
92	52361 22831	5	   	254.66	DCR|2VULN|3DUR|2DMG|2LIT	17aDUR|27ERES|3MBVNT|4aVULN|5LWND|67LIT|7aBPWR|8RCR|9aDMG
93	53122 24111	9	   	254.62	DCR|4VULN|2DUR|1TLV	17DUR|246aVULN|3RCVC|5TLV|8FEWX|9RCR
94	56326 23211	9	   	254.62	DCR|4VULN|2DUR|1TLV	12DUR|3TLV|468aVULN|57LWND|9RCR
95	56326 23213	10	   	254.62	DCR|4VULN|2DUR|1TLV	12DUR|3TLV|468aVULN|57LWND|9RCR
96	53122 46211	9	   	254.62	DCR|4VULN|2DUR|1TLV	17DUR|248aVULN|3RCVC|5TLV|6LHND|9RCR
97	53122 46213	10	   	254.62	DCR|4VULN|2DUR|1TLV	17DUR|248aVULN|3RCVC|5TLV|6LHND|9RCR
98	56363 23211	9	   	254.62	DCR|4VULN|2DUR|1TLV	12DUR|3TLV|47LWND|568aVULN|9RCR
99	56363 23213	10	   	254.62	DCR|4VULN|2DUR|1TLV	12DUR|3TLV|47LWND|568aVULN|9RCR
100	52122 25214	9	   	254.52	DCR|4VULN|2DUR|1TLV	13DUR|2ERES|4568VULN|7FEWX|9RCR|aTLV
101	52122 26214	9	   	254.52	DCR|4VULN|2DUR|1TLV	13DUR|2ERES|4568VULN|7LWND|9RCR|aTLV
102	52122 54211	9	   	254.52	DCR|4VULN|2DUR|1TLV	13DUR|2ERES|458aVULN|6TLV|7CGEN|9RCR
103	52122 54213	10	   	254.52	DCR|4VULN|2DUR|1TLV	13DUR|2ERES|458aVULN|6TLV|7CGEN|9RCR
104	53122 21212	10	   	254.52	DCR|4VULN|2DUR|1TLV	1aDUR|2468VULN|3RCVC|5TLV|7DUST|9RCR
105	53122 24211	9	   	254.52	DCR|4VULN|2DUR|1TLV	17DUR|246aVULN|3RCVC|5TLV|8DUST|9RCR
