0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51611 13251	1	 * 	266.58	DCR|3VULN|3DMG|2DUR	1RPLT|28aVULN|3BELT|4LIT|56aDMG|7aDUR|9RCR|aBPWR
40	41243 41231	6	 * 	247.84	DCR|5VULN|1TLV	18BEXP|2LIT|3TLV|4579aVULN|6RCR
41	61243 43131	8	   	247.84	DCR|5VULN|1TLV	17FEWX|2LIT|3TLV|4589aVULN|6RCR
42	53131 33141	8	   	247.45	DCR|3VULN|2DMG|1TLV|1AART	1RPLT|2FEWX|358VULN|4TLV|69DMG|7AART|aRCR
43	53131 33161	9	   	247.45	DCR|3VULN|2DMG|1TLV|1AART	1RPLT|2FEWX|358VULN|4TLV|69DMG|7AART|aRCR
44	62131 33141	8	   	247.45	DCR|3VULN|2DMG|1TLV|1AART	1FEWX|2RPLT|358VULN|4TLV|69DMG|7AART|aRCR
45	62131 33161	9	   	247.45	DCR|3VULN|2DMG|1TLV|1AART	1FEWX|2RPLT|358VULN|4TLV|69DMG|7AART|aRCR
46	11624 24221	6	   	246.03	DCR|3VULN|2DUR|1TLV|2LIT	17LHND|29LIT|378VULN|47DUR|5RPLT|6RCR|7BPWR|aTLV
47	11253 53323	5	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	17LHND|2LIT|3TLV|4DMG|58aVULN|6RCR|9DUR
48	11253 53323	4	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	17LHND|2LIT|3TLV|4DMG|58aVULN|6RCR|9DUR
49	11623 22463	4	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	16LHND|2LIT|35aVULN|4DUR|7TLV|8RCR|9DMG
50	53131 32416	7	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1RPLT|2FEWX|35aVULN|4TLV|6DMG|7DUR|8RCR|9LIT
51	62131 32416	7	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1FEWX|2RPLT|35aVULN|4TLV|6DMG|7DUR|8RCR|9LIT
52	11242 41163	6	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	15LHND|2LIT|3TLV|47aVULN|6RCR|8DUR|9DMG
53	11243 41163	6	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2LIT|3TLV|47aVULN|5DMSP|6RCR|8DUR|9DMG
54	11253 32442	10	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2LIT|3TLV|4DMG|568VULN|7BEXP|9RCR|aDUR
55	53131 12355	5	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1RPLT|2FEWX|356VULN|4TLV|7DUR|8DMG|9RCR|aLIT
56	62131 12355	5	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1FEWX|2RPLT|356VULN|4TLV|7DUR|8DMG|9RCR|aLIT
57	53131 12354	5	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	1RPLT|2FEWX|356VULN|4aTLV|7DUR|8DMG|9RCR
58	62131 12354	5	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	1FEWX|2RPLT|356VULN|4aTLV|7DUR|8DMG|9RCR
59	11653 63344	4	   	244.45	DCR|4VULN|1TLV|2LIT	17LHND|27LIT|3578VULN|4MBVNT|6RCR|7BPWR|9TLV|aASPD
60	31436 22412	6	 * 	244.13	DCR|2VULN|2DMG|2DUR|1TLV	19ZMB|29CGEN|35DMG|47DUR|6RCR|89VULN|9BPWR|aTLV
61	11241 46131	8	 * 	244.12	DCR|4VULN|2TLV|2LIT	1LHND|27LIT|35TLV|489aVULN|6RCR
62	16225 36311	2	 * 	244.10	DCR|3VULN|3DUR|1TLV	1LHND|23aDUR|467VULN|5BBNT|8RCR|9TLV
63	42215 36311	1	   	244.10	DCR|3VULN|3DUR|1TLV	1BEXP|267VULN|34aDUR|5BBNT|8RCR|9TLV
64	62215 36311	1	   	244.10	DCR|3VULN|3DUR|1TLV	1FEWX|267VULN|34aDUR|5BBNT|8RCR|9TLV
65	12226 36222	1	   	242.73	DCR|2VULN|2TLV|2DUR|1DMG	1LHND|24VULN|39DUR|57TLV|6ASPD|8RCR|aDMG
66	42131 22442	10	 * 	242.69	DCR|3VULN|1TLV|3CDMG|1DUR	147BEXP|2RPLT|347VULN|47BPWR|567CDMG|8DUR|9RCR|aTLV
67	31151 23214	6	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2CGEN|379VULN|45DUR|6BEXP|89DMG|9BPWR|aRCR
68	31151 43214	5	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2CGEN|379VULN|45DUR|6BEXP|89DMG|9BPWR|aRCR
69	31151 63214	5	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2CGEN|379VULN|45DUR|6FEWX|89DMG|9BPWR|aRCR
70	31152 23214	6	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2CGEN|379VULN|46DUR|5FEWX|89DMG|9BPWR|aRCR
71	31152 33214	5	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2CGEN|379VULN|46DUR|5FEWX|89DMG|9BPWR|aRCR
72	32411 23214	6	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2LWND|379VULN|4CGEN|56DUR|89DMG|9BPWR|aRCR
73	32411 33214	5	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2LWND|379VULN|4CGEN|56DUR|89DMG|9BPWR|aRCR
74	32432 33214	3	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2LWND|379VULN|46DUR|5CGEN|89DMG|9BPWR|aRCR
75	32441 23214	6	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2LWND|379VULN|46DUR|5CGEN|89DMG|9BPWR|aRCR
76	32441 33214	5	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2LWND|379VULN|46DUR|5CGEN|89DMG|9BPWR|aRCR
77	32442 33214	4	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2LWND|379VULN|46DUR|5CGEN|89DMG|9BPWR|aRCR
78	33411 23214	6	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2BEXP|379VULN|4CGEN|56DUR|89DMG|9BPWR|aRCR
79	33411 33214	5	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2BEXP|379VULN|4CGEN|56DUR|89DMG|9BPWR|aRCR
80	33441 23214	6	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2BEXP|379VULN|46DUR|5CGEN|89DMG|9BPWR|aRCR
81	33441 33214	5	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2BEXP|379VULN|46DUR|5CGEN|89DMG|9BPWR|aRCR
82	33442 33214	4	   	242.62	DCR|3VULN|2DMG|2DUR	19ZMB|2BEXP|379VULN|46DUR|5CGEN|89DMG|9BPWR|aRCR
83	32436 13214	3	   	242.52	DCR|3VULN|2DMG|2DUR	19ZMB|2LWND|379VULN|45DUR|6ERES|89DMG|9BPWR|aRCR
84	42213 53213	1	   	242.52	DCR|3VULN|2DMG|2DUR	19BEXP|279VULN|34DUR|5ERES|6RMIN|89DMG|9BPWR|aRCR
85	42233 33214	1	   	242.52	DCR|3VULN|2DMG|2DUR	19BEXP|247VULN|39DUR|5ERES|6ZMB|89DMG|9BPWR|aRCR
86	44223 33214	2	   	242.52	DCR|3VULN|2DMG|2DUR	19BEXP|23DUR|479VULN|5ERES|6ZMB|89DMG|9BPWR|aRCR
87	44223 33214	1	   	242.52	DCR|3VULN|2DMG|2DUR	19BEXP|23DUR|479VULN|5ERES|6ZMB|89DMG|9BPWR|aRCR
88	62213 53213	1	   	242.52	DCR|3VULN|2DMG|2DUR	19FEWX|279VULN|34DUR|5ERES|6RMIN|89DMG|9BPWR|aRCR
89	62233 33214	1	   	242.52	DCR|3VULN|2DMG|2DUR	19FEWX|247VULN|39DUR|5ERES|6ZMB|89DMG|9BPWR|aRCR
90	64223 33214	2	   	242.52	DCR|3VULN|2DMG|2DUR	19FEWX|23DUR|479VULN|5ERES|6ZMB|89DMG|9BPWR|aRCR
91	64223 33214	1	   	242.52	DCR|3VULN|2DMG|2DUR	19FEWX|23DUR|479VULN|5ERES|6ZMB|89DMG|9BPWR|aRCR
92	46136 21321	10	   	242.36	DCR|3VULN|1TLV|1DMG|1CDMG	17BEXP|2DMG|37CGEN|4CDMG|5TLV|67aVULN|7BPWR|8ASPD|9RCR
93	46136 21322	9	   	242.36	DCR|3VULN|1TLV|1DMG|1CDMG	17BEXP|2DMG|37CGEN|4CDMG|5TLV|67aVULN|7BPWR|8ASPD|9RCR
94	46336 21321	10	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	17BEXP|2DMG|37ERES|4CDMG|5TLV|67aVULN|7BPWR|8ASPD|9RCR
95	46336 21322	9	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	17BEXP|2DMG|37ERES|4CDMG|5TLV|67aVULN|7BPWR|8ASPD|9RCR
96	46231 32233	8	 * 	241.57	DCR|2VULN|2DMG|1TLV|2CDMG	1BEXP|29DMG|3LWND|4LIT|59VULN|6TLV|7RMIN|89CDMG|9BPWR|aRCR
97	66231 32233	8	   	241.57	DCR|2VULN|2DMG|1TLV|2CDMG	1FEWX|29DMG|3LWND|4LIT|59VULN|6TLV|7RMIN|89CDMG|9BPWR|aRCR
98	52432 32633	6	   	241.46	DCR|2VULN|3DUR|1TLV|1CDMG	1RPLT|2CDMG|37VULN|4LIT|59aDUR|6RCR|8TLV
99	34423 22353	10	   	241.19	DCR|3VULN|3DMG|1CDMG	19aZMB|2RMIN|39aDMG|4LEGI|5LHND|6CDMG|79aVULN|8RCR|9aBPWR
100	41241 41323	6	   	241.08	DCR|3VULN|2TLV|1DUR	1BEXP|2LIT|35TLV|47aVULN|6RCR|8ASPD|9DUR
101	11624 24222	6	   	240.88	DCR|4VULN|2DUR|2LIT	17LHND|29LIT|378aVULN|47DUR|5RPLT|6RCR|7BPWR
102	12225 34336	1	   	240.78	DCR|4VULN|2DUR|2LIT	18LHND|246aVULN|38DUR|5BBNT|78LIT|8BPWR|9RCR
103	12234 34336	1	   	240.78	DCR|4VULN|2DUR|2LIT	18LHND|256aVULN|38DUR|4BBNT|78LIT|8BPWR|9RCR
104	13225 21151	1	   	240.63	DCR|3VULN|2DUR|1TLV|1AART	1LHND|2LEGI|35DUR|459VULN|5BPWR|6TLV|7RMIN|8AART|aRCR
105	13225 22151	1	   	240.63	DCR|3VULN|2DUR|1TLV|1AART	1LHND|2LEGI|35DUR|459VULN|5BPWR|6TLV|7CGEN|8AART|aRCR
106	11653 63322	4	   	239.84	DCR|4VULN|1DUR|2LIT|1CDMG	17LHND|27LIT|3578VULN|4MBVNT|6RCR|7BPWR|9DUR|aCDMG
107	11624 24231	6	   	239.48	DCR|3VULN|2DUR|1TLV	17LHND|2LIT|378VULN|47DUR|5RPLT|6RCR|7BPWR|9DMSP|aTLV
108	11624 25121	6	   	239.48	DCR|3VULN|2DUR|1TLV	18LHND|2LIT|389VULN|48DUR|5RPLT|6RCR|7BELT|8BPWR|aTLV
109	51332 62225	1	 * 	239.25	DCR|3VULN|2TLV|2DUR	1RPLT|24aVULN|3aTLV|5CGEN|6LWND|7RMIN|8aDUR|9RCR|aBPWR
110	16334 53213	4	   	239.02	DCR|2VULN|2TLV|2DUR|2ASPD	17LHND|27DUR|38ASPD|4LIT|57TLV|6RCR|7BPWR|9aVULN
111	41243 41123	6	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|2LIT|3TLV|457VULN|6RCR|8DUR|9LWND|aCDMG
112	41243 41132	6	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|2LIT|3TLV|457VULN|6RCR|8DUR|9CGEN|aCDMG
113	41243 42332	7	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|2LIT|3TLV|458VULN|6RCR|7CGEN|9DUR|aCDMG
114	61243 41123	6	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1FEWX|2LIT|3TLV|457VULN|6RCR|8DUR|9LWND|aCDMG
115	61243 41132	6	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1FEWX|2LIT|3TLV|457VULN|6RCR|8DUR|9CGEN|aCDMG
116	61243 42332	7	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1FEWX|2LIT|3TLV|458VULN|6RCR|7CGEN|9DUR|aCDMG
117	11653 64441	4	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1LHND|2LIT|359VULN|4MBVNT|6RCR|7DUR|8CDMG|aTLV
118	41243 41112	6	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|2LIT|3TLV|457VULN|6RCR|8DUR|9ERES|aCDMG
119	41243 42332	6	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|2LIT|3TLV|458VULN|6RCR|7ERES|9DUR|aCDMG
120	61243 41112	6	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1FEWX|2LIT|3TLV|457VULN|6RCR|8DUR|9ERES|aCDMG
121	61243 42332	6	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1FEWX|2LIT|3TLV|458VULN|6RCR|7ERES|9DUR|aCDMG
122	53131 33561	7	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1RPLT|2FEWX|359VULN|4TLV|6DMG|7AART|8LIT|aRCR
123	62131 33561	7	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1FEWX|2RPLT|359VULN|4TLV|6DMG|7AART|8LIT|aRCR
124	16632 41311	9	 * 	238.16	DCR|3VULN|3DUR|2CDMG	13LHND|236DUR|36BPWR|46CDMG|5DMSP|78aVULN|9RCR
125	33454 31212	9	   	238.14	DCR|3VULN|2TLV|1DMG|1AART	17ZMB|2BEXP|347VULN|57TLV|6AART|7BPWR|8DMG|9RMIN|aRCR
126	33454 31232	8	   	238.14	DCR|3VULN|2TLV|1DMG|1AART	17ZMB|2BEXP|347VULN|57TLV|6AART|7BPWR|8DMG|9MLV|aRCR
127	16633 51311	9	   	238.06	DCR|3VULN|3DUR|2CDMG	13LHND|235DUR|3BPWR|46CDMG|78aVULN|9RCR
128	16532 41311	9	   	238.06	DCR|3VULN|3DUR|2CDMG	1LHND|236DUR|46CDMG|5DMSP|6BPWR|78aVULN|9RCR
129	33454 31232	9	   	238.04	DCR|3VULN|2TLV|1DMG|1AART	17ZMB|2BEXP|347VULN|57TLV|6AART|7BPWR|8DMG|9ERES|aRCR
130	16533 51311	9	   	237.96	DCR|3VULN|3DUR|2CDMG	1LHND|235DUR|46CDMG|78aVULN|9RCR
131	31526 23224	2	   	237.89	DCR|3VULN|2DMG|1TLV	19ZMB|2CGEN|3LEGI|479VULN|5TLV|6MLV|89DMG|9BPWR|aRCR
132	11241 24632	10	   	237.89	DCR|2VULN|2DMG|3TLV	19LHND|2LIT|357TLV|49VULN|69DMG|8RCR|9BPWR|aASPD
133	11241 45332	10	   	237.89	DCR|2VULN|2DMG|3TLV	19LHND|2LIT|357TLV|49VULN|6RCR|89DMG|9BPWR|aASPD
134	41243 41311	6	   	237.80	DCR|4VULN|1TLV	1BEXP|2LIT|3TLV|4579VULN|6RCR|8ASPD|aRPLT
135	41243 41313	6	   	237.80	DCR|4VULN|1TLV	1BEXP|2LIT|3TLV|4579VULN|6RCR|8ASPD|aFEWX
136	42132 12612	8	   	237.80	DCR|3VULN|2DMG|1DUR|1AART	149BEXP|2RPLT|349VULN|49BPWR|5DUR|6CGEN|79DMG|8AART|aRCR
137	55132 12612	8	   	237.80	DCR|3VULN|2DMG|1DUR|1AART	1RPLT|249BEXP|349VULN|49BPWR|5DUR|6CGEN|79DMG|8AART|aRCR
138	31526 13224	2	   	237.79	DCR|3VULN|2DMG|1TLV	19ZMB|2CGEN|3LEGI|479VULN|5TLV|6ERES|89DMG|9BPWR|aRCR
139	11633 26336	3	   	237.68	DCR|4VULN|2TLV	18LHND|2LIT|368aVULN|48TLV|5BBNT|7RMIN|8BPWR|9RCR
140	11223 26336	3	   	237.68	DCR|4VULN|2TLV	18LHND|2LIT|38TLV|468aVULN|5BBNT|7RMIN|8BPWR|9RCR
141	11233 26336	3	   	237.68	DCR|4VULN|2TLV	18LHND|2LIT|38TLV|4TBNT|568aVULN|7RMIN|8BPWR|9RCR
142	11243 26336	4	   	237.68	DCR|4VULN|2TLV	18LHND|2LIT|38TLV|468aVULN|5BBNT|7RMIN|8BPWR|9RCR
143	12226 32235	1	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1LHND|24VULN|3DUR|5TLV|6ASPD|7BELT|89DMG|aRCR
144	41253 52333	4	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1BEXP|2LIT|3TLV|48DMG|5aVULN|6RCR|7LWND|9DUR
145	41253 52333	5	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1BEXP|2LIT|3TLV|48DMG|5aVULN|6RCR|7LWND|9DUR
146	62236 32235	1	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1FEWX|24VULN|3DUR|5TLV|6ASPD|7BELT|89DMG|aRCR
147	36211 25112	9	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	12ZMB|3ASPD|4TLV|58VULN|6RCR|7DUR|9aDMG
148	31136 23224	3	   	237.63	DCR|2VULN|2DMG|2TLV|1DUR	1ZMB|29CGEN|37VULN|4DUR|59TLV|6MLV|89DMG|9BPWR|aRCR
149	31156 23224	4	   	237.63	DCR|2VULN|2DMG|2TLV|1DUR	1ZMB|29CGEN|37VULN|4DUR|59TLV|6MLV|89DMG|9BPWR|aRCR
150	31626 23224	2	   	237.63	DCR|2VULN|2DMG|2TLV|1DUR	1ZMB|29CGEN|3DUR|47VULN|59TLV|6MLV|89DMG|9BPWR|aRCR
151	11242 45131	8	   	237.58	DCR|4VULN|2TLV	15LHND|2LIT|37TLV|489aVULN|6RCR
152	11243 45131	8	   	237.58	DCR|4VULN|2TLV	1LHND|2LIT|37TLV|489aVULN|5DMSP|6RCR
153	41241 41231	6	   	237.58	DCR|4VULN|2TLV	18BEXP|2LIT|35TLV|479aVULN|6RCR
154	61241 43131	8	   	237.58	DCR|4VULN|2TLV	17FEWX|2LIT|35TLV|489aVULN|6RCR
155	12134 14432	7	   	237.53	DCR|2VULN|2DMG|2TLV|1DUR|1NUKE	18LHND|2RPLT|38VULN|4DUR|5NUKE|69TLV|78DMG|8BPWR|aRCR
156	31124 23224	6	   	237.53	DCR|2VULN|2DMG|2TLV|1DUR	1ZMB|29CGEN|37VULN|4ERES|59TLV|6DUR|89DMG|9BPWR|aRCR
157	31124 32224	6	   	237.53	DCR|2VULN|2DMG|2TLV|1DUR	1ZMB|29CGEN|36VULN|4ERES|59TLV|7DUR|89DMG|9BPWR|aRCR
158	31136 13224	3	   	237.53	DCR|2VULN|2DMG|2TLV|1DUR	1ZMB|29CGEN|37VULN|4DUR|59TLV|6ERES|89DMG|9BPWR|aRCR
159	31156 13224	4	   	237.53	DCR|2VULN|2DMG|2TLV|1DUR	1ZMB|29CGEN|37VULN|4DUR|59TLV|6ERES|89DMG|9BPWR|aRCR
160	31626 13224	2	   	237.53	DCR|2VULN|2DMG|2TLV|1DUR	1ZMB|29CGEN|3DUR|47VULN|59TLV|6ERES|89DMG|9BPWR|aRCR
161	52252 42221	10	 * 	237.37	DCR|2VULN|2TLV|2CDMG|2AART|1DUR	1RPLT|28CDMG|3LWND|48VULN|57AART|68TLV|8BPWR|9DUR|aRCR
162	12225 36315	1	   	237.34	DCR|4VULN|1TLV|1DUR	1LHND|2467VULN|3DUR|5BBNT|8RCR|9TLV|aRPLT
163	12225 36316	1	   	237.34	DCR|4VULN|1TLV|1DUR	1LHND|2467VULN|3DUR|5BBNT|8RCR|9TLV|aBEXP
164	12234 36315	1	   	237.34	DCR|4VULN|1TLV|1DUR	1LHND|2567VULN|3DUR|4BBNT|8RCR|9TLV|aRPLT
165	12234 36316	1	   	237.34	DCR|4VULN|1TLV|1DUR	1LHND|2567VULN|3DUR|4BBNT|8RCR|9TLV|aBEXP
166	12223 23462	1	   	237.34	DCR|4VULN|1TLV|1DUR	16LHND|2478VULN|3DUR|5ERES|9RCR|aTLV
167	31116 16116	4	 * 	237.31	DCR|5VULN|3ASPD	179ZMB|24CGEN|3479aVULN|479BPWR|5LEGI|679ASPD|8RCR
168	12223 13462	1	   	237.24	DCR|4VULN|1TLV|1DUR	1LHND|2478VULN|3DUR|56ERES|9RCR|aTLV
169	12225 36312	1	   	237.24	DCR|4VULN|1TLV|1DUR	1LHND|2467VULN|3DUR|5BBNT|8RCR|9TLV|aDUST
170	12234 36312	1	   	237.24	DCR|4VULN|1TLV|1DUR	1LHND|2567VULN|3DUR|4BBNT|8RCR|9TLV|aDUST
171	42233 13462	1	   	237.24	DCR|4VULN|1TLV|1DUR	1BEXP|2478VULN|3DUR|56ERES|9RCR|aTLV
172	42235 36312	1	   	237.24	DCR|4VULN|1TLV|1DUR	1BEXP|2467VULN|3DUR|5BBNT|8RCR|9TLV|aDUST
173	62233 13462	1	   	237.24	DCR|4VULN|1TLV|1DUR	1FEWX|2478VULN|3DUR|56ERES|9RCR|aTLV
174	62235 36312	1	   	237.24	DCR|4VULN|1TLV|1DUR	1FEWX|2467VULN|3DUR|5BBNT|8RCR|9TLV|aDUST
175	64341 21312	8	 * 	237.16	DCR|3DUR|1VULN|2DMG|1TLV|1AART	19FEWX|259DUR|3TLV|4AART|6VULN|79DMG|8RPLT|9BPWR|aRCR
176	11253 53315	4	   	236.82	DCR|3VULN|1TLV|1DMG	17LHND|2LIT|3TLV|4DMG|589VULN|6RCR|aASPD
