0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32262 26234	2	 * 	297.62	DCR|5VULN|3DUR|3LIT|1DMG	147LIT|23479VULN|479BPWR|579DUR|6RCR|8TBNT|aDMG
23	32262 26622	2	   	279.17	DCR|4VULN|3DUR|3LIT|1DMG	147LIT|2347VULN|47BPWR|57aDUR|6RCR|8DMG|9DUST
24	32262 26113	2	   	277.98	DCR|5VULN|2DUR|3LIT|1CDMG	147LIT|2347aVULN|47BPWR|57DUR|6RCR|8RPLT|9CDMG
25	31262 26235	1	   	277.55	DCR|5VULN|3DUR|3LIT	147LIT|2RCVC|3479aVULN|479BPWR|579DUR|6RCR|8TBNT
26	32262 26231	2	   	277.55	DCR|5VULN|3DUR|3LIT	147LIT|23479VULN|479BPWR|579DUR|6RCR|8TBNT|aBEXP
27	32262 26232	2	   	277.55	DCR|5VULN|3DUR|3LIT	147LIT|23479VULN|479BPWR|579DUR|6RCR|8TBNT|aRMIN
28	32262 26235	2	   	277.55	DCR|5VULN|3DUR|3LIT	147LIT|23479VULN|479BPWR|579DUR|6RCR|8TBNT|aRPLT
29	32262 26236	2	   	277.55	DCR|5VULN|3DUR|3LIT	147LIT|23479VULN|479BPWR|579DUR|6RCR|8TBNT|aFEWX
30	32262 26233	2	   	277.31	DCR|5VULN|3DUR|3LIT|1SELL	147LIT|23479VULN|479BPWR|579DUR|6RCR|8TBNT|aSELL
31	32264 36312	2	   	276.64	DCR|4VULN|2DUR|1TLV|2LIT	14LIT|2345VULN|4BPWR|6RCR|7AART|8TLV|9aDUR
32	23122 33361	10	   	276.44	DCR|4VULN|2DMG|2TLV|1SELL	1SELL|267aVULN|3DUST|4AART|5aDMG|8aTLV|9RCR|aBPWR
33	32262 21311	2	 * 	276.13	DCR|3VULN|2DMG|2DUR|3LIT|1CDMG	14aLIT|234VULN|4aBPWR|5aDUR|6RCR|7CDMG|8DUST|9aDMG
34	31236 23322	7	 * 	276.08	DCR|5VULN|2TLV|1DMG	1LIT|24TLV|3456aVULN|4BPWR|7DMG|8CGEN|9RCR
35	31236 23322	8	   	276.08	DCR|5VULN|2TLV|1DMG	1LIT|24TLV|3456aVULN|4BPWR|7DMG|8ZMB|9RCR
36	31236 23422	8	   	276.08	DCR|5VULN|2TLV|1DMG	1LIT|24TLV|3456aVULN|4BPWR|7DMG|8RMIN|9RCR
37	31236 23451	10	   	276.08	DCR|5VULN|2TLV|1DMG	1LIT|24TLV|34569VULN|4BPWR|7DMG|8RMIN|aRCR
38	31232 16415	5	   	275.26	DCR|4VULN|2TLV|2DUR|2LIT	17LIT|24TLV|347aVULN|47BPWR|57DUR|6RMIN|8RCR|9RPLT
39	32262 21441	2	   	274.35	DCR|4VULN|1TLV|1DUR|2LIT|1CDMG	14LIT|2349VULN|4BPWR|5DUR|6RCR|7CDMG|8ASPD|aTLV
40	31232 16411	5	   	274.27	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	17LIT|24TLV|347VULN|47BPWR|57DUR|6RMIN|8RCR|9RPLT|aDMG
41	31232 16461	5	   	274.27	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	17LIT|24TLV|347VULN|47BPWR|57DUR|6RMIN|8RCR|9DMG|aLWND
42	31232 16462	5	   	274.27	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	17LIT|24TLV|347VULN|47BPWR|57DUR|6RMIN|8RCR|9DMG|aFEWX
43	31232 66411	6	   	274.27	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	17LIT|24TLV|347VULN|47BPWR|57DUR|6RMIN|8RCR|9RPLT|aDMG
44	31232 16463	5	   	274.17	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	17LIT|24TLV|347VULN|47BPWR|57DUR|6RMIN|8RCR|9DMG|aTBNT
45	32225 26213	2	   	274.17	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2379VULN|457DUR|6RCR|7BPWR|8LHND|aDMG
46	32225 26413	2	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2379VULN|457DUR|6RCR|7BPWR|8DUST|aDMG
47	31232 23125	8	   	273.99	DCR|4VULN|2TLV|1DMG|1DUR	1LIT|24TLV|349aVULN|4BPWR|5DUR|6RCR|7DMG|8BELT
48	31232 23615	8	   	273.99	DCR|4VULN|2TLV|1DMG|1DUR	1LIT|24TLV|348aVULN|4BPWR|5DUR|6RCR|7DMG|9RPLT
49	31232 23642	9	   	273.99	DCR|4VULN|2TLV|1DMG|1DUR	1LIT|24TLV|348aVULN|4BPWR|5DUR|6RCR|7DMG|9BEXP
50	31232 23664	10	   	273.99	DCR|4VULN|2TLV|1DMG|1DUR	1LIT|24TLV|348aVULN|4BPWR|5DUR|6RCR|7DMG|9DMSP
51	31232 23664	9	   	273.99	DCR|4VULN|2TLV|1DMG|1DUR	1LIT|24TLV|348aVULN|4BPWR|5DUR|6RCR|7DMG|9DMSP
52	31222 16522	5	   	273.90	DCR|4VULN|2DMG|1TLV|2LIT	18LIT|2TLV|378aVULN|46RMIN|58DMG|8BPWR|9RCR
53	31222 26522	6	   	273.90	DCR|4VULN|2DMG|1TLV|2LIT	18LIT|2TLV|378aVULN|46RMIN|58DMG|8BPWR|9RCR
54	31232 23366	9	   	273.89	DCR|4VULN|2TLV|1DMG|1DUR	1LIT|24TLV|349aVULN|4BPWR|5DUR|6RCR|7DMG|8ERES
55	31232 23616	9	   	273.89	DCR|4VULN|2TLV|1DMG|1DUR	1LIT|24TLV|348aVULN|4BPWR|5DUR|6RCR|7DMG|9ERES
56	23623 43161	10	 * 	273.09	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|245aVULN|3MLV|6AART|7aDUR|8aDMG|9RCR|aBPWR
57	32225 26623	2	   	272.91	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	17LIT|237VULN|457DUR|6RCR|7BPWR|8TLV|9CDMG|aMLV
58	31225 26622	1	   	272.91	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	17LIT|2RCVC|37aVULN|457DUR|6RCR|7BPWR|8TLV|9CDMG
59	32262 26112	2	   	272.86	DCR|4VULN|3DUR|3LIT|1CDMG	147LIT|2347VULN|47BPWR|57aDUR|6RCR|8RPLT|9CDMG
60	32225 26114	2	   	272.44	DCR|5VULN|3DUR|2LIT	17LIT|2379aVULN|457DUR|6RCR|7BPWR|8FEWX
61	32225 26214	2	   	272.44	DCR|5VULN|3DUR|2LIT	17LIT|2379aVULN|457DUR|6RCR|7BPWR|8LHND
62	32225 26314	2	   	272.44	DCR|5VULN|3DUR|2LIT	17LIT|2379aVULN|457DUR|6RCR|7BPWR|8LWND
63	31262 26423	1	   	272.19	DCR|4VULN|2DUR|1TLV|3LIT	147LIT|2RCVC|347aVULN|47BPWR|57DUR|6RCR|8FEWX|9TLV
64	31262 26533	1	   	272.19	DCR|4VULN|2DUR|1TLV|3LIT	147LIT|2RCVC|347aVULN|47BPWR|57DUR|6RCR|8TLV|9BEXP
65	32262 26163	2	   	272.19	DCR|4VULN|2DUR|1TLV|3LIT	147LIT|2347VULN|47BPWR|57DUR|6RCR|8RPLT|9CGEN|aTLV
66	32262 26421	2	   	272.19	DCR|4VULN|2DUR|1TLV|3LIT	147LIT|2347VULN|47BPWR|57DUR|6RCR|8FEWX|9TLV|aRPLT
67	32262 26531	2	   	272.19	DCR|4VULN|2DUR|1TLV|3LIT	147LIT|2347VULN|47BPWR|57DUR|6RCR|8TLV|9BEXP|aRPLT
68	31262 26523	1	   	272.09	DCR|4VULN|2DUR|1TLV|3LIT	147LIT|2RCVC|347aVULN|47BPWR|57DUR|6RCR|8TLV|9DUST
69	32262 26214	2	   	272.09	DCR|4VULN|2DUR|1TLV|3LIT	147LIT|2347VULN|47BPWR|57DUR|6RCR|8TBNT|9LHND|aTLV
70	32262 26224	2	   	272.09	DCR|4VULN|2DUR|1TLV|3LIT	147LIT|2347VULN|47BPWR|57DUR|6RCR|8TBNT|9LWND|aTLV
71	32262 26521	2	   	272.09	DCR|4VULN|2DUR|1TLV|3LIT	147LIT|2347VULN|47BPWR|57DUR|6RCR|8TLV|9DUST|aRPLT
72	31236 21311	7	   	271.39	DCR|4VULN|2TLV|1DMG|1CDMG	1LIT|24TLV|3456VULN|4BPWR|7CDMG|8RMIN|9RCR|aDMG
73	31236 21411	7	   	271.39	DCR|4VULN|2TLV|1DMG|1CDMG	1LIT|24TLV|3456VULN|4BPWR|7CDMG|8CGEN|9RCR|aDMG
74	31236 21511	5	   	271.39	DCR|4VULN|2TLV|1DMG|1CDMG	1LIT|24TLV|3458VULN|4BPWR|6CDMG|7CGEN|9RCR|aDMG
75	31236 41511	6	   	271.39	DCR|4VULN|2TLV|1DMG|1CDMG	1LIT|24TLV|3458VULN|4BPWR|6CDMG|7CGEN|9RCR|aDMG
76	31236 42311	7	   	271.39	DCR|4VULN|2TLV|1DMG|1CDMG	1LIT|24TLV|3457VULN|4BPWR|6CDMG|8RMIN|9RCR|aDMG
77	31236 42411	7	   	271.39	DCR|4VULN|2TLV|1DMG|1CDMG	1LIT|24TLV|3457VULN|4BPWR|6CDMG|8CGEN|9RCR|aDMG
78	31236 21211	8	   	271.29	DCR|4VULN|2TLV|1DMG|1CDMG	1LIT|24TLV|3456VULN|4BPWR|7CDMG|8ERES|9RCR|aDMG
79	31236 42211	8	   	271.29	DCR|4VULN|2TLV|1DMG|1CDMG	1LIT|24TLV|3457VULN|4BPWR|6CDMG|8ERES|9RCR|aDMG
80	31236 43511	7	   	271.29	DCR|4VULN|2TLV|1DMG|1CDMG	1LIT|24TLV|3458VULN|4BPWR|6CDMG|7ERES|9RCR|aDMG
81	31236 43122	9	   	271.29	DCR|4VULN|2TLV|1DMG|1CDMG	1LIT|24TLV|345aVULN|4BPWR|6CDMG|7ERES|8DMG|9RCR
82	23122 63361	10	 * 	271.04	DCR|3VULN|3DMG|2TLV|1SELL	1SELL|27aVULN|3DUST|4AART|56aDMG|8aTLV|9RCR|aBPWR
83	31232 23135	8	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	1LIT|24TLV|34aVULN|4BPWR|5DUR|6RCR|79DMG|8BELT
84	31232 23643	9	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	1LIT|24TLV|348VULN|4BPWR|5DUR|6RCR|7aDMG|9BEXP
85	31232 23661	8	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	1LIT|24TLV|348VULN|4BPWR|5DUR|6RCR|79DMG|aRCVC
86	31232 23662	8	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	1LIT|24TLV|348VULN|4BPWR|5DUR|6RCR|79DMG|aFEWX
87	31232 23663	8	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	1LIT|24TLV|348VULN|4BPWR|5DUR|6RCR|79DMG|aCGEN
88	31232 23666	8	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	1LIT|24TLV|348VULN|4BPWR|5DUR|6RCR|79DMG|aBBNT
89	31232 25165	6	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	1LIT|24TLV|348VULN|4BPWR|5DUR|6RCR|7TBNT|9aDMG
90	32263 13424	2	 * 	269.50	DCR|4VULN|2TLV|3LIT|1DMG	149LIT|2349VULN|49BPWR|5FEWX|6CGEN|79TLV|8RCR|aDMG
91	31232 24345	9	   	269.15	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	17LIT|24TLV|34aVULN|4BPWR|5DUR|6RCR|8AART|9DMG
92	31211 15366	10	 * 	268.50	DCR|3VULN|3DMG|1TLV|2LIT	1aLIT|2TLV|35aVULN|4LWND|6LHND|7RCR|89aDMG|aBPWR
93	32262 21413	2	   	267.89	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	14LIT|234VULN|4BPWR|5aDUR|6RCR|7CDMG|8ASPD|9TLV
94	32263 13422	2	 * 	267.77	DCR|5VULN|2TLV|3LIT	149LIT|2349aVULN|49BPWR|5FEWX|6CGEN|79TLV|8RCR
95	32263 53422	2	   	267.77	DCR|5VULN|2TLV|3LIT	149LIT|2349aVULN|49BPWR|5FEWX|6MLV|79TLV|8RCR
