0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31443 12243	9	 * 	289.67	DCR|5VULN|3DUR|3ASPD	19aASPD|2359aVULN|4BEXP|6LIT|7RCR|89aDUR|9aBPWR
86	13413 41621	3	   	261.67	DCR|2VULN|2DMG|2TLV|2DUR|1AART	15TLV|2DUST|36VULN|45DMG|5BPWR|7RCR|8aDUR|9AART
87	11461 11361	9	   	261.53	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1TLV|23VULN|47aDUR|5ASPD|6DMG|8CDMG|9RCR
88	15412 75111	2	   	261.49	DCR|2VULN|3DMG|2TLV|1DUR	1aTLV|2MBVNT|3LIT|4aVULN|5LHND|6DUR|7RCR|89aDMG|aBPWR
89	15413 75111	2	   	261.49	DCR|2VULN|3DMG|2TLV|1DUR	1aTLV|2MBVNT|3LIT|4aVULN|5BEXP|6DUR|7RCR|89aDMG|aBPWR
90	15462 15111	6	   	261.49	DCR|2VULN|3DMG|2TLV|1DUR	1aTLV|2MBVNT|3BEXP|4aVULN|5LIT|6DUR|7RCR|89aDMG|aBPWR
91	31223 52443	3	 * 	261.47	DCR|3VULN|2DMG|1TLV|3ASPD	148ASPD|268VULN|3RMIN|58DMG|7TBNT|8BPWR|9TLV|aRCR
92	15513 15111	6	   	261.39	DCR|2VULN|3DMG|2TLV|1DUR	1aTLV|2MBVNT|3aVULN|4LIT|5LEGI|6DUR|7RCR|89aDMG|aBPWR
93	11266 32116	9	   	261.10	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1TLV|25aVULN|3RMIN|4CDMG|6AART|7RCR|89DMG
94	11266 32116	10	   	261.10	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1TLV|25aVULN|3RMIN|4CDMG|6AART|7RCR|89DMG
95	11162 23353	4	   	260.80	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1TLV|256VULN|3RPLT|45DUR|5BPWR|7LHND|8RCR|9DMG|aAART
96	11651 11121	10	   	260.79	DCR|2VULN|2DMG|2TLV|1DUR|2LIT	14TLV|2aVULN|3FEWX|5ASPD|6aDMG|7DUR|8aLIT|9RCR|aBPWR
97	31133 72462	2	   	260.78	DCR|3VULN|3DMG|3ASPD|1AART	19aASPD|29aVULN|3CGEN|4MBVNT|5AART|6MLV|79aDMG|8RCR|9aBPWR
98	31333 12462	3	   	260.78	DCR|3VULN|3DMG|3ASPD|1AART	19aASPD|29aVULN|3MLV|4MBVNT|5AART|6CGEN|79aDMG|8RCR|9aBPWR
99	31533 72462	3	   	260.78	DCR|3VULN|3DMG|3ASPD|1AART	19aASPD|29aVULN|3CGEN|4MBVNT|5AART|6MLV|79aDMG|8RCR|9aBPWR
100	11413 41623	2	   	260.74	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	15TLV|26VULN|3DUST|45DMG|5BPWR|7RCR|8DUR|9AART|aCDMG
101	13413 41623	3	   	260.74	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	15TLV|2DUST|36VULN|45DMG|5BPWR|7RCR|8DUR|9AART|aCDMG
102	31333 12462	2	   	260.68	DCR|3VULN|3DMG|3ASPD|1AART	19aASPD|29aVULN|3ERES|4MBVNT|5AART|6CGEN|79aDMG|8RCR|9aBPWR
103	11411 14126	3	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	1aTLV|23VULN|4aDMG|5CGEN|6ASPD|7RPLT|8RCR|9aDUR|aBPWR
104	11162 23346	4	 * 	260.40	DCR|4VULN|2TLV|2DUR	1aTLV|256aVULN|3RPLT|45DUR|5aBPWR|7LHND|8RCR|9aCGEN
105	31463 31621	6	   	260.33	DCR|4VULN|2DUR|1TLV	1ASPD|235aVULN|49DUR|6TLV|7RCR|8RCVC
106	11142 21125	7	   	260.33	DCR|4VULN|2DUR|1TLV	1TLV|256aVULN|3RPLT|4ASPD|79DUR|8RCR
107	31112 21125	7	   	260.33	DCR|4VULN|2DUR|1TLV	1ASPD|256aVULN|3RPLT|4TLV|79DUR|8RCR
108	13413 26111	8	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	1aTLV|2DUST|3aVULN|4LIT|5LEGI|69DMG|7aDUR|8RCR|aBPWR
109	11163 21626	2	   	260.30	DCR|4VULN|2TLV|2DUR	1aTLV|245aVULN|3CGEN|6BEXP|7RCR|8RPLT|9aDUR|aBPWR
110	11463 26231	6	   	260.30	DCR|4VULN|2TLV|2DUR	18TLV|238aVULN|48DUR|56RCVC|7RCR|8BPWR|9CGEN
111	31421 34126	6	   	260.28	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	1aASPD|23VULN|4aDMG|5CGEN|6TLV|7RPLT|8RCR|9aDUR|aBPWR
112	11463 22226	6	   	260.20	DCR|4VULN|2TLV|2DUR	19TLV|2389VULN|49DUR|56RCVC|7TBNT|9BPWR|aRCR
113	11463 36212	6	 * 	260.20	DCR|4VULN|3TLV|2DUR	168TLV|238aVULN|48DUR|5RCVC|7RCR|8BPWR|9ZMB
114	11463 32223	6	   	260.10	DCR|4VULN|3TLV|2DUR	169TLV|2389VULN|49DUR|5RCVC|7TBNT|9BPWR|aRCR
115	11336 36261	8	 * 	259.79	DCR|2VULN|3DMG|2DUR|1TLV	1TLV|28VULN|3MLV|4LWND|58DUR|6FEWX|789DMG|8BPWR|aRCR
116	11233 33265	3	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|25aVULN|3RMIN|4CDMG|6DUR|7DMG|8RCR|9AART
117	11263 33265	4	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|25aVULN|3RMIN|4CDMG|6DUR|7DMG|8RCR|9AART
118	31424 11323	6	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1ASPD|235VULN|45DMG|5BPWR|6CDMG|7DUST|8RPLT|9TLV|aRCR
119	31424 14113	10	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1ASPD|235VULN|45DMG|5BPWR|6CDMG|7TLV|8CGEN|9ERES|aRCR
