0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51334 11383	1	 * 	274.06	DCR|5VULN|2DUR|1TLV	1267aVULN|34DUR|5TLV|8MBVNT|9RCR
58	53633 23352	2	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	146VULN|2LWND|3CDMG|56DUR|6BPWR|7DMG|8LIT|9RCR|aDUST
59	53633 23353	2	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	146VULN|2LWND|3CDMG|56DUR|6BPWR|7DMG|8LIT|9RCR|aBBNT
60	53532 11323	6	 * 	257.28	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1SELL	16aVULN|2LWND|3DMG|4SELL|56CDMG|6BPWR|7TLV|8DUR|9RCR
61	11223 23126	9	 * 	257.00	DCR|5VULN|3LIT|1AART	19aCGEN|2AART|3BEXP|49aLIT|5789aVULN|6RCR|9aBPWR
62	41223 24126	9	   	257.00	DCR|5VULN|3LIT|1AART	19aMLV|2AART|3BEXP|49aLIT|5789aVULN|6RCR|9aBPWR
63	25111 41632	9	   	256.95	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	19LWND|2CDMG|39DUR|4LIT|5DMG|6RCR|7AART|89VULN|9BPWR|aTLV
64	25111 41633	10	   	256.95	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	19LWND|2CDMG|39DUR|4LIT|5DMG|6RCR|7AART|89VULN|9BPWR|aTLV
65	51133 35236	3	 * 	256.86	DCR|3VULN|2DUR|2ASPD|1DMG|1SELL	15aVULN|2SELL|3aDUR|4DMG|6BELT|7ERES|8aASPD|9RCR|aBPWR
66	51242 33252	1	   	256.80	DCR|5VULN|1DMG|1AART	12457VULN|3AART|6LHND|8RCR|9DMSP|aDMG
67	51211 61316	1	   	256.28	DCR|4VULN|2AART|1DUR|2LIT	128aVULN|35AART|4DUR|6aCGEN|7aLIT|9RCR|aBPWR
68	51211 11316	1	   	256.08	DCR|4VULN|2AART|1DUR|2LIT	128aVULN|35AART|4DUR|6aERES|7aLIT|9RCR|aBPWR
69	51111 42612	10	 * 	255.99	DCR|3VULN|2TLV|1DMG|1DUR|2LIT|1SELL	18aVULN|2SELL|3DUR|4aLIT|5DMG|6RCR|7LWND|9aTLV|aBPWR
70	51211 34236	1	   	255.81	DCR|4VULN|2DUR|2AART	129aVULN|35AART|48DUR|6BEXP|7RCR
71	51116 22513	3	 * 	255.51	DCR|3VULN|2DUR|1DMG|2CDMG|1SELL	17aVULN|2SELL|36DUR|46CDMG|5TBNT|6BPWR|8RCR|9DMG
72	11434 14323	1	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	17CGEN|27DMG|3RMIN|4MLV|5TLV|67aVULN|7BPWR|8DUR|9RCR
73	12334 14323	2	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	17CGEN|2RMIN|37DMG|4MLV|5TLV|67aVULN|7BPWR|8DUR|9RCR
74	11414 14223	1	   	255.15	DCR|3VULN|2DMG|1TLV|1DUR	17CGEN|27DMG|3RMIN|4ERES|5TLV|67aVULN|7BPWR|8DUR|9RCR
75	11635 14323	1	   	255.15	DCR|3VULN|2DMG|1TLV|1DUR|1NUKE	17CGEN|27DMG|3TLV|4MLV|5NUKE|67aVULN|7BPWR|8DUR|9RCR
76	12314 14223	2	   	255.15	DCR|3VULN|2DMG|1TLV|1DUR	17CGEN|2RMIN|37DMG|4ERES|5TLV|67aVULN|7BPWR|8DUR|9RCR
77	42314 14223	2	   	255.15	DCR|3VULN|2DMG|1DUR|1TLV	17MLV|2RMIN|37DMG|4ERES|5TLV|67aVULN|7BPWR|8DUR|9RCR
78	42336 14223	2	   	255.15	DCR|3VULN|2DMG|1DUR|1TLV	17MLV|2RMIN|37DMG|4TLV|5ERES|67aVULN|7BPWR|8DUR|9RCR
79	11615 14223	1	   	255.05	DCR|3VULN|2DMG|1DUR|1TLV|1NUKE	17CGEN|27DMG|3TLV|4ERES|5NUKE|67aVULN|7BPWR|8DUR|9RCR
80	53232 25152	6	   	254.82	DCR|4VULN|2DUR|1TLV	149aVULN|2LWND|3aDUR|5TLV|6CGEN|7RCR|8aFEWX|aBPWR
81	51531 32631	10	   	254.81	DCR|4VULN|2DMG|1AART|1SELL	168aVULN|2SELL|3BEXP|4AART|58CGEN|78DMG|8BPWR|9RCR
82	51124 53323	1	   	254.76	DCR|4VULN|2TLV|1DUR|1ASPD	126aVULN|3ERES|4ASPD|56TLV|6BPWR|7DUR|8LHND|9RCR
83	51111 45312	10	 * 	254.60	DCR|2VULN|2DMG|2DUR|2TLV|1SELL	1aVULN|2SELL|3aDUR|4LIT|58DMG|6RCR|7LEGI|9aTLV|aBPWR
84	51334 11381	1	   	254.52	DCR|4VULN|2DUR|1TLV	1267VULN|34DUR|5TLV|8MBVNT|9RCR|aLWND
85	51334 11384	1	   	254.52	DCR|4VULN|2DUR|1TLV	1267VULN|34DUR|5TLV|8MBVNT|9RCR|aBEXP
86	51331 34162	1	   	254.52	DCR|4VULN|2DUR|1TLV	127aVULN|34DUR|5RPLT|6RCR|8TBNT|9TLV
87	41364 11333	1	   	254.45	DCR|3VULN|3DMG|1TLV	1MLV|239DMG|467VULN|5TLV|8RPLT|aRCR
88	53633 22351	2	   	254.04	DCR|3VULN|2DUR|1TLV|1CDMG	146VULN|2aLWND|3CDMG|56DUR|6BPWR|7TLV|8LIT|9RCR
89	53633 22352	2	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	146VULN|2LWND|3CDMG|56DUR|6BPWR|7TLV|8LIT|9RCR|aDUST
90	53633 22353	2	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	146VULN|2LWND|3CDMG|56DUR|6BPWR|7TLV|8LIT|9RCR|aBBNT
91	21111 41636	10	   	253.72	DCR|3VULN|2DUR|1DMG|1AART|1SELL	19LWND|2SELL|39DUR|4LIT|5DMG|6RCR|7AART|89aVULN|9BPWR
92	51213 31616	1	   	253.71	DCR|4VULN|3LIT|1DUR|1AART	128aVULN|3AART|4DUR|568aCGEN|78aLIT|8aBPWR|9RCR
93	65122 43335	4	   	253.65	DCR|3VULN|2DMG|1DUR|2LIT	17LIT|2MBVNT|3DUR|478VULN|5RPLT|67DMG|7BPWR|9ERES|aRCR
94	53213 26352	4	   	253.58	DCR|3VULN|2DMG|2DUR	15aVULN|2LWND|3aDUR|4FEWX|6RPLT|7ZMB|8RCR|9aDMG|aBPWR
95	53232 26352	4	   	253.58	DCR|3VULN|2DMG|2DUR	14aVULN|2LWND|3aDUR|5FEWX|6RPLT|7ZMB|8RCR|9aDMG|aBPWR
96	51323 41334	7	   	253.54	DCR|3VULN|2DMG|2DUR|1SELL	18aVULN|2SELL|38FEWX|4aDUR|5LHND|68LWND|7RCR|8aBPWR|9aDMG
97	51223 41334	7	   	253.44	DCR|3VULN|2DMG|2DUR|1SELL	18aVULN|2SELL|3LEGI|4aDUR|58LHND|68LWND|7RCR|8aBPWR|9aDMG
98	51262 23714	1	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1257VULN|3AART|4DMSP|6MBVNT|8RCR|9DMG|aDUR
99	21353 15613	1	   	253.34	DCR|4VULN|1DMG|2AART	1LWND|2456VULN|3DMG|7aAART|8LIT|9RCR
100	51323 41134	8	   	253.34	DCR|3VULN|2DMG|2DUR|1SELL	18aVULN|2SELL|3FEWX|4aDUR|5LHND|6LWND|7RCR|9aDMG|aBPWR
101	53234 34333	4	   	253.33	DCR|4VULN|2DUR|2LIT	148aVULN|2LWND|3aDUR|5TBNT|6RCVC|7RCR|9aLIT|aBPWR
102	51223 41134	8	   	253.24	DCR|3VULN|2DMG|2DUR|1SELL	18aVULN|2SELL|3LEGI|4aDUR|5LHND|6LWND|7RCR|9aDMG|aBPWR
103	51242 33221	1	   	252.99	DCR|5VULN|1DUR|1AART	12457VULN|3AART|6LHND|8RCR|9DUR|aLWND
104	51242 33222	1	   	252.99	DCR|5VULN|1DUR|1AART	12457VULN|3AART|6aLHND|8RCR|9DUR
105	51242 33225	1	   	252.99	DCR|5VULN|1DUR|1AART	12457VULN|3AART|6LHND|8RCR|9DUR|aFEWX
106	11223 14322	1	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	1CGEN|2DMG|3DMSP|4ASPD|5689VULN|7CDMG|aRCR
107	14323 14322	3	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	12CGEN|2BPWR|3DMG|4ASPD|5689VULN|7CDMG|aRCR
108	16323 14322	3	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	1CGEN|2RCVC|3DMG|4ASPD|5689VULN|7CDMG|aRCR
109	55122 23112	8	   	252.16	DCR|4VULN|1DMG|1DUR	1489VULN|2LIT|3DUR|5RCVC|6RCR|7DMG|aLHND
110	55122 23112	10	   	252.16	DCR|4VULN|1DMG|1DUR	148aVULN|2LIT|3DUR|5RCVC|6RCR|7DMG|9RPLT
111	55122 23115	8	   	252.16	DCR|4VULN|1DMG|1DUR	1489VULN|2LIT|3DUR|5RCVC|6RCR|7DMG|aZMB
112	55122 23116	8	   	252.16	DCR|4VULN|1DMG|1DUR	1489VULN|2LIT|3DUR|5RCVC|6RCR|7DMG|aRPLT
113	55122 23126	10	   	252.16	DCR|4VULN|1DMG|1DUR	148aVULN|2LIT|3DUR|5RCVC|6RCR|7DMG|9CGEN
114	55122 23134	8	   	252.16	DCR|4VULN|1DMG|1DUR	148aVULN|2LIT|3DUR|5RCVC|6RCR|7DMG|9LHND
115	55122 23111	8	   	252.06	DCR|4VULN|1DMG|1DUR	1489VULN|2LIT|3DUR|5RCVC|6RCR|7DMG|aMBVNT
116	55122 23113	8	   	252.06	DCR|4VULN|1DMG|1DUR	1489VULN|2LIT|3DUR|5RCVC|6RCR|7DMG|aDUST
117	51334 21423	1	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	12aVULN|34DUR|5TLV|6LHND|7DMG|8CGEN|9RCR
118	53231 63223	4	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	14aVULN|2LWND|38DUR|5CGEN|6TLV|7DMG|9RCR
119	53232 23223	6	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	14aVULN|2LWND|38DUR|5TLV|6CGEN|7DMG|9RCR
120	53232 31423	5	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	14aVULN|2LWND|36DUR|5TLV|7DMG|8CGEN|9RCR
121	53236 62223	4	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	14aVULN|2LWND|38DUR|5DMG|6TLV|7RMIN|9RCR
122	51311 63223	1	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	12aVULN|38DUR|4CGEN|5LWND|6TLV|7DMG|9RCR
123	51361 63223	1	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	12aVULN|38DUR|4LHND|5CGEN|6TLV|7DMG|9RCR
124	53212 66231	6	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	178VULN|2LWND|37DUR|4FEWX|5TLV|67CDMG|7BPWR|9BBNT|aRCR
125	52211 33116	8	   	252.02	DCR|4VULN|2TLV|2LIT|1AART	168aVULN|25DUST|3AART|4aTLV|7aLIT|9RCR|aBPWR
126	53232 31625	5	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	149VULN|2LWND|36DUR|5TLV|7DMG|8BBNT|aRCR
127	53232 32615	5	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	148VULN|2LWND|36DUR|5TLV|7TBNT|9DMG|aRCR
128	51242 32631	1	   	251.80	DCR|5VULN|2LIT|1AART	12458VULN|3AART|68LHND|78LIT|8BPWR|9BEXP|aRCR
129	51242 24417	1	   	251.70	DCR|5VULN|2LIT|1AART	1245aVULN|3AART|6MBVNT|7aMLV|8RCR|9aLIT|aBPWR
130	51242 32611	1	   	251.70	DCR|5VULN|2LIT|1AART	12458VULN|3AART|68LHND|78LIT|8BPWR|9DUST|aRCR
131	52224 31316	6	   	251.70	DCR|5VULN|2LIT|1AART	1568aVULN|2DUST|3AART|4aCGEN|7aLIT|9RCR|aBPWR
132	52224 33116	8	   	251.70	DCR|5VULN|2LIT|1AART	1568aVULN|2DUST|3AART|4aCGEN|7aLIT|9RCR|aBPWR
133	52224 33316	7	   	251.70	DCR|5VULN|2LIT|1AART	1568aVULN|2DUST|3AART|4aCGEN|7aLIT|9RCR|aBPWR
134	51331 24335	1	   	251.60	DCR|4VULN|3DUR	1268VULN|346DUR|5RPLT|68BPWR|78DUST|9BEXP|aRCR
135	51331 34214	1	   	251.60	DCR|4VULN|3DUR	1278VULN|34aDUR|5RPLT|6RCR|9FEWX
136	51331 34234	1	   	251.60	DCR|4VULN|3DUR	1278VULN|34aDUR|5RPLT|6RCR|9BEXP
137	51331 34252	1	   	251.60	DCR|4VULN|3DUR	1278VULN|349DUR|5RPLT|6RCR|aLWND
138	51331 34253	1	   	251.60	DCR|4VULN|3DUR	1278VULN|349DUR|5RPLT|6RCR|aBEXP
139	51331 36333	1	   	251.60	DCR|4VULN|3DUR	128aVULN|347DUR|5RPLT|6RCR|8BPWR|9BEXP
140	51331 36353	1	   	251.60	DCR|4VULN|3DUR	128aVULN|347DUR|5RPLT|6RCR|8BPWR|9LHND
141	51331 36363	1	   	251.60	DCR|4VULN|3DUR	128aVULN|347DUR|5RPLT|6RCR|8BPWR|9LWND
142	53231 26363	10	   	251.60	DCR|4VULN|3DUR	1478VULN|2LWND|369DUR|5BELT|aRCR
143	51331 24315	1	   	251.50	DCR|4VULN|3DUR	1268VULN|346DUR|5RPLT|68BPWR|78DUST|9LEGI|aRCR
144	51331 34126	1	   	251.50	DCR|4VULN|3DUR	1279VULN|34aDUR|5RPLT|6RCR|8TBNT
145	51331 36313	1	   	251.50	DCR|4VULN|3DUR	128aVULN|347DUR|5RPLT|6RCR|8BPWR|9LEGI
146	51335 11382	1	   	251.50	DCR|4VULN|3DUR	1267VULN|34aDUR|5CGEN|8MBVNT|9RCR
147	52334 15221	1	   	251.40	DCR|4VULN|3DUR|1NUKE	179aVULN|2NUKE|3aERES|46aDUR|5TBNT|8RCR|aBPWR
148	55123 61321	4	   	251.29	DCR|5VULN|1DUR|1SELL	14579VULN|2LIT|3DUR|6SELL|8TBNT|aRCR
149	51323 61321	1	   	251.29	DCR|5VULN|1DUR|1SELL	12579VULN|3DUR|4LIT|6SELL|8TBNT|aRCR
150	21353 51325	1	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|245VULN|3DMG|6MLV|7TLV|8DUR|9RCR|aCDMG
151	21353 52315	1	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|245VULN|3DMG|6MLV|7RCR|8DUR|9TLV|aCDMG
152	53153 51323	3	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	145aVULN|2LWND|3ASPD|6MLV|7TLV|8DUR|9RCR
153	53153 52313	3	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	145aVULN|2LWND|3ASPD|6MLV|7RCR|8DUR|9TLV
154	51642 11323	7	   	250.97	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	16aVULN|2SELL|3TLV|4CDMG|56LWND|6BPWR|7DMG|8DUR|9RCR
155	51642 13323	6	   	250.97	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	16aVULN|2SELL|3TLV|4CDMG|56LWND|6BPWR|7DMG|8DUR|9RCR
156	51124 13323	1	   	250.94	DCR|4VULN|1DUR|1TLV|1ASPD	126aVULN|3ERES|4ASPD|5TLV|7DUR|8LHND|9RCR
157	51331 34311	1	   	250.92	DCR|3VULN|3DUR|1CDMG	127VULN|349DUR|5RPLT|6RCR|8LIT|aCDMG
158	21613 23323	4	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1LWND|2SELL|3TLV|45aVULN|6CDMG|7DMG|8DUR|9RCR
159	21613 36323	5	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1LWND|2SELL|3TLV|47aVULN|5DMG|6CDMG|8DUR|9RCR
160	51133 21246	3	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	159VULN|2SELL|3DUR|4DMG|6CDMG|7TLV|8ZMB|aRCR
161	51623 23323	3	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	15aVULN|2SELL|3TLV|4LWND|6CDMG|7DMG|8DUR|9RCR
162	51633 23323	4	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	15aVULN|2SELL|3TLV|4LHND|6CDMG|7DMG|8DUR|9RCR
163	21313 21323	1	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1LWND|25aVULN|3DMG|4SELL|6CDMG|7TLV|8DUR|9RCR
164	53313 21323	2	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	15aVULN|2LWND|3DMG|4SELL|6CDMG|7TLV|8DUR|9RCR
165	53513 21323	3	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	15aVULN|2LWND|3DMG|4SELL|6CDMG|7TLV|8DUR|9RCR
166	53533 21323	4	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	15aVULN|2LWND|3DMG|4SELL|6CDMG|7TLV|8DUR|9RCR
167	55313 21323	1	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	15aVULN|2LHND|3DMG|4SELL|6CDMG|7TLV|8DUR|9RCR
168	52231 32531	10	   	250.81	DCR|4VULN|1DMG|1CDMG|1AART	168aVULN|2DUST|3AART|4CDMG|5CGEN|7DMG|9RCR
169	52231 32536	9	   	250.81	DCR|4VULN|1DMG|1CDMG|1AART	168aVULN|2DUST|3AART|4CDMG|5CGEN|7DMG|9RCR
170	52236 32531	10	   	250.81	DCR|4VULN|1DMG|1CDMG|1AART	168aVULN|2DUST|3AART|4CDMG|5MLV|7DMG|9RCR
171	65434 21713	7	   	250.80	DCR|2VULN|3DMG|2LIT|1CDMG|1ASPD	18LIT|2MBVNT|389DMG|4DLOT|5ASPD|6CDMG|78VULN|8BPWR|aRCR
172	65434 24713	6	   	250.80	DCR|2VULN|3DMG|2LIT|1CDMG|1ASPD	18LIT|2MBVNT|389DMG|4DLOT|5ASPD|6CDMG|78VULN|8BPWR|aRCR
173	51233 21323	3	   	250.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	15aVULN|2SELL|3LEGI|4DMG|6CDMG|7TLV|8DUR|9RCR
174	51255 23323	3	   	250.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	14aVULN|2SELL|3LEGI|5TLV|6CDMG|7DMG|8DUR|9RCR
175	52233 32531	10	   	250.71	DCR|4VULN|1DMG|1CDMG|1AART	168aVULN|2DUST|3AART|4CDMG|5ERES|7DMG|9RCR
176	52233 32536	9	   	250.71	DCR|4VULN|1DMG|1CDMG|1AART	168aVULN|2DUST|3AART|4CDMG|5ERES|7DMG|9RCR
