0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62143 33153	1	 * 	297.88	DCR|3VULN|3DUR|2DMG|2CDMG|1ASPD	139VULN|23CDMG|39BPWR|49DMG|5MLV|6ASPD|7RCR|89aDUR
39	62142 63323	1	   	274.92	DCR|4VULN|1DMG|2CDMG|1DUR|1ASPD	1358VULN|23CDMG|3BPWR|4DMG|6DUR|7RCR|9ASPD|aRPLT
40	62153 33314	1	   	274.92	DCR|4VULN|1DMG|2CDMG|1DUR|1ASPD	1358VULN|23CDMG|3BPWR|4DUR|6DMG|7RCR|9BELT|aASPD
41	62153 33323	1	   	274.92	DCR|4VULN|1DMG|2CDMG|1DUR|1ASPD	1358VULN|23CDMG|3BPWR|4DUR|6DMG|7RCR|9ASPD|aRPLT
42	62153 33324	1	   	274.92	DCR|4VULN|1DMG|2CDMG|1DUR|1ASPD	1358VULN|23CDMG|3BPWR|4DUR|6DMG|7RCR|9ASPD|aRCVC
43	62523 33335	1	 * 	274.85	DCR|4VULN|2DMG|1DUR|1CDMG|1SELL	1458VULN|2CDMG|3DUR|6aDMG|7RCR|9SELL
44	62142 63322	1	   	274.82	DCR|4VULN|1DMG|2CDMG|1DUR|1ASPD	1358VULN|23CDMG|3BPWR|4DMG|6DUR|7RCR|9ASPD|aDUST
45	62153 33322	1	   	274.82	DCR|4VULN|1DMG|2CDMG|1DUR|1ASPD	1358VULN|23CDMG|3BPWR|4DUR|6DMG|7RCR|9ASPD|aDUST
46	62153 33326	1	   	274.82	DCR|4VULN|1DMG|2CDMG|1DUR|1ASPD	1358VULN|23CDMG|3BPWR|4DUR|6DMG|7RCR|9ASPD|aERES
47	52332 11436	3	 * 	274.77	DCR|4VULN|2DMG|2TLV|1SELL	1SELL|28TLV|3LWND|48DMG|578aVULN|6AART|8BPWR|9RCR
48	51123 33341	3	   	274.44	DCR|4VULN|2DUR|1DMG|1TLV|1SELL	1SELL|2aDUR|3458VULN|6DMG|7RCR|9TLV
49	51133 33341	4	   	274.44	DCR|4VULN|2DUR|1DMG|1TLV|1SELL	1SELL|2aDUR|3458VULN|6DMG|7RCR|9TLV
50	51223 33341	2	   	274.44	DCR|4VULN|2DUR|1DMG|1TLV|1SELL	1SELL|2aDUR|3458VULN|6DMG|7RCR|9TLV
51	62123 33341	4	   	274.44	DCR|4VULN|2DUR|1DMG|1TLV|1SELL	1358VULN|2SELL|4aDUR|6DMG|7RCR|9TLV
52	62153 33341	3	   	274.44	DCR|4VULN|2DUR|1DMG|1TLV|1SELL	1358VULN|2SELL|4aDUR|6DMG|7RCR|9TLV
53	62153 33341	2	   	274.44	DCR|4VULN|2DUR|1DMG|1TLV|1SELL	1358VULN|2SELL|3BPWR|4aDUR|6DMG|7RCR|9TLV
54	62423 33341	3	   	274.44	DCR|4VULN|2DUR|1DMG|1TLV|1SELL	1458VULN|2SELL|3aDUR|6DMG|7RCR|9TLV
55	62433 33341	4	   	274.44	DCR|4VULN|2DUR|1DMG|1TLV|1SELL	1458VULN|2SELL|3aDUR|6DMG|7RCR|9TLV
56	62523 33341	2	   	274.44	DCR|4VULN|2DUR|1DMG|1TLV|1SELL	1458VULN|2SELL|3aDUR|6DMG|7RCR|9TLV
57	62523 33343	1	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1458VULN|2CDMG|3DUR|6DMG|7RCR|9TLV|aRPLT
58	62145 21212	1	 * 	273.68	DCR|3VULN|2DMG|2TLV|2CDMG|1ASPD	139VULN|23CDMG|39BPWR|49DMG|5BBNT|69TLV|7BELT|8RCR|aASPD
59	62523 33121	1	   	273.68	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	145VULN|2CDMG|38aDUR|6DMG|7RCR|9ASPD
60	62523 33342	1	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1458VULN|2CDMG|3DUR|6DMG|7RCR|9TLV|aDUST
61	62153 33135	1	   	273.20	DCR|3VULN|2DMG|2DUR|2CDMG|1SELL	135VULN|23CDMG|3BPWR|48DUR|6aDMG|7RCR|9SELL
62	62146 33332	1	 * 	272.44	DCR|3VULN|3CDMG|2ASPD|2TLV|1DMG	138VULN|238CDMG|38BPWR|4DMG|5aTLV|68ASPD|7RCR|9RCVC
63	62153 32513	1	   	272.22	DCR|4VULN|2CDMG|1DMG|1DUR	1358VULN|23CDMG|3BPWR|4DUR|6DMG|7LIT|9BEXP|aRCR
64	62113 51363	1	   	272.12	DCR|4VULN|2CDMG|1DMG|1DUR	1356VULN|23CDMG|3BPWR|4LEGI|7LIT|8DUR|9DMG|aRCR
65	62153 33143	1	   	272.11	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	135VULN|23CDMG|3BPWR|48DUR|6DMG|7RCR|9TLV|aRPLT
66	62523 33113	1	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	145aVULN|2CDMG|38DUR|6DMG|7RCR|9BELT
67	62523 33263	1	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1459VULN|2CDMG|3aDUR|6DMG|7RCR|8BEXP
68	62331 11322	1	 * 	272.02	DCR|3VULN|3DMG|3TLV|1CDMG	19aVULN|2CDMG|3RMIN|49aDMG|59aTLV|6BELT|7MBVNT|8RCR|9aBPWR
69	62153 33142	1	   	272.01	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	135VULN|23CDMG|3BPWR|48DUR|6DMG|7RCR|9TLV|aDUST
70	62523 33353	1	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	1458VULN|2CDMG|3aDUR|6DMG|7RCR|9DUST
71	64112 32211	5	   	271.76	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	179VULN|25DMG|3LIT|4CDMG|6RCR|8ASPD|aTLV
72	22411 43533	8	 * 	271.72	DCR|4VULN|3DUR|1DMG|1SELL	17LWND|2SELL|367DUR|4567VULN|67BPWR|8DMG|9RCR|aLHND
73	62153 52321	1	 * 	271.66	DCR|4VULN|3DUR|2CDMG	1356VULN|23CDMG|3BPWR|47aDUR|8BEXP|9RCR
74	51121 42235	8	 * 	271.62	DCR|5VULN|2DUR|1CDMG|1SELL	1SELL|28DUR|35678VULN|468LHND|68BPWR|9RCR|aCDMG
75	22411 43532	8	 * 	271.62	DCR|4VULN|3DUR|1DMG|1SELL	17LWND|2SELL|367DUR|4567VULN|67BPWR|8DMG|9RCR|aERES
76	21114 14236	10	   	271.38	DCR|3VULN|3DUR|1DMG|1CDMG	1LWND|29aCGEN|3LIT|4CDMG|59aVULN|6DMG|7RCR|89aDUR|9aBPWR
77	23114 14236	10	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	1LWND|29aERES|3LIT|4CDMG|59aVULN|6DMG|7RCR|89aDUR|9aBPWR
78	62145 21213	1	   	270.98	DCR|3VULN|2DMG|2TLV|2CDMG	139VULN|23CDMG|39BPWR|49DMG|5BBNT|69TLV|7BELT|8RCR|aLIT
79	62523 32233	1	   	270.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	145VULN|2CDMG|3DUR|6DMG|7LIT|8ASPD|9TLV|aRCR
80	64114 31233	7	   	270.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	156VULN|2DMG|3LIT|4CDMG|7DUR|8ASPD|9TLV|aRCR
81	66114 31133	8	   	270.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	156VULN|2ASPD|3LIT|4CDMG|7DUR|8DMG|9TLV|aRCR
82	66114 31233	7	   	270.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	156VULN|2ASPD|3LIT|4CDMG|7DUR|8DMG|9TLV|aRCR
83	62143 43321	1	   	270.07	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	138VULN|23CDMG|38BPWR|48DMG|58MLV|6RMIN|7RCR|9ASPD|aDUR
84	61513 63321	3	   	269.97	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	138VULN|2CGEN|4RMIN|58DMG|68CDMG|7RCR|8BPWR|9ASPD|aDUR
85	63513 63321	3	   	269.87	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	138VULN|2ERES|4RMIN|58DMG|68CDMG|7RCR|8BPWR|9ASPD|aDUR
86	62113 33163	1	   	269.34	DCR|4VULN|2DUR|2CDMG|1ASPD	1359VULN|23CDMG|3BPWR|4LEGI|6ASPD|7RCR|8aDUR
87	51123 33321	3	   	269.20	DCR|4VULN|2DUR|1DMG|1ASPD|1SELL	1SELL|2aDUR|3458VULN|6DMG|7RCR|9ASPD
88	51133 33321	4	   	269.20	DCR|4VULN|2DUR|1DMG|1ASPD|1SELL	1SELL|2aDUR|3458VULN|6DMG|7RCR|9ASPD
89	51223 33321	2	   	269.20	DCR|4VULN|2DUR|1DMG|1ASPD|1SELL	1SELL|2aDUR|3458VULN|6DMG|7RCR|9ASPD
90	62123 33321	4	   	269.20	DCR|4VULN|2DUR|1DMG|1ASPD|1SELL	1358VULN|2SELL|4aDUR|6DMG|7RCR|9ASPD
91	62142 63321	3	   	269.20	DCR|4VULN|2DUR|1DMG|1ASPD|1SELL	1358VULN|2SELL|4DMG|6aDUR|7RCR|9ASPD
92	62142 63321	2	   	269.20	DCR|4VULN|2DUR|1DMG|1ASPD|1SELL	1358VULN|2SELL|3BPWR|4DMG|6aDUR|7RCR|9ASPD
93	62153 33321	3	   	269.20	DCR|4VULN|2DUR|1DMG|1ASPD|1SELL	1358VULN|2SELL|4aDUR|6DMG|7RCR|9ASPD
94	62153 33321	2	   	269.20	DCR|4VULN|2DUR|1DMG|1ASPD|1SELL	1358VULN|2SELL|3BPWR|4aDUR|6DMG|7RCR|9ASPD
95	62423 33321	3	   	269.20	DCR|4VULN|2DUR|1DMG|1ASPD|1SELL	1458VULN|2SELL|3aDUR|6DMG|7RCR|9ASPD
96	62433 33321	4	   	269.20	DCR|4VULN|2DUR|1DMG|1ASPD|1SELL	1458VULN|2SELL|3aDUR|6DMG|7RCR|9ASPD
97	62523 33321	2	   	269.20	DCR|4VULN|2DUR|1DMG|1ASPD|1SELL	1458VULN|2SELL|3aDUR|6DMG|7RCR|9ASPD
98	62153 14121	1	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	135VULN|23CDMG|3BPWR|46aDUR|7DMG|8RMIN|9RCR
99	62153 34121	1	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	135VULN|23CDMG|3BPWR|47aDUR|6DMG|8RMIN|9RCR
100	62153 33153	1	   	268.99	DCR|3VULN|3DUR|1DMG|2CDMG	135VULN|23CDMG|3BPWR|48aDUR|6DMG|7RCR|9DUST
101	62146 33313	2	 * 	268.73	DCR|4VULN|2ASPD|2TLV|1DMG|1SELL	138aVULN|2SELL|38BPWR|4DMG|58TLV|68ASPD|7RCR|9BELT
102	62146 33313	3	 * 	268.73	DCR|4VULN|2ASPD|2TLV|1DMG|1SELL	138aVULN|2SELL|4DMG|58TLV|68ASPD|7RCR|8BPWR|9BELT
103	62146 33313	1	   	268.73	DCR|3VULN|3CDMG|2ASPD|1DMG|1TLV	138VULN|238CDMG|38BPWR|4DMG|5TLV|68ASPD|7RCR|9LWND|aZMB
104	62146 33323	1	   	268.73	DCR|3VULN|3CDMG|2ASPD|1DMG|1TLV	138VULN|238CDMG|38BPWR|4DMG|5TLV|68ASPD|7RCR|9LHND|aZMB
105	62143 33314	1	   	268.73	DCR|3VULN|3CDMG|2ASPD|1DMG|1DUR	138VULN|238CDMG|38BPWR|4DMG|5MLV|68ASPD|7RCR|9LWND|aDUR
106	62143 33324	1	   	268.73	DCR|3VULN|3CDMG|2ASPD|1DMG|1DUR	138VULN|238CDMG|38BPWR|4DMG|5MLV|68ASPD|7RCR|9LHND|aDUR
107	62143 33332	1	   	268.73	DCR|3VULN|3CDMG|2ASPD|1DMG|1TLV	138VULN|238CDMG|38BPWR|4DMG|5MLV|68ASPD|7RCR|9RCVC|aTLV
108	62143 33363	1	   	268.73	DCR|3VULN|3CDMG|2ASPD|1DMG|1DUR	138VULN|238CDMG|38BPWR|4DMG|5MLV|68ASPD|7RCR|9DUR|aZMB
109	62144 33332	1	   	268.73	DCR|3VULN|3CDMG|2ASPD|1DMG|1TLV	138VULN|238CDMG|38BPWR|4DMG|5CGEN|68ASPD|7RCR|9RCVC|aTLV
110	62146 33331	1	   	268.63	DCR|3VULN|3CDMG|2ASPD|1DMG|1TLV	138VULN|238CDMG|38BPWR|4DMG|5TLV|68ASPD|7RCR|9RCVC|aBBNT
111	62523 33314	1	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1458VULN|2CDMG|3DUR|6DMG|7RCR|9BELT|aASPD
112	62523 33323	1	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1458VULN|2CDMG|3DUR|6DMG|7RCR|9ASPD|aRPLT
113	62523 33324	1	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1458VULN|2CDMG|3DUR|6DMG|7RCR|9ASPD|aRCVC
114	62146 33311	1	   	268.48	DCR|3VULN|3CDMG|2ASPD|1DMG|1TLV|1SELL	138VULN|238CDMG|38BPWR|4DMG|5TLV|68ASPD|7RCR|9LWND|aSELL
115	62146 33321	1	   	268.48	DCR|3VULN|3CDMG|2ASPD|1DMG|1TLV|1SELL	138VULN|238CDMG|38BPWR|4DMG|5TLV|68ASPD|7RCR|9LHND|aSELL
116	62143 33361	1	   	268.48	DCR|3VULN|3CDMG|2ASPD|1DMG|1DUR|1SELL	138VULN|238CDMG|38BPWR|4DMG|5MLV|68ASPD|7RCR|9DUR|aSELL
117	62523 33322	1	   	268.41	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1458VULN|2CDMG|3DUR|6DMG|7RCR|9ASPD|aDUST
118	62523 33326	1	   	268.41	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1458VULN|2CDMG|3DUR|6DMG|7RCR|9ASPD|aERES
119	62153 13342	6	 * 	268.27	DCR|3VULN|2DMG|2ASPD|1TLV|1SELL	138VULN|2SELL|4CGEN|58DMG|68ASPD|7RCR|8BPWR|9TLV|aLIT
120	62153 33342	5	 * 	268.27	DCR|3VULN|2DMG|2ASPD|1TLV|1SELL	138VULN|2SELL|4CGEN|58DMG|68ASPD|7RCR|8BPWR|9TLV|aLIT
121	22411 43334	8	   	267.91	DCR|4VULN|3DUR|1TLV|1SELL	17LWND|2SELL|367DUR|4567VULN|67BPWR|8CGEN|9RCR|aTLV
122	22411 43533	7	   	267.91	DCR|4VULN|3DUR|1TLV|1SELL	17LWND|2SELL|367DUR|4567VULN|67BPWR|8TLV|9RCR|aLHND
123	62421 42232	8	   	267.91	DCR|4VULN|3DUR|1TLV|1SELL	1578VULN|2SELL|368DUR|468LHND|68BPWR|9RCR|aTLV
