0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24223 84722	10	 * 	278.50	DCR|4VULN|2DUR|2TLV|1DMG	1RCVC|28TLV|3MBVNT|48DUR|5789VULN|6RCR|8BPWR|aDMG
49	23626 12216	10	   	253.62	DCR|3VULN|2DMG|2ASPD|1AART	1RCVC|2AART|347VULN|57LWND|67ASPD|7BPWR|89DMG|aRCR
50	23621 12212	8	   	253.62	DCR|3VULN|2DMG|2ASPD|1AART	1RCVC|2AART|347VULN|57BEXP|67ASPD|7BPWR|8aDMG|9RCR
51	23512 45332	7	   	253.60	DCR|3VULN|2CDMG|2AART|1DUR|2LIT	1RCVC|29AART|37CDMG|457VULN|67LIT|7BPWR|8RCR|aDUR
52	24223 12436	6	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1RCVC|2TLV|3MBVNT|4DUR|5678VULN|9RCR|aCDMG
53	24223 18436	7	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1RCVC|2TLV|3MBVNT|4DUR|5678VULN|9RCR|aCDMG
54	23611 32413	8	   	253.52	DCR|3VULN|2DMG|2ASPD|1AART	1RCVC|2AART|37aVULN|47ASPD|5RMIN|67DMG|7BPWR|8ERES|9RCR
55	23623 12216	10	   	253.42	DCR|3VULN|2DMG|2ASPD|1AART	1RCVC|2AART|347VULN|5LEGI|67ASPD|7BPWR|89DMG|aRCR
56	65331 63333	2	 * 	253.38	DCR|3VULN|2DMG|2DUR	1FEWX|249VULN|3MLV|56DUR|7RCR|8aDMG
57	23513 16621	5	   	252.72	DCR|2VULN|2DMG|2CDMG|1DUR|1ASPD|1AART	1RCVC|2AART|3aCDMG|4aVULN|5DUR|6ASPD|7RCR|8aDMG|9RPLT|aBPWR
58	23621 12513	7	   	252.26	DCR|4VULN|2ASPD|1CDMG|1AART	1RCVC|2AART|3478VULN|57BEXP|67ASPD|7BPWR|9CDMG|aRCR
59	24288 23413	9	   	252.06	DCR|4VULN|1DMG|1TLV	1RCVC|2TLV|3MBVNT|4589VULN|6LIT|7RCR|aDMG
60	24288 23423	8	   	252.06	DCR|4VULN|1DMG|1TLV	1RCVC|2TLV|3MBVNT|4589VULN|6LIT|7RCR|aDMG
61	33453 11521	1	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|2aDUR|3TLV|469VULN|5DMG|7BEXP|8RCR
62	33613 11521	1	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|2aDUR|369VULN|4TLV|5DMG|7BEXP|8RCR
63	35423 11521	2	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|269VULN|3TLV|4aDUR|5DMG|7BEXP|8RCR
64	35113 16521	3	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|269VULN|3BEXP|4TLV|5DMG|7aDUR|8RCR
65	22431 15135	1	   	251.80	DCR|4VULN|3DUR	1RCVC|2789VULN|378DUR|478BEXP|5TBNT|6DLOT|789BPWR|aRCR
66	11341 26335	5	   	251.19	DCR|2VULN|2DMG|2DUR|2LIT|1AART	19LWND|29LIT|36DUR|4AART|5aVULN|79DMG|8RCR|9BPWR
67	23621 25513	6	   	251.01	DCR|4VULN|1DMG|1CDMG|1AART	1RCVC|2AART|3468VULN|56BEXP|6BPWR|7DMG|9CDMG|aRCR
68	33613 11524	1	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|2DUR|369VULN|4TLV|5DMG|7BEXP|8RCR|aCDMG
69	23512 33516	5	   	250.81	DCR|4VULN|1DMG|1CDMG|1AART	1RCVC|2AART|3CDMG|457aVULN|6BBNT|8RCR|9DMG
70	11341 16333	6	   	250.26	DCR|2VULN|2DMG|1DUR|2LIT|1CDMG|1AART	19LWND|29LIT|3DUR|4AART|56VULN|79DMG|8RCR|9BPWR|aCDMG
71	15652 31223	9	   	250.18	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	1LWND|239VULN|4AART|5DMG|6LIT|7ASPD|8RCR|aDUR
72	11143 53326	2	   	249.72	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	1LWND|29LIT|358VULN|4DUR|6DMG|7CDMG|aRCR
73	11313 53326	3	   	249.72	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	1LWND|29LIT|3DUR|458VULN|6DMG|7CDMG|aRCR
74	11613 53326	2	   	249.72	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	1LWND|29LIT|3DUR|458VULN|6DMG|7CDMG|aRCR
75	22433 42531	1	 * 	249.56	DCR|2VULN|3DUR|2DMG|1AART	1RCVC|2aVULN|39aDUR|4BEXP|5FEWX|6aDMG|7RCR|8AART|aBPWR
76	11133 53366	2	   	249.56	DCR|4VULN|1DMG|1CDMG	1LWND|2LIT|3589VULN|4BEXP|6DMG|7CDMG|aRCR
77	24223 84731	9	   	249.45	DCR|3VULN|2DUR|2TLV|1CDMG	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9CDMG|aCGEN
78	24223 84732	9	   	249.45	DCR|3VULN|2DUR|2TLV|1CDMG	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9CDMG|aRPLT
79	24223 84733	9	   	249.45	DCR|3VULN|2DUR|2TLV|1CDMG	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9CDMG|aLHND
80	24223 84734	10	   	249.45	DCR|3VULN|2DUR|2TLV|1CDMG	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9CDMG|aFEWX
81	24223 84712	9	   	249.35	DCR|3VULN|2DUR|2TLV|1CDMG	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9DUST|aCDMG
82	24223 84712	10	   	249.35	DCR|3VULN|2DUR|2TLV|1CDMG	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9DUST|aCDMG
83	24223 84731	10	   	249.35	DCR|3VULN|2DUR|2TLV|1CDMG	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9CDMG|aERES
84	61341 13353	6	   	249.02	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1FEWX|2LIT|3DUR|4AART|569VULN|7TLV|8RCR|aCDMG
85	61363 13353	6	   	249.02	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1FEWX|2LIT|3DUR|469VULN|5AART|7TLV|8RCR|aCDMG
86	23621 62133	9	   	248.66	DCR|3VULN|2DMG|1TLV|1AART	1RCVC|2AART|347VULN|57BEXP|67DMG|7BPWR|8TLV|9LWND|aRCR
87	23621 62143	8	   	248.66	DCR|3VULN|2DMG|1TLV|1AART	1RCVC|2AART|347VULN|57BEXP|67DMG|7BPWR|8TLV|9LHND|aRCR
88	23621 62153	8	   	248.66	DCR|3VULN|2DMG|1TLV|1AART	1RCVC|2AART|347VULN|57BEXP|67DMG|7BPWR|8TLV|9LWND|aRCR
89	23621 62326	10	   	248.66	DCR|3VULN|2DMG|1TLV|1AART	18RCVC|2AART|347VULN|57BEXP|67DMG|7BPWR|9TLV|aRCR
90	23621 62123	9	   	248.56	DCR|3VULN|2DMG|1TLV|1AART	1RCVC|2AART|347VULN|57BEXP|67DMG|7BPWR|8TLV|9LEGI|aRCR
