0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33414 21211	10	 * 	277.16	DCR|3VULN|3DMG|1TLV|1CDMG|1AART	1RMIN|29aLWND|39aDMG|4TLV|5AART|6RCR|7CDMG|89aVULN|9aBPWR
23	31233 66334	1	   	260.81	DCR|2VULN|3DMG|2TLV|3ASPD	1RMIN|278DMG|3aVULN|48TLV|58aASPD|6RCR|8aBPWR|9aCGEN
24	12282 83814	7	 * 	260.36	DCR|2VULN|3DMG|3DUR|1CDMG	1RCVC|268DMG|3MBVNT|456DUR|68BPWR|78VULN|9RCR|aCDMG
25	13233 63561	10	 * 	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1RCVC|239VULN|49TLV|5BEXP|6RCR|7ZMB|89DUR|9BPWR|aDMG
26	13314 24474	5	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1RCVC|278VULN|3LEGI|47TLV|57DUR|6MBVNT|7BPWR|9RCR|aDMG
27	13243 21614	10	   	258.97	DCR|3VULN|2TLV|2DUR|1DMG|1SELL	1RCVC|23aVULN|4aDUR|5ERES|6DMG|7SELL|8RCR|9aTLV|aBPWR
28	13231 33152	8	   	258.84	DCR|4VULN|2DMG|1TLV	1RCVC|2367VULN|4TLV|58DMG|9BELT|aRCR
29	13243 15161	10	   	258.17	DCR|3VULN|3DMG|2DUR	1RCVC|239VULN|49DUR|5ERES|6LHND|7RCR|89aDMG|9BPWR
30	13243 35161	10	   	258.07	DCR|3VULN|3DMG|2DUR	1RCVC|239VULN|49DUR|5ERES|6DUST|7RCR|89aDMG|9BPWR
31	13241 32553	10	 * 	257.95	DCR|5VULN|1DMG|1DUR	1RCVC|23569VULN|4DUR|7DMG|8LIT|aRCR
32	11125 34511	1	   	257.68	DCR|3VULN|2DMG|2DUR|2LIT	1RCVC|27aVULN|3aDMG|47DUR|57LHND|6RMIN|7aBPWR|8RCR|9aLIT
33	13125 34511	2	   	257.68	DCR|3VULN|2DMG|2DUR|2LIT	1RCVC|27aVULN|3aDMG|47DUR|57LHND|6RMIN|7aBPWR|8RCR|9aLIT
34	11212 64511	6	   	257.48	DCR|3VULN|2DMG|2DUR|2LIT	1RCVC|2RMIN|37aVULN|4aDUST|57DUR|67DMG|7aBPWR|8RCR|9aLIT
35	12223 44511	2	   	256.94	DCR|2VULN|3DMG|2DUR|2LIT	1RCVC|27aDMG|37VULN|4aDUR|5ASPD|67BEXP|7aBPWR|8RCR|9aLIT
36	12233 31421	2	 * 	256.89	DCR|2VULN|3DMG|2TLV|3LIT	1RCVC|249DMG|35VULN|69TLV|789LIT|9BPWR|aRCR
37	15233 31421	1	   	256.89	DCR|2VULN|3DMG|2TLV|3LIT	1RCVC|249DMG|35VULN|69TLV|789LIT|9BPWR|aRCR
38	12233 67511	3	   	256.79	DCR|2VULN|3DMG|2DUR|1CDMG|1AART	1RCVC|249DMG|3MBVNT|59VULN|6AART|79DUR|8RCR|9BPWR|aCDMG
39	12282 43881	7	   	255.65	DCR|3VULN|3DUR|2DMG	1RCVC|28DMG|3MBVNT|456DUR|78aVULN|8BPWR|9RCR
40	13231 33322	8	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1RCVC|2367VULN|4TLV|5DMG|8DMSP|9CDMG|aRCR
41	13231 33622	8	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	18RCVC|2367VULN|4TLV|5DMG|9CDMG|aRCR
42	13231 32443	6	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1RCVC|236VULN|4TLV|59DMG|7BEXP|8RCR|aDUR
43	13263 32443	3	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1RCVC|235VULN|49DMG|6TLV|7BEXP|8RCR|aDUR
44	13231 35443	6	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1RCVC|236VULN|4TLV|59DMG|7DUST|8RCR|aDUR
45	12228 44218	6	   	253.69	DCR|2VULN|2DMG|2DUR|1TLV|1AART	14RCVC|29DMG|3MBVNT|5AART|69DUR|7RCR|89VULN|9BPWR|aTLV
46	12228 43518	6	   	253.69	DCR|2VULN|2DMG|2DUR|1TLV|1AART	14RCVC|29DMG|3MBVNT|5AART|69DUR|79VULN|8RCR|9BPWR|aTLV
47	12228 43518	7	   	253.69	DCR|2VULN|2DMG|2DUR|1TLV|1AART	14RCVC|29DMG|3MBVNT|5AART|69DUR|79VULN|8RCR|9BPWR|aTLV
48	33413 62342	6	   	253.54	DCR|3VULN|3DMG|1TLV	1RMIN|28LWND|389DMG|4TLV|5ERES|678VULN|8BPWR|aRCR
49	13231 43342	6	   	253.54	DCR|3VULN|3DMG|1TLV	1RCVC|238VULN|4TLV|589DMG|68BEXP|7LEGI|8BPWR|aRCR
50	13233 23342	6	   	253.54	DCR|3VULN|3DMG|1TLV	1RCVC|238VULN|4TLV|58BEXP|689DMG|7LEGI|8BPWR|aRCR
51	23413 62342	6	   	253.54	DCR|3VULN|3DMG|1TLV	18ZMB|2LWND|389DMG|4TLV|5ERES|678VULN|8BPWR|aRCR
52	31331 24461	1	   	253.08	DCR|2VULN|3DMG|2TLV|1DUR	1RMIN|249DMG|35ERES|69VULN|79TLV|8RCR|9BPWR|aDUR
53	13233 63561	9	   	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	1RCVC|239VULN|49TLV|5BEXP|6RCR|7ZMB|89DUR|9BPWR|aCDMG
54	13241 31536	6	 * 	252.47	DCR|5VULN|2DUR	1RCVC|23568VULN|4aDUR|7LIT|9RCR
55	13241 33136	6	   	252.47	DCR|5VULN|2DUR	1RCVC|23567VULN|4aDUR|8LIT|9RCR
56	21233 56362	1	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	18ZMB|27DMG|38VULN|4TLV|5ASPD|68DUR|8BPWR|9RCR|aMLV
57	21233 56361	1	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	18ZMB|27DMG|38VULN|4TLV|5ASPD|68DUR|8BPWR|9RCR|aMBVNT
58	21233 56363	1	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	18ZMB|27DMG|38VULN|4TLV|5ASPD|68DUR|8BPWR|9RCR|aERES
59	31233 62534	1	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1RMIN|2aDMG|3aVULN|4TLV|5ASPD|6RCR|7RPLT|8aDUR|9MBVNT|aBPWR
60	13314 24128	5	 * 	252.28	DCR|3VULN|3DUR|2TLV	1RCVC|27aVULN|3LEGI|47TLV|578DUR|6MBVNT|7BPWR|9RCR
61	56232 51332	2	 * 	252.22	DCR|4VULN|2DUR|1TLV	14CGEN|2BELT|3467VULN|46BPWR|56DUR|8TLV|9BEXP|aRCR
62	56232 51312	2	   	252.12	DCR|4VULN|2DUR|1TLV	14CGEN|2BELT|3467VULN|46BPWR|56DUR|8TLV|9DUST|aRCR
63	41224 16133	1	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	1MLV|27DMG|389VULN|45DUR|6AART|aRCR
64	51224 16133	1	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	1CGEN|27DMG|389VULN|45DUR|6AART|aRCR
65	13241 31535	6	   	251.54	DCR|5VULN|1DUR|1CDMG	1RCVC|23568VULN|4DUR|7LIT|9RCR|aCDMG
66	13241 33135	6	   	251.54	DCR|5VULN|1DUR|1CDMG	1RCVC|23567VULN|4DUR|8LIT|9RCR|aCDMG
67	13231 32322	8	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1RCVC|236VULN|4TLV|57DMG|8DMSP|9CDMG|aRCR
68	13231 32622	8	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	18RCVC|236VULN|4TLV|57DMG|9CDMG|aRCR
69	13231 34122	8	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	17RCVC|236VULN|4TLV|58DMG|9CDMG|aRCR
70	13531 33122	8	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1RCVC|267VULN|3DMSP|4TLV|58DMG|9CDMG|aRCR
71	21221 53434	1	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ZMB|28DMG|3aVULN|4DUR|5LIT|6RCR|7TLV|9CDMG
72	13231 32456	6	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1RCVC|236VULN|4TLV|5DMG|7BEXP|8RCR|9aDUR
73	21231 55611	2	   	250.93	DCR|3VULN|2DMG|2DUR	1aZMB|2BEXP|37aVULN|48DMG|5LIT|6RCR|9aDUR|aBPWR
74	13231 36435	9	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1RCVC|2369VULN|4TLV|5DMG|7BELT|8AART|aRCR
75	31213 52362	1	   	250.83	DCR|3VULN|2DMG|2DUR	1RMIN|28DMG|378VULN|4ERES|5ASPD|68DUR|8BPWR|9RCR|aMLV
76	31213 52364	1	   	250.83	DCR|3VULN|2DMG|2DUR	1RMIN|28DMG|378VULN|4ERES|5ASPD|68DUR|8BPWR|9RCR|aBEXP
77	31213 52365	1	   	250.83	DCR|3VULN|2DMG|2DUR	1RMIN|28DMG|378VULN|4ERES|5ASPD|68DUR|8BPWR|9RCR|aLWND
78	31213 52361	1	   	250.73	DCR|3VULN|2DMG|2DUR	1RMIN|28DMG|378VULN|4ERES|5ASPD|68DUR|8BPWR|9RCR|aMBVNT
79	31213 52363	1	   	250.73	DCR|3VULN|2DMG|2DUR	1RMIN|28DMG|378VULN|4aERES|5ASPD|68DUR|8BPWR|9RCR
80	13245 62223	9	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RCVC|239VULN|4DUR|5CGEN|6RCR|7TLV|8CDMG|aDMG
81	23153 13621	2	 * 	249.87	DCR|2VULN|2DMG|1TLV|2CDMG	1ZMB|2LWND|39CDMG|49VULN|5LIT|69DMG|7TLV|8ASPD|9BPWR|aRCR
82	13241 32225	9	   	249.64	DCR|5VULN|1DMG|1DUR	18RCVC|2356aVULN|4DUR|7DMG|9RCR
83	13241 34125	9	   	249.64	DCR|5VULN|1DMG|1DUR	17RCVC|2356aVULN|4DUR|8DMG|9RCR
84	13241 35325	10	   	249.64	DCR|5VULN|1DMG|1DUR	1RCVC|2356aVULN|4DUR|7CGEN|8DMG|9RCR
85	13231 31365	7	 * 	249.33	DCR|4VULN|2TLV|1DMG	1RCVC|236aVULN|49TLV|5DMG|7MLV|8RCR
86	13231 34365	6	   	249.33	DCR|4VULN|2TLV|1DMG	1RCVC|236aVULN|49TLV|5DMG|7CGEN|8RCR
87	13231 35365	7	   	249.33	DCR|4VULN|2TLV|1DMG	1RCVC|236aVULN|49TLV|5DMG|7CGEN|8RCR
88	24211 35325	10	   	249.33	DCR|4VULN|2TLV|1DMG	1ZMB|24TLV|356aVULN|7CGEN|8DMG|9RCR
89	54211 31325	10	   	249.33	DCR|4VULN|2TLV|1DMG	1CGEN|24TLV|356aVULN|7MLV|8DMG|9RCR
90	13233 34636	9	 * 	249.33	DCR|4VULN|2TLV|2CDMG	1RCVC|2389VULN|48TLV|5BEXP|6DUST|78CDMG|8BPWR|aRCR
91	13211 33365	7	   	249.33	DCR|4VULN|2TLV|1DMG	1RCVC|236aVULN|4CGEN|5DMG|79TLV|8RCR
92	13211 41365	5	   	249.33	DCR|4VULN|2TLV|1DMG	1RCVC|237aVULN|4CGEN|5DMG|69TLV|8RCR
93	13232 32365	7	   	249.33	DCR|4VULN|2TLV|1DMG	1RCVC|236aVULN|49TLV|5CGEN|7DMG|8RCR
94	12653 35323	8	   	249.31	DCR|2VULN|2DMG|1TLV|3LIT|1DUR	1RCVC|23DMG|468LIT|56VULN|6BPWR|7TLV|9RCR|aDUR
95	31233 66361	1	   	249.24	DCR|3DMG|1VULN|2TLV|2ASPD|1DUR|1AART	1RMIN|278DMG|3VULN|48TLV|58ASPD|6RCR|8BPWR|9AART|aDUR
96	13231 36365	6	   	249.23	DCR|4VULN|2TLV|1DMG	1RCVC|236aVULN|49TLV|5DMG|7ERES|8RCR
97	13231 61365	6	   	249.23	DCR|4VULN|2TLV|1DMG	1RCVC|237aVULN|49TLV|5DMG|6ERES|8RCR
98	54211 32325	10	   	249.23	DCR|4VULN|2TLV|1DMG|1NUKE	1CGEN|24TLV|356aVULN|7DMG|8NUKE|9RCR
99	13242 63633	8	   	248.94	DCR|3VULN|2DUR|1TLV|1AART	1RCVC|239VULN|47DUR|5AART|6ASPD|8TLV|aRCR
100	11133 51345	1	   	248.89	DCR|4VULN|2DMG|1DUR	1RCVC|257aVULN|34DMG|6LHND|8RCR|9DUR
101	12233 51345	2	   	248.89	DCR|4VULN|2DMG|1DUR	1RCVC|24DMG|357aVULN|6LHND|8RCR|9DUR
102	13133 51345	2	   	248.89	DCR|4VULN|2DMG|1DUR	1RCVC|257aVULN|34DMG|6LHND|8RCR|9DUR
103	13211 32325	10	   	248.89	DCR|4VULN|2DMG|1DUR	1RCVC|236aVULN|4CGEN|57DMG|8DUR|9RCR
104	12225 34511	2	   	248.64	DCR|2VULN|3DMG|2DUR|2LIT	1RCVC|27aDMG|3aVULN|47DUR|57LHND|6RMIN|7aBPWR|8RCR|9aLIT
105	31222 34511	1	   	248.64	DCR|2VULN|3DMG|2DUR|2LIT	16RMIN|27aDMG|3aVULN|47DUR|57BEXP|7aBPWR|8RCR|9aLIT
106	12421 14511	6	   	248.44	DCR|2VULN|3DMG|2DUR|2LIT	1RCVC|27aDMG|3RMIN|4aDUST|57VULN|67DUR|7aBPWR|8RCR|9aLIT
107	31226 34511	1	   	248.44	DCR|2VULN|3DMG|2DUR|2LIT	16RMIN|27aDMG|3aVULN|47DUR|57DUST|7aBPWR|8RCR|9aLIT
108	21221 53334	1	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1ZMB|2DMG|3aVULN|48DUR|5LIT|6RCR|7TLV|9CDMG
109	31151 23511	1	 * 	247.80	DCR|3VULN|2DMG|2CDMG|1DUR	1RMIN|23DMG|46CDMG|56aVULN|6BPWR|7BBNT|8DUR|9RCR
110	13233 51365	4	 * 	247.61	DCR|5VULN|2TLV	1RCVC|2357aVULN|49TLV|6LHND|8RCR
111	13233 15164	7	   	247.56	DCR|3VULN|2TLV|2DUR	1RCVC|239VULN|49TLV|5BEXP|6LHND|7RCR|89DUR|9BPWR|aLIT
112	12285 44225	6	 * 	247.45	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	1RCVC|2aDMG|3MBVNT|46DUR|5AART|7RCR|8aVULN|9aCDMG|aBPWR
113	44133 51133	2	   	247.45	DCR|3VULN|2DMG|1TLV|1AART	1MLV|2TLV|34DMG|589VULN|6AART|7CGEN|aRCR
114	13314 24475	5	   	247.36	DCR|3VULN|2TLV|2DUR	1RCVC|278VULN|3LEGI|47TLV|57DUR|6MBVNT|7BPWR|9RCR|aLIT
115	13231 64363	7	   	247.21	DCR|3VULN|2DMG|1TLV|1AART|1SELL	1RCVC|23aVULN|4TLV|5aDMG|6aERES|7SELL|8AART|9RCR|aBPWR
116	13233 53653	5	   	247.20	DCR|4VULN|1TLV|2ASPD|1AART	1RCVC|2379VULN|4TLV|59BEXP|6AART|89ASPD|9BPWR|aRCR
