0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11651 16131	10	 * 	276.69	DCR|5VULN|3DMG|1AART	1RCVC|2479aVULN|3AART|59aDMG|6RCR|89aMLV|9aBPWR
16	61536 22221	2	   	261.72	DCR|3VULN|3DMG|3TLV	1DMSP|289VULN|3RPLT|4RMIN|5BBNT|689TLV|789DMG|89BPWR|aRCR
17	11651 16131	9	   	260.84	DCR|5VULN|2DMG|1AART	1RCVC|2479aVULN|3AART|59DMG|6RCR|89MLV|9BPWR
18	53233 33563	3	   	259.26	DCR|3VULN|3DUR|1TLV|2LIT	18LIT|248DUR|3DMSP|5TLV|6FEWX|789VULN|8BPWR|aRCR
19	11632 12551	10	 * 	259.17	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR|1AART	1RCVC|29VULN|3AART|49DMG|5DUR|6ZMB|7RCR|89CDMG|9BPWR|aTLV
20	11651 13231	10	   	258.35	DCR|4VULN|3DMG|1AART	1RCVC|249aVULN|3AART|59aDMG|6RCR|79aMLV|8DMSP|9aBPWR
21	61651 13231	10	   	258.35	DCR|4VULN|3DMG|1AART	18DMSP|249aVULN|3AART|59aDMG|6RCR|79aMLV|9aBPWR
22	11632 12443	7	 * 	257.66	DCR|3VULN|2DMG|2CDMG|1DUR|1AART	1RCVC|29aVULN|3AART|49DMG|5DUR|6ZMB|7RCR|89CDMG|9BPWR
23	11632 12543	8	   	257.66	DCR|3VULN|2DMG|2CDMG|1DUR|1AART	1RCVC|29aVULN|3AART|49DMG|5DUR|6ZMB|7RCR|89CDMG|9BPWR
24	11632 12553	9	   	257.66	DCR|3VULN|2DMG|2CDMG|1DUR|1AART	1RCVC|29aVULN|3AART|49DMG|5DUR|6ZMB|7RCR|89CDMG|9BPWR
25	11422 21435	6	 * 	255.85	DCR|3VULN|3DUR|2DMG	1RCVC|28aVULN|3RMIN|45aDUR|6RPLT|7RCR|9aDMG|aBPWR
26	45231 42333	3	 * 	255.41	DCR|4VULN|1TLV|1DUR|1AART	1CGEN|2589VULN|3LIT|4DUR|6TLV|7RCR|aAART
27	25361 42333	3	   	255.31	DCR|4VULN|1TLV|1DUR|1AART	1ERES|2589VULN|3DUR|4LIT|6TLV|7RCR|aAART
28	32311 11453	1	 * 	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1LHND|2DMG|3CDMG|4LWND|568aVULN|7RCR|9TLV
29	33431 11453	4	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1LHND|2LWND|3CDMG|4DMG|568aVULN|7RCR|9TLV
30	51631 62331	10	   	254.24	DCR|3VULN|2DUR|1TLV|2LIT	18LIT|2ZMB|38DUR|4ERES|5TLV|6RCR|78aVULN|8BPWR|9ASPD
31	51221 32365	1	 * 	254.19	DCR|4VULN|2DUR|1DMG	1LIT|258aVULN|3FEWX|46DUR|7RCR|9DMG
32	14221 11434	3	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1RCVC|2TLV|3RPLT|4DUR|568VULN|7RCR|9aDMG
33	31523 11213	1	   	253.64	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9FEWX|aTLV
34	31523 11244	1	   	253.64	DCR|3VULN|3DMG|1TLV	18LHND|2aLWND|358VULN|468DMG|7RCR|8BPWR|9TLV
35	31523 11245	1	   	253.64	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9TLV|aBEXP
36	31523 11246	1	   	253.64	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9TLV|aFEWX
37	33523 11213	2	   	253.64	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9FEWX|aTLV
38	33523 11244	2	   	253.64	DCR|3VULN|3DMG|1TLV	18LHND|2aLWND|358VULN|468DMG|7RCR|8BPWR|9TLV
39	33523 11245	2	   	253.64	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9TLV|aBEXP
40	33523 11246	2	   	253.64	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9TLV|aFEWX
41	31523 11232	1	   	253.54	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9TBNT|aTLV
42	31523 11241	1	   	253.54	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9TLV|aDUST
43	31523 11263	1	   	253.54	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9LEGI|aTLV
44	33523 11232	2	   	253.54	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9TBNT|aTLV
45	33523 11241	2	   	253.54	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9TLV|aDUST
46	33523 11263	2	   	253.54	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9LEGI|aTLV
47	54241 33323	7	   	252.85	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|2CGEN|38DMG|4BEXP|5TLV|6RCR|789VULN|8BPWR|aRMIN
48	11125 13134	8	   	252.81	DCR|4VULN|1TLV|1CDMG|1AART	1RCVC|268aVULN|3LIT|4CDMG|5AART|7RCR|9TLV
49	11125 13134	10	   	252.81	DCR|4VULN|1TLV|1CDMG|1AART	1RCVC|2689VULN|3LIT|4CDMG|5AART|7RCR|aTLV
50	12425 13134	8	   	252.81	DCR|4VULN|1TLV|1CDMG|1AART	1RCVC|2LIT|368aVULN|4CDMG|5AART|7RCR|9TLV
51	12425 13134	10	   	252.81	DCR|4VULN|1TLV|1CDMG|1AART	1RCVC|2LIT|3689VULN|4CDMG|5AART|7RCR|aTLV
52	61125 13134	8	   	252.81	DCR|4VULN|1TLV|1CDMG|1AART	1DMSP|268aVULN|3LIT|4CDMG|5AART|7RCR|9TLV
53	61125 13134	10	   	252.81	DCR|4VULN|1TLV|1CDMG|1AART	1DMSP|2689VULN|3LIT|4CDMG|5AART|7RCR|aTLV
54	54251 33323	7	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|2CGEN|38DMG|4DUST|5TLV|6RCR|789VULN|8BPWR|aRMIN
55	54251 33333	7	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|2CGEN|38DMG|4DUST|5TLV|6RCR|78aVULN|8BPWR|9LHND
56	56241 32322	7	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|2ERES|38DMG|4BEXP|5TLV|6RCR|789VULN|8BPWR|aLHND
57	54241 33321	7	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|2CGEN|38DMG|4BEXP|5TLV|6RCR|789VULN|8BPWR|aERES
58	54251 33321	7	   	252.65	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|2CGEN|38DMG|4DUST|5TLV|6RCR|789VULN|8BPWR|aERES
59	56241 32321	7	   	252.65	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|2aERES|38DMG|4BEXP|5TLV|6RCR|789VULN|8BPWR
60	56251 32322	7	   	252.65	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|2ERES|38DMG|4DUST|5TLV|6RCR|789VULN|8BPWR|aLHND
61	56251 32333	7	   	252.65	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|2ERES|38DMG|4DUST|5TLV|6RCR|78aVULN|8BPWR|9LHND
62	56251 32321	7	   	252.55	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|2aERES|38DMG|4DUST|5TLV|6RCR|789VULN|8BPWR
63	11611 12661	10	   	252.46	DCR|2VULN|2DMG|2TLV|2AART|1CDMG	1RCVC|28VULN|3aAART|4CDMG|58TLV|68DMG|7RMIN|8BPWR|9RCR
64	13351 52221	1	 * 	252.23	DCR|3VULN|3DUR|3TLV|1SELL	1RCVC|2SELL|3TBNT|489VULN|589DUR|689TLV|7RCR|89BPWR|aFEWX
65	13351 52222	1	 * 	252.23	DCR|3VULN|3DUR|3TLV|1SELL	1RCVC|2SELL|3TBNT|489VULN|589DUR|689TLV|7RCR|89BPWR|aMLV
66	13351 52223	1	 * 	252.23	DCR|3VULN|3DUR|3TLV|1SELL	1RCVC|2SELL|3TBNT|489VULN|589DUR|689TLV|7RCR|89BPWR|aCGEN
67	13351 52224	1	 * 	252.23	DCR|3VULN|3DUR|3TLV|1SELL	1RCVC|2SELL|3TBNT|489VULN|589DUR|689TLV|7RCR|89BPWR|aLHND
68	13451 52221	1	 * 	252.23	DCR|3VULN|3DUR|3TLV|1SELL	1RCVC|2SELL|3BBNT|489VULN|589DUR|689TLV|7RCR|89BPWR|aFEWX
69	13451 52222	1	 * 	252.23	DCR|3VULN|3DUR|3TLV|1SELL	1RCVC|2SELL|3BBNT|489VULN|589DUR|689TLV|7RCR|89BPWR|aMLV
70	13451 52223	1	 * 	252.23	DCR|3VULN|3DUR|3TLV|1SELL	1RCVC|2SELL|3BBNT|489VULN|589DUR|689TLV|7RCR|89BPWR|aCGEN
71	63351 52221	1	 * 	252.23	DCR|3VULN|3DUR|3TLV|1SELL	1DMSP|2SELL|3TBNT|489VULN|589DUR|689TLV|7RCR|89BPWR|aFEWX
72	63351 52222	1	 * 	252.23	DCR|3VULN|3DUR|3TLV|1SELL	1DMSP|2SELL|3TBNT|489VULN|589DUR|689TLV|7RCR|89BPWR|aMLV
73	63351 52223	1	 * 	252.23	DCR|3VULN|3DUR|3TLV|1SELL	1DMSP|2SELL|3TBNT|489VULN|589DUR|689TLV|7RCR|89BPWR|aCGEN
74	13351 52225	1	 * 	252.13	DCR|3VULN|3DUR|3TLV|1SELL	1RCVC|2SELL|3TBNT|489VULN|589DUR|689TLV|7RCR|89BPWR|aDUST
75	11125 13256	8	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1RCVC|26aVULN|3LIT|4CDMG|5AART|7RCR|8DMG|9TLV
76	11125 13352	10	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1RCVC|26aVULN|3LIT|4CDMG|5AART|7RCR|8TLV|9DMG
77	11125 13356	9	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1RCVC|26aVULN|3LIT|4CDMG|5AART|7RCR|8TLV|9DMG
78	12425 13352	10	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1RCVC|2LIT|36aVULN|4CDMG|5AART|7RCR|8TLV|9DMG
79	61125 13352	10	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1DMSP|26aVULN|3LIT|4CDMG|5AART|7RCR|8TLV|9DMG
80	32311 11454	1	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1LHND|2aDMG|3CDMG|4LWND|568VULN|7RCR|9TLV
81	31513 21214	1	   	251.38	DCR|5VULN|2DMG	18aLHND|28LWND|3458aVULN|6RMIN|7RCR|8aBPWR|9aDMG
82	33513 21214	2	   	251.38	DCR|5VULN|2DMG	18aLHND|28LWND|3458aVULN|6RMIN|7RCR|8aBPWR|9aDMG
83	32262 15333	1	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LHND|2aDMG|36VULN|4TLV|5DUR|7CDMG|8RCR|9LIT
84	32262 15343	1	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LHND|2aDMG|36VULN|4TLV|5DUR|7CDMG|8RCR|9ASPD
85	12231 63424	1	 * 	251.04	DCR|3VULN|2DUR|1TLV|2CDMG	1RCVC|29DUR|3TBNT|4DMSP|5TLV|69aVULN|7RCR|89CDMG|9BPWR
86	32262 13314	1	 * 	251.04	DCR|3VULN|2DUR|1TLV|1DMG	19LHND|2DMG|367VULN|4TLV|58DUR|aRCR
87	32262 13326	1	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|2DMG|367VULN|4TLV|58DUR|9BEXP|aRCR
88	32262 13336	1	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|2DMG|367VULN|4TLV|58DUR|9FEWX|aRCR
89	53331 62152	8	 * 	251.04	DCR|2VULN|2TLV|2DUR|2CDMG	1LIT|29DUR|3ASPD|4ERES|59TLV|6RCR|7aVULN|89CDMG|9BPWR
90	11611 12244	5	   	251.00	DCR|2VULN|3DUR|2TLV|1CDMG|1AART	1RCVC|2aVULN|3AART|4CDMG|5aTLV|67aDUR|8BBNT|9RCR|aBPWR
91	32262 13346	1	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|2DMG|367VULN|4TLV|58DUR|9DUST|aRCR
92	32311 11451	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2DMG|3CDMG|4LWND|568VULN|7RCR|9TLV|aDUR
93	33431 11451	4	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2LWND|3CDMG|4DMG|568VULN|7RCR|9TLV|aDUR
94	25323 45211	5	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|289VULN|3DUR|4DMG|5ZMB|6TLV|7CDMG|aRCR
95	32551 51213	1	   	249.55	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	18LHND|28DMG|3LIT|4aDUR|58VULN|6RCR|7AART|8BPWR|9CDMG
96	35513 21114	2	   	249.09	DCR|4VULN|2DMG|1DUR	18aLHND|2DUR|345aVULN|6RMIN|7RCR|9aDMG|aBPWR
97	35513 21314	2	   	249.09	DCR|4VULN|2DMG|1DUR	1aLHND|2DUR|345aVULN|6RMIN|7RCR|8RCVC|9aDMG|aBPWR
98	45232 42333	3	   	248.94	DCR|3VULN|2DUR|1TLV|1AART	1CGEN|289VULN|3LIT|45DUR|6TLV|7RCR|aAART
99	45235 32333	3	   	248.94	DCR|3VULN|2DUR|1TLV|1AART	1CGEN|289VULN|3LIT|46DUR|5TLV|7RCR|aAART
100	25362 42333	3	   	248.84	DCR|3VULN|2DUR|1TLV|1AART	1ERES|289VULN|35DUR|4LIT|6TLV|7RCR|aAART
101	31523 11253	1	   	248.49	DCR|4VULN|3DMG	18LHND|29LWND|358aVULN|468DMG|7RCR|8BPWR
102	31523 51213	1	   	248.49	DCR|4VULN|3DMG	18LHND|2LWND|358aVULN|489DMG|6DMSP|7RCR|8BPWR
103	33523 11253	2	   	248.49	DCR|4VULN|3DMG	18LHND|29LWND|358aVULN|468DMG|7RCR|8BPWR
104	33523 51213	2	   	248.49	DCR|4VULN|3DMG	18LHND|2LWND|358aVULN|489DMG|6DMSP|7RCR|8BPWR
105	31523 11234	1	   	248.39	DCR|4VULN|3DMG	18LHND|2LWND|358aVULN|468DMG|7RCR|8BPWR|9TBNT
106	33523 11234	2	   	248.39	DCR|4VULN|3DMG	18LHND|2LWND|358aVULN|468DMG|7RCR|8BPWR|9TBNT
107	32262 15335	1	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1LHND|2DMG|36VULN|4TLV|5aDUR|7CDMG|8RCR|9LIT
108	11125 13131	8	   	248.01	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1RCVC|268VULN|3LIT|4CDMG|5AART|7RCR|9TLV|aDUR
109	12425 13131	8	   	248.01	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1RCVC|2LIT|368VULN|4CDMG|5AART|7RCR|9TLV|aDUR
110	61125 13131	8	   	248.01	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1DMSP|268VULN|3LIT|4CDMG|5AART|7RCR|9TLV|aDUR
111	62425 13131	8	   	248.01	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1DMSP|2LIT|368VULN|4CDMG|5AART|7RCR|9TLV|aDUR
112	45211 42332	4	 * 	247.84	DCR|5VULN|1TLV	1CGEN|2589aVULN|3LIT|4FEWX|6TLV|7RCR
113	14211 11452	3	 * 	247.81	DCR|5VULN|2TLV	1RCVC|2aTLV|3RPLT|4aLWND|5689aVULN|7RCR|aBPWR
114	11314 31615	4	   	247.77	DCR|2VULN|3DUR|2DMG	1RCVC|2aVULN|3FEWX|46aDUR|5LIT|7ASPD|8aDMG|9RCR|aBPWR
115	25211 42332	4	   	247.74	DCR|5VULN|1TLV	1ERES|2589aVULN|3LIT|4FEWX|6TLV|7RCR
116	51251 42332	1	   	247.74	DCR|5VULN|1TLV	1LIT|2589aVULN|3FEWX|4ERES|6TLV|7RCR
117	51325 31223	1	   	247.73	DCR|3VULN|2TLV|1DUR|2LIT	17LIT|279VULN|3ASPD|4MLV|57TLV|6LEGI|7BPWR|8DUR|aRCR
118	31331 62536	10	   	247.56	DCR|3VULN|2TLV|2DUR	1aLHND|2CGEN|3aDUR|46TLV|5ASPD|79aVULN|8RCR|aBPWR
119	32551 51231	1	   	247.51	DCR|2VULN|2DMG|1TLV|1DUR|1AART	189LHND|28DMG|3LIT|4DUR|58VULN|6RCR|7AART|8BPWR|aTLV
120	53331 62325	7	   	247.49	DCR|3VULN|2DUR|1TLV	1LIT|28DUR|3ASPD|4ERES|5TLV|6RCR|79aVULN
121	11135 43343	3	 * 	247.36	DCR|3VULN|3TLV|2DUR	1RCVC|279VULN|3LIT|49DUR|569TLV|8BBNT|9BPWR|aRCR
122	51221 32362	1	   	246.79	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|258VULN|3FEWX|46DUR|7RCR|9DMG|aCDMG
123	51521 32362	1	   	246.79	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|258VULN|3BEXP|46DUR|7RCR|9DMG|aCDMG
