0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41124 33521	2	 * 	293.64	DCR|4VULN|3DMG|1TLV|1DUR	148FEWX|258DMG|3568VULN|58BPWR|7RCR|9DUR|aTLV
31	52354 22131	5	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	16ZMB|2DMG|347DUR|56aVULN|6BPWR|8TLV|9RCR
32	31233 26531	4	   	265.03	DCR|5VULN|2DMG	168BEXP|24DMG|38LHND|5678aVULN|68BPWR|9RCR
33	31233 26531	5	   	265.03	DCR|5VULN|2DMG	168BEXP|24DMG|38LHND|5678aVULN|68BPWR|9RCR
34	41233 26531	5	   	265.03	DCR|5VULN|2DMG	168FEWX|24DMG|38LHND|5678aVULN|68BPWR|9RCR
35	31143 33542	2	   	264.93	DCR|5VULN|2DMG	18BEXP|28DMG|3568aVULN|4DMSP|7RCR|8BPWR|9BELT
36	41125 36331	2	   	264.93	DCR|5VULN|2DMG	147FEWX|27DMG|3567aVULN|7BPWR|8LHND|9RCR
37	41125 33511	2	   	264.83	DCR|5VULN|2DMG	148FEWX|28DMG|3568aVULN|7RCR|8BPWR|9DUST
38	22511 16512	6	   	264.59	DCR|3VULN|2DMG|2DUR|1ASPD	1RMIN|2aBEXP|3aDMG|45DUR|6ASPD|79aVULN|8RCR|aBPWR
39	22513 36512	6	   	264.59	DCR|3VULN|2DMG|2DUR|1ASPD	1RMIN|2aBEXP|3aDMG|46DUR|5ASPD|79aVULN|8RCR|aBPWR
40	31511 66312	8	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD|1NUKE	1aBEXP|2aDMG|3NUKE|45DUR|6RCR|7ASPD|89aVULN|aBPWR
41	52323 23535	4	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	1ZMB|26DMG|37DUR|4ERES|56aVULN|6BPWR|8ASPD|9RCR
