0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25332 11553	1	 * 	286.70	DCR|5VULN|3DMG|3LIT	12589VULN|389DMG|4TBNT|6MBVNT|789LIT|89BPWR|aRCR
106	25231 53523	10	   	263.65	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2CGEN|378DMG|4FEWX|5DUR|678LIT|78BPWR|9ERES|aRCR
107	61131 53523	10	   	263.65	DCR|3VULN|3DMG|3LIT|1DUR	178DMG|2CGEN|378VULN|4FEWX|5DUR|678LIT|78BPWR|9ERES|aRCR
108	24224 63311	10	   	263.57	DCR|4VULN|2DMG|2DUR	1589VULN|28ERES|36DMG|45BEXP|58BPWR|78DUR|aRCR
109	25323 41131	1	   	263.57	DCR|4VULN|2DMG|2DUR	1289VULN|34DMG|59CGEN|6RCR|79DUR|9BPWR|aERES
110	25323 41134	1	   	263.57	DCR|4VULN|2DMG|2DUR	1289VULN|34DMG|59CGEN|6RCR|79DUR|9BPWR|aBBNT
111	25323 41143	1	   	263.47	DCR|4VULN|2DMG|2DUR	1289VULN|34DMG|5CGEN|6RCR|7aDUR
112	25361 43133	1	   	262.88	DCR|4VULN|2TLV|1DMG|1CDMG	1258VULN|3DMG|4aTLV|6RCR|7MBVNT|9CDMG
113	31151 41131	4	 * 	262.83	DCR|4VULN|3DUR|3ASPD	149ASPD|2CGEN|3589VULN|6RCR|79aDUR|9BPWR
114	25363 41112	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	128VULN|35DMG|4TLV|6RCR|7DUR|9CGEN|aLIT
115	25363 41123	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	128VULN|35DMG|4TLV|6RCR|7DUR|9ASPD|aRMIN
116	25363 41122	1	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	128VULN|35DMG|4TLV|6RCR|7DUR|9ASPD|aDLOT
117	25326 36123	1	   	262.04	DCR|4VULN|3DMG|1CDMG	1256VULN|345DMG|5BPWR|7RCR|8RCVC|9CDMG|aLHND
118	25326 31373	1	   	261.94	DCR|4VULN|3DMG|1CDMG	1256VULN|345DMG|5BPWR|7CGEN|8MBVNT|9CDMG|aRCR
119	25326 32362	1	   	261.94	DCR|4VULN|3DMG|1CDMG	1256VULN|345DMG|5BPWR|7RCVC|8DUST|9RCR|aCDMG
120	25326 36112	1	   	261.94	DCR|4VULN|3DMG|1CDMG	1256VULN|345DMG|5BPWR|7RCR|8RCVC|9DUST|aCDMG
121	25326 36121	1	   	261.94	DCR|4VULN|3DMG|1CDMG|1NUKE	1256VULN|345DMG|5BPWR|7RCR|8RCVC|9CDMG|aNUKE
122	25326 36122	1	   	261.94	DCR|4VULN|3DMG|1CDMG	1256VULN|345DMG|5BPWR|7RCR|8RCVC|9CDMG|aDUST
123	35232 12442	9	 * 	261.77	DCR|3VULN|2DMG|1TLV|3ASPD	168ASPD|2aDMG|38aMLV|4FEWX|5TLV|78aVULN|8aBPWR|9RCR
124	25333 16412	1	 * 	261.52	DCR|3VULN|3DMG|2TLV	12aVULN|39aDMG|4TBNT|5RMIN|6RCR|7aTLV|8BBNT|aBPWR
125	65223 26121	2	   	261.46	DCR|3VULN|3DMG|1DUR|1AART	124DMG|37aVULN|5LIT|6AART|8DUR|9RCR
126	21152 31311	1	   	261.11	DCR|3VULN|2TLV|2DUR|1CDMG	158VULN|2aTLV|3ASPD|45DUR|5BPWR|6CDMG|7LWND|9RCR
127	21252 31311	2	   	261.11	DCR|3VULN|2TLV|2DUR|1CDMG	158VULN|2ASPD|3aTLV|45DUR|5BPWR|6CDMG|7LWND|9RCR
128	41631 23261	10	 * 	260.79	DCR|3VULN|3DUR|2TLV	159DUR|2ASPD|39TLV|4FEWX|6CGEN|789VULN|9BPWR|aRCR
129	34253 23134	1	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	1aASPD|24aDUR|3TLV|5RCVC|6LWND|78aVULN|9RCR|aBPWR
130	41253 23134	2	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	14aDUR|2aASPD|3TLV|5RCVC|6LWND|78aVULN|9RCR|aBPWR
131	22235 11134	3	   	260.53	DCR|4VULN|2DUR|1TLV	158aVULN|26aLWND|3ASPD|4TLV|7aDUR|9RCR|aBPWR
132	23235 21134	3	   	260.53	DCR|4VULN|2DUR|1TLV	158aVULN|26aLHND|3ASPD|4TLV|7aDUR|9RCR|aBPWR
133	61142 51131	2	 * 	260.36	ACR|4VULN|3DMG|3DUR	169DMG|25CGEN|3589VULN|4RCR|59BPWR|79aDUR
134	61142 51131	3	   	260.36	ACR|4VULN|3DMG|3DUR	169DMG|25CGEN|3589VULN|4RCR|59BPWR|79aDUR
135	25354 13113	10	   	260.30	DCR|4VULN|2TLV|2DUR	139aVULN|25CGEN|4aTLV|6RCR|7aDUR|8RMIN|aBPWR
136	25356 13113	10	   	260.30	DCR|4VULN|2TLV|2DUR	139aVULN|2CGEN|4aTLV|5RCVC|6RCR|7aDUR|8RMIN|aBPWR
137	24356 13113	10	   	260.20	DCR|4VULN|2TLV|2DUR	139aVULN|2ERES|4aTLV|5RCVC|6RCR|7aDUR|8RMIN|aBPWR
138	21231 41143	1	   	260.10	DCR|4VULN|2TLV|2DUR	1589VULN|23TLV|4ZMB|6RCR|7aDUR
139	21211 41143	1	   	260.00	DCR|4VULN|2TLV|2DUR|1NUKE	1589VULN|23TLV|4NUKE|6RCR|7aDUR
140	61111 53334	9	   	259.96	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	178DMG|2CGEN|37VULN|4DUST|5DUR|67LIT|7BPWR|9RCR|aTLV
141	25211 53334	9	   	259.96	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	17VULN|2CGEN|378DMG|4DUST|5DUR|67LIT|7BPWR|9RCR|aTLV
142	25331 35241	1	 * 	259.70	DCR|5VULN|3CDMG|1DMG	1278aVULN|3DMG|4TBNT|578LWND|678CDMG|78BPWR|9RCR
143	21362 32334	1	 * 	259.59	DCR|2VULN|3DMG|2DUR|1TLV	15VULN|2TLV|3LHND|456DMG|5BPWR|7ERES|8RCR|9aDUR
144	25361 11351	1	   	259.50	DCR|5VULN|1TLV|1DMG	12589VULN|3DMG|4TLV|6BBNT|7FEWX|aRCR
145	25361 13151	1	   	259.50	DCR|5VULN|1TLV|1DMG	12579VULN|3DMG|4TLV|6BBNT|8BEXP|aRCR
146	25361 13251	1	   	259.50	DCR|5VULN|1TLV|1DMG	12579VULN|3DMG|4TLV|6BBNT|8FEWX|aRCR
147	65211 15322	2	   	259.44	DCR|2VULN|3DMG|2DUR|1TLV|1SELL	127DMG|37VULN|4SELL|57DUR|6TBNT|7BPWR|8TLV|9RCVC|aRCR
148	25363 43133	1	   	259.42	DCR|3VULN|2DMG|2TLV|1CDMG	128VULN|35DMG|4aTLV|6RCR|7MBVNT|9CDMG
149	25361 13321	1	   	259.40	DCR|5VULN|1TLV|1DMG	12578VULN|3DMG|4TLV|6BBNT|9DUST|aRCR
150	21532 42111	4	   	259.35	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	17VULN|27ASPD|34LWND|5CDMG|67DMG|7BPWR|8DUR|9RCR|aTLV
151	34252 42111	2	   	259.35	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	17ASPD|2RCVC|37VULN|4LWND|5CDMG|67DMG|7BPWR|8DUR|9RCR|aTLV
152	35252 42111	1	   	259.35	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	17ASPD|2DMSP|37VULN|4LWND|5CDMG|67DMG|7BPWR|8DUR|9RCR|aTLV
153	64252 32111	2	   	259.35	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	17DMG|2RCVC|37VULN|4LWND|5CDMG|67ASPD|7BPWR|8DUR|9RCR|aTLV
154	65252 32111	1	   	259.35	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	17DMG|2DMSP|37VULN|4LWND|5CDMG|67ASPD|7BPWR|8DUR|9RCR|aTLV
155	45322 11511	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	17DUR|2CGEN|349VULN|5TLV|6ASPD|8DMG|aRCR
156	24256 21111	10	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	169VULN|2ERES|3DMG|4ASPD|57DUR|8TLV|aRCR
157	44322 11511	10	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	17DUR|2ERES|349VULN|5TLV|6ASPD|8DMG|aRCR
158	25311 53213	1	   	259.06	DCR|5VULN|1DMG|1DUR|1AART|1SELL	1267aVULN|3DMG|4SELL|5DUR|8RCR|9AART
159	25214 32242	1	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	1289VULN|3FEWX|49DUST|5AART|6RCR|79TLV|9BPWR|aDMG
160	22216 51511	10	   	258.89	DCR|4VULN|3ASPD|3LIT|1DMG	1789VULN|2LWND|389ASPD|4FEWX|5DMG|689LIT|89BPWR|aRCR
161	23216 51511	10	   	258.89	DCR|4VULN|3ASPD|3LIT|1DMG	1789VULN|2LHND|389ASPD|4FEWX|5DMG|689LIT|89BPWR|aRCR
162	35123 51511	10	   	258.89	DCR|4VULN|3ASPD|3LIT|1DMG	189ASPD|2DMG|3789VULN|4BEXP|5LHND|689LIT|89BPWR|aRCR
163	25253 13411	10	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	189VULN|2CGEN|38DMG|46ASPD|5ERES|78DUR|8BPWR|aRCR
164	61153 13411	10	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|2CGEN|389VULN|46ASPD|5ERES|78DUR|8BPWR|aRCR
165	25323 41361	1	   	258.65	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG	12VULN|34aDMG|5CGEN|6RCR|7DUR|8CDMG|9TLV
166	21123 62322	2	   	258.55	DCR|2VULN|3DMG|1TLV|2ASPD|1CDMG	16VULN|23ASPD|457DMG|8RCR|9TLV|aCDMG
167	21123 62361	2	   	258.55	DCR|2VULN|3DMG|1TLV|2ASPD|1CDMG	16VULN|23ASPD|457DMG|8RCR|9CDMG|aTLV
168	35153 62322	4	   	258.55	DCR|2VULN|3DMG|1TLV|2ASPD|1CDMG	14ASPD|257DMG|36VULN|8RCR|9TLV|aCDMG
169	64311 13252	3	 * 	258.48	DCR|2VULN|3DMG|1TLV|2CDMG|1AART	149DMG|2RCVC|39CDMG|5TLV|6ERES|79VULN|8RCR|9BPWR|aAART
170	65111 13252	3	   	258.48	DCR|2VULN|3DMG|1TLV|2CDMG|1AART	129DMG|3RCVC|49CDMG|5TLV|6ERES|79VULN|8RCR|9BPWR|aAART
171	61111 53331	10	   	258.45	DCR|3VULN|3DMG|1DUR|2LIT	178DMG|2CGEN|37aVULN|4DUST|5DUR|67LIT|7BPWR|9RCR
