0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12261 33225	8	 * 	276.22	DCR|4VULN|3DUR|2LIT|1AART	1LEGI|2379VULN|49LIT|5AART|6RCR|89aDUR|9BPWR
18	21251 54332	3	   	263.03	DCR|4VULN|2DUR|1TLV	19LWND|2369VULN|4ERES|5LIT|79DUR|8RCR|9BPWR|aTLV
19	21264 24332	6	   	263.03	DCR|4VULN|2DUR|1TLV	19LWND|2369VULN|4LIT|5ERES|79DUR|8RCR|9BPWR|aTLV
20	12261 33221	8	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1LEGI|2379VULN|49LIT|5AART|6RCR|89DUR|9BPWR|aZMB
21	12261 33222	8	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1LEGI|2379VULN|49LIT|5AART|6RCR|89DUR|9BPWR|aBEXP
22	12261 33223	8	   	262.89	DCR|4VULN|2DUR|2LIT|1AART	1LEGI|2379VULN|49LIT|5AART|6RCR|89DUR|9BPWR|aTBNT
23	12261 33226	8	   	262.89	DCR|4VULN|2DUR|2LIT|1AART	1LEGI|2379VULN|49LIT|5AART|6RCR|89DUR|9BPWR|aMBVNT
24	12264 24332	6	   	262.83	DCR|4VULN|2DUR|1TLV	1LEGI|2369VULN|4LIT|59ERES|79DUR|8RCR|9BPWR|aTLV
25	41221 46323	8	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	1RCVC|2DMSP|346DUR|567VULN|6BPWR|8RCR|9CDMG|aDMG
26	43221 46323	8	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	12RCVC|346DUR|567VULN|6BPWR|8RCR|9CDMG|aDMG
27	21252 31366	10	 * 	261.64	DCR|4VULN|2DMG|1TLV	1aLWND|236aVULN|4RMIN|5TLV|7FEWX|8RCR|9aDMG|aBPWR
28	32365 33317	4	   	261.59	DCR|3VULN|2DMG|2DUR	135ERES|259VULN|4MBVNT|59BPWR|6RCR|79DUR|89DMG|aLIT
29	32366 33317	5	   	261.59	DCR|3VULN|2DMG|2DUR	135ERES|259VULN|4MBVNT|59BPWR|6RCR|79DUR|89DMG|aLIT
30	12252 31366	10	   	261.54	DCR|4VULN|2DMG|1TLV	1LEGI|236aVULN|4RMIN|5TLV|7aFEWX|8RCR|9aDMG|aBPWR
31	32563 31523	6	   	261.44	DCR|4VULN|2DMG|1DUR	18ERES|2789VULN|3FEWX|4ZMB|58DMG|6RCR|8BPWR|aDUR
32	15253 23321	8	   	260.59	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	1LEGI|28DUR|38aVULN|4MLV|5CDMG|68LIT|7RCR|8BPWR|9TLV
33	15253 23326	10	   	260.59	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	1LEGI|28DUR|389VULN|4MLV|5CDMG|68LIT|7RCR|8BPWR|aTLV
34	15253 23621	7	   	260.59	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	1LEGI|28DUR|38aVULN|4MLV|5CDMG|68LIT|7RCR|8BPWR|9TLV
35	15233 23321	8	   	260.49	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	1LEGI|28DUR|38aVULN|4ERES|5CDMG|68LIT|7RCR|8BPWR|9TLV
36	15233 23321	10	   	260.49	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	1LEGI|28DUR|389VULN|4ERES|5CDMG|68LIT|7RCR|8BPWR|aTLV
37	12363 24523	5	 * 	260.01	DCR|3VULN|2DMG|2ASPD|1DUR	1LEGI|278VULN|3FEWX|48DMG|5MBVNT|68ASPD|8BPWR|9RCR|aDUR
38	51252 63313	9	   	259.58	DCR|5VULN|1TLV|1DUR	1LHND|2389aVULN|4RMIN|5TLV|6RCR|7DUR
39	15126 23161	7	   	259.32	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LEGI|2DUR|3CDMG|4DMG|59aVULN|6LIT|7RCR|8TLV
40	21442 32162	7	   	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	1LWND|29aVULN|3BEXP|4LHND|59DMG|6DUR|79CDMG|8RCR|9BPWR
41	12123 54853	7	   	258.76	DCR|3VULN|2DMG|2CDMG|1DUR	1LEGI|289VULN|38CDMG|48DMG|5MBVNT|6RPLT|7RCR|8BPWR|aDUR
42	12211 22541	9	 * 	258.76	DCR|3VULN|2DMG|3LIT|1TLV	1LEGI|239VULN|4TLV|5RPLT|679LIT|89DMG|9BPWR|aRCR
43	12211 22545	10	   	258.76	DCR|3VULN|2DMG|3LIT|1TLV	1LEGI|239VULN|4TLV|5RPLT|679LIT|89DMG|9BPWR|aRCR
44	12162 23321	10	 * 	258.71	DCR|4VULN|2CDMG|1TLV|2LIT	1LEGI|289aVULN|38CDMG|4TLV|5BEXP|68LIT|7RCR|8BPWR
45	12162 23322	9	   	258.71	DCR|4VULN|2CDMG|1TLV|2LIT	1LEGI|289aVULN|38CDMG|4TLV|5BEXP|68LIT|7RCR|8BPWR
46	12243 12433	5	 * 	258.44	DCR|4VULN|2DUR|2CDMG	1LEGI|239aVULN|4aDUR|5BEXP|6LHND|7RCR|8aCDMG|aBPWR
47	12243 36433	7	   	258.44	DCR|4VULN|2DUR|2CDMG	1LEGI|239aVULN|4aDUR|5BEXP|6FEWX|7RCR|8aCDMG|aBPWR
48	12245 12433	5	   	258.44	DCR|4VULN|2DUR|2CDMG	1LEGI|239aVULN|4aDUR|5FEWX|6LHND|7RCR|8aCDMG|aBPWR
49	13142 43531	6	 * 	258.44	DCR|4VULN|2DUR|2TLV	1LEGI|2aTLV|3RPLT|467aVULN|5BELT|8RCR|9aDUR|aBPWR
50	13142 53531	6	 * 	258.44	DCR|4VULN|2DUR|3TLV	1LEGI|26aTLV|3RPLT|467aVULN|5BELT|6aBPWR|8RCR|9aDUR
51	15215 12433	4	   	258.44	DCR|4VULN|2DUR|2CDMG	1LEGI|2aDUR|359aVULN|4FEWX|6LHND|7RCR|8aCDMG|aBPWR
52	15235 12433	3	   	258.44	DCR|4VULN|2DUR|2CDMG	1LEGI|2aDUR|359aVULN|4BEXP|6LHND|7RCR|8aCDMG|aBPWR
53	12111 31233	8	   	258.34	DCR|4VULN|2DUR|2CDMG	1LEGI|289aVULN|3aCDMG|4DUST|5LHND|6aDUR|7RCR|aBPWR
54	12111 31243	9	   	258.34	DCR|4VULN|2DUR|2CDMG	1LEGI|289aVULN|3aCDMG|4DUST|5LHND|6aDUR|7RCR|aBPWR
55	12111 31333	7	   	258.34	DCR|4VULN|2DUR|2CDMG	1LEGI|289aVULN|3aCDMG|4DUST|5LHND|6aDUR|7RCR|aBPWR
56	12243 52433	5	   	258.34	DCR|4VULN|2DUR|2CDMG	1LEGI|239aVULN|4aDUR|5BEXP|6DUST|7RCR|8aCDMG|aBPWR
57	12244 12433	4	   	258.34	DCR|4VULN|2DUR|2CDMG	1LEGI|239aVULN|4aDUR|5DUST|6LHND|7RCR|8aCDMG|aBPWR
58	21221 58325	3	 * 	258.34	DCR|4VULN|2DUR|1DMG	1LWND|2379VULN|46DUR|5MBVNT|8DMG|aRCR
59	21242 63333	5	   	258.28	DCR|5VULN|1DUR|2LIT	19LWND|2369aVULN|4DUR|5ERES|79LIT|8RCR|9BPWR
60	21255 63333	3	   	258.28	DCR|5VULN|1DUR|2LIT	19LWND|2369aVULN|4ERES|5DUR|79LIT|8RCR|9BPWR
61	12316 32462	9	   	258.27	DCR|3VULN|3DMG|2CDMG	1LEGI|29aVULN|34FEWX|589DMG|6RCR|79CDMG|9BPWR
62	12316 32463	10	   	258.27	DCR|3VULN|3DMG|2CDMG	1LEGI|29aVULN|34FEWX|589DMG|6RCR|79CDMG|9BPWR
63	12336 32462	9	   	258.27	DCR|3VULN|3DMG|2CDMG	1LEGI|29aVULN|3FEWX|4RCVC|589DMG|6RCR|79CDMG|9BPWR
64	12336 32463	10	   	258.27	DCR|3VULN|3DMG|2CDMG	1LEGI|29aVULN|3FEWX|4RCVC|589DMG|6RCR|79CDMG|9BPWR
65	12112 81368	8	   	258.07	DCR|3VULN|3DMG|2CDMG	1LEGI|289VULN|39CDMG|478DUST|5MBVNT|689DMG|89BPWR|aRCR
66	21261 33246	9	   	258.01	DCR|4VULN|1TLV|1DUR|1AART	1LWND|237aVULN|4LIT|5AART|6RCR|8DUR|9TLV
67	21243 53313	9	   	257.91	DCR|5VULN|2DUR	1LWND|2369aVULN|47DUR|5BEXP|8RCR
68	51243 53313	9	   	257.91	DCR|5VULN|2DUR	1LHND|2369aVULN|47DUR|5BEXP|8RCR
69	12243 53313	9	   	257.81	DCR|5VULN|2DUR	1LEGI|2369aVULN|47DUR|5BEXP|8RCR
70	21256 33352	8	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|2367VULN|4RMIN|5CDMG|8RCR|9DMG|aTLV
71	15233 23323	10	   	257.46	DCR|3VULN|3DUR|2LIT|1CDMG	1LEGI|28aDUR|389VULN|4ERES|5CDMG|68LIT|7RCR|8BPWR
72	12363 24526	5	   	257.41	DCR|3VULN|2DMG|2ASPD|1CDMG	1LEGI|278VULN|3FEWX|48DMG|5MBVNT|68ASPD|8BPWR|9RCR|aCDMG
73	12256 33352	8	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1LEGI|2367VULN|4RMIN|5CDMG|8RCR|9DMG|aTLV
74	21256 33324	8	   	256.98	DCR|5VULN|1TLV|1CDMG	1LWND|2367aVULN|4RMIN|5CDMG|8RCR|9TLV
75	12256 33324	8	   	256.88	DCR|5VULN|1TLV|1CDMG	1LEGI|2367aVULN|4RMIN|5CDMG|8RCR|9TLV
76	12256 33363	10	   	256.88	DCR|5VULN|1TLV|1CDMG	1LEGI|2367aVULN|4RMIN|5CDMG|8RCR|9TLV
77	23126 63252	7	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	167LWND|29DUR|3CDMG|49DMG|59VULN|8RCR|9BPWR|aTLV
78	23131 13652	4	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	145LWND|29DUR|3CDMG|6RCR|79VULN|89DMG|9BPWR|aTLV
79	23161 13652	3	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	145LWND|29DUR|3CDMG|6RCR|79VULN|89DMG|9BPWR|aTLV
80	12162 23324	9	   	256.13	DCR|3VULN|1DMG|2CDMG|1TLV|2LIT	1LEGI|289VULN|38CDMG|4TLV|5BEXP|68LIT|7RCR|8BPWR|aDMG
81	12162 23361	8	   	256.13	DCR|3VULN|1DMG|2CDMG|1TLV|2LIT	1LEGI|28aVULN|38CDMG|4TLV|5BEXP|68LIT|7RCR|8BPWR|9DMG
82	12162 23661	7	   	256.13	DCR|3VULN|1DMG|2CDMG|1TLV|2LIT	1LEGI|28aVULN|38CDMG|4TLV|5BEXP|68LIT|7RCR|8BPWR|9DMG
83	23131 13654	4	 * 	255.98	DCR|2VULN|3DMG|2DUR|1CDMG	145LWND|29DUR|3CDMG|6RCR|79VULN|89aDMG|9BPWR
84	23261 51252	7	   	255.91	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	19LWND|267DUR|39VULN|49DMG|5SELL|8RCR|9BPWR|aTLV
85	12126 61325	10	 * 	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	1LEGI|258VULN|38CDMG|4DMG|6DUST|78DUR|8BPWR|9LWND|aRCR
86	13268 17311	9	 * 	255.76	DCR|3VULN|2DUR|2TLV|1DMG	1LEGI|27TLV|3DMSP|4MBVNT|579VULN|67DUR|7BPWR|8DMG|aRCR
87	13343 61432	6	   	255.66	DCR|3VULN|2DUR|2TLV|1DMG	1LEGI|2aTLV|3aERES|49DUR|5DMG|6RCR|78aVULN|aBPWR
88	51261 33333	9	   	255.41	DCR|4VULN|1DUR|1CDMG|1AART	1LHND|237aVULN|4LIT|5AART|6RCR|8CDMG|9DUR
89	15253 23311	9	   	255.34	DCR|3VULN|2DUR|2LIT|1CDMG|1ASPD	1LEGI|28DUR|38aVULN|4MLV|5CDMG|68LIT|7RCR|8BPWR|9ASPD
90	15233 23311	9	   	255.24	DCR|3VULN|2DUR|2LIT|1CDMG|1ASPD	1LEGI|28DUR|38aVULN|4ERES|5CDMG|68LIT|7RCR|8BPWR|9ASPD
91	51123 52511	4	   	255.02	DCR|3VULN|3LIT|1DMG|1DUR|1CDMG	178LHND|278VULN|3CDMG|4DMG|5MBVNT|678LIT|78BPWR|9DUR|aRCR
92	51123 52511	3	   	255.02	DCR|3VULN|3LIT|1DMG|1DUR|1CDMG	178LHND|278VULN|3CDMG|4DMG|5MBVNT|678LIT|78BPWR|9DUR|aRCR
93	51123 52511	5	   	255.02	DCR|3VULN|3LIT|1DMG|1DUR|1CDMG	178LHND|278VULN|3CDMG|4DMG|5MBVNT|678LIT|78BPWR|9DUR|aRCR
94	21242 63332	5	   	254.99	DCR|4VULN|1DUR|1TLV|2LIT	19LWND|2369VULN|4DUR|5ERES|79LIT|8RCR|9BPWR|aTLV
95	21255 63332	3	   	254.99	DCR|4VULN|1DUR|1TLV|2LIT	19LWND|2369VULN|4ERES|5DUR|79LIT|8RCR|9BPWR|aTLV
96	32262 32372	6	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1aERES|26aVULN|3DMSP|4MBVNT|5TLV|7DUR|8aDMG|9RCR|aBPWR
97	32262 82372	5	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1aERES|26aVULN|3DMSP|4MBVNT|5TLV|7DUR|8aDMG|9RCR|aBPWR
98	33612 31362	9	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	12aERES|3DUR|46aVULN|5TLV|7FEWX|8RCR|9aDMG|aBPWR
99	32362 32372	6	   	254.85	DCR|3VULN|2DMG|1TLV|1DUR	13aERES|26aVULN|4MBVNT|5TLV|7DUR|8aDMG|9RCR|aBPWR
100	32362 82372	5	   	254.85	DCR|3VULN|2DMG|1TLV|1DUR	13aERES|26aVULN|4MBVNT|5TLV|7DUR|8aDMG|9RCR|aBPWR
101	33612 32362	9	   	254.85	DCR|3VULN|2DMG|1DUR|1TLV	12aERES|3DUR|46aVULN|5TLV|7DUST|8RCR|9aDMG|aBPWR
102	51252 63313	10	   	254.62	DCR|4VULN|2DUR|1TLV	1LHND|2389VULN|4RMIN|5TLV|6RCR|7aDUR
103	15126 23361	7	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1LEGI|2DUR|3CDMG|4DMG|59aVULN|6LIT|7RCR|8ASPD
104	21256 33326	8	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1LWND|2367VULN|4RMIN|5CDMG|8RCR|9TLV|aDUR
105	21261 33225	8	   	253.68	DCR|3VULN|3DUR|2LIT|1AART	19LWND|237VULN|49LIT|5AART|6RCR|89aDUR|9BPWR
106	51261 33225	8	   	253.68	DCR|3VULN|3DUR|2LIT|1AART	19LHND|237VULN|49LIT|5AART|6RCR|89aDUR|9BPWR
107	12256 33326	8	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1LEGI|2367VULN|4RMIN|5CDMG|8RCR|9TLV|aDUR
108	12561 33225	8	   	253.58	DCR|3VULN|3DUR|2LIT|1AART	1LEGI|279VULN|3RCVC|49LIT|5AART|6RCR|89aDUR|9BPWR
109	23126 51251	7	   	253.55	DCR|2VULN|3DUR|2DMG|1CDMG	19LWND|267DUR|3CDMG|49DMG|59VULN|8RCR|9BPWR|aBEXP
110	12123 35872	10	   	253.55	DCR|2VULN|3DMG|3CDMG|1DUR	1LEGI|29VULN|389CDMG|469DMG|5MBVNT|7RCR|9BPWR|aDUR
111	12123 35874	9	   	253.55	DCR|2VULN|3DMG|3CDMG|1TLV	1LEGI|29VULN|389CDMG|469DMG|5MBVNT|7RCR|9BPWR|aTLV
112	12123 38356	10	   	253.55	DCR|2VULN|3DMG|3CDMG|1DUR	1LEGI|28VULN|378CDMG|468DMG|5MBVNT|8BPWR|9DUR|aRCR
113	12142 47433	8	   	253.52	DCR|3VULN|2DMG|2CDMG|1ASPD	1LEGI|29aVULN|3aCDMG|4ASPD|5FEWX|6MBVNT|7RCR|8aDMG|aBPWR
114	12143 67433	8	   	253.52	DCR|3VULN|2DMG|2CDMG|1ASPD	1LEGI|29aVULN|3aCDMG|4ASPD|5MBVNT|6FEWX|7RCR|8aDMG|aBPWR
115	32423 31332	6	   	253.48	DCR|3VULN|2DMG|2DUR	1ERES|27aVULN|3CGEN|4BEXP|5aDMG|6RCR|8LWND|9aDUR|aBPWR
116	32423 31432	6	   	253.48	DCR|3VULN|2DMG|2DUR	1ERES|27aVULN|3CGEN|4BEXP|5aDMG|6RCR|8FEWX|9aDUR|aBPWR
117	21222 66432	9	   	253.48	DCR|3VULN|2DMG|2DUR	1LWND|23aVULN|4BEXP|5ERES|6RCR|7aDUR|8CGEN|9aDMG|aBPWR
118	21222 66432	10	   	253.48	DCR|3VULN|2DMG|2DUR	1LWND|23aVULN|4BEXP|5ERES|6RCR|7aDUR|8CGEN|9aDMG|aBPWR
119	23126 51253	7	   	253.45	DCR|2VULN|3DUR|2DMG|1CDMG	19LWND|267DUR|3CDMG|49DMG|59VULN|8RCR|9BPWR|aERES
120	22325 21316	7	   	253.41	DCR|4VULN|2CDMG|1DUR|1AART	1LWND|2AART|35CDMG|469aVULN|7DUR|8RCR
121	22325 25123	10	   	253.41	DCR|4VULN|2CDMG|1TLV|1AART	1LWND|2AART|35CDMG|4679VULN|8TLV|aRCR
122	52325 21316	7	   	253.41	DCR|4VULN|2CDMG|1DUR|1AART	1LHND|2AART|35CDMG|469aVULN|7DUR|8RCR
123	23126 51234	7	   	253.35	DCR|2VULN|3DUR|2DMG|1CDMG	1LWND|267DUR|3CDMG|4aDMG|59VULN|8RCR
124	21242 13333	6	   	253.33	DCR|4VULN|2DUR|2LIT	19LWND|239aVULN|46DUR|5ERES|79LIT|8RCR|9BPWR
125	32365 33311	4	   	253.28	DCR|3VULN|2DMG|2DUR	135ERES|259VULN|4MBVNT|59BPWR|6RCR|79DUR|89DMG|aZMB
126	32365 33314	4	   	253.28	DCR|3VULN|2DMG|2DUR	135ERES|259VULN|4MBVNT|59BPWR|6RCR|79DUR|89DMG|aLHND
127	32366 18311	6	   	253.28	DCR|3VULN|2DMG|2DUR	135ERES|259VULN|4MBVNT|59BPWR|69DUR|7RCR|89DMG|aZMB
128	32366 18314	6	   	253.28	DCR|3VULN|2DMG|2DUR	135ERES|259VULN|4MBVNT|59BPWR|69DUR|7RCR|89DMG|aLHND
129	32366 33311	5	   	253.28	DCR|3VULN|2DMG|2DUR	135ERES|259VULN|4MBVNT|59BPWR|6RCR|79DUR|89DMG|aZMB
130	32366 33314	5	   	253.28	DCR|3VULN|2DMG|2DUR	135ERES|259VULN|4MBVNT|59BPWR|6RCR|79DUR|89DMG|aLHND
131	12211 54333	2	   	253.23	DCR|4VULN|2DUR|2LIT	1LEGI|269aVULN|3ERES|4RCVC|59LIT|79DUR|8RCR|9BPWR
132	12251 54331	3	   	253.23	DCR|4VULN|2DUR|2LIT	1LEGI|2369VULN|4ERES|59LIT|79DUR|8RCR|9BPWR|aFEWX
133	32365 33312	4	   	253.18	DCR|3VULN|2DMG|2DUR	135ERES|259VULN|4MBVNT|59BPWR|6RCR|79DUR|89DMG|aBBNT
134	32366 18312	6	   	253.18	DCR|3VULN|2DMG|2DUR	135ERES|259VULN|4MBVNT|59BPWR|69DUR|7RCR|89DMG|aBBNT
135	32366 33312	5	   	253.18	DCR|3VULN|2DMG|2DUR	135ERES|259VULN|4MBVNT|59BPWR|6RCR|79DUR|89DMG|aBBNT
136	12251 34333	3	   	253.13	DCR|4VULN|2DUR|2LIT	1LEGI|239aVULN|46ERES|59LIT|79DUR|8RCR|9BPWR
137	32365 33313	4	   	253.04	DCR|3VULN|2DMG|2DUR|1SELL	135ERES|259VULN|4MBVNT|59BPWR|6RCR|79DUR|89DMG|aSELL
138	32366 18313	6	   	253.04	DCR|3VULN|2DMG|2DUR|1SELL	135ERES|259VULN|4MBVNT|59BPWR|69DUR|7RCR|89DMG|aSELL
139	32366 33313	5	   	253.04	DCR|3VULN|2DMG|2DUR|1SELL	135ERES|259VULN|4MBVNT|59BPWR|6RCR|79DUR|89DMG|aSELL
140	21261 33335	10	   	252.83	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1LWND|237VULN|4LIT|5AART|6RCR|8CDMG|9DMG|aDUR
141	32316 26111	6	   	252.79	DCR|5VULN|1TLV|1AART	137ERES|24578VULN|6AART|7BPWR|9RCR|aTLV
142	32316 26116	6	   	252.79	DCR|5VULN|1DUR|1AART	137ERES|24578VULN|6AART|7BPWR|9RCR|aDUR
143	12261 33335	10	   	252.73	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1LEGI|237VULN|4LIT|5AART|6RCR|8CDMG|9DMG|aDUR
144	12134 41162	6	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	1LEGI|29aVULN|3CDMG|49LWND|5DUR|6BEXP|79DMG|8RCR|9BPWR
145	21242 63334	5	   	252.40	DCR|4VULN|1DUR|2LIT|1CDMG	19LWND|2369VULN|4DUR|5ERES|79LIT|8RCR|9BPWR|aCDMG
146	12323 23321	10	   	252.40	DCR|4VULN|1TLV|2LIT|1CDMG	1LEGI|289aVULN|38FEWX|4TLV|5CDMG|68LIT|7RCR|8BPWR
147	12323 23322	9	   	252.40	DCR|4VULN|1TLV|2LIT|1CDMG	1LEGI|289aVULN|38FEWX|4TLV|5CDMG|68LIT|7RCR|8BPWR
148	22166 26123	6	   	252.37	DCR|3VULN|3DUR|1CDMG|1AART	1LWND|2AART|356DUR|459VULN|5BPWR|7CDMG|8RPLT|aRCR
149	23126 47412	9	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1LWND|2DUR|3CDMG|48DMG|59aVULN|6MBVNT|7RCR
150	23263 27412	9	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1LWND|2DUR|39aVULN|48DMG|5MBVNT|6CDMG|7RCR
151	12162 23342	8	   	252.32	DCR|3VULN|2CDMG|1TLV|1DUR|2LIT	1LEGI|28aVULN|38CDMG|4TLV|5BEXP|68LIT|7RCR|8BPWR|9DUR
152	12162 23642	7	   	252.32	DCR|3VULN|2CDMG|1TLV|1DUR|2LIT	1LEGI|28aVULN|38CDMG|4TLV|5BEXP|68LIT|7RCR|8BPWR|9DUR
153	21214 62361	4	   	252.28	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	1LWND|235VULN|45TLV|5BPWR|6ASPD|7DUR|8DMG|9ZMB|aRCR
154	21215 12361	6	   	252.28	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	1LWND|235VULN|45TLV|5BPWR|6ASPD|7DUR|8DMG|9ZMB|aRCR
155	21215 15161	8	   	252.28	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	1LWND|235VULN|45TLV|5BPWR|6ASPD|7MLV|8DMG|9DUR|aRCR
156	21215 62361	5	   	252.28	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	1LWND|235VULN|45TLV|5BPWR|6ASPD|7DUR|8DMG|9ZMB|aRCR
157	13141 34236	6	 * 	252.27	DCR|3VULN|2DMG|2TLV|1AART	1LEGI|29TLV|3RPLT|49aVULN|59DMG|6AART|7RMIN|8RCR|9BPWR
158	12123 35332	7	   	252.25	DCR|3VULN|2DMG|1TLV|1CDMG	1LEGI|28aVULN|3CDMG|46DMG|5MBVNT|7RCR|9TLV
159	12123 35412	9	   	252.25	DCR|3VULN|2DMG|1DUR|1CDMG	1LEGI|29aVULN|3CDMG|46DMG|5MBVNT|7RCR|8DUR
160	15263 27412	9	   	252.25	DCR|3VULN|2DMG|1DUR|1CDMG	1LEGI|2DUR|39aVULN|48DMG|5MBVNT|6CDMG|7RCR
161	12214 62361	4	   	252.18	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	1LEGI|235VULN|45TLV|5BPWR|6ASPD|7DUR|8DMG|9ZMB|aRCR
162	12215 12361	6	   	252.18	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	1LEGI|235VULN|45TLV|5BPWR|6ASPD|7DUR|8DMG|9ZMB|aRCR
163	12215 15161	8	   	252.18	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	1LEGI|235VULN|45TLV|5BPWR|6ASPD|7MLV|8DMG|9DUR|aRCR
164	12215 62361	5	   	252.18	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	1LEGI|235VULN|45TLV|5BPWR|6ASPD|7DUR|8DMG|9ZMB|aRCR
165	12316 34433	7	   	252.17	DCR|3VULN|2DMG|2ASPD	1LEGI|28aVULN|34FEWX|58DMG|6RCR|78ASPD|8BPWR|9LIT
166	12336 34433	7	   	252.17	DCR|3VULN|2DMG|2ASPD	1LEGI|28aVULN|3FEWX|4RCVC|58DMG|6RCR|78ASPD|8BPWR|9LIT
