0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22242 31233	8	 * 	289.49	DCR|5VULN|2DMG|1TLV	18FEWX|2789aVULN|3TLV|4LIT|58DMG|6RCR|8BPWR
14	22242 31263	9	   	273.66	DCR|4VULN|2DMG|2TLV	18FEWX|278aVULN|39TLV|4LIT|58DMG|6RCR|8BPWR
15	62242 31263	9	   	273.66	DCR|4VULN|2DMG|2TLV	18LWND|278aVULN|39TLV|4LIT|58DMG|6RCR|8BPWR
16	22242 31333	7	   	271.70	DCR|5VULN|1DMG|1TLV	1FEWX|2789aVULN|3TLV|4LIT|5DMG|6RCR
17	24422 31333	7	   	271.70	DCR|5VULN|1DMG|1TLV	1FEWX|2LIT|3789aVULN|4TLV|5DMG|6RCR
18	22242 31222	10	   	269.95	DCR|4VULN|2DMG|1TLV	18FEWX|278aVULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9CGEN
19	22242 31234	8	   	269.95	DCR|4VULN|2DMG|1TLV	18FEWX|2789VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|aRMIN
20	62242 31223	8	   	269.95	DCR|4VULN|2DMG|1TLV	18LWND|278aVULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9RCVC
21	22442 31235	8	   	269.95	DCR|4VULN|2DMG|1TLV	18FEWX|2789VULN|3CGEN|4LIT|58DMG|6RCR|8BPWR|aTLV
22	22442 31262	10	   	269.95	DCR|4VULN|2DMG|1TLV	18FEWX|278aVULN|3CGEN|4LIT|58DMG|6RCR|8BPWR|9TLV
23	22242 31231	8	   	269.85	DCR|4VULN|2DMG|1TLV	18FEWX|2789VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|aBBNT
24	22242 31212	10	 * 	269.51	DCR|3VULN|3DMG|1TLV|2LIT	18FEWX|278VULN|3TLV|49LIT|58aDMG|6RCR|8BPWR
25	62242 31212	10	   	269.51	DCR|3VULN|3DMG|1TLV|2LIT	18LWND|278VULN|3TLV|49LIT|58aDMG|6RCR|8BPWR
26	22361 11643	4	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1FEWX|25aVULN|3DUR|4CDMG|6RCR|7aDUST|8TLV|9aDMG|aBPWR
27	22242 31262	10	 * 	266.67	DCR|3VULN|3DMG|2TLV	18FEWX|278VULN|39TLV|4LIT|58aDMG|6RCR|8BPWR
28	62242 31262	10	   	266.67	DCR|3VULN|3DMG|2TLV	18LWND|278VULN|39TLV|4LIT|58aDMG|6RCR|8BPWR
29	22364 11521	4	 * 	266.03	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG|1ASPD	17FEWX|267VULN|3DUR|4CDMG|567TLV|67BPWR|8RCR|9ASPD|aDMG
30	22242 33232	10	   	264.86	DCR|3VULN|2DMG|1TLV|2LIT|1ASPD	18FEWX|28aVULN|3TLV|47LIT|58DMG|6RCR|8BPWR|9ASPD
31	24422 31232	10	   	264.86	DCR|3VULN|2DMG|1TLV|2LIT|1ASPD	18FEWX|28LIT|37aVULN|4TLV|58DMG|6RCR|8BPWR|9ASPD
32	62242 31232	10	   	264.86	DCR|3VULN|2DMG|1TLV|2LIT|1ASPD	18LWND|278VULN|3TLV|4aLIT|58DMG|6RCR|8BPWR|9ASPD
33	22242 31221	9	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9CGEN|aDUR
34	22242 31222	8	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9DUR|aRPLT
35	22242 31223	8	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9DUR|aLHND
36	22242 31241	8	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9CGEN|aDUR
37	22242 31261	8	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9RMIN|aDUR
38	62242 31221	9	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	18LWND|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9CGEN|aDUR
39	62242 31235	8	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	18LWND|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9FEWX|aDUR
40	62242 31241	8	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	18LWND|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9CGEN|aDUR
41	62242 31261	8	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	18LWND|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9RMIN|aDUR
42	62242 31532	8	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|27aVULN|3TLV|4LIT|5aDMG|6RCR|8DUR|9aCGEN|aBPWR
43	22442 31224	8	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|278VULN|3CGEN|4LIT|58DMG|6RCR|8BPWR|9DUR|aTLV
44	22442 31251	8	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|278VULN|3CGEN|4LIT|58DMG|6RCR|8BPWR|9TLV|aDUR
45	22442 31261	9	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|278VULN|3CGEN|4LIT|58DMG|6RCR|8BPWR|9TLV|aDUR
46	22242 31224	8	   	263.46	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9DUR|aTBNT
47	22242 31226	8	   	263.46	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9DUR|aBBNT
48	62242 31532	9	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|27aVULN|3TLV|4LIT|5aDMG|6RCR|8DUR|9aERES|aBPWR
49	22242 31252	10	   	262.96	DCR|3VULN|3DMG|1TLV	18FEWX|278VULN|3TLV|4LIT|58aDMG|6RCR|8BPWR|9RPLT
50	62242 31252	10	   	262.96	DCR|3VULN|3DMG|1TLV	18LWND|278VULN|3TLV|4LIT|58aDMG|6RCR|8BPWR|9RPLT
51	22242 31234	10	   	262.02	DCR|3VULN|2DMG|2TLV|1ASPD	18FEWX|278VULN|3aTLV|4LIT|58DMG|6RCR|8BPWR|9ASPD
52	62242 31233	10	   	262.02	DCR|3VULN|2DMG|2TLV|1ASPD	18LWND|278VULN|3aTLV|4LIT|58DMG|6RCR|8BPWR|9ASPD
53	32122 52354	10	   	261.30	DCR|4VULN|2DMG|1DUR|1SELL	1aLHND|236aVULN|4ERES|5SELL|7DUR|8RCR|9aDMG|aBPWR
54	22242 31251	10	   	260.96	DCR|3VULN|2DMG|1TLV|1CDMG	18FEWX|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9RPLT|aCDMG
55	62242 31251	10	   	260.96	DCR|3VULN|2DMG|1TLV|1CDMG	18LWND|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9RPLT|aCDMG
56	22242 31325	7	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	1FEWX|278VULN|3TLV|4LIT|5DMG|6RCR|9aDUR
57	24422 31325	7	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	1FEWX|2LIT|378VULN|4TLV|5DMG|6RCR|9aDUR
58	32161 33433	2	   	260.25	DCR|4VULN|2DMG|2LIT	18LHND|249aVULN|3RMIN|58LIT|68DMG|7RCR|8BPWR
59	32165 33433	3	   	260.25	DCR|4VULN|2DMG|2LIT	18LHND|239aVULN|48LIT|5RMIN|68DMG|7RCR|8BPWR
60	62131 33433	3	   	260.25	DCR|4VULN|2DMG|2LIT	18LWND|239aVULN|4RMIN|58LIT|68DMG|7RCR|8BPWR
61	62161 33433	2	   	260.25	DCR|4VULN|2DMG|2LIT	18LWND|249aVULN|3RMIN|58LIT|68DMG|7RCR|8BPWR
