0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64343 11222	10	 * 	279.00	DCR|4VULN|2DMG|1TLV|2CDMG	1RMIN|2479VULN|37CDMG|57DMG|6RCVC|7BPWR|8RCR|aTLV
15	12251 12163	9	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	12DUR|3RPLT|4567VULN|8TLV|9RCR|aCDMG
16	12231 42365	6	 * 	265.55	DCR|4VULN|3DUR|1TLV	127DUR|3RPLT|467BEXP|567aVULN|67BPWR|8TLV|9RCR
17	12251 13661	10	   	265.25	DCR|4VULN|3DUR|1TLV	12aDUR|3RPLT|4569VULN|7TLV|8RCR
18	12251 13662	9	   	265.25	DCR|4VULN|3DUR|1TLV	12aDUR|3RPLT|4569VULN|7TLV|8RCR
19	12251 12161	10	   	265.25	DCR|4VULN|3DUR|1TLV	12aDUR|3RPLT|4567VULN|8TLV|9RCR
20	12251 12162	9	   	265.25	DCR|4VULN|3DUR|1TLV	12aDUR|3RPLT|4567VULN|8TLV|9RCR
21	22762 48321	7	 * 	264.84	DCR|4VULN|3DMG|1DUR	1679CGEN|2MBVNT|3DUR|479DMG|5679VULN|679BPWR|8BBNT|aRCR
22	12251 13614	10	 * 	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	12DUR|3RPLT|456VULN|7TLV|8RCR|9CDMG|aDMG
23	43221 25253	5	   	263.75	DCR|3VULN|3DMG|3LIT|1DUR	17aLIT|27aDMG|3BEXP|4RMIN|5DUR|67aVULN|7aBPWR|8RCR|9RCVC
24	12264 62222	8	   	262.96	DCR|2VULN|3DMG|3DUR|2ASPD	126DUR|3RPLT|46aDMG|5LEGI|6aBPWR|7aASPD|8RCR|9aVULN
25	41133 21441	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|25DMG|3ZMB|46aVULN|7DUR|8TLV|9RCR
26	41133 34241	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|25DMG|3ZMB|48aVULN|6DUR|7TLV|9RCR
27	43133 21441	2	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|25DMG|3ZMB|46aVULN|7DUR|8TLV|9RCR
28	43133 34241	2	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|25DMG|3ZMB|48aVULN|6DUR|7TLV|9RCR
29	12621 24513	7	   	261.56	DCR|2VULN|3DMG|3DUR|2LIT	129DUR|39aDMG|46LIT|5ERES|7RCR|89VULN|9BPWR
30	43412 24223	5	   	261.42	DCR|3VULN|3DUR|1DMG|2LIT	1aLIT|2DMG|39aDUR|4LWND|5ASPD|67aVULN|8RCR|aBPWR
31	12251 11536	8	   	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	12DUR|3RPLT|456VULN|7DMG|8TLV|9RCR|aAART
32	12251 12162	10	   	260.33	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|4567VULN|8TLV|9RCR|aLIT
33	12251 12165	9	   	260.33	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|4567VULN|8TLV|9RCR|aLIT
34	12251 13662	10	   	260.33	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|4569VULN|7TLV|8RCR|aLIT
35	12442 38418	1	 * 	260.20	DCR|4VULN|2TLV|2DUR	19DUR|2479VULN|3MBVNT|5BELT|6RPLT|89TLV|9BPWR|aRCR
36	12251 11535	8	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|456VULN|7DMG|8TLV|9RCR|aASPD
37	14416 12223	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|2LIT|3FEWX|4DMG|56aVULN|7TLV|8RCR
38	43336 12223	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|2DMG|3FEWX|49DUR|56aVULN|7TLV|8RCR
39	12251 13612	9	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	12aDUR|3RPLT|456VULN|7TLV|8RCR|9CDMG
40	14217 12251	6	 * 	257.85	DCR|5VULN|1DMG|1DUR	1DUR|2LIT|3MBVNT|4DMG|5678aVULN|9RCR
41	12444 11724	1	 * 	257.49	DCR|5VULN|3DUR	18aDUR|24568VULN|3MBVNT|78BEXP|8BPWR|9RCR
42	12444 12724	1	   	257.49	DCR|5VULN|3DUR	18aDUR|24568VULN|3MBVNT|78FEWX|8BPWR|9RCR
43	43221 24223	5	   	257.48	DCR|3VULN|2DMG|2DUR|2LIT	1aLIT|2aDMG|3BEXP|4RMIN|59DUR|67aVULN|8RCR|aBPWR
44	43321 25223	5	   	257.48	DCR|3VULN|2DMG|2DUR|2LIT	17LIT|27DMG|3FEWX|4RMIN|59DUR|67aVULN|7BPWR|8RCR
45	14213 13226	10	   	257.38	DCR|3VULN|2DMG|2DUR|2LIT	1aDUR|2aLIT|3MBVNT|48DMG|5LHND|69aVULN|7RCR|aBPWR
46	43422 24223	5	   	257.38	DCR|3VULN|2DMG|2DUR|2LIT	1aLIT|2aDMG|39DUR|4RMIN|5DUST|67aVULN|8RCR|aBPWR
47	12263 13463	9	 * 	257.36	DCR|2VULN|3DUR|2DMG|1TLV	129DUR|3RPLT|49DMG|5FEWX|6CGEN|7RCR|89VULN|9BPWR|aTLV
48	12444 16724	1	   	257.29	DCR|5VULN|3DUR	18aDUR|24568VULN|3MBVNT|78DUST|8BPWR|9RCR
49	12513 16226	1	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	189DUR|23VULN|49CGEN|5TBNT|69DMG|7RCR|9BPWR|aTLV
50	12531 16226	1	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	189DUR|23VULN|4BBNT|59CGEN|69DMG|7RCR|9BPWR|aTLV
51	12661 12623	6	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	128DUR|38DMG|4LWND|5LEGI|6DUST|78VULN|8BPWR|9TLV|aRCR
52	23512 62162	3	 * 	255.78	DCR|5VULN|1TLV|1DUR	1CGEN|2BELT|3DUR|4568aVULN|7TLV|9RCR
53	12612 62162	1	   	255.78	DCR|5VULN|1TLV|1DUR	1DUR|2568aVULN|3ZMB|4BELT|7TLV|9RCR
54	12513 14513	1	   	255.75	DCR|3VULN|3DUR|2DMG	178DUR|239VULN|48CGEN|5TBNT|68DMG|8BPWR|aRCR
55	12531 14513	1	   	255.75	DCR|3VULN|3DUR|2DMG	178DUR|239VULN|4BBNT|58CGEN|68DMG|8BPWR|aRCR
56	12444 46641	1	   	255.55	DCR|3VULN|3DUR|2DMG	17aDUR|245VULN|3MBVNT|68DMG|9RCR
57	12616 25322	3	 * 	254.93	DCR|2VULN|3DUR|2DMG|3ASPD	128DUR|3aDMG|48LHND|58aASPD|6RCR|7RPLT|8aBPWR|9aVULN
58	41133 61215	1	 * 	254.39	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD	1LIT|259DMG|3ZMB|4VULN|69ASPD|7TLV|89DUR|9BPWR|aRCR
59	43133 61215	2	   	254.39	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD	1LIT|259DMG|3ZMB|4VULN|69ASPD|7TLV|89DUR|9BPWR|aRCR
60	12444 48446	1	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1DUR|245VULN|3MBVNT|6DMG|7AART|8RCR|9ASPD|aTLV
61	12251 13616	10	   	254.28	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	12DUR|3RPLT|456VULN|7TLV|8RCR|9CDMG|aAART
62	12231 42364	6	   	254.16	DCR|3VULN|3DUR|1TLV|1AART	127DUR|3RPLT|467BEXP|567VULN|67BPWR|8TLV|9RCR|aAART
63	14217 12254	6	 * 	254.09	DCR|4VULN|2DUR|1DMG	1aDUR|2LIT|3MBVNT|4DMG|5678VULN|9RCR
64	14213 32251	4	   	254.09	DCR|4VULN|2DUR|1DMG	16DUR|2LIT|3MBVNT|4DMG|578aVULN|9RCR
65	14217 32251	5	   	254.09	DCR|4VULN|2DUR|1DMG	16DUR|2LIT|3MBVNT|4DMG|578aVULN|9RCR
66	12448 23223	1	   	253.90	DCR|4VULN|3DUR|2LIT	19aDUR|246aVULN|3MBVNT|5aLIT|7LEGI|8RCR|aBPWR
67	14285 23223	3	   	253.90	DCR|4VULN|3DUR|2LIT	19aDUR|2aLIT|3MBVNT|456aVULN|7LEGI|8RCR|aBPWR
68	32243 12611	1	 * 	253.54	DCR|3VULN|3DMG|1TLV	138BEXP|289VULN|4DUST|5TLV|678DMG|8BPWR|aRCR
69	43232 25223	5	   	253.40	DCR|3VULN|2DUR|3LIT|1DMG	17aLIT|2DMG|37aBEXP|49DUR|5ASPD|67aVULN|7aBPWR|8RCR
70	14212 72724	9	   	252.97	DCR|3VULN|1TLV|1DMG|1DUR	1DUR|2LIT|3MBVNT|4DMG|5ASPD|6TLV|79aVULN|8RCR
71	12251 13611	9	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	12DUR|3RPLT|456VULN|7TLV|8RCR|9CDMG|aLIT
72	12251 13663	8	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	12DUR|3RPLT|456VULN|7TLV|8RCR|9LIT|aCDMG
73	12251 32256	6	   	252.90	DCR|4VULN|3DUR|1CDMG	127DUR|3RPLT|457aVULN|67LHND|7BPWR|8RCR|9CDMG
74	12253 42362	6	   	252.81	DCR|3VULN|3DUR|1TLV	127DUR|3RPLT|467VULN|567FEWX|67BPWR|8TLV|9RCR|aLIT
75	12231 42362	6	   	252.81	DCR|3VULN|3DUR|1TLV	127DUR|3RPLT|467BEXP|567VULN|67BPWR|8TLV|9RCR|aLIT
76	12441 83417	1	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	19DUR|249VULN|3MBVNT|5LHND|6CDMG|7BELT|89TLV|9BPWR|aRCR
77	64343 11221	10	   	252.80	DCR|4VULN|2DMG|2CDMG	1RMIN|2479VULN|37CDMG|57DMG|6RCVC|7BPWR|8RCR|aMLV
78	64343 11221	9	   	252.80	DCR|4VULN|2DMG|2CDMG	1RMIN|2479VULN|37CDMG|57DMG|6RCVC|7BPWR|8RCR|aFEWX
79	64343 11223	9	   	252.80	DCR|4VULN|2DMG|2CDMG	1RMIN|2479VULN|37CDMG|57DMG|6RCVC|7BPWR|8RCR|aMLV
80	64343 11311	7	   	252.80	DCR|4VULN|2DMG|2CDMG	18RMIN|2479VULN|37CDMG|57DMG|6RCVC|7BPWR|aRCR
81	26221 16423	8	   	252.71	DCR|3VULN|3DUR|1TLV	19CGEN|2TLV|3RPLT|469DUR|589VULN|7RCR|9BPWR|aLIT
82	26221 16623	7	   	252.71	DCR|3VULN|3DUR|1TLV	19CGEN|2TLV|3RPLT|469DUR|589VULN|7RCR|9BPWR|aLIT
83	26223 16423	8	   	252.71	DCR|3VULN|3DUR|1TLV	19CGEN|2TLV|3RPLT|459DUR|689VULN|7RCR|9BPWR|aLIT
84	26223 16623	7	   	252.71	DCR|3VULN|3DUR|1TLV	19CGEN|2TLV|3RPLT|459DUR|689VULN|7RCR|9BPWR|aLIT
85	64343 11222	9	   	252.70	DCR|4VULN|2DMG|2CDMG	1RMIN|2479VULN|37CDMG|57DMG|6RCVC|7BPWR|8RCR|aDUST
86	64343 11223	10	   	252.70	DCR|4VULN|2DMG|2CDMG	1RMIN|2479VULN|37CDMG|57DMG|6RCVC|7BPWR|8RCR|aDUST
87	12251 22256	6	   	252.70	DCR|4VULN|3DUR|1CDMG	127DUR|3RPLT|457aVULN|6LEGI|7BPWR|8RCR|9CDMG
88	12253 42324	6	   	252.58	DCR|3VULN|3DUR|2TLV	127DUR|3RPLT|467VULN|567FEWX|67BPWR|89TLV|aRCR
89	12231 42324	6	   	252.58	DCR|3VULN|3DUR|2TLV	127DUR|3RPLT|467BEXP|567VULN|67BPWR|89TLV|aRCR
90	12444 11722	1	   	252.57	DCR|5VULN|2DUR	18DUR|24568VULN|3MBVNT|78BEXP|8BPWR|9RCR|aLIT
91	12444 12722	1	   	252.57	DCR|5VULN|2DUR	18DUR|24568VULN|3MBVNT|78FEWX|8BPWR|9RCR|aLIT
92	12241 42362	6	   	252.51	DCR|3VULN|3DUR|1TLV	127DUR|3RPLT|467DUST|567VULN|67BPWR|8TLV|9RCR|aLIT
93	12444 16722	1	   	252.37	DCR|5VULN|2DUR	18DUR|24568VULN|3MBVNT|78DUST|8BPWR|9RCR|aLIT
94	14214 26371	4	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	17DUR|2LIT|3MBVNT|47DMG|5RMIN|67VULN|7BPWR|8CGEN|9TLV|aRCR
95	12241 42324	6	   	252.28	DCR|3VULN|3DUR|2TLV	127DUR|3RPLT|467DUST|567VULN|67BPWR|89TLV|aRCR
96	12251 13631	9	   	252.02	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|456aVULN|7TLV|8RCR|9FEWX
97	12251 13641	8	   	252.02	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|456aVULN|7TLV|8RCR|9LWND
98	12251 13661	9	   	252.02	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|4569VULN|7TLV|8RCR|aZMB
99	12251 13663	10	   	252.02	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|4569VULN|7TLV|8RCR|aMLV
100	16251 12161	10	   	252.02	DCR|4VULN|2DUR|1TLV	1aDUR|2DMSP|3RPLT|4567VULN|8TLV|9RCR
101	16251 12162	9	   	252.02	DCR|4VULN|2DUR|1TLV	1aDUR|2DMSP|3RPLT|4567VULN|8TLV|9RCR
102	12251 12161	9	   	252.02	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|4567VULN|8TLV|9RCR|aZMB
103	12251 12163	10	   	252.02	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|4567VULN|8TLV|9RCR|aMLV
104	12251 12165	10	   	252.02	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|4567VULN|8TLV|9RCR|aBEXP
105	12611 62162	1	   	252.02	DCR|4VULN|2DUR|1TLV	15DUR|268aVULN|3ZMB|4BELT|7TLV|9RCR
106	23511 62162	3	   	252.02	DCR|4VULN|2DUR|1TLV	1CGEN|2BELT|35DUR|468aVULN|7TLV|9RCR
107	23532 62162	4	   	252.02	DCR|4VULN|2DUR|1TLV	1CGEN|2BELT|34DUR|568aVULN|7TLV|9RCR
108	12442 22616	1	 * 	252.01	DCR|2VULN|2DMG|2TLV|2DUR	1aDUR|24VULN|3MBVNT|5BELT|6BBNT|7aDMG|8aTLV|9RCR|aBPWR
109	12251 13621	8	   	251.92	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|456aVULN|7TLV|8RCR|9DUST
110	12251 12164	9	   	251.92	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|4567VULN|8TLV|9RCR|aERES
111	12251 12166	9	   	251.92	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|4567VULN|8TLV|9RCR|aBBNT
112	12251 12166	10	   	251.92	DCR|4VULN|2DUR|1TLV	12DUR|3RPLT|4567VULN|8TLV|9RCR|aMBVNT
113	22348 35483	6	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	18CGEN|2MBVNT|3CDMG|489VULN|58DMG|6RCR|7TBNT|8BPWR|aTLV
114	41132 21441	1	   	251.31	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	15LIT|2DMG|3ZMB|46aVULN|7DUR|8TLV|9RCR
115	41132 34241	1	   	251.31	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	15LIT|2DMG|3ZMB|48aVULN|6DUR|7TLV|9RCR
116	43132 21441	2	   	251.31	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	15LIT|2DMG|3ZMB|46aVULN|7DUR|8TLV|9RCR
117	43132 34241	2	   	251.31	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	15LIT|2DMG|3ZMB|48aVULN|6DUR|7TLV|9RCR
118	14217 12534	10	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1DUR|2LIT|3MBVNT|49DMG|56VULN|7TLV|8CDMG|aRCR
119	14217 73134	10	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1DUR|2LIT|3MBVNT|49DMG|57VULN|6CDMG|8TLV|aRCR
120	44246 13134	10	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LIT|2CDMG|3MBVNT|49DMG|57VULN|6DUR|8TLV|aRCR
121	16251 12163	9	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|2DMSP|3RPLT|4567VULN|8TLV|9RCR|aCDMG
122	16251 13613	9	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|2DMSP|3RPLT|456aVULN|7TLV|8RCR|9CDMG
123	12251 11513	9	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|456VULN|7DMG|8TLV|9ZMB|aRCR
124	12251 11532	8	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|456VULN|7DMG|8TLV|9RCR|aZMB
125	12251 11533	8	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|456VULN|7DMG|8TLV|9RCR|aMLV
126	12251 13635	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|456VULN|7TLV|8RCR|9FEWX|aDMG
127	12251 13643	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|456VULN|7TLV|8RCR|9ZMB|aDMG
128	12251 13652	8	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|456VULN|7TLV|8RCR|9DMG|aZMB
129	12251 13653	8	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|456VULN|7TLV|8RCR|9DMG|aMLV
130	12214 62162	3	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|4MBVNT|5DMG|679VULN|8TLV|aRCR
131	12251 11531	8	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|456VULN|7DMG|8TLV|9RCR|aERES
132	12251 11534	8	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|456VULN|7DMG|8TLV|9RCR|aDUST
133	12251 13462	8	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|456VULN|7TLV|8MBVNT|9DMG|aRCR
134	12251 13651	8	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|456VULN|7TLV|8RCR|9DMG|aERES
135	12514 62162	2	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|3RPLT|4MBVNT|5DMG|679VULN|8TLV|aRCR
136	12242 51233	1	   	250.83	DCR|3VULN|2DMG|2DUR	1aDUR|27aVULN|3BEXP|4TBNT|5BELT|6RCR|8LIT|9aDMG|aBPWR
137	14444 33824	1	   	250.73	DCR|3VULN|2DMG|2DUR	19DUR|2LWND|3MBVNT|459VULN|6TBNT|7RCR|89DMG|9BPWR|aASPD
138	22348 14181	7	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CGEN|2MBVNT|3CDMG|46aVULN|5DMG|7RCR|8DUR|9TLV
139	12434 14748	1	   	249.63	DCR|2VULN|3DMG|2DUR|2ASPD	18DUR|25VULN|3MBVNT|48ASPD|678DMG|8BPWR|9CGEN|aRCR
140	12444 48447	1	   	249.17	DCR|4VULN|1DMG|1DUR|1AART	1DUR|245aVULN|3MBVNT|6DMG|7AART|8RCR|9ASPD
141	62251 11163	7	   	249.09	DCR|4VULN|2DMG|1DUR	1RMIN|2RPLT|38ZMB|4568VULN|78DMG|8BPWR|9DUR|aRCR
