0	Index      	 *	Score 	Summary	Detail	
1	26531 23334	 * 	271.69	DCR|DCR|3VULN	1MDPS|256VULN|34AME|7AELOIC|8aRCR|9LIT
17	52133 45131	   	251.14	ACR|DCR|2VULN|1ASPD|1RPLT	1ASPD|2DUR|3RPLT|4aRCR|5BBNT|6ERES|79VULN|8LEGI
18	46245 43122	   	251.09	ACR|DCR|3VULN	18RCR|2LEGI|3MBVNT|4DUST|57aVULN|6MDPS|9DUR
19	31221 26334	   	248.63	DCR|DCR|2VULN	12DMSP|37VULN|4RMIN|5BEXP|6LHND|8aRCR|9LIT
20	31222 26334	   	248.63	DCR|DCR|2VULN	12DMSP|37VULN|4RMIN|5FEWX|6LHND|8aRCR|9LIT
21	24331 56132	 * 	248.62	DCR|DCR|1VULN|1DMG	1MDPS|2AAC|3LEGI|4DUR|5DMG|6FEWX|78RCR|9DUST|aVULN
22	31221 46334	   	248.53	DCR|DCR|2VULN	12DMSP|37VULN|4RMIN|5BEXP|6DUST|8aRCR|9LIT
23	31226 26334	   	248.53	DCR|DCR|2VULN	12DMSP|37VULN|4RMIN|5DUST|6LHND|8aRCR|9LIT
24	31334 26334	   	248.53	DCR|DCR|2VULN	12DMSP|3LEGI|47VULN|5RMIN|6LHND|8aRCR|9LIT
25	31336 14334	   	248.43	DCR|DCR|2VULN	12DMSP|3LEGI|45VULN|6CGEN|7DUST|8aRCR|9LIT
26	24211 36132	   	248.18	DCR|DCR|2VULN|1ZMB	1MDPS|2AAC|3aVULN|4ZMB|5FEWX|6DUST|78RCR|9LHND
27	24211 36143	   	248.18	DCR|DCR|2VULN|1ZMB	1MDPS|2AAC|3aVULN|4ZMB|5FEWX|6DUST|78RCR|9CGEN
28	24211 66132	   	248.18	DCR|DCR|2VULN|1ZMB	1MDPS|2AAC|3aVULN|4ZMB|5FEWX|6LHND|78RCR|9LEGI
29	46273 13124	 * 	247.79	ACR|DCR|2VULN|1DMG	18RCR|2LEGI|3MBVNT|4MDPS|57VULN|6FEWX|9DUR|aDMG
30	46245 43124	   	247.69	ACR|DCR|2VULN|1DMG	18RCR|2LEGI|3MBVNT|4DUST|57VULN|6MDPS|9DUR|aDMG
31	54633 12133	   	247.65	DCR|DCR|1VULN|1ASPD|1CDMG	1ASPD|2BELT|3CDMG|4SNIFST|5VULN|69RCR|7ERES|8CGEN|aRCVC
32	54633 12131	   	247.55	DCR|DCR|1VULN|1ASPD|1CDMG|1ZMB	1ASPD|2BELT|3CDMG|4SNIFST|5VULN|69RCR|7ERES|8CGEN|aZMB
33	54633 12132	   	247.55	DCR|DCR|1VULN|1ASPD|1CDMG|1MSE	1ASPD|2BELT|3CDMG|4SNIFST|5VULN|69RCR|7ERES|8CGEN|aMSE
34	44231 34233	   	247.32	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG	18RCR|2CDMG|3FLTARM|4LIT|5DMG|6CGEN|7DUR|9VULN|aASPD
35	24211 46133	   	246.04	DCR|DCR|1VULN|1MLV|1ZMB	1MDPS|2AAC|3VULN|4ZMB|5FEWX|6DUR|78RCR|9LHND|aMLV
36	24211 46111	   	245.80	DCR|DCR|1VULN|1MLV|2ZMB	1MDPS|2AAC|3VULN|49ZMB|5FEWX|6DUR|78RCR|aMLV
37	26442 13121	 * 	245.48	ACR|DCR|2VULN|2ASPD|1ZMB	1MDPS|2aVULN|3BELT|47RCR|5ZMB|69ASPD|8LIT
38	46273 13123	   	245.26	ACR|DCR|2VULN|1MLV	18RCR|2LEGI|3MBVNT|4MDPS|57VULN|6FEWX|9DUR|aMLV
39	46245 43123	   	245.16	ACR|DCR|2VULN|1MLV	18RCR|2LEGI|3MBVNT|4DUST|57VULN|6MDPS|9DUR|aMLV
40	62112 31245	   	243.63	DCR|DCR|1DMG|2DUR|1CDMG|1RPLT	1ERES|25DUR|3RPLT|45LSRHEA|5BPWR|6CDMG|7RMIN|89RCR|aDMG
41	46273 13144	   	243.09	ACR|DCR|3VULN	18RCR|2LEGI|3MBVNT|4MDPS|57aVULN|6aFEWX|9aCGEN|aBPWR
42	51133 25231	   	242.93	ACR|DCR|2VULN|1ASPD|1RPLT	1ASPD|2LWND|3RPLT|4aRCR|5BBNT|6ERES|79VULN|8BEXP
43	46273 13132	   	242.79	ACR|DCR|3VULN	18RCR|2LEGI|3MBVNT|4MDPS|57aVULN|6FEWX|9DUST
44	42115 11714	   	242.73	ACR|DCR|2VULN|1ASPD|1AART	1aRCR|2NUKE|3LHND|48VULN|5ASPD|6MBVNT|7ERES|9AART
45	54132 33112	   	242.41	DCR|DCR|1VULN|1ASPD	1ASPD|2BELT|39BEXP|4TLV|5DUR|6VULN|7MSLFST|8aRCR
46	54143 33112	   	242.41	DCR|DCR|1VULN|1ASPD	1ASPD|2BELT|39BEXP|4DUR|5TLV|6VULN|7MSLFST|8aRCR
47	52133 26151	   	242.37	ACR|DCR|1VULN|2ASPD|2DUR|1RPLT	16ASPD|26DUR|3RPLT|4aRCR|5BBNT|6BPWR|7VULN|8LWND|9CGEN
48	52133 26161	   	242.27	ACR|DCR|1VULN|2ASPD|2DUR|1RPLT	16ASPD|26DUR|3RPLT|4aRCR|5BBNT|6BPWR|7VULN|8LWND|9ERES
49	31256 43113	 * 	242.19	DCR|2VULN|2MLV|1DMG|2DUR|1ASPD	12DMSP|3aVULN|4aMLV|5DMG|6ASPD|7RCR|8aDUR|9AAC|aBPWR
