0	Index      	 *	Score 	Summary	Detail	
1	42233 34312	 * 	284.54	DCR|DCR|2VULN|1MLV|1CDMG|1RPLT	1AME|2MDPS|3CDMG|4LHND|5RPLT|69VULN|7aRCR|8MLV
20	56162 22311	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1DMG|2RMIN|3MLV|4DUR|5VULN|69RCR|7BEXP|8BLASTR|aBBNT
21	56162 22312	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1DMG|2RMIN|3MLV|4DUR|5VULN|69RCR|7BEXP|8BLASTR|aLIT
22	56162 22313	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1DMG|2RMIN|3MLV|4DUR|5VULN|69RCR|7BEXP|8BLASTR|aFEWX
23	45232 62311	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3MULHEA|4DMG|5DUR|6LHND|7VULN|89RCR|aBBNT
24	45232 62312	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3MULHEA|4DMG|5DUR|6LHND|7VULN|89RCR|aLIT
25	45232 62313	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3MULHEA|4DMG|5DUR|6LHND|7VULN|89RCR|aFEWX
26	45513 22311	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3DUR|4VULN|5DMG|69RCR|7BEXP|8MULARM|aBBNT
27	45513 22312	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3DUR|4VULN|5DMG|69RCR|7BEXP|8MULARM|aLIT
28	45513 22313	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3DUR|4VULN|5DMG|69RCR|7BEXP|8MULARM|aFEWX
29	55151 22112	   	262.30	DCR|2VULN|2DMG|2MLV|2ASPD|1AART	17DMG|23MLV|4RCVC|57ASPD|67VULN|7BPWR|8RCR|9RMIN|aAART
30	55151 22132	   	260.85	DCR|2VULN|2DMG|2MLV|2ASPD	17DMG|23MLV|4RCVC|57ASPD|67VULN|7BPWR|8RCR|9MDPS|aDUR
31	53333 72342	 * 	257.52	DCR|DCR|1VULN|3DUR|1DMG	1DMG|2FEWX|389DUR|4MBVNT|5RMIN|6aRCR|7VULN
32	12111 43563	   	257.35	DCR|DCR|2VULN|1ASPD	1BBNT|2ERES|3ASPD|4aVULN|5TLV|6RMIN|79RCR|8SPLJET
33	23632 21346	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1SNITOX|2LWND|3FEWX|4ASPD|5DUR|6aRCR|7VULN|8MLV|9BELT
34	55321 41133	 * 	256.36	DCR|2VULN|3DMG|3MLV	13aDMG|234MLV|3aBPWR|56aCGEN|7RCR|8aVULN|9RMIN
35	55123 11133	   	256.06	DCR|2VULN|3DMG|3MLV	15aDMG|234MLV|6aAME|7RCR|8aVULN|9RMIN|aBPWR
36	13211 43361	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1BBNT|2MLV|3DMG|4VULN|5TLV|6aRMIN|79RCR|8FRZFST
37	13211 43362	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1BBNT|2MLV|3DMG|4VULN|5TLV|6RMIN|79RCR|8FRZFST|aLIT
38	13211 43366	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1BBNT|2MLV|3DMG|4VULN|5aTLV|6RMIN|79RCR|8FRZFST
39	13211 43561	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1BBNT|2MLV|3DMG|4VULN|5TLV|6aRMIN|79RCR|8SPLJET
40	13211 43562	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1BBNT|2MLV|3DMG|4VULN|5TLV|6RMIN|79RCR|8SPLJET|aLIT
41	11444 14162	   	255.14	DCR|DCR|2DMG|1VULN	1BBNT|2BEXP|3MBVNT|47DMG|5CGEN|6MDPS|8VULN|9aRCR
42	45221 43311	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3MULHEA|4VULN|5LWND|6DMG|7LHND|89RCR|aBBNT
43	45221 43312	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3MULHEA|4VULN|5LWND|6DMG|7LHND|89RCR|aLIT
44	45221 43313	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3MULHEA|4VULN|5LWND|6DMG|7LHND|89RCR|aFEWX
45	45231 62311	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3MULHEA|4DMG|5LWND|6LHND|7VULN|89RCR|aBBNT
46	45231 62312	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3MULHEA|4DMG|5LWND|6LHND|7VULN|89RCR|aLIT
47	45231 62313	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3MULHEA|4DMG|5LWND|6LHND|7VULN|89RCR|aFEWX
48	13211 43363	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1BBNT|2MLV|3DMG|4VULN|5TLV|6RMIN|79RCR|8FRZFST|aERES
49	13211 43365	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1BBNT|2MLV|3DMG|4VULN|5TLV|6RMIN|79RCR|8FRZFST|aMDPS
50	13211 43563	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1BBNT|2MLV|3DMG|4VULN|5TLV|6RMIN|79RCR|8SPLJET|aERES
51	11448 14162	   	255.04	DCR|DCR|2DMG|1VULN	1BBNT|2BEXP|3MBVNT|47DMG|5MDPS|6ERES|8VULN|9aRCR
52	11448 24162	   	255.04	DCR|DCR|2DMG|1VULN	1BBNT|2BEXP|3MBVNT|47DMG|5MDPS|6AME|8VULN|9aRCR
53	11448 42162	   	255.04	DCR|DCR|2DMG|1VULN	1BBNT|2BEXP|3MBVNT|46DMG|5MDPS|7AME|8VULN|9aRCR
