0	Index      	 *	Score 	Summary	Detail	
1	31121 24431	 * 	266.49	ACR|DCR|2VULN|1DMG|1MLV|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5RPLT|6DMG|79VULN|aMLV
18	31121 24432	 * 	248.96	ACR|DCR|2VULN|1DMG|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5RPLT|6DMG|79VULN|aLHND
19	31121 24433	 * 	248.96	ACR|DCR|2VULN|1DMG|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5RPLT|6DMG|79VULN|aLWND
20	31121 24434	 * 	248.96	ACR|DCR|2VULN|1DMG|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5RPLT|6DMG|79VULN|aFEWX
21	31121 24436	 * 	248.96	ACR|DCR|2VULN|1DMG|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5RPLT|6DMG|79VULN|aAAC
22	52236 23374	 * 	248.82	DCR|DCR|1VULN|1DMG	1DMG|2LIT|3TBNT|4LHND|5DUR|69RCR|7MBVNT|8FEWX|aVULN
23	52236 23474	   	248.82	DCR|DCR|1VULN|1DMG	1DMG|2LIT|3TBNT|4LHND|5DUR|69RCR|7MBVNT|8BEXP|aVULN
24	26411 24234	   	248.71	DCR|DCR|1VULN|2DUR|1CDMG|1ZMB	1BEXP|2CDMG|3ZMB|46DUR|5MBVNT|7LWND|8aRCR|9VULN
25	26411 27234	   	248.71	DCR|DCR|1VULN|2DUR|1CDMG|1ZMB	1BEXP|2CDMG|3ZMB|46DUR|5MBVNT|7FEWX|8aRCR|9VULN
26	46411 24234	   	248.61	DCR|DCR|1VULN|2DUR|1CDMG|1ZMB	1DUST|2CDMG|3ZMB|46DUR|5MBVNT|7LWND|8aRCR|9VULN
27	26411 14234	   	248.47	DCR|DCR|1VULN|2CDMG|1ZMB	1BEXP|26CDMG|3ZMB|4DUR|5MBVNT|7LWND|8aRCR|9VULN
28	26411 17234	   	248.47	DCR|DCR|1VULN|2CDMG|1ZMB	1BEXP|26CDMG|3ZMB|4DUR|5MBVNT|7FEWX|8aRCR|9VULN
29	26421 11234	   	248.47	DCR|DCR|1VULN|2CDMG|1ZMB	1BEXP|26CDMG|3ZMB|4FEWX|5MBVNT|7DUR|8aRCR|9VULN
30	26421 24234	   	248.47	DCR|DCR|1VULN|2CDMG|1ZMB	1BEXP|27CDMG|3ZMB|4FEWX|5MBVNT|6DUR|8aRCR|9VULN
31	26451 24244	   	248.37	DCR|DCR|1VULN|2CDMG|1ZMB	1BEXP|27CDMG|3ZMB|4VULN|5MBVNT|6DUR|8aRCR|9DUST
32	26461 11234	   	248.37	DCR|DCR|1VULN|2CDMG|1ZMB	1BEXP|26CDMG|3ZMB|4DUST|5MBVNT|7DUR|8aRCR|9VULN
33	26461 24234	   	248.37	DCR|DCR|1VULN|2CDMG|1ZMB	1BEXP|27CDMG|3ZMB|4DUST|5MBVNT|6DUR|8aRCR|9VULN
34	46411 14234	   	248.37	DCR|DCR|1VULN|2CDMG|1ZMB	1DUST|26CDMG|3ZMB|4DUR|5MBVNT|7LWND|8aRCR|9VULN
35	46421 11234	   	248.37	DCR|DCR|1VULN|2CDMG|1ZMB	1DUST|26CDMG|3ZMB|4FEWX|5MBVNT|7DUR|8aRCR|9VULN
36	46421 24234	   	248.37	DCR|DCR|1VULN|2CDMG|1ZMB	1DUST|27CDMG|3ZMB|4FEWX|5MBVNT|6DUR|8aRCR|9VULN
37	22251 12616	   	247.98	DCR|DCR|1VULN|1AART|1RPLT	1BEXP|2BLAICY|3BBNT|4DUR|5VULN|6aRCR|7RPLT|8AART|9AME
38	26661 32234	   	247.65	DCR|DCR|1VULN|1ASPD|1CDMG	1BEXP|2CDMG|3CGEN|4DUST|5MBVNT|6ASPD|7TLV|8aRCR|9VULN
39	26663 22234	   	247.65	DCR|DCR|1VULN|1ASPD|1CDMG	1BEXP|2CDMG|3CGEN|4DUST|5ASPD|6MBVNT|7TLV|8aRCR|9VULN
40	46621 32234	   	247.65	DCR|DCR|1VULN|1ASPD|1CDMG	1DUST|2CDMG|3CGEN|4BEXP|5MBVNT|6ASPD|7TLV|8aRCR|9VULN
41	46623 22234	   	247.65	DCR|DCR|1VULN|1ASPD|1CDMG	1DUST|2CDMG|3CGEN|4BEXP|5ASPD|6MBVNT|7TLV|8aRCR|9VULN
42	26161 33234	   	247.55	DCR|DCR|1VULN|1ASPD|1CDMG	1BEXP|2CDMG|3AME|4DUST|5MBVNT|6ASPD|7CGEN|8aRCR|9VULN
43	26163 23234	   	247.55	DCR|DCR|1VULN|1ASPD|1CDMG	1BEXP|2CDMG|3AME|4DUST|5ASPD|6MBVNT|7CGEN|8aRCR|9VULN
44	46121 33234	   	247.55	DCR|DCR|1VULN|1ASPD|1CDMG	1DUST|2CDMG|3AME|4BEXP|5MBVNT|6ASPD|7CGEN|8aRCR|9VULN
45	46123 23234	   	247.55	DCR|DCR|1VULN|1ASPD|1CDMG	1DUST|2CDMG|3AME|4BEXP|5ASPD|6MBVNT|7CGEN|8aRCR|9VULN
46	63411 52233	   	246.72	ACR|DCR|2VULN|1MLV|1AART	12ERES|3BELT|4BBNT|56RCR|79VULN|8MLV|aAART
47	31121 44431	   	246.43	ACR|DCR|2VULN|1MLV|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5RPLT|69VULN|7AAC|aMLV
48	31121 64431	   	246.43	ACR|DCR|2VULN|1MLV|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5RPLT|6AAC|79VULN|aMLV
49	31122 24431	   	246.43	ACR|DCR|2VULN|1MLV|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5AAC|6RPLT|79VULN|aMLV
50	32121 12465	   	246.14	DCR|DCR|1VULN|1MLV|1ZMB	1ZMB|2LHND|3DUR|4MLV|5VULN|67LIT|8LWND|9aRCR
51	32121 13465	   	246.14	DCR|DCR|1VULN|1MLV|1ZMB	1ZMB|2LHND|3DUR|4MLV|5VULN|6LIT|7RCVC|8LWND|9aRCR
52	33121 12465	   	246.14	DCR|DCR|1VULN|1MLV|1ZMB	1ZMB|2BEXP|3DUR|4MLV|5VULN|67LIT|8LWND|9aRCR
53	32121 11465	   	246.04	DCR|DCR|1VULN|1MLV|1ZMB	1ZMB|2LHND|3DUR|4MLV|5VULN|6LIT|7AELOIC|8LWND|9aRCR
54	33121 11465	   	246.04	DCR|DCR|1VULN|1MLV|1ZMB	1ZMB|2BEXP|3DUR|4MLV|5VULN|6LIT|7AELOIC|8LWND|9aRCR
55	12411 24413	 * 	245.94	ACR|2VULN|3DMG|3ASPD|1CDMG|1RPLT	189ASPD|289LIT|3CDMG|47VULN|5RCR|689DMG|89BPWR|aRPLT
56	31311 42463	 * 	244.56	DCR|2VULN|3DMG|1MLV|3ZMB	123ZMB|47ERES|57VULN|679DMG|7BPWR|8RCR|aMLV
57	24612 24144	 * 	242.85	ACR|DCR|2DMG|1VULN|1CDMG	15BEXP|2RMIN|3aRCR|4MBVNT|5BPWR|6VULN|79DMG|8CDMG
58	24615 24144	   	242.85	ACR|DCR|2DMG|1VULN|1CDMG	1BEXP|2RMIN|3aRCR|4MBVNT|5RCVC|6VULN|79DMG|8CDMG
59	24618 14144	   	242.85	ACR|DCR|2DMG|1VULN|1CDMG	1BEXP|26RMIN|3aRCR|4MBVNT|5VULN|79DMG|8CDMG
60	31123 24432	   	242.54	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5ASPD|6RPLT|79VULN|aLHND
61	31123 24433	   	242.54	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5ASPD|6RPLT|79VULN|aLWND
62	31123 24434	   	242.54	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5ASPD|6RPLT|79VULN|aFEWX
63	31123 24436	   	242.54	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5ASPD|6RPLT|79VULN|aAAC
64	31132 24432	   	242.54	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	12ZMB|3LIT|4ASPD|58RCR|6RPLT|79VULN|aLHND
65	31132 24433	   	242.54	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	12ZMB|3LIT|4ASPD|58RCR|6RPLT|79VULN|aLWND
66	31132 24434	   	242.54	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	12ZMB|3LIT|4ASPD|58RCR|6RPLT|79VULN|aFEWX
67	31132 24436	   	242.54	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	12ZMB|3LIT|4ASPD|58RCR|6RPLT|79VULN|aAAC
68	26411 44234	   	242.16	DCR|DCR|1VULN|1CDMG|1ZMB	1BEXP|2CDMG|3ZMB|4DUR|5MBVNT|6DMSP|7LWND|8aRCR|9VULN
69	26411 47234	   	242.16	DCR|DCR|1VULN|1CDMG|1ZMB	1BEXP|2CDMG|3ZMB|4DUR|5MBVNT|6DMSP|7FEWX|8aRCR|9VULN
70	26421 23234	   	242.16	DCR|DCR|1VULN|1CDMG|1ZMB	1BEXP|2CDMG|3ZMB|47FEWX|5MBVNT|6DUR|8aRCR|9VULN
71	26421 81234	   	242.16	DCR|DCR|1VULN|1CDMG|1ZMB	16BEXP|2CDMG|3ZMB|4FEWX|5MBVNT|7DUR|8aRCR|9VULN
72	26611 82234	   	242.16	DCR|DCR|1VULN|1CDMG|1ZMB	1BEXP|2CDMG|3CGEN|4DUR|5MBVNT|6ZMB|7TLV|8aRCR|9VULN
73	26111 83234	   	242.06	DCR|DCR|1VULN|1CDMG|1ZMB	1BEXP|2CDMG|3AME|4DUR|5MBVNT|6ZMB|7CGEN|8aRCR|9VULN
74	46411 44234	   	242.06	DCR|DCR|1VULN|1CDMG|1ZMB	1DUST|2CDMG|3ZMB|4DUR|5MBVNT|6DMSP|7LWND|8aRCR|9VULN
75	46421 23234	   	242.06	DCR|DCR|1VULN|1CDMG|1ZMB	1DUST|2CDMG|3ZMB|47FEWX|5MBVNT|6DUR|8aRCR|9VULN
76	46111 83234	   	241.96	DCR|DCR|1VULN|1CDMG|1ZMB	1DUST|2CDMG|3AME|4DUR|5MBVNT|6ZMB|7CGEN|8aRCR|9VULN
77	66111 36122	   	241.45	DCR|3VULN|2DMG|2CDMG	1ERES|29DMG|3BEXP|4FEWX|59aVULN|6LHND|7RCR|89CDMG|9BPWR
78	22631 34113	 * 	240.86	DCR|3VULN|3DUR|1ASPD|1CDMG|1RPLT	19aBEXP|2BLAICY|39aVULN|4ASPD|5CDMG|6RPLT|79aDUR|8RCR|9aBPWR
79	42631 34113	   	240.56	DCR|3VULN|3DUR|1ASPD|1CDMG|1RPLT	19aDUST|2BLAICY|39aVULN|4ASPD|5CDMG|6RPLT|79aDUR|8RCR|9aBPWR
80	52235 23374	   	240.51	DCR|DCR|1VULN|1DMG	1DMG|2LIT|3TBNT|4LHND|5LWND|69RCR|7MBVNT|8FEWX|aVULN
81	52235 23474	   	240.51	DCR|DCR|1VULN|1DMG	1DMG|2LIT|3TBNT|4LHND|5LWND|69RCR|7MBVNT|8BEXP|aVULN
82	56333 22115	   	240.08	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|2NUKE|38DUR|4MGNSTR|5CDMG|68VULN|7TBNT|8BPWR|9RCR|aASPD
83	26421 44234	   	240.07	DCR|DCR|1VULN|2CDMG|1ZMB	1BEXP|27CDMG|3ZMB|4FEWX|5MBVNT|6DUST|8aRCR|9VULN
84	26451 14244	   	240.07	DCR|DCR|1VULN|2CDMG|1ZMB	1BEXP|26CDMG|3ZMB|4VULN|5MBVNT|7LWND|8aRCR|9DUST
85	51333 22115	   	239.94	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG|1ZMB	18DMG|2ZMB|38DUR|4MGNSTR|5CDMG|68VULN|7TBNT|8BPWR|9RCR|aASPD
86	51363 22115	   	239.94	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG|1ZMB	18DMG|2ZMB|38DUR|4BASHEA|5CDMG|68VULN|7TBNT|8BPWR|9RCR|aASPD
87	13243 41141	 * 	239.12	DCR|3VULN|3ASPD|1MLV	179ASPD|2ERES|379LHND|4CGEN|5MLV|679VULN|79BPWR|8AAC|aRCR
88	12411 42411	   	238.84	ACR|4VULN|3ASPD|3CDMG	189ASPD|2LIT|389CDMG|4689VULN|5RCR|7NUKE|89BPWR|aAAC
89	12411 42412	   	238.84	ACR|4VULN|3ASPD|3CDMG	189ASPD|2LIT|389CDMG|4689VULN|5RCR|7NUKE|89BPWR|aTBNT
90	11311 24563	 * 	238.70	DCR|2VULN|2DMG|2ASPD|2DUR|2ZMB	1aASPD|26ZMB|3aDUR|4FEWX|56VULN|6aBPWR|7AAC|8RCR|9aDMG
91	25351 11622	   	238.27	DCR|DCR|1VULN|1RPLT|1SELL	145BEXP|2SELL|3RPLT|45BPWR|6DUR|78RCR|9LWND|aVULN
92	25351 11633	   	238.17	DCR|DCR|1VULN|1RPLT|1SELL	145BEXP|2SELL|3RPLT|45BPWR|6DUR|78RCR|9SNITOX|aVULN
93	45331 11622	   	237.97	DCR|DCR|1VULN|1RPLT|1SELL	145DUST|2SELL|3RPLT|5BPWR|6DUR|78RCR|9LWND|aVULN
94	45331 11633	   	237.87	DCR|DCR|1VULN|1RPLT|1SELL	145DUST|2SELL|3RPLT|5BPWR|6DUR|78RCR|9SNITOX|aVULN
95	32221 12465	   	237.84	DCR|DCR|1VULN|1MLV|1ZMB	1ZMB|2LHND|3FEWX|4MLV|5VULN|67LIT|8LWND|9aRCR
96	32221 11465	   	237.74	DCR|DCR|1VULN|1MLV|1ZMB	1ZMB|2LHND|3FEWX|4MLV|5VULN|6LIT|7AELOIC|8LWND|9aRCR
97	31122 24435	   	237.20	ACR|DCR|2VULN|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5AAC|6RPLT|79VULN|aDUR
98	52262 13151	 * 	237.10	DCR|3VULN|3DMG|1ZMB	189DMG|289LIT|3TBNT|4SNITOX|5ZMB|689VULN|7RCR|89BPWR|aAAC
99	52262 13153	 * 	237.10	DCR|3VULN|3DMG|1ZMB	189DMG|289LIT|3TBNT|4SNITOX|5ZMB|689VULN|7RCR|89BPWR|aTLV
100	63411 52231	   	237.05	ACR|DCR|2VULN|1MLV	12ERES|3BELT|4BBNT|56RCR|79VULN|8MLV|aFEWX
