0	Index      	 *	Score 	Summary	Detail	
1	11374 83336	 * 	292.05	DCR|3VULN|3DMG|3MLV|1CDMG	1MBVNT|258MLV|368DMG|468VULN|68BPWR|7RCVC|9CDMG|aRCR
17	11474 83336	 * 	276.29	DCR|3VULN|3MLV|3ASPD|1CDMG	1MBVNT|258MLV|368ASPD|468VULN|68BPWR|7RCVC|9CDMG|aRCR
18	13474 48463	   	275.41	DCR|DCR|2VULN|1ASPD|1RPLT	1MBVNT|2BEXP|3DUR|4ASPD|5RPLT|6aVULN|7AAC|89RCR
19	13474 35183	   	275.31	DCR|DCR|2VULN|1ASPD|1RPLT	1MBVNT|2BEXP|3DUR|4ASPD|5RPLT|69RCR|7MDPS|8aVULN
20	11414 62828	   	274.78	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1MBVNT|2MLV|36ASPD|4TBNT|5AME|78RCR|9VULN|aCDMG
21	11434 62828	   	274.78	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1MBVNT|2MLV|36ASPD|4BBNT|5AME|78RCR|9VULN|aCDMG
22	62112 25331	   	273.52	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|2BEXP|3TBNT|48VULN|5VENICY|6aRCR|7LIT|9DMG
23	62112 24336	   	273.42	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|2BEXP|3TBNT|4aVULN|5VENICY|69RCR|7DMG|8MSLREG
24	18126 46232	   	272.40	DCR|3VULN|3MLV|3ASPD|1RPLT	1MBVNT|279ASPD|39CGEN|478MLV|579VULN|6RCR|79BPWR|aRPLT
25	12254 22844	   	272.40	DCR|DCR|2VULN|2DUR|1ASPD	1MBVNT|2LSRICY|3AAC|46DUR|56VULN|6BPWR|7ASPD|8BBNT|9aRCR
26	15354 24844	   	272.06	DCR|DCR|2VULN|2DUR|1ASPD|1ZMB	1MBVNT|26VULN|3TSLFST|4ASPD|56DUR|6BPWR|7ZMB|8BBNT|9aRCR
27	42216 14132	   	271.82	DCR|DCR|2VULN|1DMG|1ZMB	1CANSTR|25VULN|3ZMB|4LWND|6DMG|7aRCR|8MGNSTR|9DUR
28	42236 14132	   	271.82	DCR|DCR|2VULN|1DMG|1ZMB	1CANSTR|25VULN|3ZMB|4LHND|6DMG|7aRCR|8MGNSTR|9DUR
29	11361 26437	 * 	271.00	DCR|DCR|2DMG|2MLV|2DUR|1ZMB	1MBVNT|28MLV|38DMG|4SPLREG|5LHND|68DUR|7aRCR|8BPWR|9ZMB
30	11324 15637	   	270.45	DCR|DCR|2MLV|1VULN|1DMG|1ZMB	1MBVNT|25MLV|3DMG|4FEWX|6MULHEA|7aRCR|8VULN|9ZMB
31	11344 15637	   	270.45	DCR|DCR|2MLV|1VULN|1DMG|1ZMB	1MBVNT|25MLV|3DMG|4LHND|6MULHEA|7aRCR|8VULN|9ZMB
32	11374 15237	   	270.45	DCR|DCR|2MLV|1VULN|1DMG|1ZMB	1MBVNT|25MLV|3DMG|4VULN|6MSLREG|7aRCR|8LHND|9ZMB
33	18521 32364	   	269.86	DCR|DCR|2VULN|2ASPD|1ZMB	1MBVNT|28ASPD|3LHND|48VULN|58FRZICY|6TBNT|7aRCR|8BPWR|9ZMB
34	11452 62833	   	269.53	DCR|DCR|1VULN|2ASPD|1MLV	1MBVNT|2MLV|36ASPD|4CGEN|5BBNT|78RCR|9DUR|aVULN
35	18122 62833	   	269.53	DCR|DCR|1VULN|2ASPD|1MLV	1MBVNT|26ASPD|3CGEN|4MLV|5BBNT|78RCR|9DUR|aVULN
36	11414 62822	   	269.43	DCR|DCR|1VULN|2ASPD|1MLV	1MBVNT|2MLV|36ASPD|4TBNT|5AME|78RCR|9VULN|aDUR
37	11434 62822	   	269.43	DCR|DCR|1VULN|2ASPD|1MLV	1MBVNT|2MLV|36ASPD|4BBNT|5AME|78RCR|9VULN|aDUR
38	11456 42823	   	268.84	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2MLV|3ASPD|4CGEN|5VULN|68RCR|7RCVC|9DMG|aBEXP
39	11476 42823	   	268.84	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2MLV|3ASPD|4VULN|5CGEN|68RCR|7RCVC|9DMG|aBEXP
40	18116 42822	   	268.84	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2ASPD|3CGEN|4TLV|5VULN|68RCR|7RCVC|9DMG|aMLV
41	18126 42823	   	268.84	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2ASPD|3CGEN|4MLV|5VULN|68RCR|7RCVC|9DMG|aBEXP
42	11456 42821	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2MLV|3ASPD|4CGEN|5VULN|68RCR|7RCVC|9DMG|aERES
43	11456 42824	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2MLV|3ASPD|4CGEN|5VULN|68RCR|7RCVC|9DMG|aMGNSTR
44	11456 72444	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2MLV|3ASPD|4CGEN|5VULN|6TBNT|7DMG|8aRCR|9BASICY
45	11476 42821	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2MLV|3ASPD|4VULN|5CGEN|68RCR|7RCVC|9DMG|aERES
46	11476 42824	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2MLV|3ASPD|4VULN|5CGEN|68RCR|7RCVC|9DMG|aMGNSTR
47	11476 72444	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2MLV|3ASPD|4VULN|5CGEN|6TBNT|7DMG|8aRCR|9BASICY
48	18126 42821	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2ASPD|3CGEN|4MLV|5VULN|68RCR|7RCVC|9DMG|aERES
49	18126 42824	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2ASPD|3CGEN|4MLV|5VULN|68RCR|7RCVC|9DMG|aMGNSTR
50	18126 72444	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2ASPD|3CGEN|4MLV|5VULN|6TBNT|7DMG|8aRCR|9BASICY
51	15644 32844	   	268.69	DCR|DCR|2DMG|1VULN|1ASPD	1MBVNT|2VULN|34DMG|5FRZFST|6DUST|7ASPD|8BBNT|9aRCR
52	18374 42444	   	268.64	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2ASPD|3DMG|4VULN|5MLV|6ERES|7BBNT|8aRCR|9BASICY
53	18374 48444	   	268.64	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MBVNT|2ASPD|3DMG|4VULN|5MLV|6ERES|7TBNT|8aRCR|9BASICY
54	13274 48463	   	267.11	DCR|DCR|2VULN|1ASPD|1RPLT	1MBVNT|2BEXP|3FEWX|4ASPD|5RPLT|6aVULN|7AAC|89RCR
55	13274 35183	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1MBVNT|2BEXP|3FEWX|4ASPD|5RPLT|69RCR|7MDPS|8aVULN
56	51223 52463	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1RCVC|2aVULN|3ASPD|4MDPS|5AAC|6MBVNT|7RPLT|89RCR
57	13623 42813	 * 	266.76	ACR|DCR|3VULN|1DMG|1RPLT	1MBVNT|2BEXP|3DMG|47aVULN|58RCR|6FEWX|9RPLT
58	15613 42813	   	266.76	ACR|DCR|3VULN|1DMG|1RPLT	1MBVNT|27aVULN|3DMG|4LWND|58RCR|6FEWX|9RPLT
59	13623 62813	   	266.66	ACR|DCR|3VULN|1DMG|1RPLT	1MBVNT|2BEXP|3DMG|47aVULN|58RCR|6DUST|9RPLT
60	13623 82813	   	266.66	ACR|DCR|3VULN|1DMG|1RPLT	1MBVNT|2BEXP|3DMG|47aVULN|58RCR|6LEGI|9RPLT
61	11446 47822	 * 	266.42	DCR|DCR|3MLV|1DMG|1ASPD	1MBVNT|27aMLV|3ASPD|4LHND|5CGEN|68RCR|9DMG
62	18134 47822	   	266.42	DCR|DCR|3MLV|1DMG|1ASPD	1MBVNT|2ASPD|3CGEN|4LWND|57aMLV|68RCR|9DMG
63	12715 14224	   	266.16	DCR|DCR|1VULN|1DMG|2DUR|1ASPD	1MBVNT|2LSRICY|3TBNT|4ASPD|59DUR|6DMG|7aRCR|8VULN
64	15323 26844	   	266.06	DCR|DCR|1VULN|1DMG|2DUR|1ASPD	1MBVNT|2VULN|3TSLFST|4DMG|5ASPD|67DUR|8BBNT|9aRCR
65	18116 42824	   	264.96	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1MBVNT|2ASPD|3CGEN|4TLV|5VULN|68RCR|7RCVC|9DMG|aCDMG
66	11358 43813	   	264.85	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MBVNT|2MLV|3DMG|4CGEN|5LWND|68RCR|7FEWX|9RPLT|aVULN
67	13144 67247	 * 	264.80	DCR|DCR|3MLV|1VULN	1MBVNT|2BEXP|3DMSP|4LHND|578MLV|6aRCR|9VULN
68	23362 14325	   	264.75	DCR|DCR|1VULN|1DMG|1MLV|1AART	1BEXP|2MLV|3DMG|4VULN|5MDPS|6CGEN|7AME|8aRCR|9AART
69	11414 62832	 * 	264.71	DCR|DCR|2MLV|2ASPD|1DMG	1MBVNT|2aMLV|36ASPD|4TBNT|5AME|78RCR|9DMG
70	11434 62832	   	264.71	DCR|DCR|2MLV|2ASPD|1DMG	1MBVNT|2aMLV|36ASPD|4BBNT|5AME|78RCR|9DMG
71	15312 44746	   	264.70	DCR|DCR|2DMG|1VULN|1AART	1MBVNT|2VULN|3TSLFST|4BBNT|5MDPS|67DMG|8aRCR|9AART
72	15332 44746	   	264.70	DCR|DCR|2DMG|1VULN|1AART	1MBVNT|2VULN|3TSLFST|4TBNT|5MDPS|67DMG|8aRCR|9AART
73	11474 12827	   	264.29	DCR|DCR|2MLV|1VULN|1ASPD	1MBVNT|25MLV|3ASPD|4VULN|6MSLREG|7aRCR|8AAC|9BEXP
74	11424 82637	   	264.14	DCR|DCR|2MLV|1VULN|1ASPD|1ZMB	1MBVNT|25MLV|3ASPD|4FEWX|6FLTARM|7aRCR|8VULN|9ZMB
75	11444 82637	   	264.14	DCR|DCR|2MLV|1VULN|1ASPD|1ZMB	1MBVNT|25MLV|3ASPD|4LHND|6FLTARM|7aRCR|8VULN|9ZMB
76	11424 12637	   	264.04	DCR|DCR|2MLV|1VULN|1ASPD|1ZMB	1MBVNT|25MLV|3ASPD|4FEWX|6MULHEA|7aRCR|8VULN|9ZMB
77	11444 12637	   	264.04	DCR|DCR|2MLV|1VULN|1ASPD|1ZMB	1MBVNT|25MLV|3ASPD|4LHND|6MULHEA|7aRCR|8VULN|9ZMB
78	11474 12237	   	264.04	DCR|DCR|2MLV|1VULN|1ASPD|1ZMB	1MBVNT|25MLV|3ASPD|4VULN|6MSLREG|7aRCR|8LHND|9ZMB
79	12433 77844	 * 	263.76	DCR|DCR|1VULN|2ASPD|1DMG	1MBVNT|2LSRICY|3BEXP|4DMG|57ASPD|6VULN|8BBNT|9aRCR
80	13333 77844	   	263.66	DCR|DCR|1VULN|2ASPD|1DMG	1MBVNT|2BEXP|3BLASTR|4DMG|57ASPD|6VULN|8BBNT|9aRCR
81	15353 17344	   	263.66	DCR|DCR|1VULN|2ASPD|1DMG	1MBVNT|2VULN|3TSLFST|45ASPD|6DMG|7BBNT|8LWND|9aRCR
82	15353 42327	   	263.56	DCR|DCR|1VULN|2ASPD|1DMG	1MBVNT|2VULN|3TSLFST|45ASPD|6AME|7aRCR|8DMG|9BEXP
83	11154 82833	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1MBVNT|2MLV|34CGEN|5TBNT|6DMG|78RCR|9DUR|aVULN
84	14713 38534	   	262.92	DCR|DCR|2VULN|1RPLT|1AART	1MBVNT|2LIT|3ERES|4aVULN|5AART|68RCR|7DUST|9RPLT
85	13474 35184	   	262.76	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1MBVNT|2BEXP|3DUR|4ASPD|5RPLT|69RCR|7MDPS|8VULN|aCDMG
86	18126 46231	   	262.74	DCR|3VULN|3MLV|3ASPD	1MBVNT|279ASPD|39CGEN|478MLV|579VULN|6RCR|79BPWR|aBEXP
87	18126 46233	   	262.74	DCR|3VULN|3MLV|3ASPD	1MBVNT|279ASPD|39CGEN|478MLV|579VULN|6RCR|79BPWR|aBBNT
88	18126 46234	   	262.74	DCR|3VULN|3MLV|3ASPD	1MBVNT|279ASPD|39CGEN|478MLV|579VULN|6RCR|79BPWR|aFEWX
89	11456 42811	   	262.43	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1MBVNT|2MLV|3ASPD|4CGEN|5VULN|68RCR|7RCVC|9DMSP|aCDMG
90	11476 42811	   	262.43	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1MBVNT|2MLV|3ASPD|4VULN|5CGEN|68RCR|7RCVC|9DMSP|aCDMG
91	18126 42811	   	262.43	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1MBVNT|2ASPD|3CGEN|4MLV|5VULN|68RCR|7RCVC|9DMSP|aCDMG
92	11356 46134	   	262.23	DCR|3VULN|2DMG|2MLV|1CDMG	1MBVNT|27MLV|38DMG|47CGEN|579VULN|6RCR|7BPWR|aCDMG
93	11376 46134	   	262.23	DCR|3VULN|2DMG|2MLV|1CDMG	1MBVNT|27MLV|38DMG|479VULN|57CGEN|6RCR|7BPWR|aCDMG
94	15634 46134	   	262.23	DCR|3VULN|2DMG|2MLV|1CDMG	1MBVNT|279VULN|38DMG|47TLV|57MLV|6RCR|7BPWR|aCDMG
95	13623 52813	 * 	262.10	ACR|DCR|2VULN|2DMG|1RPLT	1MBVNT|2BEXP|36DMG|4aVULN|58RCR|7DUST|9RPLT
