0	Index      	 *	Score 	Summary	Detail	
1	63333 22366	 * 	295.40	DCR|DCR|3VULN|1CDMG|1AART	135VULN|23CGEN|3BPWR|4AART|6LWND|7CDMG|8aRCR|9MDPS
17	23353 12135	   	273.76	DCR|DCR|2DMG|1MLV|1ASPD|1AART|1RPLT	1DMSP|2RPLT|3MLV|4aDMG|5AART|6ASPD|7TLV|89RCR
18	23353 13135	   	273.76	DCR|DCR|2DMG|1MLV|1ASPD|1AART|1RPLT	1DMSP|2RPLT|3MLV|4aDMG|5AART|6ASPD|7RMIN|89RCR
19	63311 22366	   	271.94	DCR|DCR|2VULN|1CDMG|1AART	13VULN|234CGEN|3BPWR|5AART|6LWND|7CDMG|8aRCR|9MDPS
20	12211 13556	 * 	271.85	DCR|DCR|2DMG|1VULN|1ASPD	15RCVC|2VULN|3AAC|4CGEN|68DMG|7ASPD|9aRCR
21	22211 13556	   	271.85	DCR|DCR|2DMG|1VULN|1ASPD	1DMSP|2VULN|3AAC|4CGEN|5RCVC|68DMG|7ASPD|9aRCR
22	63333 23366	   	271.74	DCR|DCR|3VULN|1AART|1SELL	135VULN|23CGEN|3BPWR|4AART|6LWND|7SELL|8aRCR|9MDPS
23	66222 74212	   	271.74	DCR|DCR|3VULN|1ZMB	16aVULN|24LWND|3MBVNT|5ZMB|78RCR|9LIT
24	12311 13556	   	271.61	DCR|DCR|2DMG|1VULN|1ASPD|1ZMB	15RCVC|2VULN|3ZMB|4CGEN|68DMG|7ASPD|9aRCR
25	22311 13556	   	271.61	DCR|DCR|2DMG|1VULN|1ASPD|1ZMB	1DMSP|2VULN|3ZMB|4CGEN|5RCVC|68DMG|7ASPD|9aRCR
26	66222 74232	   	271.59	DCR|DCR|2VULN|1CDMG|1AART|1ZMB	16VULN|24LWND|3MBVNT|5ZMB|78RCR|9AART|aCDMG
27	11321 13556	   	271.51	DCR|DCR|2DMG|1VULN|1ASPD|1ZMB	15RCVC|2ERES|3ZMB|4VULN|68DMG|7ASPD|9aRCR
28	21321 13556	   	271.51	DCR|DCR|2DMG|1VULN|1ASPD|1ZMB	1DMSP|2ERES|3ZMB|4VULN|5RCVC|68DMG|7ASPD|9aRCR
29	11323 13556	   	271.41	DCR|DCR|2DMG|1VULN|1ASPD|1ZMB	1RCVC|25ERES|3ZMB|4VULN|68DMG|7ASPD|9aRCR
30	21323 13556	   	271.41	DCR|DCR|2DMG|1VULN|1ASPD|1ZMB	1DMSP|25ERES|3ZMB|4VULN|68DMG|7ASPD|9aRCR
31	66222 74243	   	270.24	DCR|DCR|2VULN|1CDMG|1ZMB	16VULN|24LWND|3MBVNT|5ZMB|78RCR|9DUR|aCDMG
32	61434 12232	 * 	269.29	ACR|DCR|3VULN|2ASPD	167VULN|2TSLARM|3LHND|4aRCR|56ASPD|6BPWR|8BBNT|9LIT
33	13353 12133	 * 	268.62	DCR|DCR|2ASPD|1DMG|1MLV|1AART|1RPLT	1RCVC|2RPLT|3MLV|4DMG|5AART|6aASPD|7TLV|89RCR
34	13353 13133	   	268.62	DCR|DCR|2ASPD|1DMG|1MLV|1AART|1RPLT	1RCVC|2RPLT|3MLV|4DMG|5AART|6aASPD|7RMIN|89RCR
35	23353 12133	   	268.62	DCR|DCR|2ASPD|1DMG|1MLV|1AART|1RPLT	1DMSP|2RPLT|3MLV|4DMG|5AART|6aASPD|7TLV|89RCR
36	23353 13133	   	268.62	DCR|DCR|2ASPD|1DMG|1MLV|1AART|1RPLT	1DMSP|2RPLT|3MLV|4DMG|5AART|6aASPD|7RMIN|89RCR
37	61621 13142	   	268.49	DCR|DCR|2VULN|2CDMG	15VULN|2TSLARM|34CDMG|6LHND|7aRCR|8AAC|9TBNT
38	63323 24478	   	265.91	DCR|DCR|2VULN|1MLV|1SELL	13VULN|23CGEN|3BPWR|4BBNT|5TLV|6MBVNT|7aRCR|8MLV|9SELL
