0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42532 11215	7	 * 	301.14	橙5易伤2伤害2暴击1时间	12478易伤3随机矿57暴击67伤害7序列升级9核a时间
32	55312 73121	3	   	279.00	橙3易伤3伤害2时间	17a伤害2全技能37a易伤47金币生成5加一6核7a序列升级8基地爆炸9a时间
33	42534 11213	7	   	278.24	橙5易伤2伤害1暴击1卖塔	12478易伤3随机矿5卖塔67伤害7序列升级9核a暴击
34	42125 36323	8	   	277.93	橙4易伤2时间1等级1暴击	126a易伤3全技能4等级58时间7核9暴击
35	51213 14352	6	   	277.34	橙3易伤3伤害2时间	149伤害27时间3雷电56a易伤8核
36	51213 33652	5	   	277.34	橙3易伤3伤害2时间	149伤害27时间3雷电58a易伤6核
37	42153 35121	9	   	276.97	橙5易伤2等级1伤害	1268a易伤3全技能4伤害58敌人爆炸78等级8序列升级9核
38	42153 35123	10	   	276.97	橙5易伤2等级1伤害	1268a易伤3全技能4伤害58敌人爆炸78等级8序列升级9核
39	31523 33335	1	 * 	276.57	橙3易伤3时间2伤害	179敌人爆炸245时间349易伤49序列升级69伤害8全技能a核
40	33122 12335	3	   	276.57	橙3易伤3时间2伤害	134敌人爆炸249易伤49序列升级569时间79伤害8全技能a核
41	34322 12335	2	   	276.57	橙3易伤3时间2伤害	124敌人爆炸349易伤49序列升级569时间79伤害8全技能a核
42	44122 12335	3	   	276.57	橙3易伤3时间2伤害	149易伤234敌人爆炸49序列升级569时间79伤害8全技能a核
43	56322 22533	2	 * 	276.44	橙2易伤2伤害3攻速2等级1时间1暴击	18伤害248攻速34易伤48序列升级5赏金塔6时间78等级9暴击a核
44	42333 13616	10	   	276.40	橙4易伤2伤害1时间2雷电1核弹	1248易伤3核弹5额外掉落68雷电78伤害8序列升级9时间a核
45	42532 11623	8	   	276.36	橙4易伤2伤害2暴击1攻速	1247易伤3随机矿57暴击67伤害7序列升级8敌人爆炸9攻速a核
46	42332 11625	8	   	276.26	橙4易伤2伤害2暴击1攻速1核弹	1247易伤3核弹57暴击67伤害7序列升级8敌人爆炸9攻速a核
47	42532 11123	7	   	276.26	橙4易伤2伤害2暴击1攻速	1247易伤3随机矿57暴击67伤害7序列升级8挖尘9攻速a核
48	42532 11124	8	   	276.26	橙4易伤2伤害2暴击1攻速	1247易伤3随机矿57暴击67伤害7序列升级8掉矿9攻速a核
49	42613 24223	5	   	276.26	橙4易伤2伤害2暴击1攻速	1258易伤38暴击4低血量敌人6掉矿78伤害8序列升级9攻速a核
50	42613 52223	7	   	276.26	橙4易伤2伤害2暴击1攻速	1258易伤38暴击4低血量敌人6掉矿78伤害8序列升级9攻速a核
51	42623 24223	3	   	276.26	橙4易伤2伤害2暴击1攻速	1248易伤38暴击5最后敌人6掉矿78伤害8序列升级9攻速a核
52	42332 11124	8	   	276.16	橙4易伤2伤害2暴击1攻速1核弹	1247易伤3核弹57暴击67伤害7序列升级8掉矿9攻速a核
53	42332 11125	7	   	276.16	橙4易伤2伤害2暴击1攻速1核弹	1247易伤3核弹57暴击67伤害7序列升级8挖尘9攻速a核
54	42112 53151	10	 * 	275.91	紫5易伤2伤害2等级1暴击	1258a易伤3全技能4核68等级78伤害8序列升级9暴击
55	42335 31612	6	   	275.83	橙5易伤2伤害1攻速1核弹	12479易伤3核弹57金币生成67伤害7序列升级8核a攻速
56	52336 21342	1	   	275.80	橙4易伤3伤害2雷电	148伤害2赏金邻近3458易伤48序列升级68雷电7随机矿9挖尘a核
57	55312 16131	9	   	275.01	橙4易伤2伤害2暴击	18伤害2全技能3579易伤48金币生成68暴击8序列升级a核
58	41521 32433	1	   	275.01	橙4易伤3时间1暴击	1348易伤247时间4序列升级5敌人爆炸6全技能9暴击a核
59	51213 14335	6	   	274.92	橙3易伤3时间2伤害	14伤害27a时间3雷电569易伤8核
60	51213 33635	5	   	274.92	橙3易伤3时间2伤害	14伤害27a时间3雷电589易伤6核
61	55322 16131	9	   	274.81	橙4易伤2伤害2暴击	18伤害2全技能3579易伤48掉矿68暴击8序列升级a核
62	42133 33121	9	   	274.59	橙5易伤2伤害	1268a易伤3全技能4金币生成58敌人爆炸78伤害8序列升级9核
63	42133 33123	10	   	274.59	橙5易伤2伤害	1268a易伤3全技能4金币生成58敌人爆炸78伤害8序列升级9核
64	52331 12164	1	   	274.52	橙3易伤3伤害2暴击1等级	147伤害2赏金邻近347易伤47序列升级5赏金塔67暴击8双倍矿9等级a核
65	42636 22211	2	   	274.06	橙5易伤2时间1等级	12579易伤3等级48时间6挖尘a核
66	42112 61315	10	 * 	273.13	紫5易伤2伤害2时间	1259a易伤3全技能4核6基地爆炸7a伤害8a时间a序列升级
67	42332 42215	7	   	273.13	橙5易伤1等级1时间1暴击1核弹	12478易伤3核弹5暴击6等级9核a时间
68	42123 33221	9	   	273.05	橙5易伤1伤害1等级	1268a易伤3全技能4等级5敌人爆炸7伤害9核
69	42123 33223	10	   	273.05	橙5易伤1伤害1等级	1268a易伤3全技能4等级5敌人爆炸7伤害9核
70	42153 35221	9	   	273.05	橙5易伤1伤害1等级	1268a易伤3全技能4伤害5敌人爆炸7等级9核
71	42153 35223	10	   	273.05	橙5易伤1伤害1等级	1268a易伤3全技能4伤害5敌人爆炸7等级9核
72	41526 32221	1	 * 	272.91	橙4易伤3时间2攻速	1345易伤246时间4序列升级79攻速8基地爆炸a核
73	42331 15362	7	   	272.87	橙5易伤2时间2雷电1核弹	12479易伤3核弹5平台69雷电89时间9序列升级a核
74	56132 12343	7	   	272.71	橙3易伤2时间1伤害1等级1攻速	1伤害2攻速3全技能4a时间579易伤6等级8核
75	41526 32331	1	   	272.36	橙4易伤3时间1攻速	1345易伤246时间4序列升级7攻速8全技能9金币生成a核
76	42125 36121	9	   	272.06	橙4易伤2时间2全技能1等级	1268易伤39全技能4等级5a时间7核
77	42112 53153	10	 * 	272.02	紫4易伤3伤害2等级1暴击	1258易伤3全技能4核68等级78a伤害8序列升级9暴击
78	31523 56231	1	   	271.86	橙4易伤3时间1伤害	18敌人爆炸245时间348a易伤48序列升级6立即金币7核9伤害
79	41521 26233	1	   	271.86	橙4易伤3时间1伤害	1348易伤246时间48序列升级58a敌人爆炸7核9伤害
80	55223 11631	2	   	271.85	橙2易伤3伤害2时间2等级	17a伤害2全技能3a时间47易伤57挖尘6加一7a序列升级8核9a等级
81	55333 11631	3	   	271.85	橙2易伤3伤害2时间2等级	17a伤害2全技能3a易伤47时间57挖尘6加一7a序列升级8核9a等级
82	31523 51631	1	   	271.76	橙4易伤3时间1伤害	1敌人爆炸245时间347a易伤4序列升级6立即金币8核9伤害
83	41521 21633	1	   	271.76	橙4易伤3时间1伤害	1347易伤246时间4序列升级5a敌人爆炸8核9伤害
84	41521 26222	1	   	271.76	橙4易伤3时间2暴击	1348易伤246时间48序列升级58敌人爆炸7核9a暴击
85	41521 26232	1	   	271.76	橙4易伤3时间1伤害	1348易伤246时间48序列升级58敌人爆炸7核9伤害a赏金邻近
86	41521 21622	1	   	271.66	橙4易伤3时间2暴击	1347易伤246时间4序列升级5敌人爆炸8核9a暴击
87	41521 21632	1	   	271.66	橙4易伤3时间1伤害	1347易伤246时间4序列升级5敌人爆炸8核9伤害a赏金邻近
88	41521 22532	1	   	271.66	橙4易伤3时间1伤害	134a易伤246时间4序列升级5敌人爆炸7伤害8核9赏金邻近
89	42123 33121	10	   	271.30	橙4易伤2伤害1等级	1268易伤3全技能4等级58敌人爆炸78伤害8序列升级9核a立即金币
90	42123 33122	9	   	271.30	橙4易伤2伤害1等级	1268易伤3全技能4等级58敌人爆炸78伤害8序列升级9核a基地爆炸
91	42123 33123	9	   	271.30	橙4易伤2伤害1等级	1268易伤3全技能4等级58敌人爆炸78伤害8序列升级9核a平台
92	42123 33124	9	   	271.30	橙4易伤2伤害1等级	1268易伤3全技能4等级58敌人爆炸78伤害8序列升级9核a金币生成
93	42123 33125	9	   	271.30	橙4易伤2伤害1等级	1268易伤3全技能4等级58敌人爆炸78伤害8序列升级9核a最后敌人
94	42123 33126	10	   	271.30	橙4易伤2伤害1等级	1268易伤3全技能4等级58敌人爆炸78伤害8序列升级9核a最后敌人
95	42123 33111	9	   	271.30	橙4易伤2伤害1等级	1268易伤3全技能4等级589敌人爆炸78伤害8序列升级a核
96	42123 33131	8	   	271.30	橙4易伤2伤害1等级	1268易伤3全技能4等级589敌人爆炸78伤害8序列升级a核
97	55311 36111	8	   	271.30	橙4易伤2伤害1时间	19伤害2全技能3689易伤49金币生成5随机矿7核9序列升级a时间
98	42123 33122	10	   	271.20	橙4易伤2伤害1等级	1268易伤3全技能4等级58敌人爆炸78伤害8序列升级9核a掉矿
99	42123 33125	10	   	271.20	橙4易伤2伤害1等级	1268易伤3全技能4等级58敌人爆炸78伤害8序列升级9核a挖尘
