0	Index      	 *	Score 	Summary	Detail	
1	15321 33615	 * 	298.26	DCR|2VULN|2TLV|2LIT|2ASPD	19TLV|29VULN|3aASPD|4MDPS|5RPLT|6DUR|7RCR|89LIT|9BPWR
25	15116 11613	   	275.53	DCR|2VULN|2TLV|1LIT|1MLV	19TLV|26VULN|3GSSTOX|4MLV|5LIT|7BELT|8BBNT|aRCR
26	12253 52522	   	275.43	DCR|2VULN|2TLV|1LIT|1MLV	17TLV|2MLV|3ERES|4AME|5BBNT|6LIT|8aVULN|9RCR
27	15132 33221	   	275.12	DCR|3VULN|2TLV|1MLV|1ASPD	14TLV|28aVULN|3GSSTOX|5MLV|6TBNT|7RCR|9ASPD
28	15432 33221	   	275.12	DCR|3VULN|2TLV|1MLV|1ASPD	14TLV|28aVULN|3TSLFST|5MLV|6TBNT|7RCR|9ASPD
29	14134 62332	 * 	274.46	DCR|DCR|2TLV|1VULN	18TLV|27FEWX|3MSLTOX|4TBNT|5BBNT|6aRCR|9VULN
30	13531 52342	 * 	274.37	DCR|2TLV|1LIT|1VULN|2ASPD|1MLV	18TLV|2AART|3RCVC|48FEWX|5MLV|6VULN|78ASPD|8BPWR|9LIT|aRCR
31	14523 13242	   	274.27	DCR|2VULN|2TLV|1LIT|1MLV	16TLV|2FEWX|38VULN|4AAC|5AART|7LIT|9MLV|aRCR
32	16523 13242	   	274.27	DCR|2VULN|2TLV|1LIT|1MLV	16TLV|2BEXP|38VULN|4AAC|5AART|7LIT|9MLV|aRCR
33	24323 13242	   	274.27	DCR|2VULN|2TLV|1LIT|1MLV	1LHND|28VULN|36TLV|4AAC|5AART|7LIT|9MLV|aRCR
34	24333 52432	 * 	274.06	DCR|3VULN|1TLV|1LIT|1MLV|1CDMG	1LHND|258VULN|3TLV|4BBNT|6CDMG|7MLV|9LIT|aRCR
35	32521 33454	 * 	274.03	DCR|DCR|1TLV|1LIT|1MLV|1DMG	1CGEN|2MLV|3TLV|4TSLARM|5FEWX|6LIT|7MBVNT|8DMG|9aRCR
36	12116 63454	   	274.03	DCR|DCR|1TLV|1LIT|1MLV|1DMG	1TLV|2MLV|3FEWX|4TSLARM|5LIT|6CGEN|7MBVNT|8DMG|9aRCR
37	12421 33454	   	274.03	DCR|DCR|1TLV|1LIT|1MLV|1DMG	1TLV|2MLV|3CGEN|4TSLARM|5FEWX|6LIT|7MBVNT|8DMG|9aRCR
38	12116 23454	   	273.93	DCR|DCR|1TLV|1LIT|1MLV|1DMG	1TLV|2MLV|3FEWX|4TSLARM|5LIT|6MBVNT|7AME|8DMG|9aRCR
39	12116 43454	   	273.93	DCR|DCR|1TLV|1LIT|1MLV|1DMG	1TLV|2MLV|3FEWX|4TSLARM|5LIT|6AME|7MBVNT|8DMG|9aRCR
40	12116 53454	   	273.93	DCR|DCR|1TLV|1LIT|1MLV|1DMG	1TLV|2MLV|3FEWX|4TSLARM|5LIT|6ERES|7MBVNT|8DMG|9aRCR
41	12221 33454	   	273.93	DCR|DCR|1TLV|1LIT|1MLV|1DMG	1TLV|2MLV|3ERES|4TSLARM|5FEWX|6LIT|7MBVNT|8DMG|9aRCR
42	12321 33454	   	273.93	DCR|DCR|1TLV|1LIT|1MLV|1DMG	1TLV|2MLV|3AME|4TSLARM|5FEWX|6LIT|7MBVNT|8DMG|9aRCR
43	14116 23454	   	273.93	DCR|DCR|1TLV|1LIT|1MLV|1DMG	1TLV|2FEWX|3MSLTOX|4MLV|5LIT|6MBVNT|7AME|8DMG|9aRCR
44	14523 32531	   	273.16	DCR|2VULN|2TLV|3DMG	17TLV|2FEWX|37VULN|4AAC|5AART|678DMG|7BPWR|9DUR|aRCR
45	16523 32531	   	273.16	DCR|2VULN|2TLV|3DMG	17TLV|2BEXP|37VULN|4AAC|5AART|678DMG|7BPWR|9DUR|aRCR
46	15132 33414	   	273.04	DCR|2VULN|2TLV|1MLV|1DMG|1CDMG	14TLV|2aVULN|3GSSTOX|5MLV|6TBNT|7RCR|8DMG|9CDMG
47	15132 33214	   	271.42	DCR|2VULN|2TLV|1LIT|1MLV	14TLV|28VULN|3GSSTOX|5MLV|6TBNT|7RCR|9FEWX|aLIT
48	15132 33234	   	271.42	DCR|2VULN|2TLV|1LIT|1MLV	14TLV|28VULN|3GSSTOX|5MLV|6TBNT|7RCR|9LHND|aLIT
49	15432 33214	   	271.42	DCR|2VULN|2TLV|1LIT|1MLV	14TLV|28VULN|3TSLFST|5MLV|6TBNT|7RCR|9FEWX|aLIT
50	15432 33234	   	271.42	DCR|2VULN|2TLV|1LIT|1MLV	14TLV|28VULN|3TSLFST|5MLV|6TBNT|7RCR|9LHND|aLIT
51	14316 21263	   	270.21	DCR|DCR|1TLV|1LIT|1ASPD	1TLV|2FEWX|3ASPD|4AIRHEL|5LIT|6RPLT|7aRCR|8DUR|9AME
52	15333 66122	 * 	270.07	DCR|2VULN|2TLV|2MLV|1ASPD|1SELL	17TLV|27VULN|3ASPD|4SELL|5ERES|67MLV|7BPWR|8DUR|9LHND|aRCR
53	15333 66132	 * 	270.07	DCR|2VULN|2TLV|2MLV|1ASPD|1SELL	17TLV|27VULN|3ASPD|4SELL|5ERES|67MLV|7BPWR|8DUR|9LWND|aRCR
54	13634 32314	   	269.88	DCR|3VULN|2TLV|1MLV	17TLV|2AART|3TBNT|459VULN|6MLV|8RCVC|aRCR
55	14532 41333	   	269.49	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	16TLV|2FEWX|3VULN|4BBNT|5CRUSTR|7LIT|8RCR|9MLV|aDMG
56	15613 32114	   	269.39	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	15TLV|2VULN|3LIT|4BEXP|6DMG|7MBVNT|8DUR|9MLV|aRCR
57	16533 41333	   	269.39	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	16TLV|2BEXP|3VULN|4BBNT|5GSSTOX|7LIT|8RCR|9MLV|aDMG
58	24334 21532	 * 	269.39	DCR|2TLV|1LIT|1VULN|1MLV|2CDMG	1LHND|2VULN|38TLV|4BBNT|5MLV|67CDMG|9LIT|aRCR
59	15153 61213	 * 	268.99	DCR|3VULN|1TLV|1LIT|1DMG|1CDMG	1TLV|28aVULN|3GSSTOX|4DMG|5CDMG|6AAC|7RCR|9LIT
60	24634 32322	   	268.99	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	1LHND|269VULN|3ASPD|4LIT|5TLV|7MBVNT|8DMG|aRCR
61	41232 23562	 * 	268.93	DCR|2TLV|2LIT|1MLV|2DUR|1CDMG	19DUR|2CDMG|39BEXP|46LIT|5MLV|7BBNT|89TLV|9BPWR|aRCR
62	13321 25631	 * 	268.86	DCR|2VULN|2TLV|2MLV|1ASPD	18TLV|2AART|3CGEN|48MLV|5BASARM|6SNIFST|78VULN|8BPWR|9RCR|aASPD
63	13421 25631	   	268.76	DCR|2VULN|2TLV|2MLV|1ASPD	18TLV|2AART|3AME|48MLV|5BASARM|6SNIFST|78VULN|8BPWR|9RCR|aASPD
64	13531 52333	 * 	268.48	DCR|2VULN|2TLV|2ASPD|1MLV	18TLV|2AART|3RCVC|48FEWX|5MLV|69VULN|78ASPD|8BPWR|aRCR
65	15632 52312	 * 	268.48	DCR|2TLV|2LIT|1VULN|1MLV	19TLV|2VULN|39LIT|4RMIN|59LHND|6RPLT|7MDPS|8RCR|9BPWR|aMLV
66	13531 53611	   	268.38	DCR|2TLV|2LIT|1VULN|1MLV	19TLV|2AART|3RCVC|4FEWX|5MLV|6VULN|7aLIT|8RCR
