0	Index      	 *	Score 	Summary	Detail	
1	22325 32854	 * 	276.40	橙橙2易伤1伤害1时间1全技能	1时间24金币生成3伤害5加一6a易伤7全技能89核
19	26112 32543	   	258.10	橙橙2易伤1矿等1时间	1时间27易伤3掉矿4挖尘5矿等6火球减费89核a立即金币
20	14145 22113	   	258.09	橙橙1易伤1等级1矿等1全技能	1平台2等级3易伤4雷电减费5掉矿6双倍秒伤79核8矿等a全技能
21	36323 54121	 * 	257.29	橙3易伤2伤害1等级2攻速1时间	129易伤39伤害4雷电减费5雷电6核7时间89攻速9序列升级a等级
22	22222 32544	   	256.44	橙橙2易伤1时间1技能	1时间24金币生成3随机矿5最后敌人67易伤89核a技能
23	22132 12544	   	256.34	橙橙2易伤1时间1技能	1时间23金币生成47易伤5基地爆炸6掉矿89核a技能
24	32112 32544	   	256.34	橙橙2易伤1时间1技能	17易伤23金币生成4掉矿5最后敌人6时间89核a技能
25	21212 35125	   	256.24	橙橙2易伤1时间1全技能	1时间2双倍秒伤36易伤4全技能5基地爆炸7赏金邻近8a核9平台
26	26312 35125	   	256.24	橙橙2易伤1时间1全技能	1时间26易伤3双倍秒伤4全技能5基地爆炸7赏金邻近8a核9平台
27	31412 35125	   	256.24	橙橙2易伤1时间1全技能	16易伤2双倍秒伤3时间4全技能5基地爆炸7赏金邻近8a核9平台
28	21211 24115	   	256.14	橙橙1易伤1等级1时间1全技能	1时间2双倍秒伤3易伤4全技能5平台6赏金邻近7等级8掉矿9a核
29	21211 24415	   	256.14	橙橙1易伤1等级1时间1全技能	1时间2双倍秒伤3易伤4全技能5平台6赏金邻近7等级8技能点9a核
30	26311 24115	   	256.14	橙橙1易伤1等级1时间1全技能	1时间2易伤3双倍秒伤4全技能5平台6赏金邻近7等级8掉矿9a核
31	31411 24115	   	256.14	橙橙1易伤1等级1时间1全技能	1易伤2双倍秒伤3时间4全技能5平台6赏金邻近7等级8掉矿9a核
32	36331 36212	 * 	256.09	橙3易伤2伤害2时间1等级	124易伤37伤害58时间6随机矿9等级a核
33	31232 25636	 * 	253.51	橙4易伤2喷火对甲1伤害	1348易伤2双倍秒伤5伤害68喷火对甲78激光对绿8序列升级9挖尘a核
34	31134 36141	   	251.18	橙橙3易伤	158易伤2双倍秒伤36敌人爆炸4双倍矿79核a策反
35	31134 36143	   	251.18	橙橙3易伤	158易伤2双倍秒伤36敌人爆炸4双倍矿79核a平台
36	36122 12541	   	251.18	橙橙3易伤	127易伤3最后敌人4金币生成5基地爆炸6掉矿89核a策反
37	36122 12542	   	251.18	橙橙3易伤	127易伤3最后敌人4金币生成5基地爆炸6掉矿89核a双倍矿
38	36122 12543	   	251.18	橙橙3易伤	127易伤3最后敌人4金币生成5基地爆炸6掉矿89核a立即金币
39	36133 33541	   	251.18	橙橙3易伤	124易伤3最后敌人5基地爆炸6火球减费7敌人爆炸89核a策反
40	36133 33542	   	251.18	橙橙3易伤	124易伤3最后敌人5基地爆炸6火球减费7敌人爆炸89核a双倍矿
41	31134 36142	   	251.08	橙橙3易伤	158易伤2双倍秒伤36敌人爆炸4双倍矿79核a挖青
42	22325 32254	   	250.20	橙橙1易伤1伤害1时间1全技能	1时间24金币生成3伤害5加一6易伤7全技能8毒液对毒9a核
43	22325 32851	   	250.20	橙橙1易伤1伤害1时间1全技能	1时间24a金币生成3伤害5加一6易伤7全技能89核
44	32313 61663	   	250.20	橙橙1易伤1伤害1时间1全技能1技能	1易伤2金币生成3伤害4雷电5技能点6全技能7时间8a核9技能
45	22325 32852	   	250.10	橙橙1易伤1伤害1时间1全技能1挖怪	1时间24金币生成3伤害5加一6易伤7全技能89核a挖怪
46	22325 32853	   	250.10	橙橙1易伤1伤害1时间1全技能	1时间24金币生成3伤害5加一6易伤7全技能89核a赏金邻近
47	36342 12316	   	249.10	橙橙2易伤1伤害1技能	12易伤3伤害4头目5技能6立即金币7a核8雷电9毒气减费
48	15132 12112	 * 	248.89	橙橙2等级2时间1矿等	1平台25时间3赏金邻近4a等级6掉矿79核8矿等
