0	Index      	 *	Score 	Summary	Detail	
1	11152 31256	 * 	263.85	DCR|DCR|1VULN|1DMG|1DUR|1AART|1CDMG	1LHND|2CGEN|3DMG|4VULN|5TBNT|6CDMG|7DUR|8AART|9aRCR
23	42332 24312	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1LEGI|2VULN|3ERES|4TLV|5TBNT|6BOSS|7aRCR|8RMIN|9MLV
24	42352 11312	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1LEGI|2VULN|3ERES|4CGEN|5TBNT|6TLV|7LIT|8aRCR|9MLV
25	43663 31312	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1LEGI|2DUST|3LIT|4MDPS|5MLV|6LWND|7VULN|8aRCR|9TLV
26	66314 33312	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1ERES|2CGEN|3TBNT|4LIT|5VULN|6TLV|7DUST|8aRCR|9MLV
27	53233 31256	   	243.79	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1ZMB|2VULN|3FEWX|4TBNT|5CGEN|6CDMG|7DUR|8AART|9aRCR
28	42221 21532	   	242.79	DCR|DCR|2VULN|1DUR	1LEGI|28VULN|38BEXP|4LHND|5AME|6aRCR|78LIT|8BPWR|9DUR
29	42221 21132	   	242.59	DCR|DCR|2VULN|1DUR	1LEGI|28VULN|3BEXP|4LHND|5AME|6aRCR|7LIT|9DUR
30	42221 24132	   	242.59	DCR|DCR|2VULN|1DUR	1LEGI|27VULN|3BEXP|4LHND|5AME|6aRCR|8BOSS|9DUR
31	63323 53262	   	242.59	DCR|DCR|2VULN|1DUR	1ERES|2aVULN|3FRZARM|4LWND|5SPLARM|69RCR|7CGEN|8DUR
32	43221 24511	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1LEGI|2DUST|3BEXP|4LHND|5TLV|69RCR|7VULN|8LWND|aAAC
33	43231 24511	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1LEGI|2DUST|3BEXP|4FEWX|5TLV|69RCR|7VULN|8LWND|aAAC
34	43231 24611	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1LEGI|2DUST|3BEXP|4FEWX|5TLV|69RCR|7VULN|8LHND|aAAC
35	42221 24511	   	242.49	DCR|DCR|2VULN|1AAC	1LEGI|27VULN|3BEXP|4LHND|5AME|69RCR|8MDPS|aAAC
36	42231 24511	   	242.49	DCR|DCR|2VULN|1AAC	1LEGI|27VULN|3BEXP|4FEWX|5AME|69RCR|8MDPS|aAAC
37	42231 24512	   	242.49	DCR|DCR|2VULN|1DUR	1LEGI|27VULN|3BEXP|4FEWX|5AME|69RCR|8MDPS|aDUR
38	42414 11312	   	242.49	DCR|DCR|2VULN|1DUR	1LEGI|26VULN|3TBNT|4CGEN|5DUR|7LIT|8aRCR|9AME
39	11363 51262	   	242.49	DCR|DCR|2VULN|1DUR	1LHND|2CGEN|3BASHEA|4VENICY|5aVULN|69RCR|7ERES|8DUR
40	42332 24212	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1LEGI|2VULN|3ERES|4TLV|5TBNT|6BOSS|7aRCR|8DUR|9RCVC
41	62273 41484	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1ERES|2MBVNT|3FEWX|4TLV|5MDPS|6CGEN|7AART|8aRCR|9VULN
42	42332 24222	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1LEGI|2VULN|39ERES|4TLV|5TBNT|6BOSS|7aRCR|8DUR
43	64133 61113	   	242.38	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2BEXP|3DMG|4DUR|59RCR|6TLV|7CDMG|8TBNT|aVULN
44	65123 61113	   	242.28	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2DUR|3DMG|4DUST|59RCR|6TLV|7CDMG|8TBNT|aVULN
45	53213 14243	   	241.91	ACR|DCR|2VULN|1TLV|1AART	1ZMB|28VULN|3FEWX|47RCR|5TLV|6ERES|9AART|aASPD
46	11123 64262	   	241.39	ACR|DCR|2VULN|1TLV|1DMG	1LHND|2CGEN|3DMG|4DUST|57RCR|6TLV|89VULN|aBEXP
47	11123 64263	   	241.39	ACR|DCR|2VULN|1TLV|1DMG	1LHND|2CGEN|3DMG|4DUST|57RCR|6TLV|89VULN|aRMIN
48	11143 64211	 * 	239.81	ACR|DCR|2DMG|1VULN|1TLV	1LHND|2CGEN|39DMG|4FEWX|57RCR|6TLV|8VULN|aASPD
49	61123 64233	   	239.74	ACR|DCR|1VULN|1TLV|1DMG|1AAC|1NUKE	1ERES|2LHND|3DMG|4DUST|57RCR|6TLV|8VULN|9NUKE|aAAC
50	11123 64211	   	239.71	ACR|DCR|2DMG|1VULN|1TLV	1LHND|2CGEN|39DMG|4DUST|57RCR|6TLV|8VULN|aASPD
51	14313 64211	   	239.71	ACR|DCR|2DMG|1VULN|1TLV	1LHND|2LWND|3ERES|47RCR|59DMG|6TLV|8VULN|aASPD
52	61123 64211	   	239.61	ACR|DCR|2DMG|1VULN|1TLV	1ERES|2LHND|39DMG|4DUST|57RCR|6TLV|8VULN|aASPD
53	43221 26513	 * 	239.17	DCR|DCR|2TLV|1VULN	1LEGI|2DUST|3BEXP|4LHND|57TLV|69RCR|8MDPS|aVULN
54	43231 26513	   	239.17	DCR|DCR|2TLV|1VULN	1LEGI|2DUST|3BEXP|4FEWX|57TLV|69RCR|8MDPS|aVULN
55	42331 21652	 * 	238.14	DCR|3VULN|2TLV|1DMG|1MLV	1LEGI|278VULN|3ERES|46TLV|5MLV|9RCR|aDMG
56	65213 23511	   	237.93	ACR|DCR|1VULN|1TLV|1MLV|1DUR|1AAC	1ERES|2DUR|3FEWX|49RCR|5VULN|6MLV|7TLV|8MDPS|aAAC
57	64213 23513	   	236.83	ACR|DCR|2VULN|1TLV|1MLV	1ERES|2BEXP|3FEWX|49RCR|5aVULN|6MLV|7TLV|8MDPS
58	11261 24311	   	236.54	DCR|DCR|2TLV|1MLV|1AAC	1LHND|2CGEN|3FEWX|46TLV|5MLV|79RCR|8BBNT|aAAC
59	11261 24316	   	236.54	DCR|DCR|2TLV|1MLV|1DUR	1LHND|2CGEN|3FEWX|46TLV|5MLV|79RCR|8BBNT|aDUR
60	14361 24311	   	236.44	DCR|DCR|2TLV|1MLV|1AAC	1LHND|2LWND|3ERES|46TLV|5MLV|79RCR|8BBNT|aAAC
61	61261 24311	   	236.44	DCR|DCR|2TLV|1MLV|1AAC	1ERES|2LHND|3FEWX|46TLV|5MLV|79RCR|8BBNT|aAAC
62	63211 53113	   	234.87	ACR|DCR|2VULN|1TLV|1AAC|1CDMG	1ERES|2aVULN|3FEWX|49RCR|5CDMG|6AAC|7TLV|8TBNT
63	53213 14242	   	234.87	ACR|DCR|2VULN|1TLV|1AART|1MSE	1ZMB|28VULN|3FEWX|47RCR|5TLV|6ERES|9AART|aMSE
64	42311 53113	   	234.77	ACR|DCR|2VULN|1TLV|1CDMG|1AAC	1LEGI|2aVULN|3ERES|49RCR|5CDMG|6AAC|7TLV|8TBNT
65	25411 26312	 * 	234.40	DCR|DCR|3DUR|1TLV	1LIT|26ERES|347DUR|5LWND|8aRCR|9TLV
