0	Index      	 *	Score 	Summary	Detail	
1	35235 36111	 * 	282.44	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	14VULN|2ERES|3DUR|5DLOT|6aRCR|7CDMG|8TLV|9BEXP
17	24343 33235	   	262.85	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1RCVC|2LWND|3BEXP|4VULN|5DMG|6aRCR|7CGEN|8DUR|9TLV
18	31313 32415	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	19VULN|2RCVC|3BEXP|4DUST|5DMG|6aRCR|7LHND|8DUR
19	31313 35315	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	19VULN|2RCVC|3BEXP|4DUST|5DMG|6aRCR|7FEWX|8DUR
20	31313 36355	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	17VULN|2RCVC|3BEXP|4DUST|5DMG|6aRCR|8FEWX|9DUR
21	41343 32115	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1DUR|2RCVC|3BEXP|49VULN|5DMG|6aRCR|7LHND|8DUST
22	32233 33635	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1VULN|2LEGI|3DUR|4RCVC|5DMG|6aRCR|7CGEN|8BEXP|9TLV
23	61343 33235	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1AEPOI|2LWND|3BEXP|4VULN|5DMG|6aRCR|7CGEN|8DUR|9TLV
24	41313 32135	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DUR|2RCVC|3BEXP|4DUST|5DMG|6aRCR|7CGEN|8VULN|9TLV
25	31422 12226	   	262.55	DCR|DCR|2VULN|1DMG|1AART	13VULN|2RCVC|4LSRREG|5AART|6aRCR|79ERES|8DMG
26	31422 12266	   	262.55	DCR|DCR|2VULN|1DMG|1AART	13VULN|2RCVC|4LSRREG|5AART|6aRCR|7ERES|8DMG|9AEFBLL
27	41311 31155	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DUR|2RCVC|3BEXP|4DUST|5ZMB|6aRCR|7MLV|8VULN|9TLV
28	36135 36111	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1VULN|2DUST|3MLV|4RCVC|5DLOT|6aRCR|7CDMG|8TLV|9BEXP
29	62522 12226	 * 	256.66	DCR|DCR|1FLTARM|1TLV|1DMG|1AART	1AEPOI|2TLV|3RMIN|4FLTARM|5AART|6aRCR|79ERES|8DMG
30	21363 12536	   	256.44	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1RCVC|2BELT|3AART|4VULN|5RPLT|6CDMG|79RCR|8LWND|aTLV
31	35215 36111	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1VULN|24ERES|3DUR|5DLOT|6aRCR|7CDMG|8TLV|9BEXP
32	32231 35245	   	255.14	DCR|DCR|2VULN|2DUR	18VULN|2LEGI|37DUR|4RCVC|5ZMB|6aRCR|9LHND
33	32231 35265	   	255.14	DCR|DCR|2VULN|2DUR	18VULN|2LEGI|37DUR|4RCVC|5ZMB|6aRCR|9LWND
34	32221 33655	   	255.14	DCR|DCR|1VULN|2DUR|1TLV	1VULN|2LEGI|34DUR|5ZMB|6aRCR|7CGEN|8BEXP|9TLV
35	32231 35235	   	255.04	DCR|DCR|2VULN|2DUR	18VULN|2LEGI|37DUR|4RCVC|5ZMB|6aRCR|9AETHUN
36	36211 35235	   	255.04	DCR|DCR|2VULN|2DUR	18VULN|2DUST|37DUR|4DMSP|5ZMB|6aRCR|9AETHUN
37	36221 35235	   	254.94	DCR|DCR|2VULN|2DUR	18VULN|24DUST|37DUR|5ZMB|6aRCR|9AETHUN
38	33114 22136	   	254.16	DCR|DCR|1VULN|2MSLTOX|1AART	1VULN|2AART|3FEWX|4ASPD|56MSLTOX|7AME|8aRCR|9TBNT
39	33614 22136	   	254.06	DCR|DCR|1VULN|2MSLTOX|1AART	1VULN|2AART|3DUST|4ASPD|56MSLTOX|7AME|8aRCR|9TBNT
40	51163 12234	 * 	253.69	DCR|DCR|1VULN|2AART|1CDMG|1NUKE	1BELT|23AART|4VULN|5RPLT|6CDMG|79RCR|8FEWX|aNUKE
