0	Index      	 *	Score 	Summary	Detail	
1	13224 76383	 * 	296.42	DCR|DCR|2VULN|1TLV|1DMG	15VULN|2TLV|3MBVNT|4BEXP|6ZMB|79RCR|8DUST|aDMG
27	14332 44312	   	275.54	DCR|3VULN|2MLV|1DMG|1AAC	16aVULN|2aERES|3AAC|4BEXP|5DMG|7aMLV|8AART|9RCR|aBPWR
28	12363 12425	 * 	275.51	DCR|5VULN|2DMG|3DUR	1678aVULN|2DUST|3RCVC|48DMG|568DUR|68BPWR|9RCR
29	13352 33213	 * 	274.50	DCR|3VULN|2TLV|2AAC|1ASPD	149VULN|24TLV|38AAC|4BPWR|5ASPD|6RCVC|7AEFRZ|aRCR
30	11151 15533	 * 	274.17	DCR|4VULN|2ASPD|1MLV|1AAC	1469VULN|2RCVC|3AAC|56ASPD|6BPWR|7LWND|8RCR|aMLV
31	13352 31536	   	274.08	DCR|3VULN|2TLV|2ASPD|1AAC	149VULN|24TLV|3AAC|4BPWR|5aASPD|6RCVC|7AME|8RCR
32	25156 21322	 * 	273.25	DCR|2VULN|2MLV|2TLV|1DMG	1BELT|2MDPS|3aMLV|4LSRHEA|5aTLV|6RCR|7LHND|8DMG|9aVULN|aBPWR
33	13352 41361	   	272.58	DCR|2VULN|2TLV|2ASPD|1AAC|1CDMG	14VULN|24TLV|3AAC|4BPWR|58ASPD|6RMIN|7DUR|9CDMG|aRCR
34	13355 12433	   	272.41	DCR|4VULN|3TLV|1AAC	1468VULN|246TLV|3AAC|46BPWR|5RCVC|7TBNT|9ERES|aRCR
35	11242 23241	   	272.31	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2RCVC|3BELT|4AEBURN|5BBNT|6RAT|7AAC|8aRCR|9TLV
36	13546 31222	 * 	271.19	DCR|2VULN|2TLV|2DMG|1AAC|1CDMG	19VULN|29TLV|3CDMG|4BELT|5TBNT|6FEWX|79DMG|8AAC|9BPWR|aRCR
37	45411 22131	   	271.07	DCR|DCR|1TLV|1DMG|1AAC|1CDMG	1RPLT|2CDMG|3FEWX|4TLV|5AAC|6RAT|7DMG|8CANARM|9aRCR
38	11615 33332	 * 	270.77	DCR|DCR|2VULN|1MLV	18VULN|2RCVC|3LWND|4LHND|5AME|6BELT|7aRCR|9MLV
39	16235 33332	   	270.77	DCR|DCR|2VULN|1MLV	18VULN|2LWND|34LHND|5AME|6BELT|7aRCR|9MLV
40	16245 33332	   	270.77	DCR|DCR|2VULN|1MLV	18VULN|24LWND|3LHND|5AME|6BELT|7aRCR|9MLV
41	16215 33332	   	270.67	DCR|DCR|2VULN|1MLV	18VULN|2LWND|3LHND|4AEWIND|5AME|6BELT|7aRCR|9MLV
42	13274 71128	   	269.81	DCR|3VULN|2TLV|1ASPD|2RAT|1CDMG	19aVULN|29TLV|3MBVNT|4ASPD|5CDMG|69RAT|7BELT|8RCR|9BPWR
43	13278 26124	   	269.71	DCR|3VULN|2TLV|1ASPD|2RAT|1CDMG	159VULN|29TLV|3MBVNT|4ASPD|6DUST|7RCR|89RAT|9BPWR|aCDMG
44	12622 14312	 * 	269.67	DCR|2VULN|2MLV|2DMG|1AAC	1aVULN|2aDUST|35DMG|4AAC|6ERES|7aMLV|8AART|9RCR|aBPWR
45	11151 11533	 * 	269.50	DCR|4VULN|3ASPD|1AAC	1469VULN|2RCVC|3AAC|56aASPD|6BPWR|7DUR|8RCR
46	13272 33128	 * 	269.45	DCR|2VULN|2MLV|1TLV|2ASPD|2SELL	1aVULN|2TLV|3MBVNT|4aASPD|56SELL|7RCR|8aMLV|9RMIN|aBPWR
47	13353 32413	   	269.35	DCR|3VULN|2TLV|1MLV|1AAC	148VULN|24TLV|3AAC|4BPWR|5BEXP|6LWND|7TBNT|9MLV|aRCR
48	13353 62163	   	269.35	DCR|3VULN|2TLV|1MLV|1AAC	147VULN|24TLV|3AAC|4BPWR|5BEXP|6MLV|8FEWX|9BBNT|aRCR
49	13353 62263	   	269.35	DCR|3VULN|2TLV|1MLV|1AAC	147VULN|24TLV|3AAC|4BPWR|5BEXP|6MLV|8LWND|9BBNT|aRCR
50	13353 62363	   	269.35	DCR|3VULN|2TLV|1MLV|1AAC	147VULN|24TLV|3AAC|4BPWR|5BEXP|6MLV|8LHND|9BBNT|aRCR
51	13356 32413	   	269.35	DCR|3VULN|2TLV|1MLV|1AAC	148VULN|24TLV|3AAC|4BPWR|5DUST|6LWND|7TBNT|9MLV|aRCR
52	13353 42413	   	269.25	DCR|3VULN|2TLV|1MLV|1AAC	148VULN|24TLV|3AAC|4BPWR|5BEXP|6DUST|7TBNT|9MLV|aRCR
53	11131 15533	 * 	269.12	DCR|3VULN|2AAC|2ASPD|1MLV	169VULN|2RCVC|34AAC|56ASPD|6BPWR|7LWND|8RCR|aMLV
54	13222 66381	   	268.62	DCR|DCR|1VULN|1TLV|1CDMG|1SELL	1VULN|2TLV|3MBVNT|4BEXP|5SELL|6CDMG|79RCR|8DUST|aRAT
55	13351 16131	   	268.26	DCR|2VULN|2TLV|1DMG|1AAC|2DUR|1CDMG	14VULN|24TLV|3AAC|4BPWR|58DUR|6ERES|7CDMG|9DMG|aRCR
56	11151 11512	   	268.22	DCR|3VULN|1TLV|2ASPD|1AAC	146VULN|2RCVC|3AAC|56ASPD|6BPWR|7DUR|8RCR|9BELT|aTLV
57	13351 32333	   	267.81	DCR|3VULN|2TLV|1AAC|1ASPD	149VULN|24TLV|3AAC|4BPWR|5DUR|6LWND|7TBNT|8ASPD|aRCR
58	13351 32433	   	267.81	DCR|3VULN|2TLV|1AAC|1ASPD	148VULN|24TLV|3AAC|4BPWR|5DUR|6LWND|7TBNT|9ASPD|aRCR
59	13351 35333	   	267.81	DCR|3VULN|2TLV|1AAC|1ASPD	149VULN|24TLV|3AAC|4BPWR|5DUR|6LWND|7BBNT|8ASPD|aRCR
60	13351 35433	   	267.81	DCR|3VULN|2TLV|1AAC|1ASPD	148VULN|24TLV|3AAC|4BPWR|5DUR|6LWND|7BBNT|9ASPD|aRCR
61	13352 31532	   	267.81	DCR|3VULN|2TLV|1AAC|1ASPD	149VULN|24TLV|3AAC|4BPWR|5ASPD|6RCVC|7AME|8RCR|aAART
62	13352 43311	   	267.81	DCR|3VULN|2TLV|1AAC|1ASPD	14aVULN|24TLV|3AAC|4BPWR|5ASPD|6RMIN|7LHND|8AART|9RCR
63	13351 42363	   	267.71	DCR|3VULN|2TLV|1AAC|1ASPD	149VULN|24TLV|3AAC|4BPWR|5DUR|6DUST|7TBNT|8ASPD|aRCR
64	13352 51532	   	267.71	DCR|3VULN|2TLV|1AAC|1ASPD	149VULN|24TLV|3AAC|4BPWR|5ASPD|6ERES|7RCVC|8RCR|aAART
65	12621 14312	 * 	267.18	DCR|2VULN|2MLV|2AAC|1DMG	1aVULN|2aDUST|3DMG|45AAC|6ERES|7aMLV|8AART|9RCR|aBPWR
66	11226 51432	 * 	266.87	DCR|DCR|2MLV|1VULN	1VULN|2RCVC|3BELT|49MLV|5LWND|6CGEN|7aRCR|8LHND
67	11226 41432	   	266.77	DCR|DCR|2MLV|1VULN	1VULN|2RCVC|3BELT|49MLV|5LWND|6ERES|7aRCR|8LHND
68	11226 51632	   	266.77	DCR|DCR|2MLV|1VULN	1VULN|2RCVC|3BELT|49MLV|5LWND|6CGEN|7aRCR|8LEGI
69	11263 51432	   	266.77	DCR|DCR|2MLV|1VULN	1VULN|2RCVC|3BELT|4LEGI|59MLV|6CGEN|7aRCR|8LHND
70	11263 51632	   	266.77	DCR|DCR|2MLV|1VULN	1VULN|2RCVC|3BELT|4LEGI|59MLV|6CGEN|7aRCR|8LWND
71	11226 41632	   	266.67	DCR|DCR|2MLV|1VULN	1VULN|2RCVC|3BELT|49MLV|5LWND|6ERES|7aRCR|8LEGI
72	11263 41432	   	266.67	DCR|DCR|2MLV|1VULN	1VULN|2RCVC|3BELT|4LEGI|59MLV|6ERES|7aRCR|8LHND
73	11263 41632	   	266.67	DCR|DCR|2MLV|1VULN	1VULN|2RCVC|3BELT|4LEGI|59MLV|6ERES|7aRCR|8LWND
74	13353 35311	   	266.56	DCR|3VULN|2TLV|2AAC	14aVULN|24TLV|37AAC|4BPWR|5BEXP|6LWND|8AART|9RCR
75	13356 35311	   	266.56	DCR|3VULN|2TLV|2AAC	14aVULN|24TLV|37AAC|4BPWR|5DUST|6LWND|8AART|9RCR
76	13356 63311	   	266.56	DCR|3VULN|2TLV|2AAC	14aVULN|24TLV|36AAC|4BPWR|5DUST|7LHND|8AART|9RCR
77	13352 31531	   	266.44	DCR|3VULN|2TLV|1AAC|1ASPD	149VULN|24TLV|3AAC|4BPWR|5ASPD|6RCVC|7AME|8RCR|aRAT
