0	Index      	 *	Score 	Summary	Detail	
1	51641 32322	 * 	281.90	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|2aMLV|36VULN|4DUR|5AART|7TLV|8RCR|9RAT
59	12121 32353	   	258.88	DCR|2MLV|1VULN|1TLV|1AAC|1ASPD|1CDMG	1BBNT|2TBNT|3CDMG|4ASPD|5AAC|67MLV|8TLV|9RCR|aVULN
60	22234 33414	   	258.81	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5BEXP|6DUST|7TLV|8aRCR|9LWND
61	22236 26214	   	258.81	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5DUST|6aRCR|7BEXP|8LWND|9TLV
62	22236 26314	   	258.81	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5DUST|6aRCR|7BEXP|8FEWX|9TLV
63	13611 35383	 * 	258.44	ACR|DCR|1VULN|1TLV|1DMG|1ASPD|1CDMG	1BBNT|2DMG|3AEPOI|4MBVNT|59RCR|6TLV|7CDMG|8VULN|aASPD
64	43235 12325	   	258.27	DCR|2VULN|1TLV|1MLV|1AAC|1CDMG	1FRZARM|2TLV|3AAC|4RAT|58VULN|6CDMG|7MLV|9RCR|aDUR
65	33125 22433	 * 	257.79	DCR|3VULN|3TLV|1DMG	13CGEN|236TLV|36BPWR|456VULN|7DUR|8LWND|9RCR|aDMG
66	12542 12321	   	257.74	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1BBNT|2TBNT|3TLV|4MLV|5AART|69VULN|7DMG|8RCR|aAAC
67	33125 22633	   	257.69	DCR|3VULN|3TLV|1DMG	13CGEN|236TLV|36BPWR|456VULN|7DUR|8DUST|9RCR|aDMG
68	43332 31131	 * 	257.59	DCR|2VULN|2TLV|2ASPD|1MLV	1FRZARM|25TLV|3TBNT|45ASPD|5BPWR|6aVULN|7MLV|8LWND|9RCR
69	43532 31131	   	257.59	DCR|2VULN|2TLV|2ASPD|1MLV	1FRZARM|25TLV|3BBNT|45ASPD|5BPWR|6aVULN|7MLV|8LWND|9RCR
70	13423 11144	   	257.07	DCR|2VULN|2DMG|1TLV|1MLV	1BBNT|2aDMG|3TLV|4CGEN|59VULN|6RAT|7MLV|8RCR
71	33433 11144	   	257.07	DCR|2VULN|2DMG|1TLV|1MLV	1CGEN|2TLV|3aDMG|4BBNT|59VULN|6RAT|7MLV|8RCR
72	61551 11311	   	256.97	DCR|DCR|1VULN|1MLV|2DUR	13LIT|23DUR|3BPWR|4MLV|5ERES|6BASICY|7VULN|89RCR|aZMB
73	61551 11313	   	256.97	DCR|DCR|1VULN|1MLV|2DUR	13LIT|23DUR|3BPWR|4MLV|5ERES|6BASICY|7VULN|89RCR|aLWND
74	61551 11312	   	256.87	DCR|DCR|1VULN|1MLV|2DUR	13LIT|23DUR|3BPWR|4MLV|5ERES|6BASICY|7VULN|89RCR|aBEXP
75	51622 12363	   	256.37	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DMG|2MLV|35VULN|4BBNT|6RAT|7TLV|8AAC|9TBNT|aRCR
76	51632 12363	   	256.37	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DMG|2MLV|35VULN|4TBNT|6RAT|7TLV|8AAC|9BBNT|aRCR
77	43235 12324	 * 	256.27	DCR|2VULN|1TLV|1MLV|2CDMG|1AAC	1FRZARM|2TLV|3AAC|4RAT|58VULN|6aCDMG|7MLV|9RCR
78	34152 31144	   	256.24	DCR|DCR|2VULN	18CGEN|2BEXP|3MBVNT|4DUR|5AART|69VULN|7aRCR
79	34181 31144	   	256.24	DCR|DCR|2VULN	18CGEN|2BEXP|3MBVNT|4AART|5DUR|69VULN|7aRCR
80	35152 31144	   	256.24	DCR|DCR|2VULN	18CGEN|2DUST|3MBVNT|4DUR|5AART|69VULN|7aRCR
81	35181 31144	   	256.24	DCR|DCR|2VULN	18CGEN|2DUST|3MBVNT|4AART|5DUR|69VULN|7aRCR
82	34152 31454	   	256.14	DCR|DCR|2VULN	1CGEN|29BEXP|3MBVNT|4DUR|5AART|68VULN|7aRCR
83	34181 31454	   	256.14	DCR|DCR|2VULN	1CGEN|29BEXP|3MBVNT|4AART|5DUR|68VULN|7aRCR
84	51641 32321	   	256.09	DCR|2VULN|1TLV|1MLV|1DMG	1DMG|2MLV|36VULN|4DUR|5AART|7TLV|8RCR|9RAT|aLHND
85	51641 32323	   	256.09	DCR|2VULN|1TLV|1MLV|1DMG	1DMG|2MLV|36VULN|4DUR|5AART|7TLV|8RCR|9RAT|aFEWX
86	13423 11146	   	255.73	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1BBNT|2DMG|3TLV|4CGEN|59VULN|6RAT|7MLV|8RCR|aASPD
87	33433 11146	   	255.73	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1CGEN|2TLV|3DMG|4BBNT|59VULN|6RAT|7MLV|8RCR|aASPD
88	51641 32331	   	255.70	DCR|2VULN|1TLV|1MLV|1DMG|2DUR	1DMG|2MLV|36VULN|49DUR|5AART|7TLV|8RCR|aTBNT
89	51641 32332	   	255.70	DCR|2VULN|1TLV|1MLV|1DMG|2DUR	1DMG|2MLV|36VULN|49DUR|5AART|7TLV|8RCR|aLIT
90	34334 11314	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2BEXP|3MLV|4AEBURN|5LIT|6BASICY|7VULN|89RCR|aCDMG
91	35334 11314	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2DUST|3MLV|4AEBURN|5LIT|6BASICY|7VULN|89RCR|aCDMG
92	33126 41532	   	255.12	DCR|2VULN|2TLV|1MLV|1DMG	13CGEN|23TLV|3BPWR|47VULN|5BELT|6AART|8DMG|9MLV|aRCR
93	12542 12322	   	255.02	DCR|2VULN|2TLV|1MLV|1DMG	1BBNT|2TBNT|3aTLV|4MLV|5AART|69VULN|7DMG|8RCR
94	44432 31331	 * 	254.83	DCR|2MLV|2TLV|1VULN|2CDMG	157FRZARM|27CDMG|3VULN|45TLV|57BPWR|67MLV|8AART|9ZMB|aRCR
95	12641 36122	   	253.93	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD	1BBNT|2TBNT|39VULN|4MLV|5AART|6AAC|7RCR|8ASPD|aTLV
96	61363 41311	   	253.83	DCR|DCR|1VULN|1TLV	1LIT|2DUR|3TLV|4AEFRZ|5LSRREG|6CGEN|7VULN|89RCR|aZMB
97	61363 41313	   	253.83	DCR|DCR|1VULN|1TLV	1LIT|2DUR|3TLV|4AEFRZ|5LSRREG|6CGEN|7VULN|89RCR|aLWND
98	63341 11316	   	253.83	DCR|DCR|1VULN|1TLV	1LIT|24LHND|3TLV|5ERES|6BASICY|7VULN|89RCR|aDUR
99	33334 11316	   	253.83	DCR|DCR|1VULN|1TLV	1CGEN|2TLV|3FEWX|4AEBURN|5LIT|6BASICY|7VULN|89RCR|aDUR
100	61361 11311	   	253.73	DCR|DCR|1VULN|1TLV	1LIT|2DUR|3TLV|4AEFRZ|5ERES|6BASICY|7VULN|89RCR|aZMB
101	61361 11313	   	253.73	DCR|DCR|1VULN|1TLV	1LIT|2DUR|3TLV|4AEFRZ|5ERES|6BASICY|7VULN|89RCR|aLWND
102	61363 41312	   	253.73	DCR|DCR|1VULN|1TLV	1LIT|2DUR|3TLV|4AEFRZ|5LSRREG|6CGEN|7VULN|89RCR|aBEXP
103	63363 11316	   	253.73	DCR|DCR|1VULN|1TLV	1LIT|2LHND|3TLV|45ERES|6BASICY|7VULN|89RCR|aDUR
104	13423 11121	   	253.65	DCR|2VULN|2TLV|1MLV|1DMG	1BBNT|2DMG|39TLV|4CGEN|5aVULN|6RAT|7MLV|8RCR
105	33433 11121	   	253.65	DCR|2VULN|2TLV|1MLV|1DMG	1CGEN|29TLV|3DMG|4BBNT|5aVULN|6RAT|7MLV|8RCR
106	52423 11121	   	253.65	DCR|2VULN|2TLV|1MLV|1DMG	1DMG|2TBNT|39TLV|4CGEN|5aVULN|6RAT|7MLV|8RCR
107	62361 11316	   	253.63	DCR|DCR|1VULN|1TLV	1LIT|2BEXP|3TLV|4AEFRZ|5ERES|6BASICY|7VULN|89RCR|aDUR
108	61361 11312	   	253.63	DCR|DCR|1VULN|1TLV	1LIT|2DUR|3TLV|4AEFRZ|5ERES|6BASICY|7VULN|89RCR|aBEXP
109	12542 16321	 * 	252.78	DCR|2VULN|2AAC|1TLV|1MLV	1BBNT|2TBNT|3TLV|4MLV|5AART|69VULN|7aAAC|8RCR
110	63341 11315	   	252.46	DCR|DCR|1VULN|1TLV	1LIT|24LHND|3TLV|5ERES|6BASICY|7VULN|89RCR|aRAT
111	33334 11315	   	252.46	DCR|DCR|1VULN|1TLV	1CGEN|2TLV|3FEWX|4AEBURN|5LIT|6BASICY|7VULN|89RCR|aRAT
112	63363 11315	   	252.36	DCR|DCR|1VULN|1TLV	1LIT|2LHND|3TLV|45ERES|6BASICY|7VULN|89RCR|aRAT
113	62361 11315	   	252.26	DCR|DCR|1VULN|1TLV	1LIT|2BEXP|3TLV|4AEFRZ|5ERES|6BASICY|7VULN|89RCR|aRAT
114	36342 22241	   	252.04	DCR|2VULN|2MLV|1TLV|1CDMG	125CGEN|26BPWR|36VULN|46MLV|7RPLT|8TLV|9RCR|aCDMG
