0	Index      	 *	Score 	Summary	Detail	
1	31242 25236	 * 	279.22	DCR|4VULN|3TLV|1AAC|1CDMG	18LWND|2678VULN|3AAC|4BBNT|568TLV|68BPWR|9CDMG|aRCR
13	54131 23631	   	261.73	DCR|3MLV|2VULN|1TLV	158MLV|2DUST|3CGEN|45VULN|5BPWR|6TLV|7FEWX|9RCR|aBEXP
14	54131 21133	   	260.33	DCR|3VULN|2MLV|1TLV	15MLV|2DUST|3CGEN|457VULN|5BPWR|6TLV|8BASICY|9AME|aRCR
15	54131 21532	   	260.33	DCR|3VULN|2MLV|1TLV	15MLV|28DUST|3CGEN|457VULN|5BPWR|6TLV|9RCR|aLWND
16	54131 21533	   	260.23	DCR|3VULN|2MLV|1TLV	15MLV|28DUST|3CGEN|457VULN|5BPWR|6TLV|9RCR|aVENFST
17	54131 11241	   	260.08	DCR|2VULN|2MLV|1TLV|2DUR	15MLV|2DUST|3CGEN|45VULN|5BPWR|6aDUR|7RAT|8RCR|9TLV
18	54331 11241	   	260.08	DCR|2VULN|2MLV|1TLV|2DUR	15MLV|2DUST|3AME|45VULN|5BPWR|6aDUR|7RAT|8RCR|9TLV
19	31433 21551	   	255.21	DCR|3VULN|1TLV|1MLV|1CDMG	1LWND|28aVULN|3TLV|4RAT|5LIT|6CDMG|7MLV|9RCR
20	54131 11242	   	253.53	DCR|2VULN|2MLV|1TLV	15MLV|2DUST|3CGEN|45VULN|5BPWR|6DUR|7RAT|8RCR|9TLV|aAME
21	54331 11242	   	253.53	DCR|2VULN|2MLV|1TLV	15MLV|2DUST|3aAME|45VULN|5BPWR|6DUR|7RAT|8RCR|9TLV
22	31512 43115	   	253.48	DCR|DCR|2VULN|1CDMG	1LWND|24VULN|3BBNT|5CGEN|6CDMG|7DMSP|8aRCR|9TBNT
23	31312 54115	   	253.48	DCR|DCR|2VULN|1CDMG	1LWND|25VULN|3CDMG|4RCVC|6TBNT|7CGEN|8aRCR|9BBNT
24	31332 54115	   	253.48	DCR|DCR|2VULN|1CDMG	1LWND|25VULN|3CDMG|4DMSP|6TBNT|7CGEN|8aRCR|9BBNT
25	54131 11243	   	253.43	DCR|2VULN|2MLV|1TLV|1MSE	15MLV|2DUST|3CGEN|45VULN|5BPWR|6DUR|7RAT|8RCR|9TLV|aMSE
26	31312 55115	   	253.38	DCR|DCR|2VULN|1CDMG	1LWND|25VULN|3CDMG|4RCVC|6TBNT|7ERES|8aRCR|9BBNT
27	31332 55115	   	253.38	DCR|DCR|2VULN|1CDMG	1LWND|25VULN|3CDMG|4DMSP|6TBNT|7ERES|8aRCR|9BBNT
28	54131 22222	   	251.84	DCR|2VULN|2MLV|1TLV|1CDMG	15MLV|2DUST|3CGEN|45VULN|5BPWR|6TLV|7CDMG|8LWND|9MDPS|aRCR
29	54131 22251	   	251.84	DCR|2VULN|2MLV|1TLV|1CDMG	15MLV|2DUST|3CGEN|45VULN|5BPWR|6TLV|7CDMG|8LWND|9SPLREG|aRCR
30	54131 22622	   	251.74	DCR|2VULN|2MLV|1TLV|1CDMG	15MLV|2DUST|3CGEN|45VULN|5BPWR|6TLV|7CDMG|8BEXP|9MDPS|aRCR
31	61623 21153	 * 	251.65	DCR|2VULN|2TLV|1MLV|1AAC	1BEXP|2aVULN|3VENFST|49TLV|5DUR|6MLV|7RCR|8AAC
32	53532 11322	 * 	250.86	ACR|4VULN|2MLV|1TLV	19MLV|2DUR|39DUST|4789VULN|5RCR|6BBNT|9BPWR|aTLV
33	31112 62426	   	250.29	DCR|3VULN|2MLV|1CDMG	1LWND|246VULN|3LIT|5CDMG|79MLV|8DUR|aRCR
34	31323 62426	   	250.29	DCR|3VULN|2MLV|1CDMG	1LWND|246VULN|3CDMG|5LIT|79MLV|8DUR|aRCR
35	32234 27744	 * 	250.20	DCR|DCR|1VULN|1DMG	1LWND|2AART|3LHND|4DUR|5MBVNT|6aRCR|7DMG|8RPLT|9VULN
36	54131 11222	 * 	249.81	DCR|2VULN|2MLV|1DMG	15MLV|2DUST|3CGEN|45VULN|5BPWR|6DUR|7RAT|8RCR|9AART|aDMG
37	54331 11222	   	249.81	DCR|2VULN|2MLV|1DMG	15MLV|2DUST|3AME|45VULN|5BPWR|6DUR|7RAT|8RCR|9AART|aDMG
