0	Index      	 *	Score 	Summary	Detail	
1	53313 35353	 * 	296.11	DCR|DCR|2TLV|1VULN|1DMG|1ASPD	13TLV|2ASPD|4BEXP|5DMG|6ZMB|7FEWX|89RCR|aVULN
23	15621 25332	   	273.61	DCR|DCR|1VULN|1MLV|1ASPD	1RAT|2BEXP|3LIT|4BBNT|5AART|6MLV|79RCR|8VULN|aASPD
24	33121 25332	   	273.61	DCR|DCR|1VULN|1MLV|1ASPD	1BEXP|2LIT|3RAT|4BBNT|5AART|6MLV|79RCR|8VULN|aASPD
25	33151 25332	   	273.61	DCR|DCR|1VULN|1MLV|1ASPD	1BEXP|2LIT|3RAT|4TBNT|5AART|6MLV|79RCR|8VULN|aASPD
26	53313 35352	   	272.32	DCR|DCR|2TLV|1DMG|1ASPD	13TLV|2ASPD|4BEXP|5DMG|6ZMB|7FEWX|89RCR|aAART
27	21123 63434	   	271.82	DCR|DCR|2VULN|1TLV	1FEWX|28VULN|3AME|4TLV|5LHND|6LWND|7LEGI|9aRCR
28	21222 31434	   	271.82	DCR|DCR|2VULN|1TLV	17FEWX|28VULN|3BBNT|4TLV|5RMIN|6AEPOI|9aRCR
29	21222 36434	   	271.82	DCR|DCR|2VULN|1TLV	1FEWX|28VULN|3BBNT|4TLV|57RMIN|6AEPOI|9aRCR
30	21122 62434	   	271.72	DCR|DCR|2VULN|1TLV	1FEWX|28VULN|3AME|4TLV|5BEXP|6LWND|7LEGI|9aRCR
31	31121 22434	   	271.72	DCR|DCR|2VULN|1TLV	1BEXP|28VULN|3AME|4TLV|5LWND|6FEWX|7LEGI|9aRCR
32	31121 24434	   	271.72	DCR|DCR|2VULN|1TLV	1BEXP|28VULN|3AME|4TLV|5LWND|6FEWX|7DUST|9aRCR
33	31124 22434	   	271.72	DCR|DCR|2VULN|1TLV	1BEXP|28VULN|3AME|4TLV|5LHND|6FEWX|7LEGI|9aRCR
34	31222 32434	   	271.72	DCR|DCR|2VULN|1TLV	1BEXP|28VULN|3BBNT|4TLV|57RMIN|6AEPOI|9aRCR
35	31123 33434	   	271.62	DCR|DCR|2VULN|1TLV	1BEXP|28VULN|3AME|4TLV|5BBNT|6AEPOI|7AEFBLL|9aRCR
36	21216 61134	   	270.38	DCR|DCR|3VULN	15FEWX|245VULN|3BBNT|5BPWR|67RCVC|8DUR|9aRCR
37	21216 62134	   	270.38	DCR|DCR|3VULN	15FEWX|245VULN|3BBNT|5BPWR|6RCVC|7DMSP|8DUR|9aRCR
38	21216 11134	   	270.28	DCR|DCR|3VULN	15FEWX|245VULN|3BBNT|5BPWR|6AEFBLL|7RCVC|8DUR|9aRCR
39	21216 12134	   	270.28	DCR|DCR|3VULN	15FEWX|245VULN|3BBNT|5BPWR|6AEFBLL|7DMSP|8DUR|9aRCR
40	21216 16134	   	270.18	DCR|DCR|3VULN	15FEWX|245VULN|3BBNT|5BPWR|6AEFBLL|7AEBURN|8DUR|9aRCR
41	31216 61134	   	270.18	DCR|DCR|3VULN	15BEXP|245VULN|3BBNT|5BPWR|67RCVC|8DUR|9aRCR
42	31216 62134	   	270.18	DCR|DCR|3VULN	15BEXP|245VULN|3BBNT|5BPWR|6RCVC|7DMSP|8DUR|9aRCR
43	31216 11134	   	270.08	DCR|DCR|3VULN	15BEXP|245VULN|3BBNT|5BPWR|6AEFBLL|7RCVC|8DUR|9aRCR
44	31216 12134	   	270.08	DCR|DCR|3VULN	15BEXP|245VULN|3BBNT|5BPWR|6AEFBLL|7DMSP|8DUR|9aRCR
45	31216 16134	   	269.98	DCR|DCR|3VULN	15BEXP|245VULN|3BBNT|5BPWR|6AEFBLL|7AEBURN|8DUR|9aRCR
46	21232 31434	   	268.32	DCR|DCR|2VULN|1MLV	17FEWX|28VULN|3BBNT|4MLV|5RMIN|6AEPOI|9aRCR
47	31232 32434	   	268.22	DCR|DCR|2VULN|1MLV	1BEXP|28VULN|3BBNT|4MLV|57RMIN|6AEPOI|9aRCR
48	21232 41334	   	267.93	DCR|DCR|2MLV|1VULN	17FEWX|2VULN|3BBNT|46MLV|5RMIN|8AEPOI|9aRCR
49	21232 41534	   	267.93	DCR|DCR|2MLV|1VULN	17FEWX|2VULN|3BBNT|46MLV|5RMIN|8AEBURN|9aRCR
50	31232 42334	   	267.83	DCR|DCR|2MLV|1VULN	1BEXP|2VULN|3BBNT|46MLV|57RMIN|8AEPOI|9aRCR
51	31232 42534	   	267.83	DCR|DCR|2MLV|1VULN	1BEXP|2VULN|3BBNT|46MLV|57RMIN|8AEBURN|9aRCR
52	11511 35124	 * 	267.73	DCR|DCR|3ASPD|1MLV|2RAT	12RAT|2BPWR|367ASPD|4LIT|5BBNT|8aRCR|9MLV
53	31232 33334	   	267.73	DCR|DCR|2MLV|1VULN	1BEXP|2VULN|3BBNT|47MLV|5RMIN|68AEPOI|9aRCR
54	31232 33534	   	267.73	DCR|DCR|2MLV|1VULN	1BEXP|2VULN|3BBNT|47MLV|5RMIN|6AEPOI|8AEBURN|9aRCR
55	21216 35432	 * 	267.66	DCR|4VULN|2MLV|1DMG	15FEWX|2458VULN|3BBNT|5BPWR|6DMG|7aMLV|9RCR
56	31216 35432	   	267.46	DCR|4VULN|2MLV|1DMG	15BEXP|2458VULN|3BBNT|5BPWR|6DMG|7aMLV|9RCR
57	11242 22551	   	267.03	DCR|DCR|2VULN|2RAT|1CDMG	12RAT|2BPWR|3LHND|4LWND|59VULN|68RCR|7RPLT|aCDMG
58	11142 22551	   	266.93	DCR|DCR|2VULN|2RAT|1CDMG	12RAT|2BPWR|3BEXP|4LWND|59VULN|68RCR|7RPLT|aCDMG
