0	Index      	 *	Score 	Summary	Detail	
1	16347 12732	 * 	289.63	DCR|2LIT|2VULN|1MLV|1DMG|1AART|1ASPD	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8ASPD|9RCR|aAART
17	16347 24238	 * 	275.60	DCR|3LIT|3VULN|1DMG|2ZMB	19ERES|2MBVNT|359LIT|456VULN|59BPWR|7DMG|89ZMB|aRCR
18	13523 33225	   	275.52	DCR|2LIT|2VULN|2DMG|1MLV	134ERES|27LIT|57DMG|67VULN|7BPWR|8FEWX|9MLV|aRCR
19	13523 33325	   	275.52	DCR|2LIT|2VULN|2DMG|1MLV	134ERES|27LIT|57DMG|67VULN|7BPWR|8BEXP|9MLV|aRCR
20	16347 12731	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8ASPD|9RCR|aFEWX
21	16347 12733	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8ASPD|9RCR|aRCVC
22	16347 12734	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8ASPD|9RCR|aBEXP
23	33361 55321	 * 	271.57	DCR|5VULN|2LIT	127aCGEN|3457aVULN|6RCR|7aBPWR|8RCVC|9aLIT
24	16347 28123	 * 	270.74	DCR|2LIT|4VULN|1DMG	1ERES|2MBVNT|35LIT|4569VULN|5BPWR|7BELT|8RCR|aDMG
25	16347 24462	   	268.94	DCR|2LIT|4VULN|1DMG	1ERES|2MBVNT|35LIT|456aVULN|5BPWR|7DMG|8FRZICY|9RCR
26	11361 55333	 * 	268.26	DCR|5VULN|1LIT|1DMG	127ERES|34578VULN|6RCR|7BPWR|9DMG|aLIT
27	11532 21235	 * 	267.97	DCR|3LIT|4VULN	129ERES|3FEWX|479LIT|569aVULN|8RCR|9BPWR
28	11562 21235	   	267.97	DCR|3LIT|4VULN	129ERES|3FEWX|469aVULN|579LIT|8RCR|9BPWR
29	16347 17343	 * 	266.69	DCR|3LIT|2VULN|1DMG|2CDMG	1ERES|2MBVNT|359LIT|45VULN|5BPWR|6DMG|7aCDMG|8RCR
30	26122 11424	   	266.66	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1LHND|2ASPD|3CGEN|46DMG|57LIT|8RCR|9VULN|aMLV
31	26222 11425	   	266.66	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1LHND|2ASPD|3MLV|46DMG|57LIT|8RCR|9VULN|aRMIN
32	26222 11426	   	266.66	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1LHND|2ASPD|3MLV|46DMG|57LIT|8RCR|9VULN|aRCVC
33	16347 11426	   	266.57	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7DUST|8MLV|9RCR|aZMB
34	16347 12226	   	266.57	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8DUST|9RCR|aZMB
35	26222 11422	   	266.56	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1LHND|2ASPD|3MLV|46DMG|57LIT|8RCR|9VULN|aDUST
36	16347 17311	   	266.27	DCR|2LIT|2VULN|1DMG|1AART|1CDMG	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7CDMG|8RCR|9ZMB|aAART
37	16128 72311	   	265.30	DCR|2LIT|3VULN|1MLV	1ERES|2MBVNT|3CGEN|458VULN|6MLV|7RCR|9aLIT
38	16347 28112	   	265.22	DCR|2LIT|3VULN|1DMG|1CDMG	1ERES|2MBVNT|35LIT|456VULN|5BPWR|7BELT|8RCR|9CDMG|aDMG
39	62613 47442	   	264.33	DCR|3VULN|1LIT|1MLV|1CDMG|1ASPD	1MULARM|2MBVNT|3ASPD|467VULN|5LIT|8MLV|9CDMG|aRCR
40	62613 84131	   	263.75	DCR|2LIT|2VULN|1MLV|1ASPD	1MULARM|2MBVNT|3ASPD|48VULN|59LIT|6ZMB|7RCR|aMLV
41	16347 28141	   	263.60	DCR|2LIT|3VULN|1MLV	1ERES|2MBVNT|35LIT|456VULN|5BPWR|7BELT|8RCR|9LHND|aMLV
42	16347 13327	   	263.52	DCR|2LIT|3VULN|1DMG|1ASPD	1aERES|2MBVNT|35LIT|45aVULN|5aBPWR|6DMG|7ASPD|8aFEWX|9RCR
43	62613 84111	   	263.02	DCR|3VULN|1LIT|1MLV|1ASPD	1MULARM|2MBVNT|3ASPD|489VULN|5LIT|6ZMB|7RCR|aMLV
44	16128 72313	   	262.50	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|2MBVNT|3CGEN|458VULN|6MLV|7RCR|9LIT|aDMG
45	16347 16442	   	261.62	DCR|2LIT|3VULN|1DMG|1CDMG	1ERES|2MBVNT|35LIT|457VULN|5BPWR|6DMG|8FRZICY|9CDMG|aRCR
46	16347 24442	   	261.62	DCR|2LIT|3VULN|1DMG|1CDMG	1ERES|2MBVNT|35LIT|456VULN|5BPWR|7DMG|8FRZICY|9CDMG|aRCR
47	16347 28113	   	261.41	DCR|2LIT|3VULN|1AART|1CDMG	1ERES|2MBVNT|35LIT|456VULN|5BPWR|7BELT|8RCR|9CDMG|aAART
48	26222 34363	 * 	260.67	DCR|2MLV|1LIT|2VULN|1DMG|1ASPD	1LHND|2ASPD|39MLV|4DMG|5LIT|6AART|7aVULN|8RCR
49	16347 17341	   	260.38	DCR|3LIT|2VULN|1DMG|1CDMG	1ERES|2MBVNT|359LIT|45VULN|5BPWR|6DMG|7CDMG|8RCR|aLWND
50	16347 17344	   	260.38	DCR|3LIT|2VULN|1DMG|1CDMG	1ERES|2MBVNT|359LIT|45VULN|5BPWR|6DMG|7CDMG|8RCR|aTLV
51	16347 12321	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8FEWX|9RCR|aCGEN
52	16347 12325	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8aFEWX|9RCR
53	16347 12327	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8FEWX|9RCR|aLWND
54	16347 12328	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8FEWX|9RCR|aBEXP
55	16347 12521	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8LWND|9RCR|aCGEN
56	16347 12522	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8LWND|9RCR|aDMSP
57	16347 12523	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8LWND|9RCR|aFEWX
58	16347 12524	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8LWND|9RCR|aBEXP
