0	Index      	 *	Score 	Summary	Detail	
1	25323 52251	 * 	306.32	DCR|3MLV|1LIT|2VULN|2DMG|2CDMG	147MLV|2aVULN|37CDMG|5BELT|67DMG|7BPWR|8LIT|9RCR
47	25234 26425	   	280.25	ACR|2LIT|3VULN|1FLTARM|1MLV	1MLV|278VULN|3RCR|4MBVNT|5aLIT|6DUST|9FLTARM
48	25234 36425	   	280.25	ACR|2LIT|3VULN|1FLTARM|1MLV	1MLV|278VULN|3RCR|4MBVNT|5aLIT|6LEGI|9FLTARM
49	23123 34412	   	280.22	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1ASPD	1MLV|2DUST|3FLTARM|46VULN|5LIT|7ASPD|8DUR|9RCR|aDMG
50	24322 35225	   	280.18	DCR|2MLV|3VULN|1LIT|1DMG	17MLV|2CGEN|37aVULN|4DMG|5BASARM|67MULARM|7BPWR|8RCR|9LIT
51	21133 43141	   	280.01	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1MLV|2RMIN|3AART|49VULN|5DUR|6RCR|7FLTARM|8DMG|aLIT
52	21221 86125	   	279.68	DCR|2LIT|2MLV|1FLTARM|1VULN|1DMG	16MLV|2RMIN|3DMG|4VULN|5MBVNT|7aLIT|8RCR|9FLTARM
53	16111 43353	   	279.42	DCR|2LIT|2VULN|1FLTARM|1MLV	1ERES|2aLWND|3FLTARM|4RMIN|5MLV|6aVULN|7FEWX|8RCR|9aLIT|aBPWR
54	26112 25353	   	279.42	DCR|2LIT|2VULN|1FLTARM|1MLV	1MLV|2aLWND|3FLTARM|4RMIN|5FEWX|6aVULN|7ERES|8RCR|9aLIT|aBPWR
55	26113 43353	   	279.42	DCR|2LIT|2VULN|1FLTARM|1MLV	1MLV|2aLWND|3FLTARM|4RMIN|5ERES|6aVULN|7FEWX|8RCR|9aLIT|aBPWR
56	25111 55221	 * 	279.15	DCR|3MLV|4VULN|1LIT	136MLV|2356VULN|36BPWR|4DMSP|7LIT|8FEWX|9LWND|aRCR
57	25434 48121	   	279.12	DCR|2LIT|2VULN|1FLTARM|1MLV	1MLV|26VULN|3LEGI|4MBVNT|57LIT|8RCR|9FLTARM|aCGEN
58	25434 48123	   	279.12	DCR|2LIT|2VULN|1FLTARM|1MLV	1MLV|26VULN|3LEGI|4MBVNT|57LIT|8RCR|9FLTARM|aTLV
59	25434 48124	   	279.12	DCR|2LIT|2VULN|1FLTARM|1MLV	1MLV|26VULN|3LEGI|4MBVNT|57LIT|8RCR|9FLTARM|aDMSP
60	25111 55211	   	279.00	DCR|3MLV|4VULN|1LIT	136MLV|2356VULN|36BPWR|4DMSP|7LIT|8FEWX|9DUST|aRCR
61	25163 52213	   	278.98	DCR|4VULN|2MLV|1LIT	13MLV|2369VULN|3BPWR|4ERES|5LIT|7RMIN|8RCR|aBEXP
62	25163 53213	   	278.98	DCR|4VULN|2MLV|1LIT	13MLV|2369VULN|3BPWR|4ERES|5LIT|7CGEN|8RCR|aBEXP
63	25163 53232	   	278.98	DCR|4VULN|2MLV|1LIT	13MLV|236aVULN|3BPWR|4ERES|5LIT|7CGEN|8RCR|9BELT
64	25163 52211	   	278.83	DCR|4VULN|2MLV|1LIT	13MLV|2369VULN|3BPWR|4ERES|5LIT|7RMIN|8RCR|aMBVNT
65	25163 53211	   	278.83	DCR|4VULN|2MLV|1LIT	13MLV|2369VULN|3BPWR|4ERES|5LIT|7CGEN|8RCR|aMBVNT
66	25163 52212	   	278.62	DCR|4VULN|2MLV|1LIT|1SELL	13MLV|2369VULN|3BPWR|4ERES|5LIT|7RMIN|8RCR|aSELL
67	25163 53212	   	278.62	DCR|4VULN|2MLV|1LIT|1SELL	13MLV|2369VULN|3BPWR|4ERES|5LIT|7CGEN|8RCR|aSELL
68	26142 22613	   	278.61	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG|1ASPD	1MLV|2LWND|3FLTARM|4ASPD|5FEWX|6VULN|78LIT|9RCR|aCDMG
69	26146 22313	   	278.61	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG|1ASPD	1MLV|2LWND|3FLTARM|4ASPD|5LHND|6VULN|78LIT|9RCR|aCDMG
70	25121 54824	   	278.61	DCR|2MLV|1LIT|2VULN|2DMG	13MLV|23VULN|3BPWR|4DUR|5MBVNT|6RCR|7BASHEA|8LIT|9aDMG
71	33238 46337	 * 	278.47	DCR|3LIT|3VULN|2ASPD|1SELL	1AART|2MBVNT|35aVULN|49aLIT|6RCR|7SELL|8aASPD|aBPWR
72	56234 44423	   	278.38	ACR|2LIT|2VULN|2DMG|1MLV|1NUKE	19VULN|2TLV|3RCR|4MBVNT|59LIT|6FEWX|7MLV|89DMG|9BPWR|aNUKE
73	25323 11111	   	278.27	DCR|3MLV|1LIT|2VULN|1DMG|1CDMG	147MLV|2aVULN|3CDMG|5BELT|6RCR|8LIT|9DMG
74	25363 12161	   	278.15	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1MLV|248VULN|3CDMG|5BELT|6RCR|7LWND|9DMG|aLIT
75	25363 13161	   	278.15	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1MLV|248VULN|3CDMG|5BELT|6RCR|7LHND|9DMG|aLIT
76	23123 55612	   	278.11	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG	1MLV|2DUST|3FLTARM|4VULN|58LIT|6DUR|7ZMB|9RCR|aDMG
77	62222 15324	 * 	277.49	DCR|2LIT|2MLV|2VULN|2ASPD	1aLIT|27BEXP|3aASPD|4ERES|56VULN|8RCR|9aMLV|aBPWR
78	25161 32335	   	277.43	DCR|2MLV|3VULN|1LIT|1DMG	13MLV|23aVULN|3BPWR|46ERES|5DMG|7AART|8LIT|9RCR
79	52122 23324	   	277.43	DCR|3LIT|2MLV|2VULN	1aVULN|26aLIT|37RMIN|4ERES|5FEWX|8RCR|9aMLV|aBPWR
80	52315 23324	   	277.43	DCR|3LIT|2MLV|2VULN	1aVULN|25aLIT|3FEWX|4TLV|6DMSP|7NUKE|8RCR|9aMLV|aBPWR
81	23122 43165	   	277.32	DCR|2LIT|2VULN|1FLTARM|1MLV	1MLV|2DUST|3FLTARM|46VULN|5RCVC|7aLIT|8MBVNT|9RCR
82	23123 31315	   	277.32	DCR|2LIT|2VULN|1FLTARM|1MLV	1MLV|2DUST|3FLTARM|46VULN|5aLIT|7LHND|8NUKE|9RCR
83	23123 32165	   	277.32	DCR|2LIT|2VULN|1FLTARM|1MLV	1MLV|2DUST|3FLTARM|46VULN|5aLIT|7RCVC|8MBVNT|9RCR
84	23123 42162	   	277.32	DCR|2LIT|2VULN|1FLTARM|1MLV	1MLV|2DUST|3FLTARM|4aVULN|56LIT|7RCVC|8MBVNT|9RCR
85	25363 11221	   	277.21	DCR|2LIT|2MLV|2VULN|1CDMG	17MLV|24VULN|3CDMG|5BELT|6RCR|89LIT|aDMSP
86	25363 11223	   	277.21	DCR|2LIT|2MLV|2VULN|1CDMG	17MLV|24VULN|3CDMG|5BELT|6RCR|89LIT|aCGEN
87	61125 13324	   	277.13	DCR|3LIT|2MLV|2VULN	15aLIT|2ERES|3LEGI|4aVULN|6RCVC|7NUKE|8RCR|9aMLV|aBPWR
88	33231 86331	 * 	277.10	DCR|3LIT|3MLV|2VULN	1AART|2MBVNT|37VULN|457LIT|679MLV|7BPWR|8DUR|aRCR
89	33351 86331	   	277.10	DCR|3LIT|3MLV|2VULN	1AART|2MBVNT|357LIT|47VULN|679MLV|7BPWR|8DUR|aRCR
90	25521 31624	   	277.08	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1MLV|2aVULN|3ERES|4DMG|5MBVNT|6aLWND|7RCR|8CDMG|9aLIT|aBPWR
91	25363 11222	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	17MLV|24VULN|3CDMG|5BELT|6RCR|89LIT|aLEGI
92	25363 11225	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	17MLV|24VULN|3CDMG|5BELT|6RCR|89LIT|aDUST
93	25363 11226	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	17MLV|24VULN|3CDMG|5BELT|6RCR|89LIT|aMBVNT
94	25521 41624	   	276.88	DCR|2LIT|2VULN|1MLV|1DMG|2DUR|1CDMG	1MLV|2aVULN|3ERES|4DMG|5MBVNT|6aDUR|7RCR|8CDMG|9aLIT|aBPWR
95	21221 86122	   	276.54	DCR|2MLV|1LIT|2VULN|1FLTARM|1DMG	16MLV|2RMIN|3DMG|4aVULN|5MBVNT|7LIT|8RCR|9FLTARM
96	33358 44337	 * 	276.53	DCR|3LIT|2VULN|2ASPD|2CDMG	1AART|2MBVNT|39aLIT|45VULN|6RCR|7aCDMG|8aASPD|aBPWR
97	25234 43426	 * 	276.46	ACR|2LIT|2MLV|2VULN|2DMG	19MLV|2aVULN|3RCR|4MBVNT|59LIT|6FEWX|7TLV|89DMG|9BPWR
98	25234 48426	   	276.46	ACR|2LIT|2MLV|2VULN|2DMG	19MLV|2aVULN|3RCR|4MBVNT|59LIT|6FEWX|7CGEN|89DMG|9BPWR
99	25212 32364	   	276.46	ACR|2LIT|2MLV|2VULN|2DMG	1aMLV|28VULN|3RCR|4aDMG|5ERES|6LWND|7RCVC|9aLIT|aBPWR
100	25111 22435	   	276.38	DCR|4VULN|2MLV|1LIT	13MLV|235aVULN|3BPWR|4DMSP|6FEWX|7AART|8LIT|9RCR
101	25111 32435	   	276.38	DCR|4VULN|2MLV|1LIT	13MLV|235aVULN|3BPWR|4DMSP|6BEXP|7AART|8LIT|9RCR
