0	Index      	 *	Score 	Summary	Detail	
1	11313 41442	 * 	302.89	DCR|3VULN|1LIT|2DMG|1MLV|2ASPD	13DMG|23ASPD|3BPWR|48aVULN|5LIT|6RPLT|7MLV|9RCR
23	11433 43133	   	276.50	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1DMG|2ASPD|3aVULN|4ZMB|5LIT|6RCR|7MBVNT|8MLV|9CDMG
24	11433 41242	   	275.86	DCR|2LIT|3VULN|1DMG|1ASPD	1DMG|2ASPD|389VULN|4ZMB|5aLIT|6RCR|7CGEN
25	11313 43562	 * 	275.13	DCR|2LIT|2VULN|2DMG|2ASPD	13DMG|23ASPD|3BPWR|48VULN|59LIT|6RPLT|7RCR|aCGEN
26	11313 43563	   	275.13	DCR|2LIT|2VULN|2DMG|2ASPD	13DMG|23ASPD|3BPWR|48VULN|59LIT|6RPLT|7RCR|aFEWX
27	11313 43525	   	275.03	DCR|2LIT|2VULN|2DMG|2ASPD	13DMG|23ASPD|3BPWR|48VULN|5aLIT|6RPLT|7RCR|9DUR
28	11313 43561	   	275.03	DCR|2LIT|2VULN|2DMG|2ASPD	13DMG|23ASPD|3BPWR|48VULN|59LIT|6RPLT|7RCR|aLEGI
29	11313 51242	   	274.93	DCR|2LIT|2VULN|2DMG|2ASPD	13DMG|23ASPD|3BPWR|49VULN|5aLIT|68DUST|7RCR
30	11313 43532	   	274.39	DCR|3VULN|1LIT|2DMG|2ASPD	13DMG|23ASPD|3BPWR|48aVULN|5LIT|6RPLT|7RCR|9RMIN
31	22136 22126	   	274.35	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	156VULN|2DUST|3LIT|4SNITOX|7DMG|8RCR|9MLV|aASPD
32	11313 43523	   	274.29	DCR|3VULN|1LIT|2DMG|2ASPD	13DMG|23ASPD|3BPWR|48aVULN|5LIT|6RPLT|7RCR|9DUR
33	11313 51244	   	274.19	DCR|3VULN|1LIT|2DMG|2ASPD	13DMG|23ASPD|3BPWR|49aVULN|5LIT|68DUST|7RCR
34	21263 53315	   	273.75	DCR|2LIT|3VULN|1MLV|1CDMG	158VULN|2CGEN|3FEWX|4CDMG|6MLV|79LIT|aRCR
35	32217 33582	 * 	273.61	ACR|3LIT|2VULN|2DMG|1MLV	1MBVNT|2LEGI|38aLIT|4RCR|5BASHEA|68VULN|78DMG|8BPWR|9MLV
36	37834 14644	   	273.59	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1MBVNT|29TLV|3CDMG|49DMG|5LIT|6RCR|7DUR|89VULN|9BPWR|aMLV
37	23224 13631	   	273.58	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	16VULN|2LWND|3FEWX|46LIT|5RPLT|6BPWR|7DMG|8ASPD|9RCR|aMLV
38	11424 41333	   	273.48	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DMG|2ASPD|3aVULN|45LIT|6RPLT|7MLV|8RMIN|9RCR
39	22565 13321	   	273.39	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	15VULN|23DUST|48DMG|6RCR|7CDMG|9LIT|aMLV
40	11424 41131	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DMG|2ASPD|3aVULN|45LIT|6RPLT|7MLV|8ERES|9RCR
41	24324 41231	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1aVULN|2DMG|3ERES|45LIT|6RPLT|7MLV|8ASPD|9RCR
42	32642 82161	 * 	273.27	DCR|3LIT|2MLV|1VULN|1DMG	1MBVNT|2LEGI|3AART|478LIT|58MLV|6RCR|8BPWR|9DMG|aVULN
