0	Index      	 *	Score 	Summary	Detail	
1	12621 32683	 * 	287.86	DCR|3LIT|2VULN|1MLV|1CDMG|1ASPD	1CDMG|269LIT|3ASPD|48VULN|5MBVNT|7RCR|aMLV
26	12232 33166	   	270.61	DCR|3LIT|2VULN|1MLV|1CDMG	1CDMG|235LIT|4LEGI|6BEXP|7MLV|8aVULN|9RCR
27	12621 32631	   	270.57	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1CDMG|26LIT|3ASPD|48VULN|5MBVNT|7RCR|9RPLT|aMLV
28	12623 36531	   	270.57	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1CDMG|26LIT|3ASPD|48VULN|5DUST|7RCR|9RPLT|aMLV
29	12222 63166	   	270.51	DCR|3LIT|2VULN|1MLV|1CDMG|1DUR	1CDMG|235LIT|4DUR|6DUST|7MLV|8aVULN|9RCR
30	12232 23166	   	270.51	DCR|3LIT|2VULN|1MLV|1CDMG|1DUR	1CDMG|235LIT|4LEGI|6DUR|7MLV|8aVULN|9RCR
31	55612 31111	 * 	269.96	ACR|2MLV|3VULN|1LIT|2DMG	1LWND|24DMG|348VULN|4BPWR|5RCR|67MLV|9BEXP|aLIT
32	12163 66123	 * 	268.36	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	1CDMG|2aLIT|3LWND|4VULN|56DMG|7RCR|8DUST|9MLV
33	12163 36423	 * 	268.17	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|26aLIT|3LWND|4VULN|5DMG|7RCR|8FEWX|9MLV
34	12163 36623	   	268.17	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|26aLIT|3LWND|4VULN|5DMG|7RCR|8LHND|9MLV
35	12133 36523	   	268.07	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|26aLIT|3LWND|4DUST|5DMG|7RCR|8VULN|9MLV
36	12163 36123	   	268.07	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|26aLIT|3LWND|4VULN|5DMG|7RCR|8DUST|9MLV
37	12551 12253	   	266.27	DCR|3LIT|1VULN|1MLV|2CDMG|1ASPD	13CDMG|237LIT|3BPWR|4ERES|5VULN|6CGEN|8RCR|9ASPD|aMLV
38	12621 34683	   	266.17	DCR|3LIT|1VULN|1MLV|2CDMG|1ASPD	17CDMG|269LIT|3ASPD|4VULN|5MBVNT|8RCR|aMLV
39	12133 36524	 * 	265.15	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG	1CDMG|26LIT|3LWND|4DUST|5DMG|7RCR|8VULN|9aMLV
40	12163 36124	   	265.15	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG	1CDMG|26LIT|3LWND|4VULN|5DMG|7RCR|8DUST|9aMLV
41	12621 33818	   	264.92	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD|1SELL	1CDMG|26LIT|3ASPD|49VULN|5MBVNT|7MLV|8SELL|aRCR
42	12163 36422	   	264.52	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1CDMG|26LIT|3LWND|4VULN|5DMG|7RCR|8FEWX|9MLV|aASPD
43	12163 36622	   	264.52	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1CDMG|26LIT|3LWND|4VULN|5DMG|7RCR|8LHND|9MLV|aASPD
44	12133 36514	   	264.42	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1CDMG|26LIT|3LWND|4DUST|5DMG|7RCR|8VULN|9ASPD|aMLV
45	12133 36522	   	264.42	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1CDMG|26LIT|3LWND|4DUST|5DMG|7RCR|8VULN|9MLV|aASPD
46	12163 36114	   	264.42	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1CDMG|26LIT|3LWND|4VULN|5DMG|7RCR|8DUST|9ASPD|aMLV
47	12163 36122	   	264.42	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1CDMG|26LIT|3LWND|4VULN|5DMG|7RCR|8DUST|9MLV|aASPD
48	13322 16423	   	263.95	DCR|2LIT|2VULN|1MLV|1CDMG	1CDMG|23VULN|4LHND|5ZMB|6aLIT|7RCR|8FEWX|9MLV
49	13322 16123	   	263.85	DCR|2LIT|2VULN|1MLV|1CDMG	1CDMG|23VULN|4LHND|5ZMB|6aLIT|7RCR|8DUST|9MLV
50	13344 12423	   	263.85	DCR|2LIT|2VULN|1MLV|1CDMG	1CDMG|23VULN|4ZMB|5MBVNT|6aLIT|7RCR|8BEXP|9MLV
51	13344 12523	   	263.85	DCR|2LIT|2VULN|1MLV|1CDMG	1CDMG|23VULN|4ZMB|5MBVNT|6aLIT|7RCR|8FEWX|9MLV
52	13344 12723	   	263.85	DCR|2LIT|2VULN|1MLV|1CDMG	1CDMG|23VULN|4ZMB|5MBVNT|6aLIT|7RCR|8LHND|9MLV
53	13352 16125	   	263.75	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR	1CDMG|23VULN|4DUR|5ZMB|6aLIT|7RCR|8DUST|9MLV
54	13344 12631	   	263.12	DCR|3VULN|1LIT|1MLV|1CDMG	1CDMG|238VULN|4ZMB|5MBVNT|6LIT|7RCR|9RPLT|aMLV
55	13352 16531	   	263.12	DCR|3VULN|1LIT|1MLV|1CDMG|1DUR	1CDMG|238VULN|4DUR|5ZMB|6LIT|7RCR|9RPLT|aMLV
56	13333 31455	 * 	262.85	DCR|3VULN|1LIT|2DMG|2CDMG	18CDMG|238VULN|4CGEN|5ERES|68DMG|7RCVC|8BPWR|9LIT|aRCR
57	12166 52211	   	262.56	DCR|3LIT|3VULN|1CDMG	1CDMG|257LIT|3LWND|46aVULN|8RCR|9FEWX
58	12166 52223	   	262.56	DCR|3LIT|3VULN|1CDMG	1CDMG|257LIT|3LWND|46aVULN|8RCR|9AART
59	11333 32332	   	262.26	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1CDMG	1CDMG|2ERES|3ASPD|4DUST|57VULN|6DMG|8MLV|9LIT|aRCR
60	53151 13315	 * 	262.23	DCR|3VULN|3DMG|1MLV	19LWND|2BASARM|39aVULN|4MLV|5TLV|689DMG|7RCR|9BPWR
61	53152 13315	   	262.13	DCR|3VULN|3DMG|1MLV	19LWND|2BASARM|39aVULN|4MLV|5ERES|689DMG|7RCR|9BPWR
62	13344 11631	   	262.05	DCR|2LIT|2VULN|1MLV|1CDMG	1CDMG|23VULN|4ZMB|5MBVNT|67LIT|8RCR|9RPLT|aMLV
63	12621 32444	   	261.66	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1CDMG|26aLIT|3ASPD|4VULN|5MBVNT|7RCR|8BEXP|9MLV
64	12621 32744	   	261.66	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1CDMG|26aLIT|3ASPD|4VULN|5MBVNT|7RCR|8LHND|9MLV
65	12611 32646	   	261.56	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD|1DUR	1CDMG|26aLIT|3ASPD|4DUR|5MBVNT|7RCR|8VULN|9MLV
66	12611 32673	   	261.56	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD|1DUR	1CDMG|269LIT|3ASPD|4DUR|5MBVNT|7RCR|8VULN|aMLV
67	12621 32846	   	261.56	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD|1DUR	1CDMG|26aLIT|3ASPD|4VULN|5MBVNT|7RCR|8DUR|9MLV
68	12621 32873	   	261.56	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD|1DUR	1CDMG|269LIT|3ASPD|4VULN|5MBVNT|7RCR|8DUR|aMLV
69	55612 32312	 * 	261.55	ACR|2LIT|2VULN|2DMG|1MLV	1LWND|24DMG|34VULN|4BPWR|5RCR|6MLV|7MULARM|89LIT|aZMB
70	13312 25312	 * 	260.73	DCR|2LIT|4VULN|1CDMG	1CDMG|2357VULN|4BASHEA|6TLV|89LIT|aRCR
71	12621 32274	   	260.61	DCR|2LIT|3VULN|1ASPD|1CDMG	1CDMG|26LIT|3ASPD|49aVULN|5MBVNT|7RCR|8FLTHEA
72	12621 32654	   	260.51	DCR|2LIT|3VULN|1CDMG|1ASPD	1CDMG|26LIT|3ASPD|48aVULN|5MBVNT|7RCR|9BASICY
73	12621 34684	   	260.28	DCR|3LIT|2VULN|2CDMG|1ASPD	17CDMG|269LIT|3ASPD|4aVULN|5MBVNT|8RCR
74	12251 12253	   	259.86	DCR|3LIT|1VULN|1MLV|1ASPD|1CDMG	1CDMG|237LIT|4ERES|5VULN|6CGEN|8RCR|9ASPD|aMLV
75	12251 62253	   	259.86	DCR|3LIT|1VULN|1MLV|1ASPD|1CDMG	1CDMG|237LIT|4ERES|5VULN|6RMIN|8RCR|9ASPD|aMLV
76	11422 22253	   	259.76	DCR|3LIT|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2ERES|367LIT|4VULN|5NUKE|8RCR|9ASPD|aMLV
77	12163 66122	   	259.14	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG|1ASPD	1CDMG|2LIT|3LWND|4VULN|56DMG|7RCR|8DUST|9MLV|aASPD
78	12166 12263	 * 	258.45	DCR|3LIT|2MLV|1VULN|1CDMG	1CDMG|257LIT|3LWND|4VULN|6DMSP|8RCR|9aMLV
79	12621 32644	 * 	258.44	DCR|2LIT|2VULN|1DMG|1ASPD|1CDMG	1CDMG|26LIT|3ASPD|48VULN|5MBVNT|7RCR|9ERES|aDMG
80	23152 13315	   	258.04	DCR|1LIT|2VULN|2DMG|1MLV	19FEWX|2BASARM|39VULN|4MLV|58ERES|69DMG|7RCR|9BPWR|aLIT
81	12621 45444	   	257.96	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1CDMG|28aLIT|3ASPD|4VULN|5MBVNT|6DUST|7MLV|9RCR
