0	Index      	 *	Score 	Summary	Detail	
1	41232 45331	 * 	305.37	DCR|2LIT|3VULN|2DMG|2ASPD|1CDMG|1SELL	178VULN|25LIT|38ASPD|48DMG|6SELL|8BPWR|9CDMG|aRCR
19	41153 25331	   	282.80	DCR|3LIT|3VULN|1MLV	149VULN|234LIT|4BPWR|5LEGI|6BEXP|7RCR|8MLV|aTLV
20	41153 25333	   	282.80	DCR|3LIT|3VULN|1MLV	149VULN|234LIT|4BPWR|5LEGI|6BEXP|7RCR|8MLV|aFEWX
21	41231 45331	 * 	282.50	DCR|3VULN|1LIT|2DMG|2ASPD|1CDMG|1SELL	178VULN|2LIT|38ASPD|48DMG|5DMSP|6SELL|8BPWR|9CDMG|aRCR
22	41154 23131	   	281.10	DCR|3LIT|3VULN|1MLV	145VULN|234LIT|45BPWR|6RPLT|7LHND|8RCR|9MLV|aRCVC
23	41154 23133	   	281.10	DCR|3LIT|3VULN|1MLV	145VULN|234LIT|45BPWR|6RPLT|7LHND|8RCR|9MLV|aBEXP
24	41154 23132	   	281.00	DCR|3LIT|3VULN|1MLV	145VULN|234LIT|45BPWR|6RPLT|7LHND|8RCR|9MLV|aCANARM
25	41151 34223	   	279.55	DCR|3LIT|2VULN|1MLV|1CDMG	14VULN|234LIT|4BPWR|5LWND|6ZMB|7AART|8RCR|9MLV|aCDMG
26	41152 34223	   	279.55	DCR|3LIT|2VULN|1MLV|1CDMG	14VULN|234LIT|4BPWR|5LHND|6ZMB|7AART|8RCR|9MLV|aCDMG
27	41153 34223	   	279.45	DCR|3LIT|2VULN|1MLV|1CDMG	14VULN|234LIT|4BPWR|5LEGI|6ZMB|7AART|8RCR|9MLV|aCDMG
28	41155 33223	   	279.45	DCR|3LIT|2VULN|1MLV|1CDMG	14VULN|234LIT|4BPWR|5ZMB|6DUR|7AART|8RCR|9MLV|aCDMG
29	41114 44848	   	279.35	DCR|3LIT|2VULN|1MLV|1CDMG	1aVULN|237LIT|4MBVNT|5CDMG|6MLV|8RCR|9ZMB
30	41156 13213	   	278.17	DCR|3LIT|2VULN|2DMG|1ASPD	14VULN|234LIT|4BPWR|5BEXP|69DMG|7AART|8RCR|aASPD
31	41152 33336	   	277.65	DCR|3LIT|2VULN|1MLV|1CDMG	14VULN|234LIT|4BPWR|5LHND|6ZMB|7MULHEA|8MLV|9RCR|aCDMG
32	41116 38214	 * 	277.42	DCR|2LIT|2VULN|1FLTARM|1MLV	1aVULN|23LIT|4MBVNT|5CGEN|6FLTARM|7MLV|8BEXP|9RCR
33	41152 13331	   	277.12	DCR|3LIT|2VULN|1MLV|1DMG	14VULN|234LIT|4BPWR|5LHND|6DMG|7MULHEA|8MLV|9RCR|aCGEN
34	41152 13332	   	277.12	DCR|3LIT|2VULN|1MLV|1DMG	14VULN|234LIT|4BPWR|5LHND|6DMG|7MULHEA|8MLV|9RCR|aFEWX
35	41152 13253	   	277.12	DCR|3LIT|2VULN|1MLV|1DMG	14VULN|234LIT|4BPWR|5LHND|6DMG|7MULHEA|8RCVC|9RCR|aMLV
36	41152 13333	   	277.02	DCR|3LIT|2VULN|1MLV|1DMG	14VULN|234LIT|4BPWR|5LHND|6DMG|7MULHEA|8MLV|9RCR|aDUR
37	41152 13334	   	277.02	DCR|3LIT|2VULN|1MLV|1DMG	14VULN|234LIT|4BPWR|5LHND|6DMG|7MULHEA|8MLV|9RCR|aDUST
38	41115 13161	   	276.27	DCR|3LIT|2VULN|2DMG|1ASPD	1aVULN|23aLIT|4MBVNT|5DUR|6ASPD|7AART|8aDMG|9RCR|aBPWR
