0	Index      	 *	Score 	Summary	Detail	
1	34211 13536	 * 	307.85	DCR|DCR|1TLV|1LIT|1VULN|1ASPD|1CDMG	1BEXP|2ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|9LIT|aCDMG
24	44311 21151	   	289.52	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1DUST|2ASPD|3TBNT|4BBNT|5TLV|6LIT|79RCR|8CDMG|aAART
25	54111 11132	 * 	288.30	DCR|DCR|2TLV|1MLV|1ASPD	1FEWX|2ASPD|3BBNT|4TBNT|59TLV|6CGEN|7MLV|8aRCR
26	54111 13532	   	288.30	DCR|DCR|2TLV|1MLV|1ASPD	1FEWX|2ASPD|3BBNT|4TBNT|59TLV|6CGEN|7aRCR|8MLV
27	54111 31132	   	288.30	DCR|DCR|2TLV|1MLV|1ASPD	1FEWX|2ASPD|3BBNT|4TBNT|59TLV|6RMIN|7MLV|8aRCR
28	54311 11132	   	288.30	DCR|DCR|2TLV|1MLV|1ASPD	1FEWX|2ASPD|3TBNT|4BBNT|59TLV|6CGEN|7MLV|8aRCR
29	54311 13532	   	288.30	DCR|DCR|2TLV|1MLV|1ASPD	1FEWX|2ASPD|3TBNT|4BBNT|59TLV|6CGEN|7aRCR|8MLV
30	54311 31132	   	288.30	DCR|DCR|2TLV|1MLV|1ASPD	1FEWX|2ASPD|3TBNT|4BBNT|59TLV|6RMIN|7MLV|8aRCR
31	34111 21156	   	287.62	DCR|DCR|1TLV|1LIT|2CDMG|1ASPD	1BEXP|2ASPD|3BBNT|4TBNT|5TLV|6LIT|79RCR|8aCDMG
32	34311 21156	   	287.62	DCR|DCR|1TLV|1LIT|2CDMG|1ASPD	1BEXP|2ASPD|3TBNT|4BBNT|5TLV|6LIT|79RCR|8aCDMG
33	21351 11236	 * 	285.15	DCR|DCR|2TLV|1VULN|2AART	1RCVC|2DUR|3aTLV|4LWND|5VULN|69RCR|78AART
34	34211 13542	 * 	282.86	DCR|DCR|1TLV|1VULN|2ASPD	1BEXP|29ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|aAART
35	51313 15232	 * 	281.38	DCR|2VULN|2TLV|2DMG|1MLV	12FEWX|3aTLV|4DUR|5BEXP|6RCR|7aVULN|8MLV|9aDMG|aBPWR
36	34111 21152	   	281.31	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1BEXP|2ASPD|3BBNT|4TBNT|5TLV|6LIT|79RCR|8CDMG|aLWND
37	34111 21153	   	281.31	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1BEXP|2ASPD|3BBNT|4TBNT|5TLV|6LIT|79RCR|8CDMG|aRCVC
38	34111 21155	   	281.31	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1BEXP|2ASPD|3BBNT|4TBNT|5TLV|6LIT|79RCR|8CDMG|aBELT
39	34311 21152	   	281.31	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1BEXP|2ASPD|3TBNT|4BBNT|5TLV|6LIT|79RCR|8CDMG|aLWND
40	34311 21153	   	281.31	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1BEXP|2ASPD|3TBNT|4BBNT|5TLV|6LIT|79RCR|8CDMG|aRCVC
41	34311 21155	   	281.31	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1BEXP|2ASPD|3TBNT|4BBNT|5TLV|6LIT|79RCR|8CDMG|aBELT
42	54111 21152	   	281.31	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1FEWX|2ASPD|3BBNT|4TBNT|5TLV|6LIT|79RCR|8CDMG|aLWND
43	54111 21153	   	281.31	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1FEWX|2ASPD|3BBNT|4TBNT|5TLV|6LIT|79RCR|8CDMG|aRCVC
44	54311 21152	   	281.31	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1FEWX|2ASPD|3TBNT|4BBNT|5TLV|6LIT|79RCR|8CDMG|aLWND
45	54311 21153	   	281.31	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1FEWX|2ASPD|3TBNT|4BBNT|5TLV|6LIT|79RCR|8CDMG|aRCVC
46	51332 15232	   	281.28	DCR|2VULN|2TLV|2DMG|1MLV	12FEWX|3aTLV|4DUST|5DUR|6RCR|7aVULN|8MLV|9aDMG|aBPWR
47	44111 21152	   	281.21	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1DUST|2ASPD|3BBNT|4TBNT|5TLV|6LIT|79RCR|8CDMG|aLWND
48	44111 21153	   	281.21	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1DUST|2ASPD|3BBNT|4TBNT|5TLV|6LIT|79RCR|8CDMG|aRCVC
49	44311 21152	   	281.21	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1DUST|2ASPD|3TBNT|4BBNT|5TLV|6LIT|79RCR|8CDMG|aLWND
50	44311 21153	   	281.21	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1DUST|2ASPD|3TBNT|4BBNT|5TLV|6LIT|79RCR|8CDMG|aRCVC
51	23344 11233	   	281.19	DCR|DCR|2TLV|1VULN|1ASPD	1RCVC|2VULN|3MDPS|45TLV|69RCR|7AART|8DMSP|aASPD
52	21351 11232	 * 	279.97	DCR|DCR|1TLV|1VULN|1MLV|2AART	1RCVC|2DUR|3TLV|4LWND|5VULN|69RCR|78AART|aMLV
