0	Index      	 *	Score 	Summary	Detail	
1	51335 62222	 * 	227.68	ACR|1BASARM|2DMG|2BEXP|1AART|1CDMG	1AAC|2RPLT|36DMG|4RCR|5BASARM|7CDMG|89BEXP|aAART
19	61343 12126	   	220.09	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP	1AEFBLL|2RCR|35VULN|4LIT|6DMG|7LWND|8BASARM|9BEXP|aAART
20	51335 62311	   	219.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1AAC|2RPLT|36DMG|4RCR|5BASARM|7CDMG|8ASPD|9FEWX|aBEXP
21	51335 62332	   	219.16	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1AAC|2RPLT|36DMG|4RCR|5BASARM|7CDMG|8ASPD|9MDPS|aBEXP
22	61531 22343	 * 	219.10	ACR|3VULN|1BASARM|2ASPD|1SELL	1AEFBLL|2RCR|3SELL|4MDPS|569VULN|7aASPD|8BASARM
23	61226 23236	 * 	217.82	ACR|2VULN|3BEXP|1ASPD|1DMG|1CDMG	1AEFBLL|2RCR|3DMG|469BEXP|58VULN|7CDMG|aASPD
24	23215 31263	   	217.71	ACR|1BASARM|3BEXP|1DMG|1AART	14AME|2RCR|34aBEXP|4BPWR|5AART|6LHND|7BASARM|8CGEN|9DMG
25	61343 12162	   	217.71	ACR|2VULN|1BASARM|1DMG|1BEXP|1CDMG	1AEFBLL|2RCR|35VULN|4LIT|6DMG|7LWND|8BASARM|9CDMG|aBEXP
26	61343 14111	   	217.71	ACR|2VULN|1BASARM|1DMG|1BEXP|1CDMG	1AEFBLL|2RCR|35VULN|4LIT|6DMG|7BEXP|8BASARM|9RPLT|aCDMG
27	23215 31163	 * 	217.69	ACR|1BASARM|2BEXP|2AART|1DMG	14AME|2RCR|34BEXP|4BPWR|58AART|6LHND|7BASARM|9DMG|aDUR
28	23215 31164	   	217.69	ACR|1BASARM|2BEXP|2AART|1DMG	14AME|2RCR|34BEXP|4BPWR|58AART|6LHND|7BASARM|9DMG|aLWND
29	23215 31165	   	217.69	ACR|1BASARM|2BEXP|2AART|1DMG	14AME|2RCR|34BEXP|4BPWR|58AART|6aLHND|7BASARM|9DMG
30	23215 31161	   	217.59	ACR|1BASARM|2BEXP|2AART|1DMG	14AME|2RCR|34BEXP|4BPWR|58AART|6LHND|7BASARM|9DMG|aERES
31	51335 21253	   	217.39	ACR|1BASARM|2ASPD|2DMG|2AAC	19AAC|2RPLT|38DMG|4RCR|5BASARM|6aASPD|7LHND
32	61343 14122	 * 	216.47	ACR|2VULN|1BASARM|2BEXP|1DMG	1AEFBLL|2RCR|35VULN|4LIT|6DMG|79BEXP|8BASARM|aLWND
33	23126 22653	 * 	216.47	ACR|2VULN|1BASARM|2BEXP|1ASPD	1AME|2RCR|3DMSP|46BEXP|57VULN|8BASARM|9RPLT|aASPD
34	23216 22532	 * 	216.39	ACR|1BASARM|3BEXP|1VULN|1ASPD	14AME|2RCR|346BEXP|4BPWR|5VULN|7LWND|8LHND|9BASARM|aASPD
35	23216 25532	   	216.39	ACR|1BASARM|3BEXP|1VULN|1ASPD	14AME|2RCR|346BEXP|4BPWR|5VULN|7DUR|8LHND|9BASARM|aASPD
36	61343 14121	   	216.37	ACR|2VULN|1BASARM|2BEXP|1DMG	1AEFBLL|2RCR|35VULN|4LIT|6DMG|79BEXP|8BASARM|aAEMAG
37	61343 14123	   	216.37	ACR|2VULN|1BASARM|2BEXP|1DMG	1AEFBLL|2RCR|35VULN|4LIT|6DMG|79BEXP|8BASARM|aMSLFST
38	23216 23432	   	216.29	ACR|1BASARM|3BEXP|1VULN|1ASPD	14AME|2RCR|346BEXP|4BPWR|5VULN|7DUST|8DUR|9BASARM|aASPD
39	23266 22613	   	216.23	ACR|2VULN|1BASARM|2BEXP|1DMG|1SELL	1AME|2RCR|36BEXP|4DMSP|57VULN|8BASARM|9SELL|aDMG
40	23126 22613	   	216.23	ACR|2VULN|1BASARM|2BEXP|1DMG|1SELL	1AME|2RCR|3DMSP|46BEXP|57VULN|8BASARM|9SELL|aDMG
41	12548 34262	 * 	216.02	ACR|3BEXP|2ASPD|2DMG|2CDMG	1aCDMG|2aDMG|3MBVNT|468BEXP|5RCR|7aASPD|9RMIN|aBPWR
42	23254 63113	   	215.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1AME|2RCR|3BEXP|4MLV|56ASPD|7LIT|8BASARM|9RPLT|aDMG
43	61226 23262	 * 	215.34	ACR|2VULN|3BEXP|2DMG|1CDMG	1AEFBLL|2RCR|39DMG|46aBEXP|58VULN|7CDMG
44	51335 33141	 * 	215.29	ACR|2BASARM|2DMG|2BEXP	1AAC|2RPLT|39DMG|4RCR|59BASARM|6TLV|7ERES|89BEXP|9BPWR|aRCVC
45	61225 63333	   	215.27	ACR|3ASPD|1VULN|1DMG|1BEXP|1AART	1AEFBLL|2RCR|3DMG|4BEXP|5AART|6VULN|78aASPD|9DUR
46	23512 14126	   	215.22	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|3LIT|4TLV|5RCVC|6DMG|79BEXP|8BASARM|aASPD
47	51335 33142	   	214.97	ACR|2BASARM|2DMG|2BEXP	1AAC|2RPLT|39DMG|4RCR|59BASARM|6TLV|7ERES|89BEXP|9BPWR|aCGEN
48	51335 33143	   	214.97	ACR|2BASARM|2DMG|2BEXP	1AAC|2aRPLT|39DMG|4RCR|59BASARM|6TLV|7ERES|89BEXP|9BPWR
49	23242 16126	   	214.89	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|39BEXP|4LIT|5CGEN|6RCVC|7DMG|8BASARM|aASPD
50	61155 31321	   	214.87	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART|1AAC	1AEFBLL|2RCR|3FEWX|4CGEN|5AART|6BEXP|7BASARM|8VULN|9ASPD|aAAC
51	23215 63223	 * 	214.83	ACR|2VULN|2ASPD|2BEXP|1AART|1AAC	14aAME|2RCR|34BEXP|4aBPWR|5AART|6aVULN|7aASPD|8BELT|9AAC
52	23243 16126	   	214.79	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|39BEXP|4LIT|5ERES|6RCVC|7DMG|8BASARM|aASPD
53	23215 31256	   	214.75	ACR|1BASARM|2BEXP|1ASPD|1AART|1AAC	14AME|2RCR|34BEXP|4BPWR|5AART|6LHND|7BASARM|8CGEN|9AAC|aASPD
54	23215 31621	   	214.75	ACR|1BASARM|2BEXP|1ASPD|1AART|1AAC	14AME|2RCR|34BEXP|4BPWR|5AART|6LHND|7BASARM|8FEWX|9ASPD|aAAC
55	61225 22211	 * 	214.23	ACR|3BEXP|2AART|1ASPD|1DMG|1CDMG	1AEFBLL|2RCR|3DMG|489BEXP|57AART|6CDMG|aASPD
56	51335 62211	   	214.03	ACR|1BASARM|2DMG|2BEXP|1CDMG	1AAC|2RPLT|36DMG|4RCR|5BASARM|7CDMG|8aBEXP|9CGEN
57	51335 62223	   	214.03	ACR|1BASARM|2DMG|2BEXP|1CDMG	1AAC|2RPLT|36DMG|4RCR|5BASARM|7CDMG|89BEXP|aFEWX
58	61341 26121	 * 	213.23	ACR|3VULN|3DMG|1ASPD	18AEFBLL|2RCR|389VULN|4LIT|5TLV|678DMG|8BPWR|aASPD
59	23221 31431	   	212.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|36BEXP|4DUR|5FEWX|7ASPD|8DMG|9LWND|aBASARM
60	23221 33431	   	212.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|36BEXP|4DUR|5FEWX|7DMG|8ASPD|9LWND|aBASARM
61	23223 41431	   	212.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|35BEXP|45DUR|5BPWR|6DUST|7ASPD|8DMG|9LWND|aBASARM
62	23223 43431	   	212.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|35BEXP|45DUR|5BPWR|6DUST|7DMG|8ASPD|9LWND|aBASARM
63	23233 41461	   	212.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|35BEXP|45LWND|5BPWR|6DUST|7ASPD|8DMG|9DUR|aBASARM
64	23233 43461	   	212.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|35BEXP|45LWND|5BPWR|6DUST|7DMG|8ASPD|9DUR|aBASARM
65	23242 33126	   	212.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|39BEXP|4LIT|57CGEN|6DMG|8BASARM|aASPD
66	23254 53113	   	212.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|36BEXP|4MLV|5ASPD|7LIT|8BASARM|9RPLT|aDMG
67	23213 41431	   	212.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	14AME|2RCR|34BEXP|4BPWR|5DUR|6DUST|7ASPD|8DMG|9LWND|aBASARM
68	23213 43431	   	212.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	14AME|2RCR|34BEXP|4BPWR|5DUR|6DUST|7DMG|8ASPD|9LWND|aBASARM
69	23222 41431	   	212.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|35BEXP|4DUR|6DUST|7ASPD|8DMG|9LWND|aBASARM
70	23222 43431	   	212.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|35BEXP|4DUR|6DUST|7DMG|8ASPD|9LWND|aBASARM
71	23232 41461	   	212.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|35BEXP|4LWND|6DUST|7ASPD|8DMG|9DUR|aBASARM
72	23232 43461	   	212.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|35BEXP|4LWND|6DUST|7DMG|8ASPD|9DUR|aBASARM
73	23242 32126	   	212.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|39BEXP|4LIT|5CGEN|6DMG|7AEMAG|8BASARM|aASPD
74	23431 12342	   	212.68	ACR|1BASARM|1ASPD|1DMG|1VULN|1CDMG	1AME|2RCR|3MDPS|4CDMG|56ERES|7ASPD|8BASARM|9VULN|aDMG
75	23462 31431	   	212.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	14AME|2RCR|3MDPS|56BEXP|7ASPD|8DMG|9LWND|aBASARM
76	23462 33431	   	212.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	14AME|2RCR|3MDPS|56BEXP|7DMG|8ASPD|9LWND|aBASARM
77	23243 32126	   	212.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|39BEXP|4LIT|5ERES|6DMG|7AEMAG|8BASARM|aASPD
78	23511 14126	   	212.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|3LIT|4TLV|5AEMAG|6DMG|79BEXP|8BASARM|aASPD
79	61222 53126	   	212.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AEFBLL|2RCR|3DMG|49BEXP|5AME|6ERES|7LIT|8BASARM|aASPD
80	23266 22633	   	212.38	ACR|2VULN|1BASARM|2BEXP|1AART	1AME|2RCR|36BEXP|4DMSP|57VULN|8BASARM|9TLV|aAART
81	23126 22633	   	212.38	ACR|2VULN|1BASARM|2BEXP|1AART	1AME|2RCR|3DMSP|46BEXP|57VULN|8BASARM|9TLV|aAART
82	23125 31266	   	211.67	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AME|2RCR|3DMSP|4BEXP|5AART|6LHND|7BASARM|8CGEN|9DMG|aASPD
83	23132 52515	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AME|2RCR|3DMSP|4AIRARM|5FEWX|6ASPD|7BEXP|8BASARM|9CDMG|aDMG
84	23132 52536	   	211.57	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1AME|2RCR|3DMSP|4AIRARM|5FEWX|6ASPD|7BEXP|8BASARM|9VULN|aDMG
85	23132 52561	   	211.57	ACR|1BASARM|1ASPD|1BASICY|1AART|1BEXP	1AME|2RCR|3DMSP|4AIRARM|5FEWX|6ASPD|7BEXP|8BASARM|9AART|aBASICY
86	61232 32536	   	211.57	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1AEFBLL|2RCR|3DMG|4SPLREG|5FEWX|6CGEN|7BEXP|8BASARM|9VULN|aASPD
87	61232 32561	   	211.57	ACR|1BASARM|1DMG|1BASICY|1AART|1BEXP	1AEFBLL|2RCR|3DMG|4SPLREG|5FEWX|6CGEN|7BEXP|8BASARM|9AART|aBASICY
88	61231 22536	   	211.47	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1AEFBLL|2RCR|3DMG|4SPLREG|5ERES|6FEWX|7BEXP|8BASARM|9VULN|aASPD
89	61523 32322	   	211.43	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1SELL	1AEFBLL|2RCR|3SELL|4DUR|5VULN|6BEXP|7ASPD|8BASARM|9LHND|aDMG
90	61523 32362	   	211.43	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1SELL	1AEFBLL|2RCR|3SELL|4DUR|5VULN|6BEXP|7ASPD|8BASARM|9FEWX|aDMG
91	23215 31235	   	211.30	ACR|1BASARM|3BEXP|1VULN|1AART	14AME|2RCR|34aBEXP|4BPWR|5AART|6LHND|7BASARM|8CGEN|9VULN
92	23125 31114	   	211.28	ACR|1BASARM|2BEXP|2AART|1CDMG	1AME|2RCR|3DMSP|49BEXP|58AART|6LHND|7BASARM|aCDMG
93	23265 31114	   	211.28	ACR|1BASARM|2BEXP|2AART|1CDMG	1AME|2RCR|39BEXP|4DMSP|58AART|6LHND|7BASARM|aCDMG
94	61125 31114	   	211.28	ACR|1BASARM|2BEXP|2AART|1CDMG	1AEFBLL|2RCR|3FEWX|4MLV|58AART|69BEXP|7BASARM|aCDMG
95	23215 31335	   	211.20	ACR|1BASARM|3BEXP|1VULN|1AART	14AME|2RCR|34aBEXP|4BPWR|5AART|6LHND|7BASARM|8ERES|9VULN
96	23215 31441	   	211.20	ACR|1BASARM|3BEXP|1CDMG|1AART	14AME|2RCR|34aBEXP|4BPWR|5AART|6LHND|7BASARM|8LSRREG|9CDMG
97	61135 31114	   	211.18	ACR|1BASARM|2BEXP|2AART|1CDMG	1AEFBLL|2RCR|3FEWX|4TLV|58AART|69BEXP|7BASARM|aCDMG
98	23233 21461	 * 	210.69	ACR|2VULN|2DMG|2BEXP|1ASPD	19AME|2RCR|35BEXP|459LWND|59BPWR|6aVULN|7ASPD|89DMG
99	23233 23461	 * 	210.69	ACR|2VULN|2ASPD|2BEXP|1DMG	19AME|2RCR|35BEXP|459LWND|59BPWR|6aVULN|7DMG|89ASPD
100	61343 12115	 * 	210.47	ACR|2VULN|1BASARM|1ASPD|1DMG	1AEFBLL|2RCR|35VULN|4LIT|6DMG|7LWND|8BASARM|9RPLT|aASPD
101	61226 22136	   	210.39	ACR|2VULN|2DMG|2BEXP|1ASPD	1AEFBLL|2RCR|3aDMG|46BEXP|57VULN|8DUST|9ASPD
102	23254 33126	 * 	210.38	ACR|1BASARM|2ASPD|2BEXP	1AME|2RCR|39BEXP|46MLV|5aASPD|7LIT|8BASARM
103	23254 63122	   	210.38	ACR|1BASARM|2ASPD|2BEXP	1AME|2RCR|39BEXP|4MLV|56ASPD|7LIT|8BASARM|aLWND
104	23425 12162	   	210.37	ACR|2VULN|1BASARM|1ASPD|1DMG	1AME|2RCR|3MDPS|4ASPD|5DUR|67VULN|8MLV|9DMG|aBASARM
105	61343 12133	   	210.37	ACR|2VULN|1BASARM|1ASPD|1DMG	1AEFBLL|2RCR|35VULN|4LIT|6DMG|7LWND|8BASARM|9VENFST|aASPD
106	23254 13126	   	210.28	ACR|1BASARM|2ASPD|2BEXP	16AME|2RCR|39BEXP|4MLV|5aASPD|7LIT|8BASARM
107	23254 63121	   	210.28	ACR|1BASARM|2ASPD|2BEXP	1AME|2RCR|39BEXP|4MLV|56ASPD|7LIT|8BASARM|aAEFBLL
108	23254 63123	   	210.28	ACR|1BASARM|2ASPD|2BEXP	1AME|2RCR|39BEXP|4MLV|56ASPD|7LIT|8BASARM|aMSLFST
109	61531 22322	   	210.13	ACR|2VULN|1BASARM|1DMG|1ASPD|1SELL	1AEFBLL|2RCR|3SELL|4MDPS|56VULN|7ASPD|8BASARM|9LHND|aDMG
110	61531 22332	   	210.13	ACR|2VULN|1BASARM|1ASPD|1DMG|1SELL	1AEFBLL|2RCR|3SELL|4MDPS|56VULN|7ASPD|8BASARM|9DUR|aDMG
111	61531 22362	   	210.13	ACR|2VULN|1BASARM|1ASPD|1DMG|1SELL	1AEFBLL|2RCR|3SELL|4MDPS|56VULN|7ASPD|8BASARM|9FEWX|aDMG
112	51335 52222	   	210.09	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1AAC|26RPLT|3DMG|4RCR|5BASARM|7CDMG|89BEXP|aAART
113	61225 22136	 * 	210.01	ACR|2BEXP|1VULN|2AART|1DMG|1CDMG|1AAC	1AEFBLL|2RCR|3DMG|49BEXP|57AART|6CDMG|8VULN|aAAC
114	51335 12222	   	209.99	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1AAC|2RPLT|3DMG|4RCR|5BASARM|6AEFBLL|7CDMG|89BEXP|aAART
115	23126 23552	   	209.98	ACR|1BASARM|3BEXP|1VULN|1CDMG	1AME|2RCR|3DMSP|468BEXP|5VULN|7CDMG|9MLV|aBASARM
116	23266 23512	   	209.88	ACR|1BASARM|3BEXP|1VULN|1CDMG	1AME|2RCR|368BEXP|4DMSP|5VULN|7CDMG|9TLV|aBASARM
117	23126 23512	   	209.88	ACR|1BASARM|3BEXP|1VULN|1CDMG	1AME|2RCR|3DMSP|468BEXP|5VULN|7CDMG|9TLV|aBASARM
118	61343 14131	   	209.84	ACR|2VULN|1BASARM|1DMG|1BEXP|1AAC	1AEFBLL|2RCR|35VULN|4LIT|6DMG|7BEXP|8BASARM|9ERES|aAAC
119	61225 22312	 * 	209.37	ACR|2BEXP|2AART|1VULN|1DMG|2CDMG	19AEFBLL|2RCR|3DMG|49BEXP|57AART|69CDMG|8BELT|9BPWR|aVULN
120	61225 21313	   	209.25	ACR|2BEXP|1ASPD|1DMG|1VULN|1CDMG|1AART	1AEFBLL|2RCR|3DMG|49BEXP|5AART|6CDMG|7DUR|8ASPD|aVULN
121	61225 26313	   	209.25	ACR|2BEXP|1ASPD|1DMG|1VULN|1CDMG|1AART	1AEFBLL|2RCR|3DMG|49BEXP|5AART|6CDMG|7FEWX|8ASPD|aVULN
122	23254 63111	   	209.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1AME|2RCR|3BEXP|4MLV|56ASPD|7LIT|8BASARM|9RPLT|aCDMG
123	61225 24313	   	209.15	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART|1CDMG	1AEFBLL|2RCR|3DMG|49BEXP|5AART|6CDMG|7DUST|8ASPD|aVULN
124	61141 11124	   	209.09	ACR|1BASARM|2DMG|1VULN|1BEXP	1AEFBLL|2RCR|3FEWX|4LIT|5AEMAG|6aDMG|7VULN|8BASARM|9BEXP
125	61232 32515	   	209.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1AEFBLL|2RCR|3aDMG|4SPLREG|5FEWX|6CGEN|7BEXP|8BASARM|9CDMG
126	61231 22515	   	208.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	1AEFBLL|2RCR|3aDMG|4SPLREG|5ERES|6FEWX|7BEXP|8BASARM|9CDMG
127	23215 31112	 * 	208.89	ACR|1BASARM|3BEXP|2AART	14AME|2RCR|349BEXP|4BPWR|58AART|6LHND|7BASARM|aMLV
128	23215 31113	   	208.89	ACR|1BASARM|3BEXP|2AART	14AME|2RCR|349BEXP|4BPWR|58AART|6LHND|7BASARM|aDUR
129	23215 31115	   	208.89	ACR|1BASARM|3BEXP|2AART	14AME|2RCR|349BEXP|4BPWR|58AART|6aLHND|7BASARM
130	23215 31116	   	208.89	ACR|1BASARM|3BEXP|2AART	14AME|2RCR|349BEXP|4BPWR|58AART|6LHND|7BASARM|aCGEN
131	23215 31663	   	208.89	ACR|1BASARM|3BEXP|2AART	14AME|2RCR|34aBEXP|4BPWR|59AART|6LHND|7BASARM|8FEWX
132	61226 22122	   	208.80	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	1AEFBLL|2RCR|3DMG|46BEXP|57VULN|8DUST|9AART|aASPD
133	23215 31111	   	208.79	ACR|1BASARM|3BEXP|2AART	14AME|2RCR|349BEXP|4BPWR|58AART|6LHND|7BASARM|aAEFBLL
134	23215 31114	   	208.79	ACR|1BASARM|3BEXP|2AART	14AME|2RCR|349BEXP|4BPWR|58AART|6LHND|7BASARM|aERES
135	23215 31231	   	208.34	ACR|1BASARM|2BEXP|1VULN|1AART|1AAC	14AME|2RCR|34BEXP|4BPWR|5AART|6LHND|7BASARM|8CGEN|9VULN|aAAC
136	23215 31331	   	208.24	ACR|1BASARM|2BEXP|1VULN|1AART|1AAC	14AME|2RCR|34BEXP|4BPWR|5AART|6LHND|7BASARM|8ERES|9VULN|aAAC
137	61215 22131	 * 	208.19	ACR|1VULN|2AART|1ASPD|1DMG|1BEXP|1CDMG	1AEFBLL|2RCR|3DMG|4LWND|57AART|6CDMG|8VULN|9BEXP|aASPD
138	61215 22261	   	208.19	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1AEFBLL|2RCR|3DMG|4LWND|57AART|6CDMG|8BEXP|9VULN|aASPD
139	61225 22111	   	208.19	ACR|1VULN|2AART|1ASPD|1DMG|1BEXP|1CDMG	1AEFBLL|2RCR|3DMG|4BEXP|57AART|6CDMG|8VULN|9FEWX|aASPD
140	61225 22121	   	208.09	ACR|1VULN|2AART|1ASPD|1DMG|1BEXP|1CDMG	1AEFBLL|2RCR|3DMG|4BEXP|57AART|6CDMG|8VULN|9DUST|aASPD
141	61343 13363	   	208.01	ACR|3VULN|2DMG|1ASPD|1BEXP	1AEFBLL|2RCR|358VULN|4LIT|67DMG|9ASPD|aBEXP
142	61343 23143	   	208.01	ACR|3VULN|2DMG|1ASPD|1BEXP	18AEFBLL|2RCR|358VULN|4LIT|6AME|78DMG|8BPWR|9ASPD|aBEXP
143	61363 12343	 * 	208.00	ACR|1BASARM|2VULN|2ASPD	1AEFBLL|2RCR|39VULN|45FEWX|6RPLT|7aASPD|8BASARM
144	41422 31431	   	207.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUST|2MLV|3RCR|4DUR|56BEXP|7ASPD|8DMG|9LWND|aBASARM
145	41422 33431	   	207.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUST|2MLV|3RCR|4DUR|56BEXP|7DMG|8ASPD|9LWND|aBASARM
146	61225 63222	   	207.83	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART|1AAC	1AEFBLL|2RCR|3DMG|4BEXP|5AART|6VULN|7aASPD|8RCVC|9AAC
147	51335 52221	   	207.71	ACR|1BASARM|3BEXP|1DMG|1CDMG	1AAC|26RPLT|3DMG|4RCR|5BASARM|7CDMG|89aBEXP
148	23215 31563	   	207.62	ACR|1BASARM|2BEXP|1DMG|1AART	14AME|2RCR|34BEXP|4BPWR|5AART|6LHND|7BASARM|8RCVC|9DMG|aDUR
149	51335 21262	   	207.61	ACR|3DMG|1BASARM|1ASPD	1AAC|2RPLT|38aDMG|4RCR|5BASARM|6ASPD|7LHND|9FEWX
150	51335 12221	   	207.61	ACR|1BASARM|3BEXP|1DMG|1CDMG	1AAC|2RPLT|3DMG|4RCR|5BASARM|6AEFBLL|7CDMG|89aBEXP
151	61531 32343	   	207.55	ACR|1BASARM|2VULN|2ASPD|1SELL	1AEFBLL|2RCR|3SELL|4MDPS|59VULN|6AEMAG|7aASPD|8BASARM
152	23215 31561	   	207.52	ACR|1BASARM|2BEXP|1DMG|1AART	14AME|2RCR|34BEXP|4BPWR|5AART|6LHND|7BASARM|8RCVC|9DMG|aERES
153	51335 23216	   	207.51	ACR|3DMG|1BASARM|1ASPD	1AAC|2RPLT|38aDMG|4RCR|5BASARM|6ASPD|7DUST|9MLV
154	51335 63133	   	207.51	ACR|3DMG|1BASARM|1BASICY	1AAC|2RPLT|369DMG|4RCR|5BASARM|7ERES|8BASICY|aDMSP
