0	Index      	 *	Score 	Summary	Detail	
1	64228 44233	 * 	200.81	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1RCVC|27AME|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9ASPD|aCDMG
21	13512 34115	 * 	191.36	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	149DUST|2VULN|3DUR|5RCR|6BEXP|7AART|8BASARM|aASPD
22	13512 34152	   	191.36	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	14DUST|2VULN|3DUR|5RCR|6BEXP|7AART|8BASARM|9MDPS|aASPD
23	13552 36123	 * 	190.73	ACR|3VULN|1BASARM|1BEXP|1CDMG	1DUST|24aVULN|3DUR|5RCR|6BEXP|7BASARM|8LHND|9CDMG
24	62228 44152	 * 	190.58	ACR|4VULN|3DMG	1RCVC|279ERES|3MBVNT|479DMG|5RCR|6789VULN|79BPWR|aBELT
25	62228 44153	   	190.58	ACR|4VULN|3DMG	1RCVC|279ERES|3MBVNT|479DMG|5RCR|6789VULN|79BPWR|aDUR
26	62228 44151	   	190.48	ACR|4VULN|3DMG	1RCVC|279ERES|3MBVNT|479DMG|5RCR|6789VULN|79BPWR|aAME
27	62228 44154	   	190.48	ACR|4VULN|3DMG	1RCVC|279ERES|3MBVNT|479DMG|5RCR|6789VULN|79BPWR|aAEMAG
28	13512 36611	   	190.11	ACR|2VULN|1BASARM|3BEXP	14DUST|28VULN|3DUR|5RCR|69aBEXP|7BASARM
29	12461 62113	 * 	189.29	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	1DUST|2ASPD|3CDMG|4FEWX|5RCR|67aBEXP|8DMG|9VULN
30	36335 13112	 * 	187.88	ACR|3ASPD|1VULN|2CDMG|1AART	1ZMB|26CDMG|3VULN|47aASPD|5RCR|8LHND|9AART
31	36355 33133	   	187.39	ACR|2ASPD|2DMG|1VULN|1CDMG	1ZMB|2CDMG|3VULN|4aDMG|5RCR|6DMSP|79ASPD|8LHND
32	62228 44235	   	187.16	ACR|2VULN|2DMG|1ASPD|1CDMG	1RCVC|27ERES|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8LWND|9ASPD|aCDMG
33	12461 62112	   	186.33	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1AAC	1DUST|2ASPD|3CDMG|4FEWX|5RCR|67BEXP|8DMG|9VULN|aAAC
34	31352 23843	 * 	185.66	DCR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	13ZMB|23DMG|3BPWR|4VULN|5ASPD|6LIT|7MBVNT|8BEXP|9BASARM|aRCR
35	62228 41313	 * 	185.43	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG	1RCVC|2ERES|3MBVNT|4DMG|5RCR|68VULN|7CDMG|9AART|aASPD
36	64228 41313	   	185.43	ACR|2VULN|1ASPD|1DMG|1CDMG|1AART	1RCVC|2AME|3MBVNT|4DMG|5RCR|68VULN|7CDMG|9AART|aASPD
37	22455 33133	 * 	185.41	ACR|3DMG|2ASPD|1CDMG	1LHND|29ASPD|3CDMG|48aDMG|5RCR|6LWND|7TLV
38	53143 24122	 * 	185.36	ACR|2VULN|2ASPD|1DMG|1AART|1SELL	1SELL|2AART|3DMSP|48MLV|5RCR|68VULN|78ASPD|8BPWR|9DMG|aLIT
39	51611 41222	 * 	185.33	ACR|2VULN|3BEXP|1ASPD|1CDMG|1SELL	1SELL|2AAC|37LIT|4RCR|57VULN|67aBEXP|7BPWR|8CDMG|9ASPD
40	53143 24121	 * 	185.26	ACR|2VULN|2ASPD|1DMG|1AART|1SELL	1SELL|2AART|3DMSP|48MLV|5RCR|68VULN|78ASPD|8BPWR|9DMG|aERES
41	53153 24122	 * 	185.16	ACR|2VULN|2ASPD|1DMG|1AART|1SELL	1SELL|2AART|3DMSP|48TLV|5RCR|68VULN|78ASPD|8BPWR|9DMG|aLIT
42	33228 41873	   	185.11	ACR|2VULN|1ASPD|1DMG|1CDMG|1AART	1ZMB|2RCVC|3MBVNT|4DMG|5RCR|69VULN|7CDMG|8AART|aASPD
43	53153 24121	 * 	185.06	ACR|2VULN|2ASPD|1DMG|1AART|1SELL	1SELL|2AART|3DMSP|48TLV|5RCR|68VULN|78ASPD|8BPWR|9DMG|aERES
44	13512 34122	   	184.93	ACR|1BASARM|1VULN|2BEXP|1AART	14DUST|2VULN|3DUR|5RCR|69BEXP|7AART|8BASARM|aRMIN
45	13512 34123	   	184.93	ACR|1BASARM|1VULN|2BEXP|1AART	14DUST|2VULN|3DUR|5RCR|69BEXP|7AART|8BASARM|aFEWX
46	13512 34124	   	184.93	ACR|1BASARM|1VULN|2BEXP|1AART	14DUST|2VULN|3DUR|5RCR|69BEXP|7AART|8BASARM|aLIT
47	13512 34121	   	184.83	ACR|1BASARM|1VULN|2BEXP|1AART	14DUST|2VULN|3DUR|5RCR|69BEXP|7AART|8BASARM|aSPLREG
48	62228 44232	   	184.82	ACR|2VULN|2DMG|1ASPD|1BEXP	1RCVC|27ERES|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8LWND|9ASPD|aBEXP
49	64228 44231	   	184.82	ACR|2VULN|2DMG|1ASPD|1BEXP	1RCVC|27AME|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9ASPD|aCGEN
50	64228 44332	   	184.82	ACR|2VULN|2DMG|1ASPD|1BEXP	1RCVC|27AME|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8LWND|9ASPD|aBEXP
51	36355 33132	   	184.72	ACR|2ASPD|1VULN|1DMG|1CDMG|1AART	1ZMB|2CDMG|3VULN|4DMG|5RCR|6DMSP|79ASPD|8LHND|aAART
52	62228 44532	   	184.72	ACR|2VULN|2DMG|1ASPD|1BEXP	1RCVC|27ERES|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8DUST|9ASPD|aBEXP
53	64228 44234	   	184.72	ACR|2VULN|2DMG|1ASPD|1BEXP	1RCVC|27AME|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9ASPD|aAEMAG
54	33228 44245	   	184.59	ACR|2VULN|2DMG|1ASPD|1BEXP	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9FEWX|aASPD
55	33228 44287	   	184.59	ACR|2VULN|2DMG|1ASPD|1BEXP	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9CGEN|aASPD
56	33228 72274	 * 	184.49	ACR|2ASPD|2BEXP|1DMG|1AART	19ZMB|2RCVC|3MBVNT|4DMG|5RCR|6MDPS|79BEXP|89ASPD|9BPWR|aAART
57	36355 13131	   	184.42	ACR|2ASPD|1VULN|1DMG|2CDMG|1AAC	1ZMB|26CDMG|3VULN|4DMG|5RCR|79ASPD|8LHND|aAAC
58	13512 34132	   	183.94	ACR|1BASARM|1VULN|2AART|1BEXP	14DUST|2VULN|3DUR|5RCR|6BEXP|79AART|8BASARM|aRMIN
59	13512 34133	   	183.94	ACR|1BASARM|1VULN|2AART|1BEXP	14DUST|2VULN|3DUR|5RCR|6BEXP|79AART|8BASARM|aFEWX
60	13512 34134	   	183.94	ACR|1BASARM|1VULN|2AART|1BEXP	14DUST|2VULN|3DUR|5RCR|6BEXP|79AART|8BASARM|aLIT
61	13512 34131	   	183.84	ACR|1BASARM|1VULN|2AART|1BEXP	14DUST|2VULN|3DUR|5RCR|6BEXP|79AART|8BASARM|aSPLREG
62	13552 36331	   	183.83	ACR|2VULN|1BASARM|1AART|1BEXP	1DUST|24VULN|3DUR|5RCR|6BEXP|7BASARM|8RCVC|9FEWX|aAART
63	13512 36121	   	183.61	ACR|1BASARM|1VULN|2BEXP|1CDMG	14DUST|2VULN|3DUR|5RCR|6aBEXP|7BASARM|8LHND|9CDMG
64	62228 44147	 * 	183.52	ACR|3VULN|2DMG|1ASPD	1RCVC|27ERES|3MBVNT|47DMG|5RCR|678VULN|7BPWR|9DUR|aASPD
65	22455 33132	 * 	183.40	ACR|2ASPD|2DMG|1AART|1CDMG	1LHND|29ASPD|3CDMG|48DMG|5RCR|6LWND|7TLV|aAART
66	13252 41336	 * 	183.29	ACR|3VULN|1BASARM|1DMG	1DUST|249VULN|3LHND|5RCR|6TLV|7FLTARM|8DMG|aBASARM
67	31352 62111	 * 	183.28	3ASPD|3DMG|2VULN|3BEXP	138ZMB|239DMG|39aBPWR|4aVULN|59aASPD|6BELT|79aBEXP
68	36361 33114	 * 	183.00	ACR|2VULN|2ASPD|1DMG|1CDMG	1ZMB|2CDMG|39VULN|4FEWX|5RCR|6AAC|7DMG|8aASPD
69	22425 13314	 * 	182.90	ACR|2VULN|2ASPD|2CDMG|1BEXP	1LHND|2aASPD|36CDMG|4ERES|5RCR|7BEXP|89VULN
70	33228 44333	   	182.83	ACR|2VULN|2DMG|1AART|1CDMG	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8LWND|9AART|aCDMG
71	33228 44673	   	182.73	ACR|2VULN|2DMG|1AART|1CDMG	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8DUST|9AART|aCDMG
72	13512 36631	   	182.55	ACR|2VULN|1BASARM|1AART|1BEXP	14DUST|28VULN|3DUR|5RCR|6BEXP|7BASARM|9FEWX|aAART
73	13512 36135	   	182.55	ACR|1BASARM|2VULN|1AART|1BEXP	14DUST|29VULN|3DUR|5RCR|6BEXP|7BASARM|8LHND|aAART
74	13552 34112	   	182.55	ACR|2VULN|1BASARM|1AART|1BEXP	19DUST|24VULN|3DUR|5RCR|6BEXP|7AART|8BASARM|aRMIN
75	13552 34113	   	182.55	ACR|2VULN|1BASARM|1AART|1BEXP	19DUST|24VULN|3DUR|5RCR|6BEXP|7AART|8BASARM|aFEWX
76	13552 36211	   	182.55	ACR|2VULN|1BASARM|1BEXP|1AART	1DUST|24VULN|3DUR|5RCR|6BEXP|7BASARM|8ERES|9ZMB|aAART
77	13552 34111	   	182.45	ACR|2VULN|1BASARM|1AART|1BEXP	19DUST|24VULN|3DUR|5RCR|6BEXP|7AART|8BASARM|aSPLREG
78	22455 31213	   	181.37	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG	1LHND|2ASPD|3CDMG|4DMG|5RCR|6LWND|7AEMAG|89VULN|aAART
79	31431 11441	 * 	181.20	ACR|2ASPD|2DMG|2AART	19ZMB|29DMG|3LIT|4BELT|5RCR|6ERES|7aAART|89ASPD|9BPWR
80	13512 36311	   	181.08	ACR|1BASARM|3BEXP|1VULN	14DUST|2VULN|3DUR|5RCR|69aBEXP|7BASARM|8RCVC
81	22455 14211	 * 	181.02	ACR|1VULN|1ASPD|1DMG|1CDMG|1BEXP|1AART	1LHND|2ASPD|3CDMG|4DMG|5RCR|6MBVNT|7RCVC|8BEXP|9VULN|aAART
82	53143 24113	 * 	180.85	ACR|3ASPD|2VULN|1AART|1SELL	1SELL|2AART|3DMSP|48MLV|5RCR|68VULN|78aASPD|8BPWR|9DUST
83	33228 44274	   	180.84	ACR|2VULN|2DMG|1AART|1BEXP	17ZMB|2aRCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9AART
84	62228 41215	   	180.78	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG	1RCVC|2ERES|3MBVNT|4DMG|5RCR|69VULN|7CDMG|8BEXP|aASPD
85	64228 44211	   	180.75	ACR|2VULN|2DMG|1AART|1BEXP	1RCVC|27AME|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9LIT|aAART
86	53153 24113	 * 	180.65	ACR|3ASPD|2VULN|1AART|1SELL	1SELL|2AART|3DMSP|48TLV|5RCR|68VULN|78aASPD|8BPWR|9DUST
87	12461 62131	 * 	180.65	ACR|2DMG|2BEXP|1ASPD|1CDMG	1DUST|2ASPD|3CDMG|4FEWX|5RCR|67BEXP|89DMG|aLWND
88	12461 62133	   	180.65	ACR|2DMG|2BEXP|1ASPD|1CDMG	1DUST|2ASPD|3CDMG|4FEWX|5RCR|67BEXP|89DMG|aRPLT
89	13252 35116	 * 	180.65	ACR|2VULN|2ASPD|1DMG|1BEXP	1DUST|24VULN|3LHND|5RCR|6BEXP|79ASPD|8LIT|aDMG
90	23152 32233	 * 	180.65	ACR|3VULN|2BEXP|1ASPD|1CDMG	1LHND|248VULN|3LWND|5RCR|67BEXP|9ASPD|aCDMG
91	23152 35213	   	180.65	ACR|3VULN|2BEXP|1ASPD|1CDMG	1LHND|249VULN|3LWND|5RCR|68BEXP|7ASPD|aCDMG
92	12461 62132	   	180.55	ACR|2DMG|2BEXP|1ASPD|1CDMG	1DUST|2ASPD|3CDMG|4FEWX|5RCR|67BEXP|89DMG|aAME
93	13152 33633	   	180.55	ACR|3VULN|2BEXP|1ASPD|1CDMG	1DUST|247VULN|3LWND|5RCR|68BEXP|9ASPD|aCDMG
94	13552 33633	   	180.55	ACR|3VULN|2BEXP|1ASPD|1CDMG	1DUST|247VULN|3DUR|5RCR|68BEXP|9ASPD|aCDMG
95	22455 12433	 * 	180.55	ACR|2ASPD|2BEXP|1DMG|1CDMG	1LHND|29ASPD|3CDMG|4DMG|5RCR|6MBVNT|7DUST|8aBEXP
96	13152 32233	   	180.55	ACR|3VULN|2BEXP|1ASPD|1CDMG	1DUST|248VULN|3LWND|5RCR|67BEXP|9ASPD|aCDMG
97	13152 35213	   	180.55	ACR|3VULN|2BEXP|1ASPD|1CDMG	1DUST|249VULN|3LWND|5RCR|68BEXP|7ASPD|aCDMG
98	13252 32233	   	180.55	ACR|3VULN|2BEXP|1ASPD|1CDMG	1DUST|248VULN|3LHND|5RCR|67BEXP|9ASPD|aCDMG
99	13252 35213	   	180.55	ACR|3VULN|2BEXP|1ASPD|1CDMG	1DUST|249VULN|3LHND|5RCR|68BEXP|7ASPD|aCDMG
100	13552 32233	   	180.55	ACR|3VULN|2BEXP|1ASPD|1CDMG	1DUST|248VULN|3DUR|5RCR|67BEXP|9ASPD|aCDMG
101	23452 32233	   	180.55	ACR|3VULN|2BEXP|1ASPD|1CDMG	1LHND|248VULN|3DUST|5RCR|67BEXP|9ASPD|aCDMG
102	23452 35213	   	180.55	ACR|3VULN|2BEXP|1ASPD|1CDMG	1LHND|249VULN|3DUST|5RCR|68BEXP|7ASPD|aCDMG
103	33228 44211	   	180.52	ACR|2VULN|2DMG|1AART|1BEXP	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9LIT|aAART
104	33228 44226	   	180.52	ACR|2VULN|2DMG|1AART|1BEXP	179ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|aAART
105	33228 44271	   	180.52	ACR|2VULN|2DMG|1AART|1BEXP	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9AART|aFEWX
106	33228 44331	   	180.52	ACR|2VULN|2DMG|1AART|1BEXP	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8LWND|9AART|aBEXP
107	33228 41215	   	180.45	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG	1ZMB|2RCVC|3MBVNT|4DMG|5RCR|69VULN|7CDMG|8BEXP|aASPD
108	33228 41355	   	180.45	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG	1ZMB|2RCVC|3MBVNT|4DMG|5RCR|68VULN|7CDMG|9BEXP|aASPD
109	33228 44272	   	180.42	ACR|2VULN|2DMG|1AART|1BEXP	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9AART|aERES
110	33228 44276	   	180.42	ACR|2VULN|2DMG|1AART|1BEXP	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9AART|aAEMAG
111	64228 44214	   	180.41	ACR|3DMG|2VULN|1BEXP	1RCVC|27AME|3MBVNT|47aDMG|5RCR|67VULN|7BPWR|8BEXP|9LIT
112	62228 44117	   	180.33	ACR|3VULN|2DMG|1AART	1RCVC|27ERES|3MBVNT|47DMG|5RCR|678VULN|7BPWR|9FEWX|aAART
113	62228 44162	   	180.33	ACR|3VULN|2DMG|1AART	1RCVC|27ERES|3MBVNT|47DMG|5RCR|678VULN|7BPWR|9AART|aFEWX
114	62228 44164	   	180.33	ACR|3VULN|2DMG|1AART	1RCVC|27ERES|3MBVNT|47DMG|5RCR|678VULN|7BPWR|9AART|aZMB
115	36335 33112	   	180.31	ACR|3ASPD|1VULN|1AART|1CDMG	1ZMB|2CDMG|3VULN|47aASPD|5RCR|6DMSP|8LHND|9AART
116	62228 44137	   	180.23	ACR|3VULN|2DMG|1AART	1RCVC|27ERES|3MBVNT|47DMG|5RCR|678VULN|7BPWR|9DUST|aAART
117	13552 36312	   	180.12	ACR|2VULN|1BASARM|2BEXP	1DUST|24VULN|3DUR|5RCR|69BEXP|7BASARM|8RCVC|aMLV
118	13552 36322	   	180.12	ACR|2VULN|1BASARM|2BEXP	1DUST|24VULN|3DUR|5RCR|6aBEXP|7BASARM|8RCVC|9LIT
119	13512 36123	   	180.12	ACR|1BASARM|2VULN|1BEXP|1CDMG	14DUST|2aVULN|3DUR|5RCR|6BEXP|7BASARM|8LHND|9CDMG
120	13552 36122	   	180.12	ACR|2VULN|1BASARM|1BEXP|1CDMG	1DUST|24VULN|3DUR|5RCR|6BEXP|7BASARM|8LHND|9CDMG|aERES
121	13552 36313	   	180.02	ACR|2VULN|1BASARM|2BEXP	1DUST|24VULN|3DUR|5RCR|69BEXP|7BASARM|8RCVC|aFLTARM
122	22461 26211	   	179.61	ACR|1VULN|1ASPD|1DMG|1CDMG|1BEXP|1AART	16LHND|2ASPD|3CDMG|46FEWX|5RCR|6BPWR|7DMG|8BEXP|9VULN|aAART
123	22461 61111	   	179.51	ACR|1VULN|1ASPD|1DMG|1BEXP|1CDMG|1AART	1LHND|2ASPD|3CDMG|47FEWX|5RCR|6BEXP|8DMG|9VULN|aAART
124	33228 81284	 * 	179.48	ACR|2DMG|2BEXP|1VULN|1CDMG	19ZMB|2RCVC|3MBVNT|49DMG|5RCR|6LHND|7CDMG|89BEXP|9BPWR|aVULN
125	12455 31211	   	179.31	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1DUST|2ASPD|3CDMG|4DMG|5RCR|6LWND|7AEMAG|8BEXP|9VULN|aAART
126	12455 32211	   	179.31	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART|1CDMG	17DUST|2ASPD|3CDMG|4DMG|5RCR|6LWND|8BEXP|9VULN|aAART
127	22455 11211	   	179.31	ACR|1VULN|1ASPD|1DMG|1CDMG|1BEXP|1AART	1LHND|2ASPD|3CDMG|4DMG|5RCR|6MBVNT|7AEMAG|8BEXP|9VULN|aAART
128	22455 13441	   	179.31	ACR|1ASPD|1DMG|1VULN|1CDMG|1BEXP|1AART	1LHND|2ASPD|3CDMG|4DMG|5RCR|6MBVNT|7TLV|8AART|9BEXP|aVULN
129	36335 13314	 * 	179.01	ACR|3ASPD|1VULN|3CDMG	1ZMB|269CDMG|3VULN|47aASPD|5RCR|8RMIN
130	53143 24131	   	178.95	ACR|2VULN|2ASPD|1AART|1CDMG|1SELL	1SELL|2AART|3DMSP|48MLV|5RCR|68VULN|78ASPD|8BPWR|9CDMG|aLHND
131	53143 24132	   	178.95	ACR|2VULN|2ASPD|1AART|1CDMG|1SELL	1SELL|2AART|3DMSP|48MLV|5RCR|68VULN|78ASPD|8BPWR|9CDMG|aDUR
132	36335 13214	   	178.91	ACR|3ASPD|1VULN|3CDMG	1ZMB|269CDMG|3VULN|47aASPD|5RCR|8ERES
133	13512 36612	   	178.84	ACR|2VULN|1BASARM|2BEXP	14DUST|28VULN|3DUR|5RCR|69BEXP|7BASARM|aMLV
134	13512 36622	   	178.84	ACR|2VULN|1BASARM|2BEXP	14DUST|28VULN|3DUR|5RCR|6aBEXP|7BASARM|9LIT
135	53153 24131	   	178.75	ACR|2VULN|2ASPD|1AART|1CDMG|1SELL	1SELL|2AART|3DMSP|48TLV|5RCR|68VULN|78ASPD|8BPWR|9CDMG|aLHND
136	53153 24132	   	178.75	ACR|2VULN|2ASPD|1AART|1CDMG|1SELL	1SELL|2AART|3DMSP|48TLV|5RCR|68VULN|78ASPD|8BPWR|9CDMG|aDUR
137	13512 36613	   	178.74	ACR|2VULN|1BASARM|2BEXP	14DUST|28VULN|3DUR|5RCR|69BEXP|7BASARM|aFLTARM
138	64228 44223	   	178.40	ACR|2VULN|2DMG|1BEXP|1CDMG	1RCVC|27AME|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9ZMB|aCDMG
139	13512 34161	   	178.40	ACR|1BASARM|1VULN|1BEXP|1AART|1AAC	14DUST|2VULN|3DUR|5RCR|6BEXP|7AART|8BASARM|9RMIN|aAAC
140	62228 44343	   	178.30	ACR|2VULN|2DMG|1BEXP|1CDMG	1RCVC|27ERES|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8MDPS|9CDMG|aBEXP
141	13512 34153	   	178.30	ACR|1BASARM|1VULN|1BEXP|1AART|1AAC	14DUST|2VULN|3DUR|5RCR|6BEXP|7AART|8BASARM|9MDPS|aAAC
142	36335 13114	 * 	178.27	ACR|2ASPD|1VULN|3CDMG|1AART	1ZMB|26aCDMG|3VULN|47ASPD|5RCR|8LHND|9AART
143	33228 44285	   	178.18	ACR|2VULN|2DMG|1BEXP|1CDMG	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9CGEN|aCDMG
144	33228 44263	   	178.08	ACR|2VULN|2DMG|1BEXP|1CDMG	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9TLV|aCDMG
145	22455 23131	   	178.06	ACR|2ASPD|2DMG|1CDMG|1AAC	1LHND|29ASPD|3CDMG|48DMG|5RCR|6DUR|7TLV|aAAC
146	22455 33131	   	178.06	ACR|2ASPD|2DMG|1CDMG|1AAC	1LHND|29ASPD|3CDMG|48DMG|5RCR|6LWND|7TLV|aAAC
147	12461 62111	   	178.02	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1DUST|2ASPD|3CDMG|4FEWX|5RCR|67BEXP|8DMG|9VULN|aDMSP
148	22455 13131	   	177.96	ACR|2ASPD|2DMG|1CDMG|1AAC	1LHND|29ASPD|3CDMG|48DMG|5RCR|6MBVNT|7TLV|aAAC
149	12455 21213	   	177.92	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1DUST|2ASPD|3CDMG|4DMG|5RCR|6DUR|7AEMAG|8aBEXP|9VULN
150	12455 22213	   	177.92	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	17DUST|2ASPD|3CDMG|4DMG|5RCR|6DUR|8aBEXP|9VULN
151	22425 13316	 * 	177.80	ACR|2VULN|2BEXP|1ASPD|2CDMG	1LHND|2ASPD|36CDMG|4ERES|5RCR|7aBEXP|89VULN
152	64228 44222	   	177.21	ACR|2VULN|2DMG|2BEXP	1RCVC|27AME|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8aBEXP|9ZMB
153	13512 36126	   	177.08	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC	14DUST|2VULN|3DUR|5RCR|6BEXP|7BASARM|8LHND|9CDMG|aAAC
154	22461 53133	 * 	177.03	ACR|2ASPD|1VULN|1BEXP|1AART|1CDMG	1LHND|29ASPD|3CDMG|4FEWX|5RCR|6VULN|7LIT|8BEXP|aAART
155	33228 44225	   	176.98	ACR|2VULN|2DMG|2BEXP	179ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8aBEXP
156	33228 44262	   	176.88	ACR|2VULN|2DMG|2BEXP	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8aBEXP|9TLV
157	62228 31117	   	176.85	ACR|1BASARM|2VULN|1DMG	1RCVC|2ERES|3MBVNT|4DMG|5RCR|6AIRHEL|7AEMAG|89VULN|aBASARM
158	13512 36262	   	176.84	ACR|1BASARM|1VULN|2BEXP|1AAC	14DUST|2VULN|3DUR|5RCR|69BEXP|7BASARM|8ERES|aAAC
