0	Index      	 *	Score 	Summary	Detail	
1	33633 24246	 * 	234.13	ACR|2BASARM|2ASPD|2DMG	1LEGI|2RCR|3aDMG|4BELT|5VENFST|6RMIN|7MBVNT|8aBASARM|9aASPD|aBPWR
18	53113 21364	 * 	213.86	ACR|3DMG|3BEXP|1VULN|1CDMG	179BEXP|2VULN|3RCR|49AME|5FEWX|6CDMG|89aDMG|9BPWR
19	53132 21364	   	213.86	ACR|3DMG|3BEXP|1VULN|1CDMG	179BEXP|2VULN|3RCR|49DUST|5CGEN|6CDMG|89aDMG|9BPWR
20	33646 11311	   	213.39	ACR|1BASARM|2DMG|1VULN|1CDMG	1LEGI|2RCR|37DMG|4RCVC|5DUR|6BASARM|8CDMG|9VULN|aRPLT
21	33646 12313	   	213.39	ACR|1BASARM|2DMG|1VULN|1CDMG	1LEGI|2RCR|3aDMG|4RCVC|5DUR|6BASARM|7DMSP|8CDMG|9VULN
22	33646 11312	   	213.29	ACR|1BASARM|2DMG|1VULN|1CDMG	1LEGI|2RCR|37DMG|4RCVC|5DUR|6BASARM|8CDMG|9VULN|aMBVNT
23	33653 33262	 * 	212.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1SELL	1LEGI|2RCR|3DMG|4LHND|5aBEXP|6SELL|7DUST|8BASARM|9ASPD
24	53111 21364	 * 	212.45	ACR|2VULN|3DMG|3BEXP	179BEXP|26VULN|3RCR|49AME|5RPLT|89aDMG|9BPWR
25	33142 16222	   	212.10	ACR|2ASPD|2BEXP|1VULN|1DMG|1CDMG	1LEGI|2RCR|3RMIN|47BEXP|57CGEN|67ASPD|7BPWR|8DMG|9VULN|aCDMG
26	33653 12422	   	211.90	ACR|2ASPD|2BEXP|1VULN|1DMG|1CDMG	1LEGI|2RCR|3DMG|4LHND|56BEXP|78ASPD|9VULN|aCDMG
27	33144 16222	   	211.90	ACR|2ASPD|2BEXP|1VULN|1DMG|1CDMG	1LEGI|2RCR|3RMIN|47BEXP|57ERES|67ASPD|7BPWR|8DMG|9VULN|aCDMG
28	53124 25312	 * 	211.47	ACR|1BASARM|2VULN|2BEXP|1ASPD	16BEXP|29VULN|3RCR|4CGEN|5ERES|7BASARM|8ASPD|aDUR
29	53124 25313	   	211.47	ACR|1BASARM|2VULN|2BEXP|1ASPD	16BEXP|29VULN|3RCR|4aCGEN|5ERES|7BASARM|8ASPD
30	53152 25312	   	211.47	ACR|1BASARM|2VULN|2BEXP|1ASPD	16BEXP|29VULN|3RCR|4ERES|5CGEN|7BASARM|8ASPD|aDUR
31	53152 25313	   	211.47	ACR|1BASARM|2VULN|2BEXP|1ASPD	16BEXP|29VULN|3RCR|4ERES|5aCGEN|7BASARM|8ASPD
32	33615 15321	   	211.43	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG|1SELL	1LEGI|2RCR|3DMG|4MLV|5LIT|6ASPD|7BASARM|8SELL|9AART|aCDMG
33	53112 25161	 * 	211.39	ACR|1BASARM|3BEXP|1VULN|1ASPD	16aBEXP|2VULN|3RCR|4AME|5CGEN|7BASARM|8FEWX|9ASPD
34	53124 25311	   	211.37	ACR|1BASARM|2VULN|2BEXP|1ASPD	16BEXP|29VULN|3RCR|4CGEN|5ERES|7BASARM|8ASPD|aDUST
35	53152 25311	   	211.37	ACR|1BASARM|2VULN|2BEXP|1ASPD	16BEXP|29VULN|3RCR|4ERES|5CGEN|7BASARM|8ASPD|aDUST
36	33625 15321	   	211.33	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG|1SELL	1LEGI|2RCR|3DMG|4AME|5LIT|6ASPD|7BASARM|8SELL|9AART|aCDMG
37	56112 32423	   	210.79	ACR|2ASPD|2DMG|2VULN|1BEXP	1BEXP|2aDUR|3RCR|4TLV|5CGEN|6aDMG|78ASPD|9aVULN|aBPWR
38	33611 24263	 * 	210.71	ACR|3VULN|3BEXP|2DMG|1SELL	1LEGI|2RCR|39DMG|4MLV|579VULN|69aBEXP|8SELL|9BPWR
39	33621 24263	 * 	210.61	ACR|3VULN|3BEXP|2DMG|1SELL	1LEGI|2RCR|39DMG|4AME|579VULN|69aBEXP|8SELL|9BPWR
40	53112 32423	   	210.59	ACR|2VULN|2ASPD|2DMG|1BEXP	1BEXP|2aVULN|3RCR|4AME|5CGEN|6aDMG|78ASPD|9aAEFBLL|aBPWR
41	53124 32423	   	210.59	ACR|2VULN|2ASPD|2DMG|1BEXP	1BEXP|2aVULN|3RCR|4CGEN|5ERES|6aDMG|78ASPD|9aAEMAG|aBPWR
42	53152 32423	   	210.59	ACR|2VULN|2ASPD|2DMG|1BEXP	1BEXP|2aVULN|3RCR|4ERES|5CGEN|6aDMG|78ASPD|9aAEMAG|aBPWR
43	53114 32423	   	210.49	ACR|2VULN|2ASPD|2DMG|1BEXP	1BEXP|2aVULN|3RCR|4AME|5ERES|6aDMG|78ASPD|9aAEFBLL|aBPWR
44	53111 21366	   	210.44	ACR|2VULN|3BEXP|2DMG|1CDMG	179BEXP|26VULN|3RCR|49AME|5RPLT|89DMG|9BPWR|aCDMG
45	53134 22423	 * 	209.96	ACR|1BASARM|3BEXP|1VULN|1BASICY	167BEXP|2VULN|3RCR|47DUST|57AEMAG|7BPWR|8BASICY|9MLV|aBASARM
46	56112 12223	 * 	208.85	ACR|3ASPD|2VULN|1DMG|1BEXP	1BEXP|2aDUR|3RCR|4TLV|5CGEN|67aASPD|8DMG|9aVULN|aBPWR
47	56162 12223	   	208.85	ACR|3ASPD|2VULN|1DMG|1BEXP	1BEXP|2aDUR|3RCR|4AME|5CGEN|67aASPD|8DMG|9aVULN|aBPWR
48	53112 25433	 * 	208.78	ACR|1BASARM|1VULN|2BEXP|2AART	16BEXP|2VULN|3RCR|4AME|5CGEN|7BASARM|8aAART|9MDPS
49	56114 12223	   	208.75	ACR|3ASPD|2VULN|1DMG|1BEXP	1BEXP|2aDUR|3RCR|4TLV|5ERES|67aASPD|8DMG|9aVULN|aBPWR
50	53112 12223	   	208.65	ACR|3ASPD|2VULN|1DMG|1BEXP	1BEXP|2aVULN|3RCR|4AME|5CGEN|67aASPD|8DMG|9aAEFBLL|aBPWR
51	53124 12223	   	208.65	ACR|3ASPD|2VULN|1DMG|1BEXP	1BEXP|2aVULN|3RCR|4CGEN|5ERES|67aASPD|8DMG|9aAEMAG|aBPWR
52	53152 12223	   	208.65	ACR|3ASPD|2VULN|1DMG|1BEXP	1BEXP|2aVULN|3RCR|4ERES|5CGEN|67aASPD|8DMG|9aAEMAG|aBPWR
53	53114 12223	   	208.55	ACR|3ASPD|2VULN|1DMG|1BEXP	1BEXP|2aVULN|3RCR|4AME|5ERES|67aASPD|8DMG|9aAEFBLL|aBPWR
54	33413 12632	 * 	208.32	ACR|3BEXP|2ASPD|1DMG|1VULN	1LEGI|2RCR|38DUR|4TLV|568BEXP|78ASPD|8BPWR|9VULN|aDMG
55	53124 33221	   	208.29	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	19BEXP|2VULN|3RCR|49CGEN|5ERES|6DMG|7MDPS|89ASPD|9BPWR|aAART
56	53112 33221	   	208.19	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	19BEXP|2VULN|3RCR|49AME|5CGEN|6DMG|7MDPS|89ASPD|9BPWR|aAART
57	53152 33221	   	208.19	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	19BEXP|2VULN|3RCR|49ERES|5CGEN|6DMG|7MDPS|89ASPD|9BPWR|aAART
58	53114 33221	   	208.09	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	19BEXP|2VULN|3RCR|49AME|5ERES|6DMG|7MDPS|89ASPD|9BPWR|aAART
59	53112 25412	   	207.48	ACR|1BASARM|2VULN|2BEXP|1AART	16BEXP|2aVULN|3RCR|4AME|5CGEN|7BASARM|8AART|9FEWX
60	33653 12253	   	206.92	ACR|3BEXP|2ASPD|1DMG|1CDMG	1LEGI|2RCR|3DMG|4LHND|56aBEXP|79ASPD|8CDMG
61	53112 32253	   	206.90	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	1aBEXP|2VULN|3RCR|4AME|5CGEN|6DMG|79ASPD|8CDMG
62	53126 32253	   	206.90	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	1aBEXP|2VULN|3RCR|4CGEN|5AAC|6DMG|79ASPD|8CDMG
63	53116 32253	   	206.80	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	1aBEXP|2VULN|3RCR|4AME|5AAC|6DMG|79ASPD|8CDMG
64	53134 32253	   	206.80	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	1aBEXP|2VULN|3RCR|4DUST|5AEMAG|6DMG|79ASPD|8CDMG
65	33123 25262	   	206.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1LEGI|2RCR|3RMIN|4DUR|5aBEXP|6CDMG|7DUST|8BASARM|9ASPD
66	33133 25262	   	206.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1LEGI|2RCR|3RMIN|4LHND|5aBEXP|6CDMG|7DUST|8BASARM|9ASPD
67	53261 13315	 * 	206.33	ACR|2VULN|1BASARM|3BEXP|1CDMG	178BEXP|24VULN|3RMIN|5RCR|6SPLREG|9CDMG|aBASARM
68	53112 25413	   	206.30	ACR|1BASARM|3BEXP|1VULN|1AART	16aBEXP|2VULN|3RCR|4AME|5CGEN|7BASARM|8AART|9FEWX
69	33615 15312	   	206.08	ACR|1BASARM|1ASPD|1DMG|1VULN|1AAC|1SELL	1LEGI|2RCR|3DMG|4MLV|5LIT|6ASPD|7BASARM|8SELL|9AAC|aVULN
70	33625 15312	   	205.98	ACR|1BASARM|1ASPD|1DMG|1VULN|1AAC|1SELL	1LEGI|2RCR|3DMG|4AME|5LIT|6ASPD|7BASARM|8SELL|9AAC|aVULN
71	53111 21356	   	205.49	ACR|2VULN|2DMG|2BEXP|1ASPD	17BEXP|26VULN|3RCR|4AME|5RPLT|8aDMG|9ASPD
72	33326 86442	   	205.06	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1LEGI|2RCR|3AEMAG|4MBVNT|5LIT|6BASARM|7CDMG|8VULN|9ASPD|aBEXP
73	33646 11323	   	205.06	ACR|1BASARM|2DMG|2CDMG	1LEGI|2RCR|37DMG|4aRCVC|5DUR|6BASARM|89CDMG
74	53112 25521	   	204.88	ACR|1BASARM|3BEXP|1VULN|1CDMG	168BEXP|2VULN|3RCR|4AME|5CGEN|7BASARM|9DUST|aCDMG
75	33646 11112	   	204.74	ACR|1BASARM|2DMG|1ASPD	1LEGI|2RCR|37DMG|4RCVC|5aDUR|6BASARM|8AAC|9ASPD
76	33646 11321	   	204.74	ACR|1BASARM|2DMG|2CDMG	1LEGI|2RCR|37DMG|4RCVC|5aDUR|6BASARM|89CDMG
77	53125 22363	 * 	204.72	ACR|3BEXP|2DMG|1VULN|2CDMG	19aBEXP|2VULN|3RCR|49CGEN|5FEWX|67CDMG|89DMG|9BPWR
78	53142 22363	   	204.72	ACR|3BEXP|2DMG|1VULN|2CDMG	19aBEXP|2VULN|3RCR|49LWND|5CGEN|67CDMG|89DMG|9BPWR
79	32241 11312	   	204.70	ACR|1BASARM|2DMG|1ASPD|1VULN	1LEGI|2DUST|3RMIN|4RCVC|5RCR|6BASARM|7aDMG|8ASPD|9VULN
80	33646 11111	   	204.64	ACR|1BASARM|2DMG|1ASPD	1LEGI|2RCR|37DMG|4RCVC|5DUR|6BASARM|8AAC|9ASPD|aDUST
81	33646 11113	   	204.64	ACR|1BASARM|2DMG|1ASPD	1LEGI|2RCR|37DMG|4RCVC|5DUR|6BASARM|8AAC|9ASPD|aDLOT
82	53113 22363	   	204.52	ACR|3BEXP|2DMG|1VULN|2CDMG	19aBEXP|2VULN|3RCR|49AME|5FEWX|67CDMG|89DMG|9BPWR
83	53132 22363	   	204.52	ACR|3BEXP|2DMG|1VULN|2CDMG	19aBEXP|2VULN|3RCR|49DUST|5CGEN|67CDMG|89DMG|9BPWR
84	53132 21366	   	204.52	ACR|3BEXP|2DMG|1VULN|2CDMG	179BEXP|2VULN|3RCR|49DUST|5CGEN|6aCDMG|89DMG|9BPWR
85	33615 15212	   	204.43	ACR|1BASARM|1ASPD|1DMG|1BASICY	1LEGI|2RCR|3DMG|4MLV|5aLIT|6ASPD|7BASARM|8BASICY|9LHND
86	33615 15213	   	204.43	ACR|1BASARM|1ASPD|1DMG|1BASICY	1LEGI|2RCR|3DMG|4MLV|5LIT|6ASPD|7BASARM|8BASICY|9LHND|aCGEN
87	33625 15212	   	204.33	ACR|1BASARM|1ASPD|1DMG|1BASICY	1LEGI|2RCR|3DMG|4AME|5aLIT|6ASPD|7BASARM|8BASICY|9LHND
88	33625 15213	   	204.33	ACR|1BASARM|1ASPD|1DMG|1BASICY	1LEGI|2RCR|3DMG|4AME|5LIT|6ASPD|7BASARM|8BASICY|9LHND|aCGEN
89	33615 15211	   	204.33	ACR|1BASARM|1ASPD|1DMG|1BASICY	1LEGI|2RCR|3DMG|4MLV|5LIT|6ASPD|7BASARM|8BASICY|9LHND|aAIRARM
90	33615 15233	   	204.33	ACR|1BASARM|1ASPD|1DMG|1BASICY	1LEGI|2RCR|3DMG|4MLV|5LIT|6ASPD|7BASARM|8BASICY|9FLTARM|aDUR
91	33625 15211	   	204.23	ACR|1BASARM|1ASPD|1DMG|1BASICY	1LEGI|2RCR|3DMG|4AME|5LIT|6ASPD|7BASARM|8BASICY|9LHND|aAIRARM
92	33625 15233	   	204.23	ACR|1BASARM|1ASPD|1DMG|1BASICY	1LEGI|2RCR|3DMG|4AME|5LIT|6ASPD|7BASARM|8BASICY|9FLTARM|aDUR
93	33615 15231	   	204.23	ACR|1BASARM|1ASPD|1DMG|1BASICY	1LEGI|2RCR|3DMG|4MLV|5LIT|6ASPD|7BASARM|8BASICY|9FLTARM|aDUST
94	33621 12256	 * 	204.19	ACR|3DMG|2ASPD|1VULN	1LEGI|2RCR|38aDMG|4AME|5VULN|67ASPD|9RPLT
95	33625 15231	   	204.13	ACR|1BASARM|1ASPD|1DMG|1BASICY	1LEGI|2RCR|3DMG|4AME|5LIT|6ASPD|7BASARM|8BASICY|9FLTARM|aDUST
