0	Index      	 *	Score 	Summary	Detail	
1	43122 21682	 * 	243.00	ACR|2VULN|1BASARM|2ASPD|1DMG|1CDMG	1RMIN|25VULN|3RCR|4MBVNT|6CDMG|7aASPD|8BASARM|9DMG
13	43132 21542	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	1RMIN|25VULN|3RCR|4LWND|6CDMG|7aASPD|8BASARM|9AME
14	43132 21552	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	1RMIN|25VULN|3RCR|4LWND|6CDMG|7aASPD|8BASARM|9TLV
15	43122 21632	   	220.84	ACR|2VULN|1BASARM|2ASPD|1CDMG	1RMIN|25VULN|3RCR|4MBVNT|6CDMG|7aASPD|8BASARM|9TLV
16	43122 21652	   	220.84	ACR|2VULN|1BASARM|2ASPD|1CDMG	1RMIN|25VULN|3RCR|4MBVNT|6CDMG|7aASPD|8BASARM|9AME
17	43132 21513	   	220.10	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	1RMIN|25VULN|3RCR|4LWND|6CDMG|7ASPD|8BASARM|9FEWX|aAART
18	43132 53513	   	220.10	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	1RMIN|25VULN|3RCR|4LWND|6ASPD|7CDMG|8BASARM|9FEWX|aAART
19	43122 21613	   	220.00	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	1RMIN|25VULN|3RCR|4MBVNT|6CDMG|7ASPD|8BASARM|9FEWX|aAART
20	43122 34815	   	220.00	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	1RMIN|25VULN|3RCR|4MBVNT|6BELT|7BASARM|8CDMG|9DMG|aAART
21	43162 21513	   	220.00	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	1RMIN|25VULN|3RCR|4LEGI|6CDMG|7ASPD|8BASARM|9FEWX|aAART
22	43141 12136	 * 	219.71	ACR|3VULN|2ASPD|2BEXP|2CDMG	1RMIN|26aVULN|3RCR|46ASPD|57BELT|6aBPWR|8aBEXP|9aCDMG
23	31624 15123	   	216.07	ACR|2VULN|1BASARM|1ASPD|1DMG|1AAC	1LIT|2ERES|3RCR|4ASPD|57VULN|6AAC|8BASARM|9CGEN|aDMG
24	31624 15113	   	215.97	ACR|2VULN|1BASARM|1ASPD|1DMG|1AAC	1LIT|2ERES|3RCR|4ASPD|57VULN|6AAC|8BASARM|9TLV|aDMG
25	66122 32322	 * 	215.91	ACR|4VULN|2ASPD|2DMG	158aVULN|2ERES|3RCR|4MBVNT|6BELT|7aASPD|9aDMG|aBPWR
26	43113 21516	   	213.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1RMIN|2VULN|3RCR|4RCVC|5DUST|6CDMG|7ASPD|8BASARM|9FEWX|aDMG
27	31624 16121	   	213.80	ACR|2VULN|1BASARM|2ASPD|1AAC	17LIT|2ERES|3RCR|47ASPD|57VULN|6AAC|7BPWR|8BASARM|9CGEN|aZMB
28	31624 16111	   	213.70	ACR|2VULN|1BASARM|2ASPD|1AAC	17LIT|2ERES|3RCR|47ASPD|57VULN|6AAC|7BPWR|8BASARM|9TLV|aZMB
29	31624 16122	   	213.70	ACR|2VULN|1BASARM|2ASPD|1AAC	17LIT|2ERES|3RCR|47ASPD|57VULN|6AAC|7BPWR|8BASARM|9CGEN|aDUST
30	31624 16131	   	213.70	ACR|2VULN|1BASARM|2ASPD|1AAC	17LIT|2ERES|3RCR|47ASPD|57VULN|6AAC|7BPWR|8BASARM|9SPLREG|aDMSP
31	31624 16133	   	213.70	ACR|2VULN|1BASARM|2ASPD|1AAC	17LIT|2ERES|3RCR|47ASPD|57VULN|6AAC|7BPWR|8BASARM|9SPLREG|aRPLT
32	31624 16112	   	213.60	ACR|2VULN|1BASARM|2ASPD|1AAC	17LIT|2ERES|3RCR|47ASPD|57VULN|6AAC|7BPWR|8BASARM|9TLV|aDUST
33	43145 21311	 * 	213.56	ACR|2VULN|3AART|1ASPD|1BEXP	1RMIN|27VULN|3RCR|4ASPD|569AART|8ZMB|aBEXP
34	43145 21111	   	213.46	ACR|2VULN|3AART|1ASPD|1BEXP	1RMIN|27VULN|3RCR|4ASPD|569AART|8ERES|aBEXP
